ID,Count
b'\xd2\x1d9\xfa\x00P\x0f\x13I\x9a\xf89\x06',23862
b'E.\x1c)\xa4\xb2\x89\xb6\x06\xba\xd2\xad\x06',18885
b'V+x\xe8\x00Po\xcd\xe4\xde\xccw\x06',17609
b'\xb7\xf6h\xd0\xc1\x8b+\xfc\xe1\x08\x00P\x06',14967
b'\x01l|\xff\x8f\r\x01l\xc5\xc8\x01\xbb\x06',13891
b'c\x0f\xb2\xd4\x80\xd2\x01`\x8d\x12\x01\xbb\x06',13298
b'\x01l|\xec\xcc\x1b\x01l\xc5\xc8\x01\xbb\x06',13186
b'E\x0c\xd5\xf7\xd7(\xdd.\xdc\xec\x00P\x06',12779
b'E\x0c\xd5\xf5\xa4\x14\xdd.\xdc\xec\x00P\x06',12412
b'\xdd\x01b\xdf\xd5\xce\xdd.\xdc\xf1\x00P\x06',11438
b'\xd2\x1e\xbeu\x01\xbb+\xfc\xe0.\x92\xd5\x06',11194
b'\r\xe1\x94\xb7\xc2>\x01`\xdf\x92\x01\xbb\x06',10938
b'\x99\xc1\xe9Z\x00P+\xfc\xe0=\xe7%\x06',10871
b'\x01l$\xce\x0e\xad\x01l\xc5\xc6\x01\xbb\x06',10827
b'\x7f\x1a>\xb1/<\x03\xf9\x9f\x90\x01\xbb\x06',10772
b'\xcf\x88\xee\xa0\x17\x01\x01`\xa6\xcc\x01\xbb\x06',10618
"b""'&\xec\xc2\xd0\xeao\xcd\xe4\x84\x1f\x90\x11""",10543
b'\x800\xeeP <\x01`\xa6\xc7\x01\xbb\x06',10509
b'$\x90c\xcf\x99\x8fJ\xee\xf8*\x005\x11',10507
b'~.~\x13\xa5\xb3+\xfc\xe2\x05\x01\xbb\x06',10477
b'\r\x01W\xaa\xcdL\x03\xff\x02\x82\x01\xbb\x06',10440
b'\x05\x06\x1b\xd0\xcb\xa4h\xef\x88\xf3\x1f\x90\x11',10247
b'A\xad4a\xd0\xfb\xdd.\xdc\xf0\x00P\x06',10170
b'\xd0\xfd=\x0e\xad\x92\xdd\xc3\xe7#\x00\x14\x06',10134
b'k\xc9\xe9\t\x8f1\xc6U\x10\xee\x00P\x06',10101
b'q\xaa\xc4V\xde\xd9+\xfc\xe0v\x01\xbb\x06',10060
b'\xc66\xad\xc8q\xae\xc6U\x10\xed\x00P\x06',10037
b'\x05?\xc10\xf6mo\xcd\xe4\xd7\x1f\x90\x11',10023
b'\xdc\x90\xcd\x9d\xceM\x01:!6\x00P\x06',10010
b'\xb8e\xb7\x0cz6o\xcd\xe4\xedgg\x11',9994
b'\x05\x11}\x9e\xc9\x94o\xcd\xe4\xa4\x1f\x90\x11',9931
b'p\xe5\x17 \xe96+\xfc\xe2%\x00P\x06',9914
b'ur=\xf2\xc1@+\xfc\xe2\x06\x00P\x06',9875
b'\x80\xaf\x0b\xbd\xd8\x84\x01\x92V\x1f\x01\xbb\x06',9840
b'\xcf\x98\xe1s\xdb5\x01`\xa6\xa4\x01\xbb\x06',9811
b'c9\xbb\x7f\xdc\xd5\x01\x03%h${\x06',9790
b'\xdd\x01b\xde\x90\x1d\xdd.\xdc\xec\x00P\x06',9768
b'e\x86\xc2d\xfd\x84h\xef\x88\x96\x1f\x90\x11',9743
b'u{q\x07\xb5\xbb\x01B\r\xf4\x01\xbb\x06',9735
b'\x01l|\xb2\xb5:\x01l\xc4M\x00P\x06',9706
b'\x80.\x9f\xe9\x05\xdf\x01`\xa6\xe6\x01\xbb\x06',9704
b'm\xe5\x95\xe1o \x03\xfd\xd7\x00\x01\xbb\x06',9699
b'\xb7\xe4_\xb8\xc7\xe4+\xfc\xe2\x07\x00P\x06',9687
b'\x87;\x03\xfa\xcc\xc5o\xcd\xe4X\x04\xaa\x11',9659
b'G\xe0\x07\x89\xcf\x99++(\x85\x00P\x06',9645
b'r\x90\x1e\x99J\xf1\x01.\x04N\xb3\xb0\x11',9636
b'\x9a\xac\xf6k\x9a`++(\xf0\x01\xbb\x06',9634
"b'\x06\x88,\x96\xa3k+\xfc\xe2\x04\x01\xbb\x06'",9627
b'\x01l|\xab\x81\x8e\x01`\x96G\x00P\x06',9619
b'\xcc\xc1\xeeu\xd2?+\xfc\xe2\x1b\x00P\x06',9618
b'\x0c)\xee\xb2\xcfx\x03\xf9<\t\x00P\x06',9604
b'\xdc\x1bP\xe3\x07\xd1++(\x1d\x07\xd1\x11',9595
b'\xd1\t$Q\x0bb+\x96\xc2\xd5\x01\xbb\x06',9559
b'h8\xc7i\xe9Wh\xef\x88\xe3\x1f\x90\x11',9557
b'\xb7\x9ac\x0c\xc2\x7f+\xfc\xe1\x1b\x00P\x06',9555
b'\xce&\xfd\x9ch*\x03\xfa]\xee\x01\xbb\x06',9541
b'\x92\x9ec\t\xeeB\x05\xfcZ\xd5\x00P\x06',9538
b'I8C\xa5\xf1\xbah\xef\x88\xe00P\x11',9534
b'c9\xbb\\\x81\x80\x01n\xbbM${\x06',9520
b'$\x89\xddnJ\x90\x01[\nb${\x06',9505
b'\xa9\xaf\xea_\x91!o\xcd\x19\xfa\x04\xaa\x11',9495
b'\x01\x86)t\x01\xbb\xa5\\\x96p\xc4\xdc\x06',9478
b'YM.\xde\xbe\xb3\xdd.\xdc;\x01\xbb\x06',9474
b'c9\xbbujK\x01\x9bha${\x06',9474
b'@h\x07v\xc8\xa2A\xb7{\x0c\x01\xbb\x06',9469
b'\x12\xc0\xae\xdd\x00Po%\xc8\xe9\xce\xca\x06',9452
b'\x82<\xfa9\xb7.\x01Q\xc7\x97\x00P\x06',9439
b'I\x95\xba\xfb\xcc\xcco\xcd\xe4r\x1f\x90\x11',9429
b'e\x10:\xe3\xadW+\x08\xb5t\x01\xbb\x06',9428
b'I\xee\xb8\xf4\x82\xd2\xd2\x01\xf05\x005\x11',9422
b'kN\xea\xb2/j\xd2l8\xfe\x00P\x06',9414
b'uM\xb2b]\xbdh\xef\x88\xaf\x1e\xaa\x11',9413
b'h\xd6\xaai\xca\x17h\xd1d\xaf\x08V\x06',9409
b'h\xd0T\t\xe1\xff#\xf0\xcb\xd5\x01\xbb\x06',9402
b'l\x19\xe6\x88\xe4\xde\x01`\xa7\xec\x01\xbb\x06',9401
b'\x80-\xe5dw\xd1\x01`\xa6\xec\x01\xbb\x06',9401
b'c9\xbbj\x11G\x01}\x05}${\x06',9397
"b""\xcf\x88\xf6'\xe8\xb4\x01`\xa7j\x01\xbb\x06""",9395
b'jT&\xd3\xbe\xd3\x01\x964\xf8${\x06',9387
"b'\xd8\xf2\x08\xf4\xb3\xe7\xdd\xc3\xe7""\x00\x15\x06'",9374
b'v\xc2\\\xdc=s\x03\xf9\x02H\x10\x94\x06',9366
b'\xb7\xb7\xe1h\xf3f\x03\xfa1?F\xc9\x06',9366
b'q\xa2\x13\x0b\xc9~+\xfc\xe2%\x00P\x06',9361
b'\xcc\xc0(X\x05\xa7+\xfc\xe2%\x00P\x06',9358
b'\x8a\xa6\xc4\xbe\xfc\x1b\x99\xc1/8\x01\xbb\x06',9356
b'\x9d\x15\xd7\x83H\xc9A\x8d\x95\xae\xc3\xef\x11',9353
b'\x92\xf1N#\xcd>\xc7O\x83\xbe\x00\x16\x06',9347
b'2\x9e\xc7D\x07\x8bo\xcd\xe4w\x97\x17\x11',9342
b'\r\xf4\xd33\xd4Y\x01l\xc3J\x00P\x06',9339
b'\x84m\xe6\\\x98\xdd+\xfc\xe0\x98\x01\xbb\x06',9338
b'G\xcb\xc0\x18\x88\xab\xd2l8\xf0\x00P\x06',9337
b'\x89\xe5\x9c\x13\x97^\x99\xc1.\xd9\x00P\x06',9328
b'\x8e\xa1\x17M8\x18\xc6X\xdb1\xa9&\x11',9319
b'c9\xbbG\xfal\x01n\xcb\xf8${\x06',9318
b'\x82\x19\x1e\xc0\x11\x9c+\xfc\xe1P\x00P\x06',9316
b'us\x17^\x89-+\xfc\xe2\x13\x00P\x06',9310
"b""o%\xcc\xcbz.\x92'\xafV\x00P\x06""",9309
b'l*\xf2{qe\x01`\xa7\x11\x01\xbb\x06',9291
"b'c\x9e,\xb5\xa0f\x01/\xbc\xa5\x1f\xa4\x06'",9280
b'$u\xbd\x17\xdfj\x01/\xe9\xad\x01\xbb\x06',9278
"b't\xa4(\xf5,Q\x01!\xd36\x00P\x06'",9278
b'c\x8d\x9a<K\xc8+\xfc\xe0Z\x01\xbb\x06',9277
b'\x84\xbc\x91V\xba\x1ao\xcd\xe4\x84\x80\xb8\x11',9268
b'A\x96\xfea\xda\xb7f+\xac\x1a\x01\xbb\x06',9254
b'\xb7\x96U\xe9\xe2v\x01\x90G\xbf\x01\xbb\x06',9241
b'q_s\xeb\xe9`k\x1fos\x0f\xb8\x06',9234
b'jT&\x92\xed\xd9\x01Y\xb2\xb5${\x06',9228
b'\x8e\x88\x8bu\xc6^\x03\x89\x9bZ\x01\xbb\x06',9228
b'I\x00\x84\xe8\x98_\x99\xc1/n#Z\x06',9221
b'+\x8bb\x88\x7f\x89k\x1c\xc0=${\x06',9221
b'\x7f\xd31+\xc6\x90+\xfc\xe0\x9b\x00P\x06',9219
b't\xa4\x88u\xae\xb1\x01%\x84\xe2${\x06',9208
b'\x82\x05\x1a\xea\xcbA+\xfc\xe2\x18\x00P\x06',9207
b'$\x89:\xf0\xf1\x1b\x01 \xa4\xe0\x01\xbb\x06',9207
b'K]\xd9\xc6\x893\xc9\xef\xe3\x1d\n\xfc\x06',9202
b'I#\xa6\x80\xcec\xd3j\xef:\x15\xd6\x06',9201
b'\xce\x92\xa0\x80\xd4\xe2+\xfc\xe1\x1b\x00P\x06',9198
b'\x80\x02\x94\x10+*\x89\xb6O\xe4\x01\xbb\x06',9187
b'E\x0c\xd5\xf4\xb9\xf6\xdd.\xdc\xf0\x00P\x06',9179
b'\x06\x9e\xf4\xf9\xc9;\x01l\xc7X\x01\xbb\x06',9179
b'7}0\xfe\x00P\xdcs\x01\xa5\xe3b\x06',9179
"b""jT&\xd2\xa5h\x01'\xcdq${\x06""",9178
b'a\xd1\x84w\xd03o\xcd\xe4\xa8\x04\xaa\x11',9175
b'c9\xbb\xf9\x07o\x01&\xb2F${\x06',9174
b'w\x18\x03?VNo\xcd\xe4vr\x10\x11',9174
b'2\x19\xc7\x06\xe1\x0c\x01l\xcc1\x00P\x06',9167
