ID,Count
b'\xd2\x1d9\xfa\x00P\x0f\x13I\x9a\xf89\x06',18349
b'E.\x1c)\xa4\xb2\x89\xb6\x06\xba\xd2\xad\x06',13112
b'V+x\xe8\x00Po\xcd\xe4\xde\xccw\x06',11453
b'\xb7\xf6h\xd0\xc1\x8b+\xfc\xe1\x08\x00P\x06',10681
b'\x01l|\xff\x8f\r\x01l\xc5\xc8\x01\xbb\x06',10186
b'c\x0f\xb2\xd4\x80\xd2\x01`\x8d\x12\x01\xbb\x06',7482
b'\x99\xc1\xe9Z\x00P+\xfc\xe0=\xe7%\x06',7312
b'\x01l|\xec\xcc\x1b\x01l\xc5\xc8\x01\xbb\x06',7101
b'E\x0c\xd5\xf7\xd7(\xdd.\xdc\xec\x00P\x06',6330
b'E\x0c\xd5\xf5\xa4\x14\xdd.\xdc\xec\x00P\x06',6271
b'\x800\xeeP <\x01`\xa6\xc7\x01\xbb\x06',6046
b'\xcf\x88\xee\xa0\x17\x01\x01`\xa6\xcc\x01\xbb\x06',6017
b'\xdd\x01b\xdf\xd5\xce\xdd.\xdc\xf1\x00P\x06',6008
b'\x01l$\xce\x0e\xad\x01l\xc5\xc6\x01\xbb\x06',5543
b'~.~\x13\xa5\xb3+\xfc\xe2\x05\x01\xbb\x06',5297
b'\r\xe1\x94\xb7\xc2>\x01`\xdf\x92\x01\xbb\x06',5067
b'I\x95\xba\xfb\xcc\xcco\xcd\xe4r\x1f\x90\x11',5061
b'e\x86\xc2d\xfd\x84h\xef\x88\x96\x1f\x90\x11',5039
b'\x80\x11\xf0!|;\x01`\xa6\xcc\x01\xbb\x06',4966
b'E\x0c\xd5\xf4\xb9\xf6\xdd.\xdc\xf0\x00P\x06',4929
b'\r\x01W\xaa\xcdL\x03\xff\x02\x82\x01\xbb\x06',4923
b'w\xfa\x1d\xcf\x86_\x01`\xa6\xd5\x01\xbb\x06',4895
b'\x05\x06\x1b\xd0\xcb\xa4h\xef\x88\xf3\x1f\x90\x11',4886
b'\x80-\xe5dw\xd1\x01`\xa6\xec\x01\xbb\x06',4843
b'pw\xe8D\x97\x9e\x01`\xa6\xb5\x01\xbb\x06',4667
b'\x82+!!\xa5s\x01`\x92\xe5\x01\xbb\x06',4598
b'OZ\x0e\xae\xdc\xf1o\xcd\x19\xf0\x1f\x90\x11',4597
b'\xd0\xfd=\x0e\xad\x92\xdd\xc3\xe7#\x00\x14\x06',4584
b'\x05\x11}\x9e\xc9\x94o\xcd\xe4\xa4\x1f\x90\x11',4582
b'\xdc\x90\xcd\x9d\xceM\x01:!6\x00P\x06',4526
b'\x1c\xe8S\xac\x05S\x01`\xe6$\x00P\x06',4523
b'\xb7\x96U\xe9\xe2v\x01\x90G\xbf\x01\xbb\x06',4438
b'\x05?\xc10\xf6mo\xcd\xe4\xd7\x1f\x90\x11',4367
b'\xdd\x01b\xdd\xdd\xcb\xdd.\xdc\xef\x00P\x06',4357
b'ur=\xf2\xc1@+\xfc\xe2\x06\x00P\x06',4333
b'l*\xf2{qe\x01`\xa7\x11\x01\xbb\x06',4307
b'\x80\xaf\x0b\xbd\xd8\x84\x01\x92V\x1f\x01\xbb\x06',4301
b'h8\xc7i\xe9Wh\xef\x88\xe3\x1f\x90\x11',4276
"b""'&\xec\xc2\xd0\xeao\xcd\xe4\x84\x1f\x90\x11""",4273
b'r\x01\xb8p\xd7\xfd+\xfc\xe0\x86\x00P\x06',4259
b'\x80\r\xff\x9cmJ\x01`\xa6\xc7\x01\xbb\x06',4214
b'@h\x07v\xc8\xa2A\xb7{\x0c\x01\xbb\x06',4212
b'r\x90\xb8\x85\xc1U\x01`\xe7\xa6\x01\xbb\x06',4209
b'\xd2\x1e\xbeu\x01\xbb+\xfc\xe0.\x92\xd5\x06',4196
b'c9\xbbt\x1b\x88\x01Q\x07h${\x06',4195
b'\x01l|\xecJ\x97\x01l\xc3i\x01\xbb\x06',4194
"b'\x06\x88,\x96\xa3k+\xfc\xe2\x04\x01\xbb\x06'",4184
b'Ae\x8a}\xd8\xeaB\x82kS\xed(\x06',4150
b'\xc9&\xf8\x83\xc6\x07o\xcd\xe4i\x1f\x90\x11',4140
b'\x99\xc1\x89\x07%\n\xd0\xe9\xff\x14\xcf\x10\x06',4125
"b""\xcf\x88\xf6'\xe8\xb4\x01`\xa7j\x01\xbb\x06""",4121
b'p\xe01\xdd\xd2P\x01`\xe64\x00P\x06',4118
b'\xa9\xaf\xea_\x91!o\xcd\x19\xfa\x04\xaa\x11',4075
b'\x90\xbcT\x17\xc3\xba\x01 \x8a\x0c\x01\xbb\x06',4058
b'<\xf2\xdc\xd0K`Cc\x0f\xe3\xea\xfb\x06',4056
b'\xb8e\xb7\x0cz6o\xcd\xe4\xedgg\x11',4049
b'\x01l|\xab\x81\x8e\x01`\x96G\x00P\x06',4045
b'\x1d\xb9\x7f\xd3_\x85\xdd\xc3\xe7&\x00\x14\x06',4014
b'\x0c$\x02\x95\xc3M+\xfc\xe2*\x00P\x06',3991
b'\x91\xdc\xd6\x91\x00Pf\x03\xc7\xad\xd2&\x06',3984
b'\x82\x19\x1e\xc0\x11\x9c+\xfc\xe1P\x00P\x06',3968
b'd\xa2\x1d<\xdc\x14\x9d\x0e\x1d\xb2\x1fI\x06',3902
b'w\xed\x0f\x9cA^\x01`\xa7\xd6\x01\xbb\x06',3898
b'K \xe8\x1a\xa2`++(\xd0\x01\xbb\x06',3876
b'\x86\x82d8k\xe1f\x00\xedP$\xcf\x11',3858
b'm\x93\x08V\xf2\xa7\x01$\xdd\xe3${\x06',3853
b'\xdd\x01b\xde\x90\x1d\xdd.\xdc\xec\x00P\x06',3823
b'\xcf\x88\xd9s:\xf1\x01`\xa6\xcc\x01\xbb\x06',3819
b'\xb7\xe8L\xb1\xffg+\xfc\xe1\x1b\x00P\x06',3811
b'\x06\xebw\xd4\xd9w\x01`\xc0\xc7\x00P\x06',3800
"b'\x89\xa0\x02\xb7\x00P\x99\xc1u""\xa1>\x06'",3799
b'\xde6\x98s*\xec\x9d\x0e\x1e\x9d\xde1\x11',3794
b'\x7f\xd31+\xc6\x90+\xfc\xe0\x9b\x00P\x06',3756
b't\xa4-\x9e(\xae\x03\xedD\xac\x01\xbb\x06',3752
"b'A\xad4S\xcb""\xdd.\xdc\xf3\x00P\x06'",3751
b'\xa7\\\xf0\xc5\xf1\xa7\x01`\xdf\x92\x01\xbb\x06',3745
b'h\xa7\xcfX\xde-h\xef\x88\xbb\xa0\xf8\x11',3696
