ID,Count
b'\xd2\x1d9\xfa\x00P\x0f\x13I\x9a\xf89\x06',16889
b'E.\x1c)\xa4\xb2\x89\xb6\x06\xba\xd2\xad\x06',11647
b'V+x\xe8\x00Po\xcd\xe4\xde\xccw\x06',10113
b'\xb7\xf6h\xd0\xc1\x8b+\xfc\xe1\x08\x00P\x06',9010
b'\x01l|\xff\x8f\r\x01l\xc5\xc8\x01\xbb\x06',8418
b'c\x0f\xb2\xd4\x80\xd2\x01`\x8d\x12\x01\xbb\x06',6264
b'\x01l|\xec\xcc\x1b\x01l\xc5\xc8\x01\xbb\x06',5421
b'E\x0c\xd5\xf7\xd7(\xdd.\xdc\xec\x00P\x06',5194
b'E\x0c\xd5\xf5\xa4\x14\xdd.\xdc\xec\x00P\x06',4991
b'\x01l$\xce\x0e\xad\x01l\xc5\xc6\x01\xbb\x06',4444
b'\xdd\x01b\xdf\xd5\xce\xdd.\xdc\xf1\x00P\x06',4246
b'~.~\x13\xa5\xb3+\xfc\xe2\x05\x01\xbb\x06',4089
b'\r\xe1\x94\xb7\xc2>\x01`\xdf\x92\x01\xbb\x06',4081
b'\xcf\x88\xee\xa0\x17\x01\x01`\xa6\xcc\x01\xbb\x06',4053
b'\x800\xeeP <\x01`\xa6\xc7\x01\xbb\x06',3902
b'\x05\x06\x1b\xd0\xcb\xa4h\xef\x88\xf3\x1f\x90\x11',3767
b'\x82+!!\xa5s\x01`\x92\xe5\x01\xbb\x06',3642
b'ur=\xf2\xc1@+\xfc\xe2\x06\x00P\x06',3595
b'OZ\x0e\xae\xdc\xf1o\xcd\x19\xf0\x1f\x90\x11',3425
b'e\x86\xc2d\xfd\x84h\xef\x88\x96\x1f\x90\x11',3419
b'\r\x01W\xaa\xcdL\x03\xff\x02\x82\x01\xbb\x06',3407
b'I\x95\xba\xfb\xcc\xcco\xcd\xe4r\x1f\x90\x11',3292
b'\x80-\xe5dw\xd1\x01`\xa6\xec\x01\xbb\x06',3283
b'h8\xc7i\xe9Wh\xef\x88\xe3\x1f\x90\x11',3123
b'p\xe01\xdd\xd2P\x01`\xe64\x00P\x06',3033
b'\xd0\xfd=\x0e\xad\x92\xdd\xc3\xe7#\x00\x14\x06',2995
b'w\xfa\x1d\xcf\x86_\x01`\xa6\xd5\x01\xbb\x06',2991
b'd\xa2\x1d<\xdc\x14\x9d\x0e\x1d\xb2\x1fI\x06',2986
b'\x05\x11}\x9e\xc9\x94o\xcd\xe4\xa4\x1f\x90\x11',2985
b'\xdd\x01b\xdd\xdd\xcb\xdd.\xdc\xef\x00P\x06',2977
b'\x05?\xc10\xf6mo\xcd\xe4\xd7\x1f\x90\x11',2892
b'\x80\x11\xf0!|;\x01`\xa6\xcc\x01\xbb\x06',2891
b'\x91\xdc\xd6\x91\x00Pf\x03\xc7\xad\xd2&\x06',2859
b'l*\xf2{qe\x01`\xa7\x11\x01\xbb\x06',2741
b'\xb7\x96U\xe9\xe2v\x01\x90G\xbf\x01\xbb\x06',2725
"b""\xcf\x88\xf6'\xe8\xb4\x01`\xa7j\x01\xbb\x06""",2700
b'\x80\xaf\x0b\xbd\xd8\x84\x01\x92V\x1f\x01\xbb\x06',2698
b'\xca\xc4\x0c\x9b\xc3P\x01`\x95-\x01\xbb\x06',2683
b'<\xf2\xdc\xd0K`Cc\x0f\xe3\xea\xfb\x06',2644
b'\xb8e\xb7\x0cz6o\xcd\xe4\xedgg\x11',2617
"b'\x06\x88,\x96\xa3k+\xfc\xe2\x04\x01\xbb\x06'",2547
b'\xc9&\xf8\x83\xc6\x07o\xcd\xe4i\x1f\x90\x11',2540
b'@h\x07v\xc8\xa2A\xb7{\x0c\x01\xbb\x06',2531
b'\x90\xbcT\x17\xc3\xba\x01 \x8a\x0c\x01\xbb\x06',2508
b'\x0c$\x02\x95\xc3M+\xfc\xe2*\x00P\x06',2501
b'\x82\x19\x1e\xc0\x11\x9c+\xfc\xe1P\x00P\x06',2498
"b'\x82,X\xab\xd2\x96+\xfc\xe0\x06\x00P\x06'",2447
b'\xdd\x01b\xdd\xac\x03\xdd.\xdc\xef\x00P\x06',2410
b'\x86\x82d8k\xe1f\x00\xedP$\xcf\x11',2382
b'z\x0c\x8c)\xd4N+\xfc\xe0\x86\x00P\x06',2378
b'Ae\x8a}\xd8\xeaB\x82kS\xed(\x06',2360
b'\x99\xc1\x89\x07%\n\xd0\xe9\xff\x14\xcf\x10\x06',2340
b'\xc5\x16\x7f.\xcf`+\xfc\xe2\x1a\x00P\x06',2331
"b""'&\xec\xc2\xd0\xeao\xcd\xe4\x84\x1f\x90\x11""",2307
b'p\xe5\x17 \xe96+\xfc\xe2%\x00P\x06',2264
b'\x01l|\xab\x81\x8e\x01`\x96G\x00P\x06',2256
b'w\xed\x0f\x9cA^\x01`\xa7\xd6\x01\xbb\x06',2239
b'\xdc\x1bP\xe7\x00P++(\x1d|i\x06',2223
"b""\x82'0.\xe2i+\xfc\xe2%\x01\xbb\x06""",2218
b'\xb7\xe8L\xb1\xffg+\xfc\xe1\x1b\x00P\x06',2216
b'r\x01\xb8p\xd7\xfd+\xfc\xe0\x86\x00P\x06',2157
b'\xcf\x98\xe1s\xdb5\x01`\xa6\xa4\x01\xbb\x06',2156
b'\xd7\xba\xc9\xac~\x1bo\xcd\xe4nE\xd1\x11',2113
b'\xb7\x9ac\x0c\xc2\x7f+\xfc\xe1\x1b\x00P\x06',2086
b'l\x19\xe6\x88\xe4\xde\x01`\xa7\xec\x01\xbb\x06',2080
b'A\xad4b\xf8\xdf\xdd.\xdc\xec\x00P\x06',2077
b'\x82\x05\x1a\xea\xcbA+\xfc\xe2\x18\x00P\x06',2076
b'\xcf\x88\xd9s:\xf1\x01`\xa6\xcc\x01\xbb\x06',2042
b'p\x7f\xc4\xc1z\x19\x01`\xa6\xc7\x01\xbb\x06',2034
b'\xce\x96]\xca\xcf\t+\xfc\xe1\x1b\x00P\x06',1998
b'z\x08\xb1B\xd7C+\xfc\xe2\x11\x00P\x06',1968
b'\x80&F\xb4]\x80\x01`\xa7\t\x01\xbb\x06',1962
b'\xcc\xc0(X\x05\xa7+\xfc\xe2%\x00P\x06',1956
b'{\xecL\x9b\xd1\xc1+\xfc\xe0\x9b\x00P\x06',1946
b'\x7f\xd31+\xc6\x90+\xfc\xe0\x9b\x00P\x06',1941
b'\xb7\xd8\x8f\x91\xf0\\+\xfc\xe1\x1b\x00P\x06',1855
b'\x9d>\x05\x91\x01\xbbo\xcd\xe4\xe7\xc00\x06',1836
b'B\xfebQ\xc5\xbf\xc6O\xe9\x89\x00P\x06',1819
b'\x80\r\xff\x9cmJ\x01`\xa6\xc7\x01\xbb\x06',1815
"b'\xcc\xc0`""\xc0M+\xfc\xe2&\x00P\x06'",1812
b'\xcf\x9e/\xbe\xb4V\x01`\xa7\xda\x01\xbb\x06',1803
b'\xce\x92\xa0\x80\xd4\xe2+\xfc\xe1\x1b\x00P\x06',1788
b'\xb7\xa6\x11{\xe1\xc1+\xfc\xe0\x86\x00P\x06',1788
b'\x06\xaed\x1a\xf34\x01`\xdf\x85\x01\xbb\x06',1779
b'7}0\xfe\x00P\xdcs\x01\xa5\xe3b\x06',1751
b'\xa7\\\xf0\xc5\xf1\xa7\x01`\xdf\x92\x01\xbb\x06',1731
b'\x87n\xcd\x9dh\x86o\xcd\xe4\xae6\x90\x11',1723
b'\xcf\x81\xc8\xfa\xb2T\x01`\xa6\xd5\x01\xbb\x06',1716
b'\xb7\xbcBz\xfc\x02+\xfc\xe1P\x00P\x06',1716
b'~c\x9a\x99\xc4\xc4+\xfc\xe2&\x00P\x06',1704
b'\x82\x0cF\xff\xda\xbb+\xfc\xe0\x86\x00P\x06',1704
b'\xcf\x80C\xe1^\xe3\x01`\xa6\xf0\x01\xbb\x06',1698
b'\xb7\xd1I\x10\xc8J+\xfc\xe1{\x00P\x06',1691
b'\x84h\xb1\x11s\x08f\x00\xf0\xa99A\x11',1687
b'd\xdb\xb7\xd3\xcf\x0e++(\x81\x00P\x06',1664
b'\x827\xb8u\xec\x0c+\xfc\xe1j\x00P\x06',1631
b'\xb7\xd5\xa6\x07\xa8\x14+\xfc\xe2\x04\x00P\x06',1628
b'\xb7\xc8\r\xce\xf3e+\xfc\xe1\x1b\x00P\x06',1611
b'uY\x0f9\xe3B+\xfc\xe2\x10\x00P\x06',1610
b'\x84\xc7\xd3&.\xedo\xcd\xe4\xf7\xe5H\x11',1605
b'9\x08\xd0\xf1\x1a\xe1o\xcd\xe4\xc2V\x9d\x11',1567
b'z\tU\x0c\xfa.+\xfc\xe1P\x00P\x06',1557
b'\x7f\x8b\xef\xbd\xe5\xbe\x01`\xdf;\x01\xbb\x06',1548
b'u[YN\xc0\x1e\x01`\xf5\x85\x00P\x06',1546
b'\x82.\xc0\xc3\xd1\xf1+\xfc\xe0\x9b\x00P\x06',1523
