ID,Count
b'\xd2\x1d9\xfa\x00P\x0f\x13I\x9a\xf89\x06',16889
b'E.\x1c)\xa4\xb2\x89\xb6\x06\xba\xd2\xad\x06',11647
b'V+x\xe8\x00Po\xcd\xe4\xde\xccw\x06',10113
b'\xb7\xf6h\xd0\xc1\x8b+\xfc\xe1\x08\x00P\x06',8961
b'\x01l|\xff\x8f\r\x01l\xc5\xc8\x01\xbb\x06',8419
b'\x01l|\xec\xcc\x1b\x01l\xc5\xc8\x01\xbb\x06',5420
b'E\x0c\xd5\xf7\xd7(\xdd.\xdc\xec\x00P\x06',5197
b'E\x0c\xd5\xf5\xa4\x14\xdd.\xdc\xec\x00P\x06',5001
b'\x01l$\xce\x0e\xad\x01l\xc5\xc6\x01\xbb\x06',4442
b'\xdd\x01b\xdf\xd5\xce\xdd.\xdc\xf1\x00P\x06',4246
b'~.~\x13\xa5\xb3+\xfc\xe2\x05\x01\xbb\x06',4088
b'\r\xe1\x94\xb7\xc2>\x01`\xdf\x92\x01\xbb\x06',4081
b'\xcf\x88\xee\xa0\x17\x01\x01`\xa6\xcc\x01\xbb\x06',4060
b'\x800\xeeP <\x01`\xa6\xc7\x01\xbb\x06',3917
b'\x82+!!\xa5s\x01`\x92\xe5\x01\xbb\x06',3656
b'ur=\xf2\xc1@+\xfc\xe2\x06\x00P\x06',3568
b'OZ\x0e\xae\xdc\xf1o\xcd\x19\xf0\x1f\x90\x11',3425
b'e\x86\xc2d\xfd\x84h\xef\x88\x96\x1f\x90\x11',3419
b'\r\x01W\xaa\xcdL\x03\xff\x02\x82\x01\xbb\x06',3407
b'I\x95\xba\xfb\xcc\xcco\xcd\xe4r\x1f\x90\x11',3292
b'\x80-\xe5dw\xd1\x01`\xa6\xec\x01\xbb\x06',3287
b'h8\xc7i\xe9Wh\xef\x88\xe3\x1f\x90\x11',3123
b'p\xe01\xdd\xd2P\x01`\xe64\x00P\x06',3033
b'\xd0\xfd=\x0e\xad\x92\xdd\xc3\xe7#\x00\x14\x06',2998
b'w\xfa\x1d\xcf\x86_\x01`\xa6\xd5\x01\xbb\x06',2985
b'\x05\x11}\x9e\xc9\x94o\xcd\xe4\xa4\x1f\x90\x11',2985
b'\xdd\x01b\xdd\xdd\xcb\xdd.\xdc\xef\x00P\x06',2979
b'd\xa2\x1d<\xdc\x14\x9d\x0e\x1d\xb2\x1fI\x06',2931
b'\x05?\xc10\xf6mo\xcd\xe4\xd7\x1f\x90\x11',2892
b'\x80\x11\xf0!|;\x01`\xa6\xcc\x01\xbb\x06',2891
b'\x91\xdc\xd6\x91\x00Pf\x03\xc7\xad\xd2&\x06',2859
b'\xca\xc4\x0c\x9b\xc3P\x01`\x95-\x01\xbb\x06',2743
b'l*\xf2{qe\x01`\xa7\x11\x01\xbb\x06',2742
b'\xb7\x96U\xe9\xe2v\x01\x90G\xbf\x01\xbb\x06',2727
"b""\xcf\x88\xf6'\xe8\xb4\x01`\xa7j\x01\xbb\x06""",2705
b'\x80\xaf\x0b\xbd\xd8\x84\x01\x92V\x1f\x01\xbb\x06',2696
b'<\xf2\xdc\xd0K`Cc\x0f\xe3\xea\xfb\x06',2625
b'\xb8e\xb7\x0cz6o\xcd\xe4\xedgg\x11',2617
b'\xc9&\xf8\x83\xc6\x07o\xcd\xe4i\x1f\x90\x11',2540
b'@h\x07v\xc8\xa2A\xb7{\x0c\x01\xbb\x06',2531
b'\x90\xbcT\x17\xc3\xba\x01 \x8a\x0c\x01\xbb\x06',2508
"b'\x06\x88,\x96\xa3k+\xfc\xe2\x04\x01\xbb\x06'",2503
b'\x0c$\x02\x95\xc3M+\xfc\xe2*\x00P\x06',2501
b'\x82\x19\x1e\xc0\x11\x9c+\xfc\xe1P\x00P\x06',2500
"b'\x82,X\xab\xd2\x96+\xfc\xe0\x06\x00P\x06'",2436
b'\xdd\x01b\xdd\xac\x03\xdd.\xdc\xef\x00P\x06',2407
b'\x86\x82d8k\xe1f\x00\xedP$\xcf\x11',2381
b'Ae\x8a}\xd8\xeaB\x82kS\xed(\x06',2371
b'z\x0c\x8c)\xd4N+\xfc\xe0\x86\x00P\x06',2359
b'\x99\xc1\x89\x07%\n\xd0\xe9\xff\x14\xcf\x10\x06',2340
"b""'&\xec\xc2\xd0\xeao\xcd\xe4\x84\x1f\x90\x11""",2307
b'\xc5\x16\x7f.\xcf`+\xfc\xe2\x1a\x00P\x06',2285
b'p\xe5\x17 \xe96+\xfc\xe2%\x00P\x06',2250
b'w\xed\x0f\x9cA^\x01`\xa7\xd6\x01\xbb\x06',2241
"b""\x82'0.\xe2i+\xfc\xe2%\x01\xbb\x06""",2240
b'\xb7\xe8L\xb1\xffg+\xfc\xe1\x1b\x00P\x06',2195
b'\xdc\x1bP\xe7\x00P++(\x1d|i\x06',2180
b'r\x01\xb8p\xd7\xfd+\xfc\xe0\x86\x00P\x06',2160
b'\xd7\xba\xc9\xac~\x1bo\xcd\xe4nE\xd1\x11',2112
b'\xb7\x9ac\x0c\xc2\x7f+\xfc\xe1\x1b\x00P\x06',2086
b'A\xad4b\xf8\xdf\xdd.\xdc\xec\x00P\x06',2077
b'\x82\x05\x1a\xea\xcbA+\xfc\xe2\x18\x00P\x06',2076
b'\xcf\x88\xd9s:\xf1\x01`\xa6\xcc\x01\xbb\x06',2039
b'p\x7f\xc4\xc1z\x19\x01`\xa6\xc7\x01\xbb\x06',2034
b'\xce\x96]\xca\xcf\t+\xfc\xe1\x1b\x00P\x06',2000
b'\xcc\xc0(X\x05\xa7+\xfc\xe2%\x00P\x06',1956
b'{\xecL\x9b\xd1\xc1+\xfc\xe0\x9b\x00P\x06',1950
b'\xb7\xd8\x8f\x91\xf0\\+\xfc\xe1\x1b\x00P\x06',1847
b'B\xfebQ\xc5\xbf\xc6O\xe9\x89\x00P\x06',1842
b'\x80\r\xff\x9cmJ\x01`\xa6\xc7\x01\xbb\x06',1814
b'\x9d>\x05\x91\x01\xbbo\xcd\xe4\xe7\xc00\x06',1799
b'\xb7\xa6\x11{\xe1\xc1+\xfc\xe0\x86\x00P\x06',1789
b'\x87n\xcd\x9dh\x86o\xcd\xe4\xae6\x90\x11',1734
b'\xa7\\\xf0\xc5\xf1\xa7\x01`\xdf\x92\x01\xbb\x06',1724
b'\xb7\xbcBz\xfc\x02+\xfc\xe1P\x00P\x06',1716
b'~c\x9a\x99\xc4\xc4+\xfc\xe2&\x00P\x06',1704
b'\xcf\x81\xc8\xfa\xb2T\x01`\xa6\xd5\x01\xbb\x06',1703
b'h\xa7\xcfX\xde-h\xef\x88\xbb\xa0\xf8\x11',1701
b'\xb7\xd1I\x10\xc8J+\xfc\xe1{\x00P\x06',1699
b'\x84h\xb1\x11s\x08f\x00\xf0\xa99A\x11',1687
b'\xcf\x80C\xe1^\xe3\x01`\xa6\xf0\x01\xbb\x06',1682
b'\x82\x0cF\xff\xda\xbb+\xfc\xe0\x86\x00P\x06',1677
b'd\xdb\xb7\xd3\xcf\x0e++(\x81\x00P\x06',1648
b'\xb7\xd5\xa6\x07\xa8\x14+\xfc\xe2\x04\x00P\x06',1629
b'\xb7\xc8\r\xce\xf3e+\xfc\xe1\x1b\x00P\x06',1613
b'uY\x0f9\xe3B+\xfc\xe2\x10\x00P\x06',1610
b'\x84\xc7\xd3&.\xedo\xcd\xe4\xf7\xe5H\x11',1607
b'z\tU\x0c\xfa.+\xfc\xe1P\x00P\x06',1573
b'\x82.\xc0\xc3\xd1\xf1+\xfc\xe0\x9b\x00P\x06',1544
b'u}QR\xdc\xbc+\xfc\xe0\x9b\x00P\x06',1513
b'l\x15\x14|i\xde\x01`\xa7\xc7\x01\xbb\x06',1505
b'uT\x80\xd8M\xc6+\xfc\xe2\x11\x00P\x06',1469
b'\xb7\xdaIP\xca\x11+\xfc\xe2\x07\x00P\x06',1441
b'A\xad4b\xb9\xf5\xdd.\xdc\xf2\x00P\x06',1408
"b'\x82\x0b,\x9c\xc7~+\xfc\xe2+\x00P\x06'",1407
b'\xb7\xacu\x9e\xc0z+\xfc\xe2\x18\x00P\x06',1404
b'\xcb\x9c9I\xcc\xb4+\xfc\xe2\x05\x00P\x06',1389
b'+\x93\xff]\xab\xd1\xdd.\xdc\xc9\x00P\x06',1387
b'\x87;\x03\xfa\xcc\xc5o\xcd\xe4X\x04\xaa\x11',1370
b'w\xe2h9\n\x81\x01`\xa6\xc7\x01\xbb\x06',1335
b'\x92\x9ec\t\xeeB\x05\xfcZ\xd5\x00P\x06',1332
b'z\x0e%\xd8\xe8\xbc+\xfc\xe1P\x00P\x06',1324
b'E\x03)_\x07\x14+\x97\x18\xfa\x01\xbb\x06',1305
b'\xcf\x98\xd1/\xd4\x9e\x01`\xa7%\x01\xbb\x06',1301
b'\x8e\x88\x8bu\xc6^\x03\x89\x9bZ\x01\xbb\x06',1288
b'\xb7\xe4_\xb8\xc7\xe4+\xfc\xe2\x07\x00P\x06',1287
