Element,Count
3,34
6,22
11 6,19
6 3,16
1,14
1 6,9
1 3,9
11 6 3,9
11 3,7
55,5
11,4
294,4
1 6 3,3
2,3
11 4 6 3,3
323,3
6 2 3,3
4 3,3
55 3,3
4,3
4 6 3,2
1 294,2
6 3 574,2
3 7,2
11 4 6,2
11 3 64,2
11 6 55,2
648 6 3,2
7,2
6 893,2
269,2
11 6 91,2
77,2
11 6 3 7,2
246,2
69 11 880 2203 6 38 241 938 1037 423,1
1 361 3,1
6 136 2189 967,1
1 2098 1826 3,1
1429 322 1430 1431 1432 1434 1435 11 490 987 218 161 40 1143 6 2 215 1851 514 2190 525 1518 527 528 1519 530 2191 1748 2192 2193 3 628 2194 205 2195 568 77 148 446 573 2196 2145 316 678 2197,1
2198,1
11 6 555 540 2199 2200 2201 692 693 694 273 438 455,1
4 55 869,1
11 4 2091 6 2092 584 2093 644 64 886,1
490 3 448,1
11 2099 2100,1
11 27 6 49,1
3 2097,1
11 1 6 841 2094 3 492 493 2095 494 470 2096 498,1
2204 487 2205,1
2202,1
2151 2152 1063 2153 2154 11 490 1 218 6 2 1455 548 993 2155 2156 491 90 781 1858 537 2157 2158 2159 380 2048 1181 1147 2160 672 3 1612 422 148 1141 867 877,1
490 2150 6 1770 3 629,1
484 2186 1 6,1
11 6 45,1
3 2149,1
291,1
2148,1
69 1524 1214 1225 1236 1305 1351 1362 1373 1384 1395 1406 1417 1428 1429 322 1430 1431 1432 1433 1434 1435 1436 1437 1438 1439 2109 2110 2111 2112 2113 2114 2115 2116 11 987 1 218 314 6 2 2117 1616 215 253 2118 2119 2069 2120 2121 1807 2044 514 1034 882 773 2072 650 2122 2123 2124 2125 2126 2127 2128 2129 1035 2130 776 1132 2131 2132 521 522 248 2133 2134 242 2135 2136 783 261 262 2137 525 528 504 377 378 3 113 562 2138 2139 64 737 148 2140 2141 1141 2142 292 978 2143 787 2144 916 2145 245 471 2146 2147 316 1818,1
2161,1
11 6 2162 303 2163 2164 3 644,1
2165 1997 3,1
