Sketch,Memory,Precision,Execution,TopARE,TopAAE,Topk
8*512,122,0.307,2491.802,2.1704,34563.1606,710
8*2048,169,0.83,1913.161,0.4938,5339.3447,710
8*5500,277,0.956,1235.688,0.131,1299.4138,710
8*8900,384,0.982,1156.354,0.0653,644.0875,710
8*12300,490,0.983,1116.678,0.0396,396.2493,710
8*15700,596,0.993,1116.533,0.0269,269.1035,710
8*19100,702,0.994,1100.981,0.0204,198.8612,710
8*22500,809,0.992,1089.163,0.0158,155.4872,710
8*25900,915,0.993,1095.931,0.0126,125.6723,710
8*29300,1021,0.994,1092.878,0.0103,102.4788,710
