Element,Count
3,37443
6,31601
6 3,22529
11 6,14151
1,11156
11 6 3,10451
1 3,7410
11,6794
1 6,6546
4,5661
11 3,5095
55,4989
1 6 3,4902
4 3,4447
55 3,3793
4 6,3742
11 1 6,3703
6 55,3188
11 1 6 3,3084
4 6 3,3046
294,2992
2,2899
6 55 3,2778
490,2694
27,2614
218,2552
294 3,2520
2 3,2503
7,2492
6 294,2373
11 4 6,2335
64,2317
490 3,2260
73,2254
6 2,2224
91,2223
11 1,2223
3 7,2155
6 294 3,2106
138,2100
218 3,2100
11 4 6 3,2087
218 6,2077
11 6 55,2065
77,2053
4 1,2052
490 6,2025
27 3,2022
3 73,2014
6 2 3,2006
1 55,1990
316,1982
6 3 7,1968
6 7,1967
11 6 55 3,1934
27 6,1927
11 1 3,1925
3 64,1919
278,1906
148,1867
269,1851
11 4,1842
6 73,1838
3 316,1835
27 6 3,1829
91 3,1816
993,1815
218 6 3,1815
6 77,1794
4 1 3,1793
1 55 3,1789
145,1784
490 6 3,1782
152,1776
6 3 73,1771
138 3,1771
607 6 138 947 3 22539 7,1771
6 3 64,1769
4 1 6,1762
11 6 294 3,1756
446,1754
590,1751
6 64,1749
11 6 7,1748
6 138,1745
246,1739
6 91,1739
11 6 294,1736
11 490 6,1729
11 6 2,1715
11 218 6,1710
11 6 77,1709
3 77,1704
5,1704
648,1697
69 11 6,1690
11 6 2 3,1686
11 55,1677
11 27 6,1671
11 4 3,1669
3 446,1668
11 6 3 7,1667
1 6 55 3,1666
18,1664
11 27 6 3,1662
11 6 64,1661
6 446,1659
1751,1654
1801 31747 3,1647
11 6 138,1643
4 1 6 3,1642
1 6 55,1640
152 3,1639
11 6 3 77,1637
246 3,1634
145 3,1633
246 6,1631
6 316,1631
6 1751,1628
269 3,1626
6 91 3,1623
6 278,1622
69 11 6 3,1620
1779,1620
303,1617
27 1,1617
11 6 3 64,1615
1850 1770,1615
6 3 316,1612
6 3 77,1611
4 55,1611
1850,1610
11 6 215 3,1609
5 3,1606
6 993,1605
83,1605
246 6 3,1605
490 17313,1605
6154 15828 28912 3,1604
11 6 83,1602
11 6 73,1601
27 1 6,1600
6 138 3,1597
11 1 6 2,1595
590 3,1595
3329,1593
145 6,1589
11 532,1589
987,1588
11 6 3 316,1586
336 6 278,1586
3826,1584
11 2344 987 218 6 491 3 120 64 148,1584
11 490 6 3,1582
215,1577
3 148,1576
11 490,1576
6 3 446,1576
2309 3,1574
648 3,1571
11 1 657 40 6 1888 215 378 2195 568 77,1570
4 737,1570
6 148,1569
11 6 138 3,1569
490 1 3,1569
3 21096 9451 2825,1569
6 18,1568
9646,1568
1 2,1566
218 6 2 1065 254 363 1131 515 772 2072 2124 4742 5692 4743 3 64 2184,1566
6 737,1565
11 6 2 4685 13606 215 8196 6991,1565
1 294,1564
90,1564
1056,1564
215 3,1563
11 4 1059 6 683 686 687 235 3485 3607 1711 3370 938 3376 4966 3405 278 7 2817 1076 531 4104 667 1002 870 3660 1014,1561
1 294 3,1559
18 7905,1559
273,1557
11 55 3,1556
11 640 27 987 6 55 1065 9567 631 632 1556 3504 64 7 8337 1774 148,1556
3003 1 13088 3 73,1556
40,1555
1164 3,1555
1751 3,1553
4 294,1552
6 83,1550
3 278,1549
993 3,1548
8316,1548
11 218 6 148,1547
11 218 6 3,1547
11 6 83 3,1547
1596 3,1547
490 1,1547
504,1546
11 3356 7781 5569 218 6 1885 2 996 3 64 737 148,1546
1775,1546
6 215,1545
11 502 6 3,1545
7723,1544
1 6 91 3 3342,1543
801 3,1542
6 8243 3 496,1542
11 7794 270 27 1 6 5698 1921 3 1138 5893 9024 1503 1504 1505 5894 7352 7353 6259 3170 13775 1821 5516 5517 21570 5518 5519 2148 208 8413 662 136 7917,1542
39 6 3 8405,1541
314,1541
4 91,1540
11 6 316,1540
6 3 12043 30720,1540
4 3 73,1540
11 4 1 6 3,1540
3003 1 5271 3,1540
2247,1539
23546 3,1539
11 6 11232 3 965 644 64 12615 23 6071 4069 1672 2981 670,1539
14 3787 111 1660 852 137,1539
509,1538
5 6,1538
1 2 3,1538
11 6 3 73,1538
648 6,1534
3776 3922,1533
880,1530
6 321,1530
38008 2432,1530
1 3 7,1529
4 41212,1529
218 6 148,1528
1 73,1528
1779 38634 3,1528
1357 2,1527
11 27 6 2343 228 3 278 2849 1956 205 3288 3250 3208 2243 438,1527
40 6 3 73,1527
11 6 3 278,1526
4819,1526
11 1855 2081 2 4183 138 30732 3 77 467,1526
69 6,1526
485 6,1525
487 1 3,1525
506 11 6 344 228 2094 3 135 667 438 458 482 573 316,1523
3 2145,1523
40 3,1523
2 138 3,1522
69 1 6 55 3 18332 148,1522
1 91 3,1522
55 138,1522
11 2024 314 6 3 2067,1522
303 3,1522
6 1049 265,1521
11 2344 27 6 2 83 3 21718 7 51 1579 423 25552,1521
6 3 435,1521
6 77 136,1521
11 6 215,1521
11 146 3 136 472,1520
