Sketch,Top,Memory,Precision,Execution,TopARE,TopAAE
8*512,148,35,0.865,42.341,2.9791,1376.5547
8*2048,148,82,0.946,61.505,0.7308,312.1214
8*5500,148,190,0.973,58.589,0.2603,107.4653
8*8900,148,296,0.98,54.764,0.1543,63.7172
8*12300,148,402,0.98,43.894,0.1059,43.6414
8*15700,148,509,0.98,58.574,0.0813,33.4414
8*19100,148,615,0.98,53.956,0.0636,26.2897
8*22500,148,721,0.986,53.102,0.0527,21.5137
8*25900,148,827,0.986,56.447,0.0468,18.7192
8*29300,148,934,0.986,57.71,0.0382,15.637
8*32700,148,1040,0.98,51.412,0.033,13.7586
