Element,Count
3,36155
6,30248
6 3,21152
11 6,12786
1,9783
11 6 3,9104
1 3,6023
11,5390
1 6,5069
4,4313
11 3,3782
55,3578
1 6 3,3533
4 3,3016
55 3,2401
11 1 6,2399
4 6,2360
4 6 3,1776
6 55,1768
11 1 6 3,1761
294,1670
2,1615
6 55 3,1392
490,1243
27,1187
294 3,1178
2 3,1167
7,1123
218,1067
11 4 6,972
64,929
6 294,907
6 2,899
11 1,898
73,872
91,858
11 4 6 3,824
490 3,817
11 6 55,779
4 1,770
6 294 3,770
218 3,761
3 7,760
27 3,747
218 6,700
6 2 3,690
6 7,687
138,681
77,666
490 6,661
3 73,656
316,651
11 6 55 3,634
27 6,633
11 1 3,605
1 55,601
3 64,574
6 3 7,559
490 6 3,512
4 1 3,509
6 73,501
218 6 3,500
6 64,500
27 6 3,496
3 316,480
446,479
145,444
11 6 2,440
148,439
3 77,436
246,435
648,431
6 91,427
993,424
269,419
6 77,414
4 1 6,411
11 6 294,409
11 4,409
278,407
138 3,407
6 3 64,406
5,405
91 3,399
1 55 3,398
152,397
1751,396
6 3 73,393
6 138,390
590,386
11 6 7,381
11 6 77,380
18,364
11 6 2 3,358
1 6 55,350
11 6 294 3,341
6 316,340
6 3 77,331
11 55,330
6 138 3,325
11 6 138,319
11 218 6,316
11 6 3 7,315
3 446,312
11 4 3,307
4 1 6 3,300
1 2,291
11 490 6,291
6 3 316,287
11 6 3 77,285
269 3,284
215,282
11 27 6,279
11 490 6 3,274
303,273
3 278,272
1 294,267
69 11 6,264
11 6 64,263
11 55 3,263
4 55,258
6 446,255
69,254
11 218 6 3,253
3 148,251
145 3,248
6 91 3,247
1 6 55 3,246
993 3,243
11 27 6 3,240
246 6,239
6 278,236
273,234
490 1,232
246 3,230
11 6 3 64,229
6 148,228
1 7,228
83,226
1 294 3,225
6 3 446,223
648 3,223
145 6,221
11 6 73,221
152 3,220
18 3,220
504,220
215 3,219
6 1751,219
6 993,217
590 3,215
4 55 3,214
11 6 138 3,214
1751 3,213
11 218 6 148,211
5 3,210
303 3,209
6 18,208
5 6,208
11 4 1 6,207
648 6,203
11 6 316,200
1 218,200
6 215,200
11 6 3 73,198
737,197
1 2 3,197
27 1,197
269 6,195
136,195
6 152,190
69 11 6 3,187
69 6,185
6 3 148,179
11 2,178
6 590,174
11 6 737,174
1 138,174
3 737,172
4 294,172
11 6 215,171
1 64,171
1 73,170
269 6 3,170
69 3,169
11 6 91,168
6 3 278,166
4 6 55,165
1 3 7,165
1 6 294,164
6 303,163
17,162
1 218 3,162
987,160
6 504,160
504 3,158
11 1 6 55,156
1 91,156
246 6 3,156
40,155
11 6 83,155
1 6 2,155
11 294,154
6 737,154
635,152
509,152
490 1 3,151
11 4 1 6 3,150
11 6 3 316,150
11 6 446,148
11 490,148
6 215 3,147
69 6 3,147
3 136,146
273 3,146
3317,145
6 18 3,145
1164,144
1779,143
1 6 294 3,143
4 6 55 3,142
83 3,142
6 83,141
27 1 3,140
3589,140
6 83 3,140
4 2,139
54,138
1017,138
5 6 3,137
314,137
146,137
483,136
11 218 6 3 148,136
6 273,136
616,135
11 2 3,133
11 1 6 55 3,133
1 218 6,132
2186,132
40 6,131
1105,131
3347,130
2309,130
14,129
11 27,128
11 6 3 737,128
4315,128
1 6 7,128
11 7,128
82,127
4426,127
145 6 3,127
6 3 737,127
484,127
11 6 667,126
605,126
643,126
27 1 6,126
11 6 3 446,126
638,126
656,125
11 6 278,125
3620,125
4 490,125
621,125
295,124
11 6 148,124
288,124
1 6 2 3,124
217,123
269 11 6 3,123
40 3,123
622,123
2081,123
218 6 148,122
3764,122
1059,122
3001,122
640,122
1490,121
72,121
6 1751 3,121
11 6 215 3,121
1850,121
1599,120
275,120
607,120
801,120
1 77,120
1078,120
2895,119
1 3 73,119
922,119
490 1 6,119
2009,118
1177,118
617,118
1 6 138,118
1637,118
1777,118
11 294 3,118
3181,117
488,117
749,117
6 136,117
314 3,116
3090,116
1180,115
11 27 3,115
502,115
2985,115
1 6 64,115
2247,115
11 6 136,115
4035,115
4 294 3,115
4 7,114
799,114
485,114
3826,114
3315,113
4 2 3,113
1057,113
3003,113
6 303 3,113
1855,113
55 294,113
1 6 3 7,113
17 3,113
605 3,112
11 64,112
1 316,112
880,112
6 378,112
532,112
2 55,112
293,112
648 6 3,111
11 40 6,111
269 11 6,111
849,111
291,110
1 138 3,110
11 3 7,110
1 3 64,110
52,110
2324,109
11 648 6,109
1039,109
1056,109
6 993 3,109
640 3,108
11 6 273,108
1581,108
323,107
487,107
11 6 91 3,107
2247 3,106
3347 3,106
3589 3,106
928,106
749 3,106
622 3,106
40 6 3,105
246 11 6,105
11 218,105
11 5 6,104
6 152 3,104
6 504 3,104
3620 3,104
11 490 3,104
928 3,103
6 273 3,103
612,102
987 6,102
1 218 6 3,102
52 3,102
6 590 3,102
4426 3,101
2344 3,101
70,101
612 3,101
490 1 6 3,101
1065,101
1164 3,101
2081 3,101
11 1 6 2,100
11 6 303,100
11 6 378,100
11 6 662 136,100
799 3,100
1039 3,100
145 11 6,100
635 3,100
90,100
1777 3,100
801 3,99
1 278,99
2309 3,99
11 6 438,99
251,99
532 3,99
378,98
3317 3,98
3181 3,98
1 648,97
535,97
1 3 316,97
11 6 590,97
11 1 6 7,97
502 3,97
1180 3,97
11 6 916,97
6 3 136,97
880 3,97
3356,97
485 3,97
11 6 1751,97
1596,97
11 218 3,96
1017 3,96
2186 3,96
621 3,96
987 3,96
1 446,96
535 3,96
3315 3,96
205,96
218 6 3 148,96
2344,96
1078 3,95
1850 3,95
670,95
638 3,95
1 6 77,95
145 1,95
667,95
55 294 3,94
11 6 993,94
72 3,94
1 6 73,94
11 3 73,94
1059 3,93
2895 3,93
11 6 3 278,93
1 91 3,93
11 73,93
217 3,93
11 40 6 3,93
4 6 294 3,93
275 3,92
288 3,92
484 3,92
1 18,92
4 218,92
1177 6,92
323 3,92
11 6 83 3,91
3090 3,91
314 6,91
607 3,91
11 314 6,91
4 27,91
4035 3,91
11 6 378 3,91
4 218 3,91
4 64,90
1 6 91,90
2324 3,90
483 3,90
3 14,90
1596 3,90
1 993,90
246 1,90
11 6 3 667,90
11 6 3 438,90
11 1 6 138,90
656 3,89
2 55 3,89
4 6 2,89
3764 3,89
17 6,88
3826 3,88
11 77,88
1 590,88
1105 3,87
6 667,87
1637 3,87
295 3,87
1599 3,87
487 3,87
438,86
4 6 294,86
922 3,86
11 1 6 294 3,86
11 6 135,86
