Element,Count
122,85841
8,79116
49,68705
124,55860
516,54007
51,47371
171,46185
22,45907
121,45517
150,45234
308,44676
146,43478
878,42345
60,41691
158,41207
149,39396
6,38766
379,38726
1,38401
84,37063
514,36664
81,35618
524,35438
469,34868
511,33831
520,32634
294,32407
422,32271
842,32066
472,32042
140,31768
506,31146
590,30875
20,30796
275,30639
459,30548
444,30474
476,30415
53,30294
845,29742
406,29724
123,29676
1051,29543
519,29279
76,28878
401,28862
905,28628
448,28483
208,28315
461,27974
591,27783
142,27731
88,27648
48,27555
510,27443
116,27434
536,27430
9,27310
561,27262
370,27241
72,27149
560,27110
1368,27016
355,26901
603,26661
202,26656
509,26606
54,26279
185,26249
790,26201
407,25976
376,25892
380,25765
13133,25732
361,25513
1236,25481
1793,25301
998,25298
21,25289
225,25277
332,25273
485,25264
179,25240
954,25064
157,25063
14,24910
493,24905
313,24837
873,24816
138,24632
863,24553
338,24331
42,24289
1241,24262
402,24227
470,24028
1206,24017
2077,23897
857,23888
471,23867
419,23738
398,23731
503,23698
1440,23674
585842,23661
589140,23656
280,23531
381,23524
58406,23494
1977,23424
330,23251
198,23223
439,23152
238,23150
220,23052
504,22942
1114,22902
339,22897
228,22863
147,22857
646,22802
1181,22786
417,22785
7383,22744
824,22723
293263,22715
191,22702
475,22668
552873,22570
207,22566
584852,22559
1228,22547
40,22519
90,22517
98499,22505
386,22452
1112,22425
21213,22385
319,22349
1024,22313
257702,22308
287,22214
295,22102
259,22094
1285,22085
521,22049
1801,22007
679,22003
369,21952
1835,21888
353732,21875
5025,21857
31,21847
684,21812
518,21798
112,21782
31372,21679
2201,21631
508979,21628
331,21603
1458,21562
2188,21550
246,21435
43,21304
569889,21268
367825,21250
19243,21220
2380,21217
3643,21212
455,21208
1029,21202
584641,21172
468,21146
535888,21116
6690,21104
1205,21102
44206,21080
290467,21065
490,21046
582219,21042
2294,21033
80899,21031
216,21016
563,21008
85,20935
560763,20919
590271,20901
495,20900
161433,20894
16564,20876
1312,20854
584338,20847
559602,20810
860,20807
340,20767
906,20708
1281,20680
2389,20632
3987,20605
595,20582
1616,20564
938,20514
508,20510
805,20495
562989,20487
494,20482
393,20470
1539,20452
523,20445
11345,20421
497341,20419
221,20414
11826,20400
41,20364
1158,20359
637,20343
557327,20333
2905,20330
183015,20307
20182,20272
552477,20271
582556,20266
109462,20264
884,20203
38,20203
553862,20198
241,20197
3715,20179
659,20177
579,20173
588,20144
66,20123
414,20091
168,20087
711,20085
1432,20068
673,20062
424,20032
1345,20019
575694,20014
37638,19990
2633,19971
1629,19958
513,19903
558098,19883
523774,19875
255,19855
588336,19849
259449,19844
303,19843
28156,19843
570770,19815
565265,19809
95126,19805
562981,19801
431,19775
