Element,Count
122,72566
8,69412
49,59564
124,46518
516,46420
51,39946
171,39607
150,39495
121,38745
158,35214
146,34246
149,34237
878,33926
60,33467
308,33143
22,30650
379,30413
514,29544
1,29213
84,29122
524,28685
81,27675
511,24670
476,24293
1051,23729
905,23639
6,23498
140,23215
590,22908
469,22648
406,22415
9,22381
88,21933
76,21837
519,21719
444,21380
422,21130
506,20854
603,20838
72,20733
20,20648
472,20412
123,19907
561,19834
53,19695
863,19317
448,19059
147,19052
220,19025
142,18998
116,18865
48,18849
376,18807
471,18744
275,18712
338,18696
185,18655
459,18414
509,18406
380,18159
294,18116
520,18092
873,17764
646,17723
845,17681
401,17577
14,17573
361,17534
857,17484
157,17284
998,17260
402,17246
355,17043
468,16949
485,16779
313,16764
475,16753
330,16722
407,16706
536,16687
842,16684
138,16668
591,16667
112,16564
179,16556
54,16130
31,15890
1793,15812
238,15810
461,15783
21,15650
1236,15601
370,15526
340,15388
684,15147
208,14950
805,14932
228,14904
521,14673
417,14625
419,14493
90,14413
40,14404
369,14306
510,14276
679,14206
455,14124
503,14093
1181,14001
595,13998
1345,13980
563,13964
319,13960
386,13886
1029,13881
287,13820
860,13794
764,13749
1158,13662
1024,13631
198,13529
312,13422
596,13418
414,13417
339,13369
1241,13327
66,13293
493,13195
439,13173
588,13136
1206,13096
331,13062
884,13054
225,13051
954,13044
389,12987
202,12965
398,12868
621,12833
504,12683
165,12660
168,12654
431,12645
586,12578
1112,12495
934,12460
213,12430
659,12377
906,12238
470,12166
1098,12150
381,12130
1242,12063
1977,12062
2188,12051
306,11981
1077,11980
1285,11967
1440,11914
30,11809
154,11803
560,11789
377,11741
938,11716
325,11696
332,11659
280,11634
295,11623
55,11622
490,11614
1682,11588
18,11549
42,11437
992,11360
86,11306
187,11302
1088,11273
335,11264
673,11223
1114,11177
1523,11177
85,11137
1228,11080
430,11048
498,10993
2558,10993
824,10970
512,10910
879,10907
523,10888
1432,10856
1576,10804
191,10775
543,10721
1172,10687
1539,10654
1056,10628
790,10612
980,10603
838,10602
517,10593
1801,10580
2633,10559
453,10464
359,10460
1312,10435
513,10408
13,10367
400,10291
528,10270
870,10266
1003,10262
412,10213
803,10204
354,10170
746,10071
1054,10058
495,10057
216,9988
1827,9970
794,9947
858,9941
1095,9897
393,9889
440,9882
255,9851
702,9844
174,9835
92,9818
486,9813
1368,9804
38,9802
241,9796
58,9788
1324,9765
346,9755
1835,9714
177,9711
530,9708
1244,9694
259,9687
1648,9654
2470,9611
378,9606
426,9531
1136,9520
362,9488
2154,9447
1149,9436
881,9324
692,9321
258,9290
44,9273
1659,9267
598,9259
206,9255
2179,9234
4913,9234
345,9231
1156,9229
747,9223
983,9201
221,9167
1281,9162
718,9154
1195,9120
1005,9110
217,9086
435,9070
447,9066
1034,9023
109,9004
581,8993
816,8976
917,8945
10,8939
1823,8922
1699,8909
818,8846
1208,8838
791,8791
1170,8758
2257,8697
1144,8696
274,8624
392,8575
425,8542
2380,8520
580,8508
629,8499
152,8477
236,8409
24,8399
250,8398
1226,8356
1111,8320
119,8317
1045,8300
126,8292
316,8256
2905,8250
1629,8241
1032,8190
302,8165
2226,8118
387,8108
413,8077
473,8051
264,8038
979,8018
2294,7982
697,7980
207,7968
395,7967
600,7966
1721,7947
1020,7942
452,7925
73,7910
1169,7906
2634,7896
1992,7877
357,7867
107,7828
2355,7827
467,7819
478,7811
1205,7803
890,7802
1458,7786
181,7783
987,7760
2076,7759
902,7755
3056,7734
465,7730
2163,7727
1059,7720
726,7701
589,7692
1055,7667
738,7652
102,7650
247,7638
1476,7620
1049,7612
1640,7612
853,7577
709,7560
930,7540
737,7529
2150,7500
1786,7496
648,7494
97,7480
460,7456
814,7450
698,7441
732,7436
272,7422
2439,7410
2975,7409
188,7370
244,7366
164,7358
1299,7353
1270,7331
2402,7327
5576,7299
701,7294
2307,7291
2375,7288
1951,7286
1700,7283
2077,7279
303,7273
576,7253
329,7245
640,7232
391,7187
2264,7187
631,7158
1248,7139
231,7137
529,7127
1566,7112
2389,7110
518,7096
1012,7073
579,7059
2675,7038
1423,7020
1200,7014
993,7008
1828,6995
2904,6967
394,6938
1676,6938
937,6927
1625,6905
1668,6901
1006,6890
1304,6880
525,6857
434,6852
195,6821
571,6816
2140,6815
1347,6813
829,6807
2318,6783
1762,6782
307,6757
117,6722
940,6713
290,6681
1349,6671
175,6639
970,6620
484,6564
716,6544
499,6508
1139,6507
583,6499
2235,6482
515,6473
1417,6473
625,6447
740,6444
915,6442
320,6423
1153,6419
1075,6389
1174,6386
282,6381
775,6374
375,6358
1131,6358
1360,6340
2136,6335
2024,6324
706,6323
190,6311
215,6300
494,6293
1278,6286
1654,6279
167,6274
260,6269
189,6259
372,6248
1722,6238
2829,6236
1157,6225
1590,6219
1203,6189
705,6165
1191,6156
237,6126
1619,6100
2271,6095
2937,6081
243,6061
182,6042
1229,6039
711,6034
418,6029
1215,6024
2302,6022
1243,6021
252,6020
538,6018
1121,6015
559,6010
624,6008
2305,5998
788,5988
932,5986
2427,5976
896,5964
2,5962
281,5960
328,5952
2851,5952
575,5951
133,5945
1102,5939
385,5934
912,5923
19,5920
2837,5911
507,5905
886,5894
1182,5883
1605,5869
1627,5856
368,5843
2089,5840
1616,5839
1821,5836
669,5819
582,5817
479,5812
424,5812
286,5797
1738,5782
2661,5782
310,5771
1308,5766
1979,5754
848,5738
374,5733
2058,5731
928,5711
3025,5710
1996,5695
304,5675
449,5655
3338,5650
2104,5638
437,5633
83,5627
1598,5619
1797,5609
1135,5592
2901,5580
291,5578
1710,5574
1210,5572
549,5571
1064,5571
730,5558
759,5546
199,5532
446,5525
774,5513
792,5499
219,5495
2231,5495
749,5481
1117,5470
