Element,Count
122,72775
8,69569
49,60007
516,46849
124,46688
51,40246
171,39913
150,39739
121,39118
158,35619
149,34759
146,34745
878,34260
60,33679
308,33412
22,31027
379,30642
514,29719
1,29587
84,29474
524,28932
81,28268
511,25190
476,24778
6,24105
1051,24024
905,23863
140,23628
590,23279
406,22921
9,22856
469,22830
76,22413
88,22240
519,21858
444,21524
422,21422
72,21249
506,21201
20,21102
603,21047
472,20664
123,20262
561,20069
53,19951
147,19559
863,19550
448,19529
220,19495
275,19440
142,19361
376,19200
185,19150
48,19096
116,19090
471,19024
338,18936
509,18846
459,18680
380,18630
520,18584
845,18448
401,18414
294,18360
873,18094
646,18042
361,17832
14,17813
468,17727
857,17721
402,17598
157,17563
998,17543
355,17284
330,17238
842,17123
485,17103
475,17024
138,17002
313,16985
407,16976
179,16961
591,16905
536,16870
112,16764
54,16426
238,16321
1793,16290
31,16190
461,16125
21,15958
370,15863
1236,15823
684,15653
340,15584
228,15581
805,15279
208,15106
417,15067
521,15063
510,14753
40,14720
369,14700
419,14669
503,14648
90,14623
386,14558
595,14527
679,14488
1345,14436
455,14363
1181,14335
287,14248
319,14232
563,14218
1029,14172
860,14129
1158,13989
764,13953
1024,13943
198,13942
66,13863
493,13832
312,13817
225,13748
414,13713
439,13672
389,13636
596,13615
1241,13566
884,13508
339,13499
331,13489
588,13487
954,13361
1206,13322
202,13312
1440,13167
165,13122
398,13080
168,13006
621,13001
586,12943
504,12848
1112,12810
431,12809
659,12717
934,12667
213,12606
906,12432
470,12420
1977,12388
1098,12329
381,12327
1285,12320
1077,12319
1242,12286
306,12272
2188,12241
280,12160
325,12157
377,12147
560,12088
30,12076
490,12025
332,11971
55,11925
295,11922
154,11880
879,11864
938,11856
1682,11831
187,11827
18,11808
85,11780
42,11773
1228,11764
1088,11732
992,11684
86,11580
440,11566
1114,11532
2558,11525
335,11480
430,11469
1523,11442
512,11400
673,11379
824,11348
1539,11250
1576,11220
498,11210
523,11204
1432,11164
543,11121
1056,11030
790,11024
980,11000
1172,10984
517,10959
1801,10948
838,10929
2633,10923
191,10918
513,10893
453,10842
495,10812
400,10750
13,10715
1312,10711
528,10672
359,10659
870,10605
803,10591
858,10566
354,10556
92,10530
174,10524
412,10484
746,10473
1003,10412
1054,10391
702,10372
1095,10346
1827,10322
216,10267
1324,10263
58,10260
794,10225
346,10218
486,10181
1368,10149
393,10148
38,10130
1648,10115
241,10099
2470,10076
259,10066
255,10030
1244,10014
362,10008
1835,10008
530,9973
177,9910
109,9875
598,9872
1136,9846
983,9837
378,9753
426,9753
2154,9753
1149,9745
1195,9732
1281,9662
345,9655
1034,9649
581,9644
44,9638
2179,9623
747,9601
258,9586
4913,9578
1659,9546
692,9519
881,9502
1156,9489
206,9476
435,9451
1823,9403
718,9398
917,9365
447,9351
1005,9348
221,9342
818,9320
217,9316
10,9281
816,9196
1170,9115
1699,9108
629,9057
791,9055
2257,9047
274,9045
1208,9041
1032,9035
2380,8975
580,8969
1144,8964
392,8960
316,8952
236,8835
250,8728
152,8695
119,8687
1111,8665
1226,8665
425,8664
24,8662
902,8605
126,8565
2294,8538
1169,8531
1629,8492
452,8472
73,8468
1045,8453
1205,8439
2905,8437
395,8435
2226,8427
473,8414
1992,8392
3056,8385
413,8369
1640,8366
302,8355
357,8346
1299,8326
387,8319
264,8302
987,8296
1020,8247
600,8245
697,8240
107,8238
467,8196
979,8180
1721,8180
890,8180
2634,8179
207,8146
1059,8127
460,8124
930,8083
2076,8080
478,8050
2163,8050
465,8038
698,8009
247,7993
738,7989
1786,7985
181,7978
1458,7955
272,7944
1476,7940
1055,7926
2355,7925
726,7922
2439,7920
102,7916
589,7895
732,7860
1049,7853
5576,7827
814,7826
709,7805
853,7800
1700,7793
737,7786
2975,7726
97,7715
2402,7707
2375,7694
188,7675
244,7674
648,7667
529,7666
329,7657
2150,7600
231,7586
2264,7581
164,7578
701,7556
391,7546
1951,7545
303,7527
434,7515
576,7512
1270,7511
640,7496
2307,7485
1828,7449
2389,7446
1566,7428
2077,7416
631,7398
2675,7391
2904,7381
518,7364
2140,7339
1248,7335
1012,7329
993,7310
525,7308
579,7300
1423,7296
1676,7277
1304,7235
1625,7214
937,7205
1200,7190
775,7184
394,7170
1668,7170
307,7163
1762,7161
940,7137
1006,7128
1347,7124
829,7077
282,7049
2318,7038
190,7035
117,7013
290,7010
195,7005
571,6982
499,6961
484,6927
175,6921
970,6886
1360,6826
583,6815
1349,6801
1417,6785
1722,6766
915,6758
215,6753
1174,6747
716,6737
372,6708
2024,6707
625,6706
2235,6699
515,6696
740,6692
1153,6689
1654,6684
2302,6681
1139,6676
320,6659
1131,6653
1278,6650
167,6641
1157,6631
1075,6609
260,6602
2136,6598
706,6596
2829,6593
328,6591
375,6586
494,6553
2937,6547
189,6528
624,6496
1590,6495
1203,6480
1605,6455
912,6435
249,6434
237,6423
243,6410
705,6410
281,6400
2305,6391
1821,6384
1191,6375
1229,6365
1215,6362
2271,6355
1598,6342
886,6325
252,6320
559,6296
1121,6291
788,6284
385,6279
479,6275
932,6270
711,6268
1102,6268
1243,6265
2427,6260
538,6255
582,6255
2837,6255
566,6249
2851,6249
418,6245
182,6244
1619,6237
199,6236
1182,6222
575,6217
896,6193
368,6166
437,6163
1627,6114
1996,6108
2089,6106
19,6101
2661,6097
1308,6090
2,6088
286,6077
1616,6074
507,6073
1710,6066
2058,6059
3025,6045
1738,6045
828,6041
133,6035
2663,6025
424,6010
1797,6005
304,5981
2127,5960
669,5957
2901,5956
1135,5947
1979,5938
848,5929
411,5924
310,5915
2104,5906
928,5903
1765,5879
2452,5878
374,5874
549,5871
449,5866
291,5860
1210,5858
2219,5857
759,5845
1240,5841
755,5838
3338,5837
792,5832
2231,5800
1064,5797
1117,5791
2220,5771
446,5758
2608,5752
83,5746
749,5735
1204,5734
3127,5723
219,5720
442,5715
1046,5712
1622,5696
2836,5696
774,5695
914,5693
2609,5691
1103,5687
565,5683
4065,5682
1286,5679
2846,5673
508,5672
730,5667
2640,5666
211,5649
2533,5623
4,5609
2519,5606
2932,5595
2428,5594
1807,5582
2944,5580
1031,5578
283,5564
667,5562
474,5556
1130,5553
2074,5551
1053,5542
271,5541
574,5540
1402,5538
172,5535
2080,5534
3764,5530
3489,5529
299,5524
1233,5517
317,5515
233,5514
3045,5513
1166,5502
1061,5501
1342,5498
1837,5491
148,5486
931,5485
134,5484
2122,5481
1269,5474
2037,5473
43,5467
47,5464
480,5461
3187,5453
2554,5444
5006,5442
855,5442
1670,5438
1970,5434
2821,5434
1247,5426
1344,5425
741,5419
2807,5419
1919,5416
3879,5415
1193,5408
396,5408
5300,5399
2178,5396
1693,5394
2429,5390
1292,5383
500,5370
1082,5370
2159,5362
50,5361
2490,5359
318,5332
2506,5324
1335,5307
2773,5300
2251,5297
178,5290
972,5284
856,5278
432,5272
1927,5268
1173,5266
342,5265
315,5263
1004,5263
2687,5255
1019,5251
