Sketch,Top,Memory,Precision,Execution,TopARE,TopAAE
79*64,800,159,0.886,273.862,0.0257,205.7456
79*64,1500,263,0.977,237.08,0.013,103.8588
79*64,1900,302,0.989,223.435,0.0126,99.3219
79*64,2000,311,0.996,232.837,0.0109,86.3465
79*64,2500,359,0.997,221.429,0.0097,77.5311
79*64,3000,480,0.986,208.567,0.0067,54.5986
79*64,3500,528,0.993,224.359,0.0061,49.905
79*64,4000,577,0.994,201.322,0.0062,50.2309
79*64,4500,625,0.997,199.705,0.0056,45.1992
79*64,5000,674,0.996,201.664,0.004,32.6209
,,,,,,
79*64,710,151,0.828,301.007,0.034,277.9575
158*128,710,231,0.876,274.818,0.02,181.2476
237*192,710,352,0.907,351.539,0.0189,166.736
316*256,710,511,0.907,286.68,0.0181,159.396
395*320,710,710,0.907,291.366,0.0163,151.7795
474*384,710,949,0.906,311.27,0.017,158.7294
553*448,710,1227,0.923,285.486,0.0162,146.9985
632*512,710,1544,0.924,267.802,0.0154,143.3887
,,,,,,
79*64,710,151,0.828,301.007,0.034,277.9575
158*64,710,192,0.861,268.044,0.021,184.7643
237*64,710,233,0.88,260.702,0.0182,153.9936
316*64,710,274,0.893,285.901,0.0172,149.3249
350*64,710,291,0.899,275.767,0.016,143.4498
395*64,710,314,0.91,274.767,0.0159,140.7554
474*64,710,356,0.915,282.379,0.0152,135.0662
553*64,710,397,0.914,310.234,0.0151,134.2126
632*64,710,438,0.913,300.468,0.0148,131.0077
750*64,710,499,0.927,258.154,0.0146,125.1109
830*64,710,540,0.92,266.327,0.0148,128.6172
950*64,710,601,0.921,258.488,0.013,118.0092
1106*64,710,682,0.923,260.527,0.0137,124.4534
1145*64,710,703,0.928,271.009,0.013,115.0986
1150*64,710,705,0.938,258.282,0.0116,108.1577
1340*64,710,803,0.932,305.094,0.012,101.6148
1350*64,710,808,0.931,257.987,0.0127,115.0166
1540*64,710,906,0.934,295.441,0.0105,95.997
1550*64,710,911,0.948,286.229,0.0102,91.5736
1660*64,710,969,0.935,271.417,0.0113,99.8464
1735*64,710,1007,0.951,271.325,0.0087,80.44
1750*64,710,1014,0.952,287.513,0.0109,104.145
2212*64,710,1251,0.949,267.073,0.0104,92.0326
