Element,Count
b'\xd2\x1d9\xfa',168915
b'\xc6X\xda\x88',122439
b'\xb7\xf6h\xd0',105996
b'E.\x1c)',103233
"b'c\x9e,\xb5'",93999
b'V+x\xe8',85945
b'\x01l|\xff',82711
b'\x01l$\xce',79922
b'\xd8\x1eL\xf0',78808
b'\x01l$\x98',67854
"b'\xc6X\xdd,'",66989
b'\x01l|\xec',61468
"b'c\x9e,b'",60445
b'\x90\xbcT\x17',55614
"b'c\x9e,{'",55335
b'E\x0c\xd5\xf5',51713
"b'c\x9e,z'",49336
b'\x05\x06\x1b\xd0',46012
b'\xc9W\xf7#',43340
b'e\x86\xc2d',42020
b'c\x9e.\xa7',39439
b'\x1d\xb9\x7f\xd3',38914
b'+?\x82\xd6',38235
b'E\x0c\xd5\xf7',38011
b'c\x9e.\xb5',37752
b'c\x9e.\xb4',37513
b'\x8e\xa1\x17L',35469
b'c\x9e.\xa6',35327
b'I\x95\xba\xfb',34607
b'\x91\xdc\xd6\x91',34260
b'\xd0\xfd=\x0e',32996
b'p\xe01\xdd',32892
b'\x05?\xc10',32471
b'E\x0c\xd5\xed',31971
b'OZ\x0e\xae',31367
b'\xc7\xe8~#',31029
b'\x9b\xbc<\xeb',30956
b'\x86\x82d8',30316
b'\x8e\xa1\x17M',29996
b'\xdc\x1bP\xe1',29732
b'\r\x01W\xaa',29313
b'<\xf2\xdc\xd0',29149
b'\xdd\x01b\xdf',28762
b'\xb8e\xb7\x0c',28662
b'B\xf2A\x84',28508
b'uT\x80\xd8',28490
b'\xc9&\xf8\x83',28279
b'\xdd\x01b\xdd',28193
b'p\x97\xa1\xa9',27999
b'\x05\x11}\x9e',27762
b'\x0c$\x02\x95',27676
b'c\x0f\xb2\xd4',27671
