Element,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1167
294 3,1161
2 3,1152
7,1100
218,1055
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
73,849
91,838
11 4 6 3,809
490 3,799
11 6 55,761
4 1,754
6 294 3,743
218 3,742
3 7,734
27 3,730
218 6,680
6 2 3,673
6 7,667
138,666
77,648
490 6,642
3 73,641
316,628
11 6 55 3,618
27 6,615
11 1 3,588
1 55,581
3 64,556
6 3 7,538
490 6 3,488
218 6 3,487
4 1 3,486
6 64,480
6 73,477
27 6 3,472
3 316,462
446,461
148,427
145,425
11 6 2,422
246,416
3 77,411
648,408
6 91,408
993,406
269,399
4 1 6,395
6 77,393
278,390
138 3,390
11 6 294,389
11 4,388
6 3 64,386
5,385
152,383
1 55 3,381
1751,380
91 3,375
6 3 73,372
6 138,370
590,367
11 6 7,359
11 6 77,359
18,345
11 6 2 3,343
1 6 55,332
11 6 294 3,326
6 316,318
6 3 77,311
11 55,309
6 138 3,304
11 6 3 7,297
11 218 6,297
11 6 138,296
11 4 3,289
3 446,288
4 1 6 3,280
11 490 6,272
11 6 3 77,268
1 2,267
269 3,265
6 3 316,263
215,259
3 278,259
11 490 6 3,257
11 27 6,255
303,251
1 294,249
11 6 64,247
11 55 3,246
69 11 6,242
4 55,237
3 148,235
6 446,235
69,234
11 218 6 3,233
6 91 3,227
1 6 55 3,226
145 3,226
993 3,223
246 6,218
6 278,216
490 1,214
273,214
11 27 6 3,213
11 6 3 64,211
246 3,210
6 148,208
648 3,208
1 294 3,206
83,206
215 3,205
1 7,205
504,203
145 6,199
1751 3,198
152 3,198
18 3,197
6 3 446,197
5 3,196
6 1751,196
590 3,195
4 55 3,195
11 6 73,194
11 6 138 3,193
6 993,192
11 218 6 148,191
303 3,190
5 6,187
648 6,185
6 18,185
11 4 1 6,182
11 6 316,179
1 2 3,178
269 6,177
737,176
6 215,176
136,175
27 1,175
11 6 3 73,174
1 218,174
6 152,170
69 6,169
69 11 6 3,166
6 3 148,159
11 2,157
6 590,156
1 138,153
11 6 737,151
1 73,150
3 737,150
11 6 215,149
4 294,149
69 3,149
6 3 278,148
269 6 3,148
1 64,146
11 6 91,145
1 6 294,145
11 1 6 55,143
4 6 55,143
1 3 7,143
987,142
17,142
504 3,141
6 303,140
1 6 2,140
1 218 3,139
1 91,139
11 6 83,138
246 6 3,138
11 294,137
11 4 1 6 3,135
6 504,135
40,135
11 6 3 316,133
6 215 3,131
509,130
6 737,129
635,128
11 6 446,128
11 490,128
69 6 3,128
273 3,127
490 1 3,127
4 6 55 3,124
3317,124
1164,123
1779,123
3 136,122
1 6 294 3,122
314,120
6 83 3,120
27 1 3,120
11 218 6 3 148,119
83 3,118
6 18 3,118
6 83,117
54,117
4 2,117
483,116
1017,116
6 273,116
5 6 3,115
1 218 6,115
146,115
40 6,114
11 27,111
4426,111
2186,111
11 1 6 55 3,111
11 2 3,110
1105,110
1 6 7,109
6 3 737,109
145 6 3,109
3589,109
11 7,108
643,108
14,107
295,107
11 6 3 737,107
616,107
3620,106
1 77,106
2309,106
269 11 6 3,105
621,105
82,105
656,105
11 6 667,105
4315,105
3347,105
27 1 6,105
638,105
11 6 278,104
217,104
3001,104
605,104
801,103
617,103
1599,103
11 6 148,103
72,103
275,103
40 3,103
1850,103
622,103
484,103
6 1751 3,102
11 6 3 446,102
2009,102
1 6 138,102
288,102
4 490,102
2081,102
640,102
607,101
1490,101
749,101
2895,100
11 6 215 3,100
11 294 3,100
1 6 2 3,100
1180,99
1059,99
3764,99
6 136,99
3315,98
4 2 3,98
1 3 73,98
3003,97
485,97
4035,97
4 294 3,97
11 6 136,97
218 6 148,97
1078,97
490 1 6,96
2985,96
488,96
3090,96
880,95
1 6 64,95
922,95
314 3,95
1177,95
11 27 3,95
4 7,94
55 294,94
799,94
11 40 6,94
6 378,94
1 6 3 7,94
3826,94
291,93
2247,93
1057,93
1 316,93
849,93
1777,93
293,92
502,92
11 3 7,92
269 11 6,92
1637,92
1855,92
648 6 3,91
2324,91
11 64,91
6 303 3,91
17 3,91
3181,90
323,89
6 152 3,89
532,89
2 55,89
640 3,88
1581,88
1056,87
1039,87
3589 3,87
11 490 3,86
11 6 273,86
52,86
2247 3,85
612 3,85
487,85
11 6 91 3,85
1 3 64,85
605 3,85
246 11 6,85
6 993 3,85
801 3,84
4426 3,84
11 648 6,84
11 5 6,84
1 138 3,84
928 3,83
251,83
490 1 6 3,83
11 218,83
1065,82
11 6 438,82
612,82
40 6 3,81
11 6 303,81
1039 3,81
928,81
6 504 3,81
217 3,81
635 3,81
11 6 378,80
3347 3,80
145 11 6,80
1 218 6 3,80
52 3,80
987 6,80
1164 3,80
749 3,80
880 3,79
1 278,79
1 6 77,79
70,79
6 273 3,79
6 590 3,79
1596,79
1078 3,78
2344,78
1 6 91,78
535,78
2344 3,78
1180 3,78
11 6 378 3,78
799 3,78
90,78
622 3,78
3356,78
1017 3,77
11 218 3,77
288 3,77
11 6 590,77
621 3,77
483 3,77
3315 3,77
3620 3,77
145 1,77
1777 3,77
11 1 6 2,76
2 55 3,76
3317 3,76
532 3,76
11 6 1751,76
3181 3,76
1 6 73,76
378,75
535 3,75
3764 3,75
502 3,75
4 218,75
6 3 136,75
4 27,75
4035 3,75
11 6 662 136,75
2895 3,75
2186 3,74
72 3,74
1 3 316,74
275 3,74
638 3,74
1 91 3,74
205,74
2309 3,74
11 1 6 7,73
987 3,73
11 73,73
11 6 83 3,73
11 3 73,73
2081 3,73
485 3,73
656 3,72
1 648,72
670,72
314 6,72
11 6 993,72
667,72
1 18,72
135,71
55 294 3,71
11 6 3 278,71
3 14,71
218 6 3 148,71
11 6 3 438,70
17 6,70
3090 3,70
11 1 6 138,70
849 6,70
11 6 3 667,70
3826 3,70
1 993,70
11 314 6,69
2324 3,69
4 6 2,69
1177 6,69
1 446,69
11 6 916,69
1855 3,69
1059 3,69
484 3,69
11 40 6 3,69
4 64,68
1850 3,68
607 3,68
11 77,68
323 3,68
4 6 294 3,68
251 3,67
509 3,67
1596 3,67
218 55,67
3003 3,66
54 3,66
4 490 3,66
11 1 6 294 3,66
11 91,66
488 3,66
295 3,66
5 1,65
1 590,65
849 3,65
1 3 77,65
1 6 138 3,65
1581 3,65
2344 6,65
2985 3,65
3001 3,65
1056 3,65
246 1,65
438,64
1057 3,64
490 55,64
6 14,64
1637 3,64
293 3,64
11 6 3 148,64
616 3,64
11 6 18,64
1105 3,64
27 55,64
4 218 3,64
1599 3,64
4 6 294,63
11 6 18 3,63
6 667,63
11 6 135,63
490 55 3,63
922 3,63
11 4 1,63
1105 6,62
4 3 73,62
643 3,62
291 3,62
3356 3,62
27 1 6 3,62
269 1,62
2009 3,62
4 3 7,62
4 73,62
487 3,62
2895 6,61
749 6,61
146 3,61
4 27 3,61
1 1751,61
4 6 7,61
638 6,61
11 316,61
11 1 55,61
1779 3,60
55 73,60
11 1 6 77,60
622 6,60
82 3,60
1 152,60
987 6 3,60
11 6 3 136,60
11 6 303 3,60
11 6 3 135,60
1 148,60
70 3,59
11 1 6 2 3,59
584,59
3 667,59
3 205,59
11 1 218 6,58
314 6 3,58
4035 6,58
640 6,58
11 6 3 662 136,58
1177 3,58
55 7,58
2081 6,58
275 6,58
11 6 152,58
801 6,58
11 6 504,57
922 6,57
11 1 6 3 7,57
246 11 6 3,57
1 3 446,57
4 3 64,57
1779 6,57
3090 6,56
11 5 6 3,56
6 3 14,56
617 6,56
617 3,56
799 6,56
378 3,56
11 4 1 3,56
11 6 993 3,56
1490 3,56
3826 6,55
532 6,55
612 6,55
217 6,55
87,54
1777 6,54
11 3 316,54
2009 6,54
4315 3,54
643 6,54
509 6,54
11 3 77,54
6 2 55,53
52 6,53
3620 6,53
11 1 6 294,53
1 6 3 64,53
1059 6,53
1164 6,53
677,53
11 1 6 64,53
499,53
3003 6,53
3317 6,52
11 6 590 3,52
535 6,52
1596 6,52
644,52
55 64,52
11 6 90,52
1489,52
1581 6,52
11 6 152 3,52
11 3 64,51
1144,51
502 6,51
3181 6 3,51
218 55 3,51
621 6,51
3589 6,51
295 6,51
2324 6,51
1596 6 3,51
3 86,51
488 6,51
1 6 3 73,51
