,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,44,54,39,39,41,38,37,58,39,51,39,44,44,29,25,44,38,41,31,39,38,46,21,57,49,37,54,35,45,29,18,37,50,42,37,37,42,39,38,42,35,34,39,20,49,39,46,31,60,43,34,39,41,43,43,53,34,43,48,47,53,36,39,35,51,42,35,35,36,43,39,38,45,52,51,44,46,41,45,33,45,37,36,48,55,44,42,36,39,39,39,49,46,42,38,50,36,47,42,53,46,43,44,36,45,55,39,21,30,33,50,46,41,35,50,46,58,34,26,46,26,40,36,49,33,46,27,27,31,39,36,43,49,31,52,41,54,39,33,43,25,38,39,33,41,55,37,44,41,56,54,31,26,45,47,61,28,42,37,33,41,48,47,39,34,45,29,41,45,44,49,49,36,37,44,43,29,36,29,23,30,34,44,44,41,40,28,44,38,53,43,33,41,36,55,30,43,26,34,43,28,35,44,49,37,39,51,34,31,45,39,51,40,49,41,35,34,43,53,41,29,37,35,45,41,41,42,52,39,31,52,42,35,32,44,38,40,47,19,36,36,49,42,46,45,32,35,36,34,37,49,37,36,35,49,45
1,34,37,39,34,46,44,41,45,38,37,39,43,55,24,34,34,45,49,41,41,39,34,47,41,47,35,25,46,37,33,38,57,48,58,43,33,35,44,48,43,41,39,44,53,48,38,38,41,27,39,29,36,49,44,45,29,46,39,37,42,42,22,42,12,32,57,51,51,23,17,39,26,42,50,33,42,58,35,49,35,46,39,42,45,57,49,35,45,50,44,44,36,36,45,40,47,39,35,40,21,40,44,46,39,54,39,44,52,37,54,37,47,43,38,47,33,52,40,41,40,51,53,37,39,40,55,37,44,42,39,45,36,37,37,35,33,51,59,32,54,48,53,47,25,48,31,42,51,49,44,59,38,48,55,46,42,36,42,53,21,33,48,34,40,40,49,29,52,51,30,37,40,43,55,44,28,44,37,35,37,32,41,52,43,31,39,36,33,40,38,44,48,36,41,41,48,49,44,59,40,23,49,59,46,39,53,31,57,49,33,30,29,47,25,49,47,47,43,46,30,54,44,32,28,40,29,53,33,46,44,35,49,42,35,41,47,36,59,47,31,42,34,56,45,44,41,38,38,56,37,27,40,44,49,31,43
2,31,37,47,45,55,42,25,42,39,32,39,43,40,46,32,60,43,35,27,50,42,40,45,40,32,39,36,33,38,25,34,27,25,19,41,34,41,34,56,38,37,22,36,23,40,33,39,17,33,62,38,49,31,52,47,50,39,41,17,35,18,59,34,53,55,38,32,40,42,39,46,37,44,43,43,43,57,49,47,34,51,43,28,27,45,58,52,43,41,29,44,44,49,46,39,50,44,35,32,41,31,43,47,39,36,38,61,27,40,50,48,47,34,35,42,60,54,33,35,47,35,33,44,51,34,32,29,35,34,33,45,33,44,43,38,31,50,30,37,40,42,51,43,20,51,40,45,39,28,34,18,30,33,44,33,44,52,40,44,43,40,39,44,39,25,35,32,63,38,31,33,44,44,39,53,33,43,33,47,40,48,41,42,51,38,41,47,53,38,29,40,42,49,41,32,38,46,36,39,31,41,40,17,48,47,30,39,41,43,43,45,41,49,37,43,46,37,45,49,51,39,53,22,57,36,41,48,38,46,48,51,48,27,49,59,42,30,48,26,33,43,32,56,36,58,44,32,49,35,36,49,45,47,33,36,32
3,40,57,30,45,53,32,20,46,31,31,56,41,19,40,41,61,42,46,39,34,43,29,17,43,31,38,22,35,52,50,40,53,43,38,26,34,40,56,41,41,39,52,39,58,30,28,39,50,40,45,45,37,38,46,35,32,41,52,49,34,40,42,31,35,48,52,44,36,49,35,52,56,43,37,40,58,32,47,58,50,39,36,48,28,59,33,31,24,30,38,37,51,49,41,39,51,39,29,44,38,43,35,47,41,54,44,30,37,41,32,45,30,40,44,34,30,41,43,46,42,56,40,32,34,28,38,37,41,53,32,31,49,55,35,40,37,48,31,40,41,33,39,39,39,27,43,35,39,40,47,18,42,48,51,39,29,35,55,46,29,18,34,47,32,29,38,31,36,31,17,54,40,53,45,45,44,44,41,53,53,37,37,55,43,22,28,34,41,33,39,56,40,36,39,51,39,37,48,28,36,33,31,34,54,50,54,31,39,47,46,62,39,25,39,26,35,34,41,38,36,30,30,34,48,43,36,42,39,53,35,41,57,51,35,26,38,27,53,39,49,57,35,22,16,27,44,39,45,53,24,27,41,47,49,47,41
4,31,34,36,48,35,38,35,44,40,40,42,46,31,39,42,57,35,40,43,31,27,44,50,29,36,29,41,38,43,43,36,48,35,44,45,35,51,51,46,35,52,42,40,46,20,43,25,33,39,35,42,53,41,33,53,36,27,33,42,49,55,34,33,39,44,47,29,29,37,42,30,39,33,29,32,18,34,32,32,39,25,37,33,42,48,30,37,45,53,49,44,55,40,35,32,36,47,42,29,44,35,49,30,37,53,33,39,41,36,48,29,51,34,51,51,39,40,43,45,39,44,34,45,44,43,47,44,36,34,56,40,41,42,41,55,35,44,32,46,33,57,40,36,29,32,41,41,34,50,57,36,41,46,30,42,40,40,46,53,37,34,28,46,40,28,32,29,43,31,38,51,57,39,29,25,36,37,45,44,18,37,28,38,45,42,32,35,33,38,27,30,35,23,26,50,46,40,24,42,55,16,52,32,44,49,26,45,49,39,38,44,30,53,38,47,42,48,44,33,23,46,28,43,47,57,40,26,43,26,38,29,32,29,42,41,26,40,41,42,27,27,33,56,40,53,32,34,39,44,50,38,47,35,27,41,36
5,45,35,51,32,39,46,50,27,43,28,50,39,30,41,35,33,42,38,49,34,30,37,29,54,43,33,32,38,42,58,43,37,33,20,51,48,37,45,41,54,44,47,49,46,37,39,20,43,58,50,33,51,45,40,47,54,59,40,40,35,44,42,47,39,46,46,52,41,41,50,41,38,50,26,51,51,51,46,46,54,32,37,45,44,42,19,59,39,48,54,34,35,48,26,62,41,58,38,37,52,56,38,44,62,39,32,48,59,36,39,26,56,50,37,47,46,52,33,47,20,42,52,36,56,43,23,38,57,44,41,48,44,33,49,28,48,58,42,37,24,45,39,28,51,45,43,33,33,44,38,53,50,44,53,34,49,44,50,43,32,50,42,37,32,46,30,37,57,47,29,50,46,43,33,52,35,38,52,29,40,35,41,41,54,42,62,43,52,33,45,54,35,39,29,54,38,43,50,46,26,50,33,45,50,34,35,42,44,25,53,39,38,49,41,37,44,41,43,51,46,41,29,55,38,41,50,42,41,49,21,53,36,46,36,60,41,43,48,41,55,54,38,33,32,33,35,39,37,31,40,30,53,45,50,30,30
6,47,37,18,37,43,24,32,36,48,44,34,46,43,49,36,53,43,33,56,52,46,47,33,23,40,53,37,43,53,33,40,38,43,36,38,44,58,51,41,42,55,29,30,44,33,49,44,49,43,44,40,35,45,36,37,55,28,48,35,25,36,41,36,24,40,34,62,41,34,33,45,41,35,29,39,41,46,44,46,43,29,27,56,35,41,45,59,46,53,46,37,37,60,48,42,30,38,45,34,26,29,59,50,46,43,51,45,54,50,28,35,27,49,46,40,37,39,35,50,24,34,26,50,40,16,38,46,60,48,45,42,38,51,38,35,20,37,49,33,42,44,32,48,32,35,37,35,40,54,38,26,55,31,49,38,58,34,39,40,38,53,34,53,40,37,54,37,36,29,47,32,40,34,38,53,36,35,48,36,53,55,46,30,31,47,56,45,37,48,42,39,43,44,32,29,39,45,39,43,28,39,32,40,36,38,47,49,30,33,49,35,37,49,38,45,40,50,51,31,40,32,29,40,38,48,34,32,38,36,35,28,44,44,45,52,43,32,45,41,33,56,35,45,29,44,35,47,36,34,48,28,37,42,38,48,26
7,34,42,51,53,36,49,41,37,34,39,52,22,47,48,42,41,50,40,27,48,59,34,35,56,57,50,38,34,42,32,30,43,21,40,39,33,22,45,43,41,39,55,35,39,31,44,49,49,60,46,44,36,38,38,57,56,49,33,42,52,41,39,38,40,40,33,45,47,45,49,39,53,52,48,59,50,55,38,35,47,45,38,62,29,34,23,41,41,39,33,49,56,43,34,31,47,36,34,48,39,35,21,49,34,41,32,29,36,45,42,47,59,42,26,34,46,53,42,50,32,51,40,43,26,43,63,42,37,40,53,45,44,30,45,31,50,40,25,36,46,42,41,32,41,56,44,33,51,30,39,59,43,49,55,41,31,36,61,38,41,38,47,47,56,35,36,36,42,28,27,37,31,53,39,45,39,56,26,38,39,40,54,43,43,36,17,38,31,41,40,38,41,41,38,45,39,47,37,36,30,22,36,49,48,40,56,31,39,40,60,54,34,29,49,41,39,46,33,54,28,35,54,46,39,45,54,48,33,39,45,41,32,47,44,46,43,34,44,56,36,38,58,47,30,55,40,48,37,18,44,38,43,30,54,33,59
8,61,43,35,38,26,52,41,30,35,44,34,43,49,47,52,36,47,49,51,29,31,49,34,35,46,41,47,43,38,42,39,42,44,47,28,43,37,39,37,46,44,36,47,28,56,29,49,30,33,56,35,40,31,36,46,37,35,51,53,56,36,25,37,29,36,42,30,39,45,47,47,39,57,36,44,41,39,59,45,30,34,11,28,49,57,38,31,39,36,54,33,35,36,53,44,43,32,39,25,24,45,33,33,26,45,37,58,30,60,53,38,25,40,32,43,38,55,55,42,35,46,31,34,51,37,50,38,47,39,30,41,47,29,41,35,54,40,46,24,47,41,31,40,43,31,38,32,38,47,48,47,35,42,33,43,35,52,41,37,40,41,31,44,51,45,37,38,34,43,45,29,39,37,44,43,35,29,36,31,52,31,62,44,33,55,51,46,35,36,42,47,38,42,51,44,31,48,47,40,42,44,36,45,36,37,48,47,46,47,53,47,34,36,38,45,36,54,52,42,28,28,46,41,41,45,23,38,47,47,42,30,46,27,47,46,41,40,23,48,32,37,39,44,47,35,41,40,53,29,60,41,54,44,45,49,32
9,41,55,51,50,45,32,44,44,29,49,40,31,40,47,43,43,45,30,43,27,57,42,47,32,38,46,50,23,22,28,33,38,45,30,34,38,44,54,46,50,30,34,36,26,39,45,41,39,41,34,35,34,55,31,34,39,46,36,24,47,39,45,55,37,40,45,36,41,36,58,45,49,34,42,43,27,30,33,55,53,55,53,58,34,43,50,31,44,40,43,45,30,48,43,41,34,42,45,51,54,40,35,50,34,43,38,56,41,35,46,41,51,40,39,32,53,37,47,41,19,47,42,42,53,26,52,27,49,47,37,37,46,48,50,33,43,32,43,35,45,32,44,35,32,40,35,41,45,41,46,35,41,48,53,30,31,49,58,31,47,43,36,38,41,51,60,44,38,29,36,40,24,55,52,42,43,44,48,33,54,52,59,19,37,35,41,45,47,41,34,36,49,51,31,30,63,44,41,31,38,45,29,46,43,31,49,29,31,45,33,48,41,31,60,34,33,40,34,37,31,47,41,43,43,39,42,35,39,40,40,38,42,28,35,37,41,36,61,39,39,30,26,33,40,36,40,36,45,50,46,36,39,50,37,47,43
