Sketch,Top,Memory,Precision,Execution,TopARE,TopAAE
79*64,148,62,0.858,10.884,0.055,13.0551
79*64,256,75,0.932,15.991,0.0077,2.4928
79*64,512,106,0.966,16.823,0.0044,1.3636
79*64,1000,179,0.953,18.135,0.0038,1.227
79*64,1500,273,0.98,19.192,0.0021,0.6069
79*64,2000,334,0.973,22.127,0.0019,0.5556
79*64,2500,379,0.973,25.187,0.0014,0.4306
79*64,3000,514,0.98,23.505,0.0016,0.4897
79*64,3500,578,0.966,27.736,0.0007,0.2168
79*64,4000,648,0.98,30.323,0.0003,0.0897
79*64,4500,699,0.986,32.012,0.0005,0.1438
79*64,5000,771,0.986,32.277,0.0003,0.0685
