Element,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2339
4 6 3,1756
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1166
294 3,1160
2 3,1152
7,1100
218,1053
11 4 6,954
64,907
6 294,890
6 2,881
11 1,878
73,848
91,838
11 4 6 3,809
490 3,798
11 6 55,759
4 1,754
6 294 3,742
218 3,741
3 7,734
27 3,730
218 6,677
6 2 3,673
6 7,667
138,664
77,648
3 73,641
490 6,640
316,628
11 6 55 3,618
27 6,615
11 1 3,587
1 55,582
3 64,554
6 3 7,537
490 6 3,489
218 6 3,487
4 1 3,485
6 64,479
6 73,478
27 6 3,472
3 316,462
446,459
148,428
145,424
11 6 2,420
246,416
3 77,412
6 91,410
648,408
993,402
269,399
4 1 6,394
278,390
11 6 294,389
138 3,388
11 4,387
5,386
6 3 64,385
152,380
1751,379
1 55 3,379
6 77,378
91 3,376
6 3 73,373
590,371
6 138,369
11 6 7,359
11 6 77,359
18,344
11 6 2 3,343
1 6 55,332
6 316,319
6 3 77,311
11 55,311
6 138 3,304
11 218 6,300
11 6 3 7,297
11 6 138,295
11 4 3,290
3 446,289
4 1 6 3,281
1 2,269
11 6 3 77,267
269 3,263
3 278,259
11 490 6 3,258
11 27 6,256
6 3 316,256
303,250
1 294,249
11 6 64,247
11 55 3,247
11 490 6,246
69 11 6,240
4 55,237
6 446,237
3 148,235
11 218 6 3,233
6 91 3,227
1 6 55 3,226
145 3,221
246 6,216
6 278,216
490 1,214
1 7,213
6 148,213
11 6 3 64,212
648 3,209
993 3,208
246 3,207
83,206
215 3,204
1 294 3,204
4 55 3,204
6 1751,203
152 3,199
11 4 6 3 1504 662 136,199
