Element,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2339
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1167
294 3,1160
2 3,1152
7,1100
218,1054
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
73,848
91,838
11 4 6 3,809
490 3,797
11 6 55,761
4 1,754
6 294 3,742
218 3,742
3 7,734
27 3,730
218 6,679
6 2 3,673
138,666
6 7,666
77,648
3 73,641
490 6,641
316,628
11 6 55 3,619
27 6,613
11 1 3,587
1 55,579
3 64,556
6 3 7,537
490 6 3,489
218 6 3,487
4 1 3,486
6 64,479
6 73,478
27 6 3,472
3 316,462
446,461
148,427
145,424
11 6 2,422
246,416
3 77,411
648,407
6 91,407
993,405
269,399
4 1 6,395
6 77,393
278,390
138 3,389
11 6 294,388
6 3 64,387
11 4,387
5,384
152,383
1 55 3,380
1751,376
91 3,375
6 3 73,372
6 138,370
590,368
11 6 7,359
11 6 77,358
3 1834 22777 2889,350
18,345
11 6 2 3,344
1 6 55,332
11 6 294 3,326
6 316,316
6 3 77,311
11 55,309
6 138 3,306
11 6 3 7,297
11 218 6,297
11 6 138,294
3 446,289
11 4 3,289
4 1 6 3,280
11 490 6,273
1 2,269
11 6 3 77,267
269 3,266
6 3 316,260
215,259
3 278,259
11 490 6 3,259
11 27 6,254
303,251
1 294,249
11 6 64,247
11 55 3,246
69 11 6,242
4 55,237
3 148,235
6 446,235
69,234
11 218 6 3,231
1 6 55 3,226
6 91 3,225
145 3,223
993 3,220
246 6,217
6 278,215
490 1,214
11 27 6 3,214
273,213
11 6 3 64,210
246 3,208
6 148,207
648 3,207
1 7,206
83,204
1 294 3,204
504,202
215 3,201
145 6,199
1751 3,198
6 3 446,197
11 6 73,197
152 3,197
4 55 3,196
18 3,195
5 3,194
590 3,193
11 6 138 3,192
11 218 6 148,191
6 993,191
303 3,190
5 6,189
6 1751,189
648 6,185
11 4 1 6,183
6 18,183
1 218,180
1 2 3,179
6 215,178
11 6 316,177
737,176
27 1,176
269 6,175
11 6 3 73,174
136,172
69 6,170
6 152,168
69 11 6 3,166
6 3 148,160
11 2,156
6 590,155
1 138,153
11 6 737,152
3 737,150
69 3,150
269 6 3,150
6 3 278,148
1 73,148
4 294,147
11 6 215,146
11 6 91,145
1 6 294,145
4 6 55,143
1 64,143
987,142
504 3,141
6 303,140
1 91,140
17,140
1 6 2,140
11 1 6 55,140
11 294,137
11 6 83,137
246 6 3,137
11 4 1 6 3,135
6 504,134
6 215 3,133
40,133
11 6 3 316,130
6 737,130
27 1 3,129
11 490,129
509,129
69 6 3,129
635,128
490 1 3,128
11 6 446,128
273 3,127
4 6 55 3,125
1779,124
1 6 294 3,124
3 136,121
11 218 6 3 148,120
1164,120
314,119
4 2,119
1 3 7,119
3317,118
6 18 3,118
6 83,117
54,117
483,116
1017,116
3589,116
6 83 3,116
1 218 3,116
1 218 6,115
146,115
5 6 3,114
11 1 6 55 3,114
6 273,114
40 6,113
145 6 3,112
11 27,111
2186,111
1 6 7,110
11 2 3,110
6 3 737,109
11 7,108
14,107
295,107
3347,107
3620,107
1105,107
622,106
4315,105
27 1 6,105
11 6 3 737,105
11 6 667,105
1850,105
83 3,105
617,104
6 1751 3,104
605,104
11 6 3 446,104
4 490,104
1599,103
11 6 148,103
2009,103
288,103
11 6 215 3,103
640,103
801,102
6 136,102
217,102
749,102
656,102
269 11 6 3,102
11 294 3,102
643,102
4426,102
11 6 278,101
1078,101
40 3,101
2309,101
2895,100
3764,100
275,100
1 3 73,100
3001,100
638,100
1180,99
607,99
1059,99
82,99
314 3,99
3315,98
4 2 3,98
1 6 64,97
922,97
4 294 3,97
218 6 148,97
1 6 138,97
17 3,97
3003,96
799,96
2985,96
485,96
11 6 136,96
55 294,96
11 27 3,95
1057,94
6 303 3,94
11 40 6,94
4 7,94
293,94
490 1 6,94
502,94
1177,94
1777,94
4035,94
1 6 3 7,94
616,94
291,93
1 316,93
880,93
3090,93
621,93
6 378,92
1637,92
1490,92
72,92
648 6 3,91
2324,91
2247,91
532,90
269 11 6,90
849,90
323,89
11 64,89
1855,89
11 3 7,89
1 138 3,88
2 55,88
1056,87
11 6 273,87
640 3,87
1039,87
635 3,87
11 5 6,87
3589 3,87
11 218,87
6 993 3,86
488,86
2247 3,85
605 3,85
1 3 64,85
801 3,84
490 1 6 3,84
612 3,84
928 3,84
52,84
11 6 91 3,84
246 11 6,84
4426 3,83
612,83
1039 3,83
6 504 3,83
928,82
40 6 3,81
11 6 438,81
11 6 303,81
11 6 378,81
251,81
6 273 3,81
1065,81
90,81
52 3,81
622 3,81
217 3,81
799 3,80
3347 3,80
1180 3,80
6 590 3,80
2344,80
11 490 3,80
3826,80
70,79
11 1 6 2,79
11 648 6,79
3315 3,79
11 6 378 3,79
145 11 6,79
11 27 6 22993 83 7 205 673 87 6541 8007 8781 88 2864 5365 1980,79
1078 3,78
2344 3,78
1164 3,78
1 218 6 3,78
1596,78
288 3,77
535,77
6 3 136,77
378,77
880 3,77
11 6 1751,77
667,77
485 3,77
2081,77
145 55 3 7 3422 6756 4868,77
1017 3,76
2 55 3,76
502 3,76
4 218,76
2081 3,76
3620 3,76
749 3,76
11 6 590,76
11 6 83 3,76
4035 3,76
621 3,76
6 4360 91,76
1 3 316,75
3356,75
11 1 6 138,75
532 3,75
4 6 294 3,75
1777 3,75
382,75
11 6 3 278,74
535 3,74
11 6 662 136,74
3181 3,74
2309 3,74
11 218 3,74
295 3,74
11 1 6 7,73
72 3,73
987 3,73
323 3,73
4 27,73
11 314 6,73
1 6 73,73
656 3,72
1 648,72
1855 3,72
670,72
135,72
11 73,72
218 6 3 148,72
1059 3,71
275 3,71
145 1,71
11 1 6 294 3,71
11745,71
11 1 6 446 3416,71
3826 3,70
11 40 6 3,70
638 3,70
1 6 2 215 55 7 71 77 3237 18441,70
11272,70
1850 3,69
2324 3,69
55 294 3,69
922 3,69
314 6,69
246 1,69
1 993,69
27 55,69
1057 3,69
1059 1,69
4 3 6287,69
1078 27 1,69
251 3,68
3003 3,68
1 3 77,68
4 218 3,68
4 6 294,68
1 6 2 3,68
70 6 3,68
6 31,68
145 27 1 6 4194 1770 4207 83 7 8698 29 32 2443 6608 17561 9050 1934 37 1952 6515 6090,68
1 590,67
4 6 2,67
4 73,67
484 3,67
11 6 3 148,67
488 3,67
4 490 3,67
11 1 55,67
4 3 7,67
11 1 6 64,67
5287 9908 269 11 6 6589 78 11881 361 1687 3992 8180 135,67
11 6 18,66
146 3,66
1105 3,66
11 6 3 662 136,66
2324 6 3,66
3680 3508,66
246 621 6 3,66
6 14,65
1637 3,65
1581 3,65
1 6 77,65
3003 6 6659,65
1 278 5652,65
11 6 364 650 2122 2125 2126 2127 2128 2129 2130 3 77 19356,65
11 2061,65
929 14914 138 23631 662 136 4217 23632 446 452,65
11 27 6 3 7 205 8113 1971 1868 1869,65
69 11 1 6 18173 1034 1518 4558,65
643 3,64
4 3 73,64
11 490 1 6,64
11 3 6248,64
1 77,64
2001 11 218 6 155 512 4731 90 521 142 1811 829 2993 240 864 241 5626 4369 114 131 2416 64 5487 5975 1037 4802 563 136 438 458 465 11110 2333 2018 1566 3825 2318 564 6347 1011 793,64
6 677 3154 316,64
6 5126 5223 1832 3375 3235 2093 64,64
4 1 55 3,64
11 6 3 136,63
6 667,63
1105 6,63
55 73,63
849 3,63
246 11 6 3,63
2985 3,63
3001 3,63
1056 3,63
1177 6,63
499,63
11 6 303 3,63
801 6,63
146 6,63
1057 6,63
11 6 1146 2402 6607 3 14070,63
6 1906 5976 847 670 316,63
11 2895 6 3,63
749 6,62
11 6 152 3,62
27 1 6 3,62
1 6 138 3,62
487 3,62
82 3,62
490 55 3,62
2009 3,62
11 3315 6 3 64,62
6 3 4413,62
1 6 83 3 87 316,62
2344 6 3,62
11 6 1899 64 573 316,62
11 1 6 2 89 10337 1018 2099 4863 4818 215 253 970 1025 3 2173 1021 2876 4311 11738 2453 831 2298 64 5425 11434 205 8171 77 3339 885 531 4584 290,62
6 3 278 1774 3209,62
6 55 3 7105,62
2895 6,61
11 1 6 77,61
622 6,61
3356 3,61
11 6 504,61
4 27 3,61
3315 6,61
11 218 6 215 3,61
3 438,61
3156 502 1174,61
3764 6,61
1180 6,61
