,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,27,26,15,18,19,11,17,26,14,18,28,19,20,16,24,29,29,34,20,17,11,32,23,23,29,15,14,22,18,23,17,14,19,19,23,16,16,19,18,18,15,34,20,19,11,27,13,19,11,20,18,26,15,14,16,24,10,16,20,22,21,20,18,10,20,22,22,18,18,33,20,16,16,20,23,36,15,17,20,23,14,18,12,31,26,17,27,13,21,13,24,20,14,26,29,21,26,21,37,23,21,27,28,24,24,22,35,17,21,20,30,21,23,23,23,17,27,26,20,16,17,26,24,18,24,28,18,31,29,19,17,26,26,16,19,36,13,20,10,29,17,33,18,15,15,23,17,16,10,14,14,15,28,18,25,16,23,28,23,31,12,18,16,21,18,11,31,21,20,20,18,16,25,31,35,19,26,26,25,23,22,16,25,28,30,17,22,20,14,20,24,10,17,14,17,19,27,28,27,12,24,24,16,29,26,26,20,23,10,19,31,16,20,20,19,19,28,18,23,15,20,17,13,19,27,21,20,18,22,15,19,22,36,22,24,22,20,24,14,32,30,15,17,19,28,13,30,25,22,25,24,15,17,25,25,14
1,20,24,18,21,12,14,21,22,32,22,19,15,27,10,25,18,6,25,20,15,21,24,18,13,16,16,18,24,19,12,22,14,23,17,20,22,21,22,21,28,30,17,20,18,14,16,17,22,14,14,31,24,19,19,27,30,32,22,20,14,25,16,15,25,38,24,30,34,22,15,22,32,19,12,32,16,23,19,23,24,21,19,21,19,17,23,17,21,17,21,21,19,24,18,22,14,9,16,20,16,14,31,12,22,20,18,20,17,19,32,28,13,28,27,27,25,26,22,20,17,20,18,30,20,28,18,24,17,14,25,18,14,18,21,16,19,17,25,21,27,16,14,23,25,13,14,20,14,13,17,20,22,20,16,13,17,13,20,11,14,22,33,31,17,13,29,13,22,19,14,24,19,18,24,17,22,16,22,21,25,16,16,39,13,27,21,34,22,19,27,19,16,17,25,21,26,20,22,24,23,25,19,16,16,19,18,28,20,19,23,24,26,14,23,16,26,16,25,23,12,16,15,15,22,27,13,15,18,24,15,15,18,24,27,25,20,12,14,22,25,19,21,29,12,18,25,13,17,33,20,27,13,20,13,20,15
2,29,10,10,25,14,21,11,21,28,22,22,34,18,22,19,14,14,25,12,25,22,15,14,20,24,8,26,14,15,20,13,19,20,28,22,22,12,22,21,24,22,20,21,31,32,18,19,18,29,19,9,20,20,18,11,18,12,15,20,27,21,27,25,28,16,28,26,31,11,31,16,20,12,12,19,20,26,20,17,25,29,19,20,23,20,20,19,28,12,36,17,20,23,31,18,10,20,15,20,14,11,21,22,20,16,17,20,31,14,16,20,22,21,17,18,20,38,21,20,26,24,21,23,34,19,13,18,19,19,16,13,23,19,25,12,17,30,24,20,25,17,20,15,17,16,15,16,29,30,16,11,28,23,22,35,8,20,15,13,15,16,17,19,24,19,27,15,13,25,17,24,15,23,20,24,20,13,12,39,15,19,21,30,14,21,24,23,28,17,27,26,29,17,17,27,21,19,18,28,18,36,19,20,22,23,19,19,16,11,19,20,30,28,22,25,17,24,20,23,24,35,22,10,17,21,31,16,21,34,19,19,28,18,16,32,12,17,20,25,23,16,21,22,25,20,14,20,18,24,33,26,24,33,19,18,28
3,17,34,28,23,34,19,12,18,18,26,25,21,30,25,21,21,21,17,23,22,20,19,11,22,25,22,10,12,10,18,33,16,21,16,14,13,22,24,15,32,22,19,22,39,15,14,26,25,15,13,26,21,28,30,9,30,23,11,12,21,18,18,12,29,27,14,23,29,21,17,14,24,22,17,30,14,41,25,31,23,19,24,24,18,33,19,27,20,19,25,16,14,29,22,26,18,17,23,22,16,19,15,17,28,16,17,22,17,23,23,19,27,20,14,31,22,26,30,21,21,24,24,28,19,33,25,28,22,19,17,13,28,33,17,38,15,12,15,32,20,22,20,15,15,21,27,17,14,19,31,20,22,23,26,23,18,29,23,31,16,18,20,16,33,17,18,27,15,21,21,16,22,21,20,17,22,27,27,29,17,26,15,19,17,15,23,22,27,16,21,16,14,18,22,17,20,16,25,18,19,23,18,26,27,21,24,17,28,19,25,24,22,14,26,18,22,28,12,17,20,16,13,22,17,21,17,19,22,13,31,26,17,16,10,12,22,37,18,18,14,19,22,27,20,17,20,17,23,28,19,26,22,17,27,24,15
4,19,18,24,22,22,17,18,17,18,18,35,20,22,21,25,21,19,16,14,27,12,27,24,17,25,24,21,27,19,26,35,15,22,22,16,21,25,11,27,20,21,22,28,15,22,14,16,27,18,11,27,23,25,18,24,39,30,30,20,21,22,19,25,10,23,19,18,15,27,21,16,20,30,21,13,21,20,16,20,23,25,20,21,21,16,19,21,14,27,33,12,19,18,37,15,17,13,25,22,14,15,31,15,19,17,21,17,28,15,12,33,18,16,16,18,21,16,28,17,19,19,20,27,19,17,26,18,21,14,17,28,17,14,22,23,25,21,18,21,17,17,21,26,17,17,28,15,15,17,16,15,20,12,29,19,33,13,22,20,24,7,23,15,19,24,23,20,37,20,19,19,18,21,33,28,23,27,17,16,32,11,15,26,21,23,21,18,31,25,34,27,17,24,23,15,19,37,21,33,21,27,16,16,18,20,30,19,11,23,19,22,24,15,18,15,27,32,21,27,17,21,35,17,23,14,31,23,24,23,22,24,34,17,25,27,22,23,27,20,13,14,18,19,19,19,18,23,16,20,30,14,30,15,23,16,19
5,27,27,14,18,27,28,34,29,20,14,24,15,23,24,16,25,22,15,28,27,16,22,21,24,19,21,28,25,12,15,19,19,12,26,19,23,18,15,30,16,24,34,25,20,17,18,18,25,22,14,22,23,20,17,28,26,18,22,30,24,15,18,20,25,17,31,13,14,20,14,17,18,17,19,21,20,17,22,25,31,22,18,19,21,19,29,17,14,20,24,15,24,20,19,24,26,23,16,18,20,25,25,21,22,19,14,14,19,14,22,14,29,22,21,23,20,20,16,25,27,15,17,18,19,22,21,25,40,17,25,23,18,32,20,17,21,24,24,14,34,22,21,31,36,29,18,28,16,13,15,15,26,24,12,14,22,24,23,22,20,13,10,30,21,20,23,30,23,16,16,34,14,17,11,16,13,32,26,26,17,17,18,19,18,31,15,19,14,26,36,18,18,23,16,27,26,24,12,17,14,9,20,18,28,19,29,16,24,11,18,17,26,29,17,13,20,27,14,12,33,14,13,24,19,17,29,17,26,13,23,12,21,20,16,20,24,20,23,28,20,19,16,32,22,24,30,21,23,23,27,17,14,20,25,21,18
6,21,17,15,13,20,19,22,18,31,32,17,21,31,21,20,20,22,25,16,17,12,27,20,19,17,22,26,28,19,15,11,32,16,15,13,24,18,21,20,18,16,19,17,19,6,26,19,14,23,17,19,15,18,19,24,19,30,29,35,21,15,19,16,27,22,19,19,15,24,27,19,29,20,16,21,34,14,21,23,22,21,21,27,26,19,17,15,31,18,16,15,21,15,15,27,12,21,19,22,20,24,25,18,22,23,10,11,13,13,27,24,18,24,18,22,19,14,30,9,15,13,15,10,14,22,28,15,35,23,21,20,21,34,29,16,33,14,20,14,11,16,18,14,20,24,13,16,13,19,12,14,24,31,13,21,16,21,21,22,10,20,19,18,14,9,19,18,29,18,12,30,18,13,16,33,15,19,23,24,34,14,19,23,21,13,13,16,15,25,19,18,23,27,37,32,19,36,19,23,36,16,26,20,18,12,19,20,26,17,20,23,23,19,30,17,14,23,21,17,27,15,23,24,15,23,18,12,29,17,13,25,18,24,17,27,26,28,23,7,17,24,19,15,22,24,20,16,13,21,25,22,23,15,16,11,23
7,24,23,18,19,18,21,30,21,20,24,22,16,21,26,26,29,16,34,19,27,27,24,14,29,15,29,18,15,21,17,13,13,17,24,13,23,20,13,22,29,29,19,12,22,28,23,16,14,17,24,22,20,21,14,16,23,27,21,25,19,13,20,19,26,31,21,19,14,13,18,15,19,19,26,18,24,15,30,21,23,13,16,12,18,18,21,31,15,16,21,26,25,21,11,19,20,15,17,12,21,28,21,16,26,30,31,18,16,19,24,18,22,19,15,24,20,20,20,10,21,17,20,19,11,19,20,18,15,25,24,27,22,18,15,17,35,21,27,21,29,19,9,22,10,18,15,23,27,24,13,25,24,19,37,23,17,25,12,28,22,14,14,26,23,21,27,18,25,21,13,26,20,26,24,38,17,15,19,29,18,22,24,25,29,18,12,22,13,15,19,21,19,26,22,14,23,19,22,16,19,26,18,17,24,13,14,18,15,14,13,23,24,26,27,15,16,18,23,18,16,26,22,19,32,22,21,22,20,15,18,22,13,13,21,18,11,32,32,17,23,23,16,18,25,27,20,15,21,13,22,21,15,15,23,18,25
8,20,17,15,21,24,18,25,26,8,23,18,22,13,24,16,18,13,23,17,28,20,24,29,20,24,25,23,21,15,18,20,24,32,12,17,18,19,28,23,20,17,30,20,21,20,17,29,14,16,40,22,17,21,19,17,30,30,33,18,30,19,33,19,25,24,27,33,28,14,20,15,15,31,20,21,20,23,30,29,19,16,26,23,17,16,18,16,24,19,18,19,17,18,23,15,19,19,21,27,20,31,23,28,16,17,16,18,13,14,14,12,20,20,33,14,17,13,27,16,20,26,28,14,15,25,20,21,27,15,24,21,26,9,21,22,16,29,31,14,14,26,22,25,20,29,18,20,26,36,19,21,34,26,16,19,25,19,14,25,22,18,9,15,21,17,20,16,25,21,22,27,22,17,10,17,13,29,16,18,15,21,30,30,21,20,22,21,13,37,23,18,14,29,16,23,17,10,31,24,28,21,19,24,22,25,23,24,13,30,25,20,19,25,16,32,10,22,17,27,27,21,16,27,27,26,13,25,18,11,28,22,28,12,18,14,14,22,20,24,29,21,17,24,27,16,13,26,18,24,15,17,27,24,18,13,20
9,18,7,28,25,18,23,18,16,15,27,24,18,19,24,18,16,18,21,25,23,19,15,10,27,14,28,10,20,20,14,16,18,20,22,22,25,21,16,15,23,16,19,18,31,23,18,18,15,16,18,38,15,20,26,18,12,17,20,19,14,30,29,16,18,17,16,15,20,26,17,21,23,27,13,31,17,31,15,36,14,17,23,19,19,18,29,17,14,23,21,29,16,18,13,25,29,20,22,25,22,14,31,25,13,17,29,29,19,15,23,23,18,19,28,22,18,15,13,18,15,17,15,21,19,28,13,22,16,25,27,21,35,17,19,18,21,13,23,18,39,17,14,18,28,14,20,15,25,15,26,29,17,24,15,19,16,25,20,26,11,30,23,28,17,19,25,20,18,24,19,22,11,25,24,23,15,24,15,20,21,27,20,19,26,24,17,17,17,24,28,22,13,15,15,26,24,31,14,22,24,10,20,27,19,19,26,17,19,20,26,15,18,10,15,10,27,17,24,17,15,11,25,24,16,33,24,30,17,23,32,10,29,19,19,14,18,22,20,13,21,23,11,20,22,18,17,21,33,21,17,22,27,25,16,22,26
