Element,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1167
294 3,1161
2 3,1152
7,1100
218,1055
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
73,849
91,838
11 4 6 3,809
490 3,799
11 6 55,761
4 1,754
6 294 3,743
218 3,742
3 7,734
27 3,730
218 6,680
6 2 3,673
6 7,667
138,666
77,648
490 6,642
3 73,641
316,628
11 6 55 3,618
27 6,615
11 1 3,588
1 55,580
3 64,556
6 3 7,538
490 6 3,488
218 6 3,487
4 1 3,486
6 64,480
6 73,477
27 6 3,472
3 316,462
446,461
148,427
145,425
11 6 2,422
246,416
3 77,410
648,408
993,407
6 91,407
269,399
4 1 6,395
6 77,393
278,390
138 3,390
11 4,388
11 6 294,388
6 3 64,387
5,385
152,382
1751,380
1 55 3,380
91 3,376
6 3 73,371
6 138,370
590,369
11 6 7,359
11 6 77,358
18,345
11 6 2 3,343
1 6 55,332
11 6 294 3,326
6 316,318
6 3 77,311
11 55,310
6 138 3,305
11 6 3 7,297
11 218 6,297
11 6 138,296
3 446,288
11 4 3,288
4 1 6 3,280
11 490 6,273
11 6 3 77,268
1 2,267
6 3 316,263
269 3,263
215,259
3 278,259
11 490 6 3,257
11 27 6,254
303,251
1 294,249
11 6 64,247
11 55 3,246
69 11 6,242
4 55,237
3 148,235
6 446,234
11 218 6 3,232
69,232
6 91 3,227
1 6 55 3,226
145 3,226
993 3,223
246 6,218
490 1,214
273,214
11 27 6 3,213
6 278,213
246 3,210
11 6 3 64,209
6 148,208
648 3,208
1 7,207
1 294 3,206
83,206
215 3,205
504,201
1751 3,198
152 3,198
18 3,197
6 3 446,197
145 6,197
5 3,196
4 55 3,196
590 3,195
6 1751,194
11 6 138 3,193
6 993,192
11 218 6 148,191
303 3,190
11 6 73,190
5 6,189
648 6,185
6 18,184
11 4 1 6,183
1 218,180
11 6 316,179
1 2 3,178
269 6,177
27 1,177
6 215,177
737,176
136,175
11 6 3 73,174
69 6,169
6 152,169
69 11 6 3,166
6 3 148,160
6 590,156
11 2,154
1 138,152
11 6 737,151
69 3,151
1 73,150
11 6 215,149
3 737,149
4 294,149
269 6 3,149
6 3 278,148
1 3 7,147
11 6 91,145
1 6 294,145
1 64,145
11 1 6 55,143
4 6 55,143
987,142
17,142
6 303,141
504 3,141
1 91,141
1 218 3,140
246 6 3,139
1 6 2,139
11 6 83,138
11 294,137
40,136
11 4 1 6 3,135
6 504,134
11 6 3 316,131
6 215 3,131
509,129
6 737,129
635,128
11 6 446,128
11 490,128
490 1 3,128
69 6 3,128
273 3,127
27 1 3,127
4 6 55 3,124
1164,123
1 6 294 3,123
3317,123
6 83 3,122
1779,122
3 136,121
314,119
11 218 6 3 148,118
83 3,118
1017,117
4 2,117
6 18 3,117
483,116
6 83,116
54,116
5 6 3,115
1 218 6,115
146,115
3589,115
40 6,114
6 273,114
2186,113
11 27,111
145 6 3,111
4426,111
11 1 6 55 3,111
11 2 3,110
1105,110
1 6 7,109
6 3 737,109
11 7,108
643,108
616,108
14,107
295,107
11 6 3 737,107
2309,107
622,107
1 6 2 3,107
269 11 6 3,105
621,105
82,105
11 6 667,105
4315,105
3347,105
27 1 6,105
638,105
11 6 278,104
217,104
656,104
484,104
605,104
1 77,104
640,104
801,103
1599,103
11 6 148,103
40 3,103
1850,103
2081,103
275,102
1059,102
1490,102
617,102
11 6 3 446,102
6 1751 3,102
3001,102
3620,102
749,101
288,101
72,101
1 6 138,101
11 294 3,101
2895,100
607,100
1180,99
218 6 148,99
1 3 73,99
11 6 215 3,99
3315,98
4 2 3,98
11 6 136,98
3764,98
1078,98
3003,97
485,97
11 27 3,97
4035,97
6 136,97
4 490,97
2985,96
799,96
4 294 3,96
1177,96
2009,96
880,95
11 40 6,95
1 6 64,95
55 294,95
6 378,95
922,95
3090,95
1777,95
4 7,94
1 6 3 7,94
490 1 6,94
3826,94
488,94
291,93
2247,93
314 3,93
17 3,93
502,92
6 303 3,92
1 316,92
532,92
269 11 6,92
648 6 3,91
2324,91
293,91
1855,91
3181,90
11 64,90
11 3 7,90
2 55,90
323,89
1637,89
3589 3,88
1056,87
1039,87
1 138 3,87
1057,87
6 152 3,87
11 490 3,86
487,86
640 3,86
2247 3,85
612 3,85
635 3,85
52,85
11 6 91 3,85
11 6 273,85
6 993 3,85
801 3,84
4426 3,84
11 648 6,84
987 6,84
11 5 6,84
1 3 64,84
246 11 6,84
849,84
928 3,83
928,83
1065,82
11 6 438,82
1039 3,82
490 1 6 3,82
90,82
6 590 3,82
605 3,82
40 6 3,81
11 6 303,81
251,81
1 218 6 3,81
1164 3,81
749 3,81
11 6 378,80
6 273 3,80
3347 3,80
621 3,80
52 3,80
11 218,80
6 504 3,80
217 3,80
1596,80
880 3,79
2344 3,79
1 278,79
1777 3,79
799 3,79
145 11 6,79
3356,79
1078 3,78
2344,78
1 6 91,78
11 6 590,78
1 6 77,78
70,78
1 6 73,78
622 3,78
535,77
2895 3,77
483 3,77
1180 3,77
11 218 3,77
3317 3,77
532 3,77
11 6 378 3,77
11 1 6 2,76
2 55 3,76
4 218,76
3620 3,76
3181 3,76
378,75
11 6 662 136,75
502 3,75
1 18,75
288 3,75
638 3,75
6 3 136,75
4 27,75
1 91 3,75
485 3,75
3315 3,75
145 1,75
2186 3,74
72 3,74
1 3 316,74
1017 3,74
11 6 83 3,74
4035 3,74
3764 3,74
2081 3,74
11 6 1751,74
667,73
11 3 73,73
275 3,73
1581,73
656 3,72
1 648,72
670,72
3826 3,72
314 6,72
3 14,72
987 3,72
11 6 993,72
4 6 294 3,72
135,71
55 294 3,71
2324 3,71
3090 3,71
849 6,71
11 6 3 278,71
11 1 6 7,71
2309 3,71
218 6 3 148,71
11 6 3 438,70
17 6,70
484 3,70
1059 3,70
11 1 6 138,70
11 6 3 667,70
11 73,70
11 314 6,69
1850 3,69
4 6 2,69
1599 3,69
11 6 916,69
1855 3,69
11 40 6 3,69
323 3,69
4 64,68
607 3,68
922 3,68
1 993,68
535 3,68
2344 6,67
251 3,67
4 490 3,67
509 3,67
11 77,67
1596 3,67
1 446,67
1177 6,67
1637 3,66
2985 3,66
246 1,66
27 55,66
5 1,65
1 590,65
849 3,65
3003 3,65
6 667,65
1 6 138 3,65
293 3,65
4 218 3,65
438,64
1057 3,64
6 14,64
11 6 3 148,64
490 55 3,64
1105 3,64
54 3,64
4 3 7,64
3001 3,64
1056 3,64
218 55,64
1 148,64
4 6 294,63
11 6 18 3,63
616 3,63
1581 3,63
4 73,63
490 55,63
11 4 1,63
1 3 77,63
1105 6,62
4 3 73,62
643 3,62
4 27 3,62
11 6 3 136,62
11 1 6 77,62
638 6,62
1 152,61
4 6 7,61
146 3,61
3 205,61
269 1,61
2009 3,61
3356 3,61
1779 3,60
640 6,60
55 73,60
749 6,60
801 6,60
6 438,60
291 3,60
3 667,60
488 3,60
70 3,59
2895 6,59
11 6 152 3,59
55 7,59
11 6 152,59
622 6,59
584,59
1779 6,59
487 3,59
11 6 3 135,59
11 6 18,59
11 1 218 6,58
314 6 3,58
4035 6,58
922 6,58
11 6 3 662 136,58
2081 6,58
677,58
11 1 6 2 3,58
11 316,58
82 3,58
378 3,57
643 6,57
617 3,57
246 11 6 3,57
1059 6,57
27 1 6 3,57
987 6 3,57
3003 6,57
3090 6,56
11 5 6 3,56
6 3 14,56
799 6,56
217 6,56
509 6,56
2009 6,56
275 6,56
1 1751,56
11 91,56
612,56
3826 6,55
532 6,55
612 6,55
617 6,55
11 4 1 3,55
11 1 6 64,55
11 6 504,55
4315 3,55
11 1 6 294,55
11 6 303 3,55
295 3,55
87,54
52 6,54
11 6 90,54
1581 6,54
6 2 55,54
1177 3,54
621 6,53
11 3 316,53
11 6 590 3,53
1596 6,53
3 86,53
635 6,53
1164 6,53
11 490 1 6,53
11 1 55,53
3181 6 3,52
11 6 273 3,52
4 6 3 7,52
3317 6,52
2247 6,52
146 6,52
644,52
1 6 3 73,52
11 3 64,51
4 77,51
535 6,51
3181 6,51
55 3 7,51
640 6 3,51
218 55 3,51
54 6 3,51
3620 6,51
27 55 3,51
6 378 3,50
605 6,50
488 6,50
499,50
1065 3,50
1 6 3 77,50
656 6,49
3347 6 3,49
