Element,Count
122,72508
8,69349
49,59525
124,46414
516,46324
51,39881
171,39569
150,39447
121,38702
158,35133
146,34204
149,34169
878,33877
60,33370
308,33031
22,30589
379,30369
514,29505
1,29156
84,29086
524,28625
81,27626
511,24534
476,24254
1051,23632
905,23533
6,23389
140,23154
590,22842
469,22572
406,22332
9,22298
88,21858
76,21765
519,21558
444,21267
422,21109
506,20795
603,20741
72,20694
20,20512
472,20360
123,19815
561,19753
53,19603
863,19252
220,19056
448,19008
147,18970
142,18941
48,18803
116,18794
376,18714
275,18668
471,18662
185,18584
338,18552
459,18368
509,18328
380,18092
294,18057
520,18043
873,17729
646,17656
845,17606
401,17522
14,17500
361,17482
857,17376
157,17208
998,17193
402,17173
355,17003
468,16891
485,16736
313,16694
475,16686
330,16676
842,16650
407,16636
138,16593
536,16574
591,16555
179,16507
112,16489
54,16077
31,15736
461,15725
238,15718
1793,15684
1236,15623
21,15577
