,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,29,3,3,5,37,12,8,9,51,66,27,5,308,4,39,7,8,145,35,4,0,143,128,393,263,9,26,13,16,31,6,19,6,10,12,6,15,29,9,3,14,14,136,24,80,733,6,94,47,44,16,37,6,14,46,11,11,12,114,23,8,5,109,14,5,3,35,7,6,4,10,11,13,8,25,62,17,18,6,8,4,11,4,162,6,28,44,7,9,229,17,9,11,28,104,22,57,10,5,23,3,28,220,76,4,37,291,1255,29,44,3,8,9,36,1232,8,24,67,4,17,6,8,1,6,304,44,50,7,10,11,17,453,16,8,15,1,42,11,9,7,13,8,5,659,6,5,2,9,314,57,46,6,38,99,30,40,336,1,8,10,21,8,14,18,1,7,14,61,11,21,445,630,10,134,16,34,14,28,8,4,3,18,16,5,25,2458,28,8,83,22,48,15,10,12,6,13,20,6,10,9,5,15,5,36,17,31,7,9,5,19,8,10,2,8,20,9,6,34,807,22,5,33,143,19,10,25,3,13,19,13,8,4,77,7,7,5,27,7,11,69,10,39,16,15,11,164,21,1851,11,20,11,36,7,21,664,24
1,12,10,8,18,13,14,25,23,31,12,12,1,17,2,3,84,6,22,7,3,9,5,5,114,4,13,11,14,5,15,7,5,5,880,29,88,21,65,48,139,37,113,533,15,6,55,38,284,59,25,472,48,4,9,72,102,37,6,105,2,9,8,5,15,315,23,28,21,14,11,11,18,15,13,32,10,12,31,5,41,24,11,6,420,9,6,6,14,15,8,9,8,52,63,2495,2265,10,4,186,4,2542,309,12,42,10,18,156,13,3,19,15,8,15,21,46,6,2,81,55,24,33,9,22,2,21,13,42,9,11,8,200,11,208,50,10,15,97,20,18,6,26,86,16,7,41,7,19,9,74,238,15,10,8,104,61,49,56,3,129,6,17,28,6,5,53,149,25,3,6,14,368,11,80,564,6,24,2,95,8,12,17,12,202,44,16,120,229,5,8,32,9,36,15,19,3,16,8,1771,27,120,12,4,990,34,3,11,6,10,134,5,12,20,14,149,3,84,6,4,16,30,8,7,18,11,14,24,18,9,21,59,34,13,2,11,9,2,5,8,438,1032,21,34,22,7,26,87,12,13,14,16,1596,20,50,38,30,25
2,16,247,342,13,130,5,397,14,20,149,28,12,7,85,8,6,5,14,1901,7,31,6,74,6,9,12,553,106,4,33,21,110,685,39,9,12,45,512,15,10,12,9,12,4,3,46,4,35,233,15,89,415,21,21,1385,32,14,8,9,13,7,5,47,13,15,341,22,26,9,4,99,4,13,5,39,11,19,4,72,863,1401,6,91,10,7,8,4,8,7,-2927,249,93,3290,47,20,10,7,10,11,12,137,35,8,12,25,80,2,13,20,15,44,9,155,8,5,15,2000,16,8,17,35,8,47,10,38,20,22,12,14,7,13,91,9,29,10,3,103,8,29,42,6,36,17,29,5,253,10,5,2,30,60,1,82,27,10,4,28,18,41,10,4,4,42,7,8,13,128,2,8,9,275,112,2,13,36,41,2,8,18,59,45,23,13,53,6,505,17,71,780,18,16,20,11,32,29,12,20,21,38,98,5,8,21,11,51,16,15,14,12,43,12,6,25,45,33,10,22,7,4,33,48,14,11,11,20,23,45,19,19,7,69,1559,4,9,6,8,5,61,5,14,9,30,12,29,16,5,538,4,355,27,5,6,17,15,4,21
3,6,8,6,50,4,2,14,128,7,16,43,469,95,527,103,11,3,13,6,167,44,37,18,9,567,322,439,5,10,11,12,1,14,13,24,3,22,8,140,12,73,15,7,5,8,6,113,12,14,12,10,13,6,13,8,13,43,68,35,11,3,283,149,14,7,859,28,5,169,15,14,11,264,234,31,7,38,18,6,12,165,19,10,8,45,30,69,7,10,21,4,8,16,3,24,10,110,26,126,22,3,11,26,25,20,3,6,2,7,18,26,11,14,13,6,10,7,20,6,10,5,4,31,6,24,10,472,9,892,410,14,1454,14,11,3,70,50,14,57,109,194,387,22,7,27,1,30,337,21,22,7,8,72,52,5,9,8,206,9,33,9,42,15,178,9,6,208,18,11,23,6,17,6,12,134,472,7,11,5,4,11,51,1,8,7,10,16,19,39,34,5,16,477,11,8,2,76,131,157,12,210,24,13,10,1,184,7,210,46,182,57,6,8,49,5,7,137,58,5,3,5,19,15,3,14,16,25,17,291,8,3,37,66,14,9,33,8,13,3,8,168,71,182,6,9,4,7,9,4,13,21,27,11,17,3,5
4,7,4,20,294,17,28,11,9,6,8,9,11,141,1607,2,18,18,11,52,3,59,332,7,7,6,11,23,6,20,26,197,5,25,45,6,18,25,28,48,516,30,601,5,7,0,78,7,45,603,43,43,172,9,24,8,5,5,84,13,26,17,160,55,62,372,46,23,11,13,133,5,28,19,12,45,169,10,17,101,30,6,13,7,3,128,10,6,59,5,21,10,7,25,12,7,22,4,37,6,10,80,12,45,6,73,116,7,31,28,321,15,11,5,7,27,10,24,9,8,4,4,18,32,27,34,28,159,6,19,6,21,5,20,47,21,31,16,17,29,7,17,8,7,1,30,24,7,19,20,17,272,4,88,72,21,5,11,7,15,29,194,80,14,8,25,65,8,7,5,11,5,19,11,10,8,3,10,11,118,5,19,6,27,13,7,22,10,42,7,4,25,1881,18,5,51,11,30,2197,35,32,9,9,10,12,337,18,6,13,9,417,38,163,6,28,29,11,18,687,4,7,18,9,23,55,21,12,236,6,2,9,31,2,31,4,4,19,12,8,6,133,26,9,8,32,443,52,47,15,11,10,12,33,3,10,6,14
5,200,13,11,4,12,41,221,9,62,21,32,26,30,100,36,15,31,34,19,13,5,700,29,3,16,2,70,55,10,15,35,41,18,18,10,8,14,242,86,7,37,95,12,21,28,8,13,4,10,18,1655,12,139,17,19,21,15,12,35,23,18,21,43,22,7,5,28,427,32,181,10,8,6,79,9,38,38,1277,4,67,41,9,58,12,13,9,19,23,11,12,4,453,6,6,12,21,15,2,19,451,26,45,15,5,22,7,3,4,8,11,24,4,226,423,7,102,20,4,24,4,32,84,8,24,15,16,4,15,18,18,62,20,1,11,6,13,213,30,192,427,11,170,22,112,77,6,4,13,3,125,75,1,1,1428,6,5,81,155,11,6,1487,18,8,12,101,12,37,8,49,23,21,27,16,9,5,29,8,8,36,7,90,14,45,7,5,69,11,11,15,55,27,2,72,57,136,10,9,4,53,0,28,26,13,16,25,20,13,7,4,725,101,3,15,5,18,9,106,33,11,5,96,12,7,193,5,7,10,13,13,14,27,4,26,4,145,20,112,724,18,10,10,12,306,1999,100,5,7,19,18,47,30,704,236,264,2,20
6,16,2,5,6,34,3,19,8,2,6,28,25,15,7,2,114,18,4,15,29,12,21,6,4,11,277,44,9,4,22,26,25,3,8,11,106,200,28,12,42,4,40,28,25,11,7,418,86,14,44,28,8,2088,11,74,2,6,20,10,15,20,6,9,5,69,17,45,6,21,9,37,97,8,3,26,7,47,22,24,45,73,13,11,71,80,23,20,29,9,16,10,7,58,7,18,5,8,19,119,162,5,24,8,11,3,14,25,9,8,5,240,36,4,126,403,9,18,71,30,3,6,5,5,8,8,7,16,5,12,8,9,19,17,91,7,53,52,2,142,13,10,21,11,1062,25,2,18,10,254,51,212,16,5,5,7,22,10,7,7,39,11,3,39,19,7,81,39,44,10,31,12,8,16,54,24,6,31,5,84,14,663,8,6,1,17,9,8,13,10,177,18,6,12,37,9,25,31,40,32,3,5,2,18,7,51,56,40,175,20,23,375,4,16,15,14,22,12,82,11,8,86,5,17,27,6,8,7,4,377,7,9,1,17,43,76,20,7,68,19,28,194,89,6,12,14,4,10,16,70,3,5,7,5,28,31,6
7,95,4,6,17,0,115,72,95,10,97,7,20,7,120,11,17,537,16,113,9,29,14,7,13,12,229,13,13,16,20,26,3,34,31,15,4,19,22,8,9,11,15,21,49,10,28,6,741,17,38,17,21,64,83,9,8,38,6,59,35,38,8,6,45,10,19,23,3,11,18,13,6,5,16,29,10,37,3,14,10,16,56,8,14,7,7,8,16,12,2,41,55,38,18,7,14,46,2,55,14,216,14,150,90,117,147,13,366,20,19,65,11,15,6,15,117,14,18,12,17,11,363,7,11,1033,19,12,7,11,14,45,5,9,8,29,17,23,6,20,36,14,182,7,69,19,257,37,8,9,27,5,1325,26,18,15,57,55,29,3,53,8,17,33,525,57,6,4,9,34,10,21,9,10,15,5,20,5,4,23,11,14,31,16,17,109,7,5,2,375,3,17,15,4,21,11,23,7,4,6,70,77,7,9,9,30,3,13,119,22,9,7,36,6,4,29,14,11,7,8,4,16,18,6,4,1021,18,7,7,5,2,22,32,17,18,29,4,51,40,12,5,14,7,22,8,24,189,24,3,3,7,3,5,59,10,10,23
8,12,4,14,43,9,5,210,10,4,4,20,311,7,79,11,10,8,215,1,22,29,1278,7,13,104,306,14,9,29,27,70,7,11,25,37,2132,11,17,52,575,19,22,67,11,12,10,181,10,14,6,3,7,5,8,31,3,7,10,4,9,30,8,17,13,2,12,3,45,32,6,5,9,7,8,83,18,34,7,11,4,11,12,9,3,9,190,57,6,10,14,33,31,190,292,31,36,53,17,320,13,56,358,35,25,5,13,4,51,41,6,10,108,21,5,20,57,24,3,93,20,17,332,29,7,3,1817,18,7,12,37,8,1,271,6,11,8,16,28,35,12,19,15,4,10,25,9,97,5,17,372,10,10,6,95,47,4,5,15,30,17,20,31,5,30,10,153,71,14,7,3,16,11,20,44,9,21,4,17,30,287,75,19,34,12,32,178,12,7,1,12,34,245,6,276,8,3,31,131,13,19,1143,38,59,8,83,25,51,17,8,11,7,12,12,13,1,49,70,13,12,6,9,9,7,14,7,8,7,24,34,25,5,80,14,3,13,13,37,4,8,51,23,4,163,2988,3,19,40,6,24,12,92,73,9,4,11,25
9,96,25,2,12,4,8,7,22,34,16,133,8,15,16,15,169,9,17,5,4,16,13,422,6,11,27,14,5,250,11,3,24,28,55,139,5,16,77,11,7,5,10,62,9,6,199,15,7,20,4,6,32,11,9,48,5,102,10,261,6,16,13,18,21,13,1047,4,13,199,23,280,32,53,16,16,801,14,7,10,34,10,13,68,220,14,14,467,7,45,12,84,13,39,20,50,72,19,20,33,1,10,429,12,3,12,24,24,188,43,50,3,246,75,9,111,2,26,56,18,63,14,10,4,10,88,9,75,40,5,611,9,10,12,5,7,7,3,25,1812,10,5,827,25,29,9,32,22,674,50,10,24,14,26,20,14,34,120,13,6,13,36,225,204,14,35,29,42,20,4,6,85,5,6,23,7,17,74,375,22,10,18,6,10,5,355,166,6,58,6,20,127,15,23,8,31,10,7,314,15,2,10,18,15,2700,8,2,29,10,244,97,23,12,29,11,73,2,5,28,467,1403,8,23,5,328,10,7,45,4,8,12,240,28,52,8,17,27,3,6,6,5,114,25,44,12,11,6,161,29,37,10,11,12,24,3,905,276
