Element,Count
122,72508
8,69349
49,59525
124,46414
516,46325
51,39881
171,39569
150,39447
121,38702
158,35133
146,34204
149,34169
878,33879
60,33370
308,33035
22,30589
379,30370
514,29506
1,29155
84,29086
524,28627
81,27626
511,24536
476,24255
1051,23634
905,23535
6,23389
140,23154
590,22851
469,22572
406,22334
9,22298
88,21858
76,21765
519,21559
444,21267
422,21110
506,20796
603,20765
72,20694
20,20512
472,20361
123,19815
561,19770
53,19610
863,19254
448,19010
220,18975
147,18970
142,18941
116,18809
48,18803
376,18717
275,18670
471,18664
185,18584
338,18554
459,18369
509,18338
380,18095
294,18057
520,18047
873,17731
646,17664
845,17611
401,17525
14,17500
361,17484
857,17377
157,17208
998,17193
402,17175
355,17006
468,16892
485,16743
313,16702
475,16690
330,16677
842,16655
407,16649
138,16593
536,16587
591,16559
179,16507
112,16489
54,16077
238,15745
31,15731
461,15727
1793,15724
21,15577
1236,15567
370,15458
340,15334
684,15065
208,14867
805,14863
228,14792
521,14623
417,14580
419,14444
90,14370
40,14339
369,14235
510,14201
679,14123
455,14041
503,14017
595,13951
1345,13929
563,13916
319,13912
1181,13895
386,13851
1029,13825
287,13721
860,13703
764,13690
1158,13611
1024,13540
198,13500
596,13366
414,13350
312,13348
339,13310
66,13230
1241,13216
493,13150
439,13102
588,13066
1206,13026
331,13022
225,12990
884,12982
389,12944
954,12890
202,12885
398,12767
621,12711
165,12614
168,12599
504,12592
431,12559
586,12533
1112,12440
934,12406
213,12386
659,12329
906,12171
470,12049
381,12041
1098,12030
2188,11981
1242,11979
1977,11973
1077,11930
306,11907
1285,11897
1440,11855
560,11722
30,11719
154,11706
938,11665
377,11642
325,11598
295,11583
280,11575
55,11569
332,11567
490,11566
1682,11555
18,11443
42,11387
992,11319
86,11244
187,11240
1088,11228
335,11194
673,11178
1523,11117
1114,11116
85,11082
1228,11019
430,10991
2558,10956
824,10937
498,10913
879,10859
512,10851
523,10829
1432,10815
1576,10745
543,10666
1172,10622
191,10618
790,10568
1056,10568
517,10566
980,10566
1539,10562
1801,10532
2633,10502
838,10496
359,10382
1312,10378
453,10367
513,10348
13,10332
528,10237
400,10215
1003,10203
870,10184
803,10159
412,10128
354,10087
746,10027
1054,9995
495,9969
216,9937
1827,9927
794,9897
858,9862
1095,9836
440,9830
393,9815
702,9787
174,9770
92,9759
486,9757
241,9752
38,9751
255,9748
1368,9746
1324,9738
58,9728
346,9718
1835,9662
259,9655
177,9644
530,9617
1244,9600
1648,9599
378,9553
2470,9535
1136,9483
362,9447
426,9437
1149,9386
2154,9377
692,9255
598,9229
44,9228
881,9213
1659,9203
2179,9190
345,9189
258,9185
747,9183
1156,9176
4913,9170
206,9161
983,9155
221,9122
1281,9085
1195,9054
1005,9051
217,9041
435,9031
447,9003
718,8961
109,8960
1034,8925
581,8901
917,8886
1823,8884
10,8879
816,8875
818,8794
1208,8756
1699,8723
791,8700
1170,8681
1144,8653
2257,8635
274,8573
392,8504
425,8480
2380,8480
629,8469
152,8425
236,8362
580,8358
1226,8318
24,8313
250,8282
119,8255
1045,8247
1111,8235
316,8221
126,8206
2905,8198
1629,8175
1032,8122
302,8111
2226,8044
413,8009
387,7986
264,7981
979,7971
473,7968
697,7922
2294,7905
1721,7903
395,7899
1020,7875
207,7873
73,7864
452,7862
1169,7855
