Sketch,Memory,Precision,Execution,TopARE,TopAAE,Topk,lambda
8*512,108,0.463,661.671,1.436,15425.9301,710,32
8*2048,156,0.472,582.33,0.2467,2568.4269,710,32
8*5500,263,0.442,594.06,0.0607,692.0828,710,32
8*8900,370,0.479,584.514,0.0348,372.9618,710,32
8*12300,476,0.448,501.854,0.0192,210.4937,710,32
8*15700,582,0.442,458.531,0.0128,142.0255,710,32
8*19100,689,0.448,467.309,0.0111,110.5157,710,32
8*22500,795,0.449,450.993,0.0083,89.3511,710,32
8*25900,901,0.451,451.561,0.0065,69.7344,710,32
8*29300,1007,0.434,470.119,0.0051,55.4643,710,32
