Element,Count
b'\xd2\x1d9\xfa',168915
b'\xc6X\xda\x88',122440
b'\xb7\xf6h\xd0',113406
b'E.\x1c)',103233
"b'c\x9e,\xb5'",100084
b'V+x\xe8',95674
b'\x01l|\xff',90077
b'\x01l$\xce',85958
b'\xd8\x1eL\xf0',84883
b'\x01l$\x98',76010
b'\x01l|\xec',67958
"b'\xc6X\xdd,'",66989
b'\x90\xbcT\x17',61811
"b'c\x9e,b'",60445
"b'c\x9e,z'",57326
b'E\x0c\xd5\xf5',56809
"b'c\x9e,{'",55335
b'\xc9W\xf7#',52787
b'\x05\x06\x1b\xd0',50706
b'e\x86\xc2d',48609
b'+?\x82\xd6',46321
b'\x1d\xb9\x7f\xd3',46121
b'c\x9e.\xb4',45669
b'c\x9e.\xa7',45418
b'E\x0c\xd5\xf7',44479
b'c\x9e.\xa6',40180
b'\xc7\xe8~#',38837
b'z\xdd\xc7\x86',38118
b'\xdd\x01b\xdd',37958
b'c\x9e.\xb5',37752
b'uT\x80\xd8',37465
b'<\xf2\xdc\xd0',37303
b'\x9b\xbc<\xeb',37299
b'\xdc\x1bP\xe1',37050
b'c\x0f\xb2\xd4',35986
b'\xce\x93D[',35804
b'B\xf2A\x84',35780
b'\xdd\x01b\xdf',35775
b'\xb8e\xb7\x0c',35505
b'\x8e\xa1\x17L',35470
b'\xdc\x1bP\xc6',35395
b'\xd7\xba\xc9\xac',34625
b'I\x95\xba\xfb',34607
b'\xb7\xe8L\xb1',34287
b'\x91\xdc\xd6\x91',34260
b'z\x0c\x8c)',33373
b'\xdc\x90\xcd\x9d',33312
b'\xd0\xfd=\x0e',33001
b'\x82\x19\x1e\xc0',32894
b'p\xe01\xdd',32893
b'P\xc81\xaa',32660
b'\x05?\xc10',32472
b'\xc6X\xdd-',32229
b'\xc7\xe8~\x1c',31927
b'Ae\x8a}',31791
b'\xb7\x96U\xe9',31771
b'OZ\x0e\xae',31707
b'\x80\xaf\x0b\xbd',31685
b'A\xad4`',30377
b'c9\xbb\\',30196
b'\x8e\xa1\x17M',29996
b'c9\xbbX',29894
b'\xb7\xa6\x11{',29579
b'c9\xbbB',29579
b'\xce\x92\xa0\x80',29435
b'c9\xbbZ',29418
b'\r\x01W\xaa',29315
b'f\x06\x9c\xc0',29055
b'\xab\xa5\xc3\xd5',28949
b'\xcf\x95\xbfM',28803
b'\xca\xc4\x0c\x9b',28787
b'\xdc\x1bP\xe6',28714
b'c9\xbbE',28297
b'\xc9&\xf8\x83',28279
b'p\x97\xa1\xa9',27999
b'\x7f\xd31+',27847
b'\x84h\xb1\x11',27847
b'\x05\x11}\x9e',27759
b'c9\xbbz',27756
b'\x0c$\x02\x95',27680
b'c9\xbbP',27563
