Element,Count
b'\xd2\x1d9\xfa',168915
b'\xc6X\xda\x88',122440
b'\xb7\xf6h\xd0',112523
b'E.\x1c)',103233
"b'c\x9e,\xb5'",99588
b'V+x\xe8',85947
b'\x01l$\xce',85403
b'\xd8\x1eL\xf0',83759
b'\x01l|\xff',82713
b'\x01l$\x98',74363
"b'\xc6X\xdd,'",66989
b'\x01l|\xec',61469
"b'c\x9e,b'",60445
b'E\x0c\xd5\xf5',57031
b'\x90\xbcT\x17',55356
"b'c\x9e,{'",55335
b'\xc9W\xf7#',49611
"b'c\x9e,z'",49337
b'\x05\x06\x1b\xd0',46031
b'+?\x82\xd6',45133
b'\x1d\xb9\x7f\xd3',44706
b'E\x0c\xd5\xf7',43174
b'e\x86\xc2d',42023
b'c\x9e.\xa7',39440
b'E\x0c\xd5\xed',39400
b'\x9b\xbc<\xeb',38993
b'c\x9e.\xb5',37752
b'c\x9e.\xb4',37522
b'\xce\x93D[',37479
b'c\x0f\xb2\xd4',37128
b'\xc7\xe8~#',37094
b'\x86\x82d8',36743
b'\x8e\xa1\x17L',35470
b'I\x95\xba\xfb',34607
b'uT\x80\xd8',34555
b'B\xf2A\x84',34516
b'\x91\xdc\xd6\x91',34260
b'\xdc\x1bP\xc6',33143
b'\xd0\xfd=\x0e',33001
b'p\xe01\xdd',32893
b'\x05?\xc10',32472
b'\x82\x19\x1e\xc0',32366
b'\xb7\xe8L\xb1',32266
b'\xdc\x90\xcd\x9d',32127
b'P\xc81\xaa',31940
b'OZ\x0e\xae',31707
b'\xb7\x96U\xe9',31417
b'\xc7\xe8~\x1c',31335
b'c9\xbb\\',31015
b'\x8e\xa1\x17M',29996
b'\xdc\x1bP\xe1',29783
b'E\x0c\xd5\xf4',29762
b'\xd8\x1en\xff',29706
b'\xab\xa5\xc3\xd5',29392
b'\r\x01W\xaa',29315
b'<\xf2\xdc\xd0',29158
b'c9\xbbt',29052
b'c9\xbbX',28998
b'\xc7\xe8~!',28752
b'\xb8e\xb7\x0c',28663
b'\xce\x92\xa0\x80',28656
b'A\xad4b',28291
b'\xc9&\xf8\x83',28279
b'\xdd\x01b\xdd',28195
b'\xd4\xe6\xef\x83',28092
b'p\x97\xa1\xa9',27999
b'\x05\x11}\x9e',27759
b'c9\xbby',27710
b'\x0c$\x02\x95',27680
