Sketch,Memory,Precision,Execution,TopARE,TopAAE,Topk,lambda
8*512,49,0.667,533.795,0.4909,19806.8333,256,16
8*1024,65,0.741,472.909,0.2295,8513.175,256,16
8*1536,81,0.648,487.713,0.1305,5117.1429,256,16
8*2048,97,0.685,470.763,0.073,3360.7838,256,16
8*2560,113,0.741,478.241,0.0709,2783.775,256,16
8*1536,114,0.833,452.676,0.1158,4650.1778,512,16
8*1536,147,0.87,434.268,0.1255,4818,768,16
8*1536,180,0.852,498.973,0.085,3402.6304,1024,16
8*1536,283,0.907,398.382,0.0612,2258.7755,1832,16
8*1536,382,0.944,381.908,0.0591,2257.9608,2600,16
8*1536,481,0.907,485.733,0.0554,2283.9184,3368,16
8*1536,,,,,,4136,16
