Element,Count
b'\xd2\x1d9\xfa\x00P\x0f\x13I\x9a\xf89\x06',170680
b'\xb7\xf6h\xd0\xc1\x8b+\xfc\xe1\x08\x00P\x06',107222
b'E.\x1c)\xa4\xb2\x89\xb6\x06\xba\xd2\xad\x06',98071
b'V+x\xe8\x00Po\xcd\xe4\xde\xccw\x06',87945
b'\x01l|\xff\x8f\r\x01l\xc5\xc8\x01\xbb\x06',80457
b'\x01l$\xce\x0e\xad\x01l\xc5\xc6\x01\xbb\x06',79370
b'\x01l$\x98\xb0~\x01l\xc5\xc6\x01\xbb\x06',70712
b'\x01l|\xec\xcc\x1b\x01l\xc5\xc8\x01\xbb\x06',59923
b'\x90\xbcT\x17\xc3\xba\x01 \x8a\x0c\x01\xbb\x06',56935
b'\x05\x06\x1b\xd0\xcb\xa4h\xef\x88\xf3\x1f\x90\x11',47951
b'\xc9W\xf7#\x00P\x01-3\xc6\xbe\xeb\x06',45951
b'e\x86\xc2d\xfd\x84h\xef\x88\x96\x1f\x90\x11',43629
b'\x1d\xb9\x7f\xd3_\x85\xdd\xc3\xe7&\x00\x14\x06',40587
b'+?\x82\xd6\xafok\x1f\x9a\xaf\x01\xbb\x06',40365
b'E\x0c\xd5\xf7\xd7(\xdd.\xdc\xec\x00P\x06',39372
b'I\x95\xba\xfb\xcc\xcco\xcd\xe4r\x1f\x90\x11',36837
b'\x91\xdc\xd6\x91\x00Pf\x03\xc7\xad\xd2&\x06',35787
b'\x05?\xc10\xf6mo\xcd\xe4\xd7\x1f\x90\x11',34823
b'\xd0\xfd=\x0e\xad\x92\xdd\xc3\xe7#\x00\x14\x06',34783
b'p\xe01\xdd\xd2P\x01`\xe64\x00P\x06',34217
b'OZ\x0e\xae\xdc\xf1o\xcd\x19\xf0\x1f\x90\x11',33325
b'E\x0c\xd5\xf5\xa4\x14\xdd.\xdc\xec\x00P\x06',32310
b'\x86\x82d8k\xe1f\x00\xedP$\xcf\x11',31895
b'z\xdd\xc7\x86U_\x01|y\xdb\x01\xbb\x06',31489
b'<\xf2\xdc\xd0K`Cc\x0f\xe3\xea\xfb\x06',31343
b'\r\x01W\xaa\xcdL\x03\xff\x02\x82\x01\xbb\x06',31076
b'\xdd\x01b\xdf\xd5\xce\xdd.\xdc\xf1\x00P\x06',31051
b'\xc9&\xf8\x83\xc6\x07o\xcd\xe4i\x1f\x90\x11',30772
b'\xb8e\xb7\x0cz6o\xcd\xe4\xedgg\x11',30514
b'B\xf2A\x84\xcf\x92\xdd\xc3\xe7$\xa2D\x06',30439
b'\xce\x93D[\xee\x9c+\xfc\xe0\x9b\x00P\x06',30003
b'\x05\x11}\x9e\xc9\x94o\xcd\xe4\xa4\x1f\x90\x11',29875
b'c\x0f\xb2\xd4\x80\xd2\x01`\x8d\x12\x01\xbb\x06',29751
b'\x0c$\x02\x95\xc3M+\xfc\xe2*\x00P\x06',29415
b'\x82\x19\x1e\xc0\x11\x9c+\xfc\xe1P\x00P\x06',29161
b'z\x0c\x8c)\xd4N+\xfc\xe0\x86\x00P\x06',28667
b'\xb7\xe8L\xb1\xffg+\xfc\xe1\x1b\x00P\x06',27296
b'\xb7\x96U\xe9\xe2v\x01\x90G\xbf\x01\xbb\x06',27123
b'\x80\xaf\x0b\xbd\xd8\x84\x01\x92V\x1f\x01\xbb\x06',26997
b'Ae\x8a}\xd8\xeaB\x82kS\xed(\x06',26424
b'uT\x80\xd8M\xc6+\xfc\xe2\x11\x00P\x06',25816
b'\xd7\xba\xc9\xac~\x1bo\xcd\xe4nE\xd1\x11',25725
b'P\xc81\xaa\xcf\x12\x12\xc0\xc3\xbe\x01\xbb\x06',25422
b'r\x01\xb8p\xd7\xfd+\xfc\xe0\x86\x00P\x06',25125
b'\xb7\x9ac\x0c\xc2\x7f+\xfc\xe1\x1b\x00P\x06',24876
b'h8\xc7i\xe9Wh\xef\x88\xe3\x1f\x90\x11',24094
"b""'&\xec\xc2\xd0\xeao\xcd\xe4\x84\x1f\x90\x11""",23892
b'\x7f\xd31+\xc6\x90+\xfc\xe0\x9b\x00P\x06',23841
b'\xce\x92\xa0\x80\xd4\xe2+\xfc\xe1\x1b\x00P\x06',23820
b'\xca\xe0p\x04\xc9\x14+\xfc\xe2\x07\x01\xbb\x06',23425
b'\xcf\x95\xbfM\xf57\x01`\xa6\xd5\x01\xbb\x06',23089
b'\xb7\xbcBz\xfc\x02+\xfc\xe1P\x00P\x06',22874
b'{\xecL\x9b\xd1\xc1+\xfc\xe0\x9b\x00P\x06',22615
b'\xd1?.\x9a\xceJ+\xfc\xe0\x19\x00P\x06',22554
b'l*\xf2{qe\x01`\xa7\x11\x01\xbb\x06',22544
b'\xb7\xa6\x11{\xe1\xc1+\xfc\xe0\x86\x00P\x06',21786
b'\x82\x0cF\xff\xda\xbb+\xfc\xe0\x86\x00P\x06',21709
b'sY\xa4\xdfU\t\x01`\xb8g\x01\xbb\x06',21655
b'\x7f\x8b\xef\xbd\xe5\xbe\x01`\xdf;\x01\xbb\x06',21557
