Element,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4394
11 3,3756
1 6 3,3620
55,3561
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1167
294 3,1161
2 3,1152
7,1100
218,1055
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
218 3,852
73,849
6 294 3,843
91,838
11 4 6 3,809
218 6,794
6 7,785
11 6 55,761
490 6,754
4 1,754
3 73,745
3 7,734
27 3,730
6 2 3,673
138,666
77,648
316,628
11 6 55 3,620
27 6,615
490 6 3,603
11 1 3,588
6 64,586
1 55,582
27 6 3,574
3 316,568
3 64,556
6 3 7,538
6 91,521
648,515
993,511
6 3 64,502
11 6 294,498
1 55 3,496
11 4,494
152,491
218 6 3,487
4 1 3,486
590,480
6 3 73,477
1751,471
11 6 77,465
446,461
18,440
11 6 294 3,427
148,427
145,425
11 6 2,422
6 316,418
246,416
11 55,412
3 77,412
11 218 6,400
269,399
11 4 3,396
4 1 6,395
6 77,393
278,390
11 490 6,388
11 6 138,382
11 490 6 3,380
269 3,379
91 3,377
6 138,370
1 2,363
11 27 6,362
11 6 7,359
11 6 2 3,344
4 55,344
145 3,335
1 6 55,332
246 6,330
1 7,330
11 27 6 3,323
6 278,321
246 3,317
648 3,316
6 3 77,311
11 6 73,311
5 3,308
504,307
152 3,306
6 138 3,306
11 218 6 148,305
6 1751,302
11 6 3 7,297
4 55 3,296
69 6,296
590 3,294
5 6,293
27 1,292
3 446,290
1751 3,290
6 18,290
6 215,289
11 4 1 6,285
6 152,284
136,284
269 6,283
4 1 6 3,280
11 6 3 73,276
11 6 3 77,268
11 2,264
17,264
6 3 316,263
1 73,261
269 6 3,260
215,259
3 278,259
1 64,258
4 6 55,257
4 294,257
1 138,252
69 3,252
303,251
1 294,249
11 4 1 6 3,247
11 6 64,247
6 215 3,246
11 55 3,246
1 91,245
314,245
509,244
11 294,244
504 3,244
11 490,244
1 6 2,242
69 11 6,242
4 2,242
490 1 3,241
6 737,241
11 6 446,239
3317,237
1 6 294 3,237
27 1 3,236
3 148,235
11 218 6 3,234
11 27,233
4 6 55 3,233
1164,233
1 6 7,233
54,232
83 3,231
146,230
246 6 3,230
635,229
621,229
1 218 6,229
3 136,228
6 91 3,227
6 504,227
5 6 3,227
1017,226
1 6 55 3,226
11 6 3 737,225
6 83 3,223
11 218 6 3 148,222
11 3 7,221
11 6 667,221
6 1751 3,219
617,218
3589,218
484,218
11 6 148,217
1850,217
4 294 3,217
288,216
2081,216
72,216
11 1 6 55 3,216
1 77,216
1059,216
490 1,214
749,214
273,214
488,213
622,213
2186,213
6 3 737,213
3620,213
1078,213
1490,212
4315,211
11 6 3 64,211
3347,211
616,211
11 64,210
6 18 3,210
6 136,210
275,210
1637,209
11 294 3,209
6 148,208
217,207
640 3,207
4 490,206
1 294 3,206
83,206
215 3,205
2985,205
799,204
1177,204
607,204
532,203
1855,203
4035,203
291,203
643,203
2247,201
145 6,200
880,200
52,200
638,199
11 6 136,199
490 1 6,198
145 11 6,198
3589 3,198
2895,198
269 11 6,198
1777,198
1581,198
11 6 590,198
11 1 6 7,197
11 5 6,197
4 6 2,197
6 3 446,197
622 3,196
3826,196
246 11 6,195
487,195
640,195
880 3,195
1 446,195
11 6 1751,195
1 91 3,194
11 6 378,193
1180 3,193
90,193
6 993,192
11 6 3 667,192
6 993 3,192
2344 3,192
849,192
55 294,192
1 316,192
483 3,192
6 273 3,191
3317 3,191
635 3,190
1 18,190
535,190
303 3,190
638 3,189
11 218 3,189
6 378,189
11 218,189
3090,189
490 1 6 3,188
217 3,188
11 6 91 3,188
2309 3,188
27 55,188
1017 3,187
987 3,187
11 73,187
72 3,187
532 3,186
275 3,186
922 3,186
11 490 3,186
6 590 3,186
2895 3,186
6 504 3,185
1 3 64,185
4 3 7,185
648 6,185
2324,185
1 218 6 3,185
6 3 136,184
535 3,184
11 40 6 3,184
11 6 3 278,183
70,183
616 3,183
2186 3,182
11 91,182
205,182
509 3,181
293 3,181
11 4 1,181
1 3 316,181
11 77,180
218 55,180
2324 3,180
607 3,180
1 2 3,180
3315 3,179
3356,179
11 1 6 3 7,179
295 3,179
3620 3,179
11 1 6 138,179
11 6 316,179
4035 3,179
1039 3,178
11 6 3 438,178
54 3,178
145 1,178
275 6,178
4 490 3,178
11 6 662 136,177
3 667,177
1 6 73,177
3826 3,176
1105 3,176
737,176
2 55 3,176
749 3,176
314 6,175
2344 6,175
4 218,175
485 3,175
11 1 6 2 3,175
11 6 378 3,175
1 6 138 3,175
11 6 135,174
1 148,174
11 1 6 294 3,174
622 6,174
617 3,173
2081 6,173
509 6,173
1599 3,173
54 6 3,173
146 3,172
269 1,172
3090 3,172
4 27 3,172
3356 3,172
52 3,172
4 590,172
1 6 77,172
621 6,171
6 667,171
4 6 7,171
584,170
4 73,170
1637 3,170
11 6 993,170
82 3,170
2247 6,169
1 648,169
499,168
11 6 3 662 136,168
11 6 90,168
11 6 152 3,168
11 1 55,168
55 7,168
1 1751,168
11 6 3 136,167
1057 3,167
640 6 3,167
218 3 148,167
1581 6,167
922 6,166
69 11 6 3,166
11 6 303 3,166
633,166
246 11 6 3,166
3001 6 3,166
55 294 3,166
1777 6,166
2324 6,165
295 6,165
3181 6,165
378 3,165
1779 3,165
638 6,165
2895 6,165
897,165
55 64,165
56,164
677,164
3001 3,164
2324 6 3,164
3 14,164
644,164
11 3 77,164
11 6 18,164
11 648 6 3,163
3589 6,163
3604,163
4315 6,163
643 3,163
1164 6 3,162
6 135,162
1059 6,162
643 6,162
323 3,162
1 3 446,162
1770,162
70 3,162
4 6 2 3,162
3317 6,162
6 3 148,161
605 6,161
1855 6 3,161
640 6,161
265,160
535 6,160
1 6 316,160
11 3 73,160
488 6,160
488 6 3,160
3 644,160
6 14,159
6 55 7,159
11 490 1 6,159
612 6,159
1490 3,159
1581 3,159
1 6 3 64,158
4 91,158
11 6 504 3,158
1 6 3 316,158
145 11 6 3,158
291 3,158
2009 6,158
55 3 7,158
11 6 3 135,158
11 6 590 3,158
11 138 3,158
379,158
246 1,158
1078 6 3,158
11 1 55 3,158
1039 6 3,157
70 6,157
52 6,157
27 6 55,157
11 4 6 55 3,156
251 6,156
6 1144,156
11 4 6 2,156
603,156
607 6,156
1596 6 3,156
1777 6 3,155
485 6,155
1 6 3 73,155
3589 6 3,155
1599 6 3,155
1 273,155
217 6 3,155
605 6 3,154
616 6,154
880 6,154
1596 6,154
1180 6,154
1769,154
487 3,153
1144,153
749 6 3,153
490 2 3,153
11 27 1 6 3,153
2143,153
1489,153
247,152
6 55 294 3,152
11 278,152
1057 6,152
288 6,152
70 6 3,152
11 446,152
56 3,151
11 6 14,151
11 6 55 77,151
39,151
11 1 6 3 64,151
502 6,151
801 6 3,151
3 737,151
4 3 77,151
291 6,150
1581 6 3,150
2 294,150
290,150
52 6 3,150
1 6 993,150
11 1 218 6 148,150
1855 6,150
11 6 56 3,150
54 6,150
3090 6 3,150
82 6,150
2081 6 3,149
607 6 3,149
3003 6,149
6 3 278,149
269 1 6 3,149
2009 6 3,149
4315 3,149
11 6 215,149
1 6 446,149
1 1751 3,149
1056 6,149
269 11,149
1 3 7,149
291 6 3,149
6 2 55 3,149
11 3001 6,148
324,148
1 6 91 3,148
4 490 6,148
1 590 3,148
3315 6 3,148
82 6 3,148
1105 6 3,148
6 55 316,148
6 3 662 136,147
11 643 6,147
423,147
11 6 152,147
6 1065 3,147
6 86,147
1 18 3,146
1144 3,146
1 6 294,146
39 6,146
17 6 3,146
146 6,146
145 1 3,146
799 6 3,145
6 205,145
4990,145
922 6 3,145
11 17 6,145
1800,145
4 218 6,145
1800 3,145
11 6 91,145
69 1,145
916,145
5 1 6,144
603 6,144
11 993,144
11 1777 6,144
145 55,144
880 6 3,144
1524,144
11 27 1 6,144
1 6 136,144
6 55 138,144
6 3 205,143
11 314 6 3,143
55 3 64,143
6 56,143
6 3 135,143
6 3 422,143
11 1 6 55,143
4 138,143
6 670,143
452,143
218 6 7,143
4 278,143
1525,142
361,142
3 2145,142
4 6 3 64,142
1056 6 3,142
11 6 56,142
6 303,142
485 6 3,142
502 6 3,142
1 993 3,141
621 6 3,141
24,141
2186 6,141
3003 6 3,141
6 55 3 77,140
246 11,140
11 3 148,140
295 6 3,140
11 91 3,140
484 6,140
5655,140
