Element,Count
3,36133
6,30225
6 3,21780
11 6,12769
1,9766
11 6 3,9083
1 3,6629
11,6045
1 6,5046
4,4932
11 3,4382
1 6 3,4192
55,3561
4 6,3042
11 1 6,3036
55 3,3027
4 3,3000
4 6 3,2402
2,2262
6 55 3,2025
490,1855
27,1845
294 3,1818
11 1 6 3,1753
6 55,1749
7,1742
218,1716
294,1653
11 4 6,1631
64,1553
11 1,1539
11 4 6 3,1520
73,1517
6 294,1509
490 3,1491
6 2,1481
6 294 3,1416
4 1,1395
490 6,1319
3 73,1309
218 6,1306
6 7,1290
11 1 3,1214
27 6 3,1153
2 3,1152
4 1 3,1144
446,1136
218 6 3,1124
3 316,1091
148,1082
993,1081
1751,1079
11 4,1069
145,1061
152,1055
1 55 3,1054
5,1050
6 91,1041
11 6 2,1034
138 3,1034
3 77,1032
278,1029
18,1026
11 6 294,1024
6 3 64,1015
6 138,1014
11 6 2 3,1013
11 6 77,1010
6 77,1005
