Sketch,Memory,Precision,Execution,TopARE,TopAAE,Topk
8*512,35,0.622,18.804,2.8563,1167.5109,148
8*2048,84,0.622,26.199,0.5853,271.3804,148
8*5500,192,0.588,16.373,0.1961,83.4138,148
8*8900,297,0.628,25.806,0.128,52.129,148
8*12300,404,0.608,24.244,0.0864,36.1111,148
8*15700,510,0.608,19.534,0.0598,26.1667,148
8*19100,616,0.628,22.106,0.0477,20.043,148
8*22500,724,0.662,21.596,0.0435,18.1429,148
8*25900,829,0.649,21.153,0.0355,14.6042,148
8*29300,935,0.655,24.485,0.03,12.8763,148
8*32700,1041,0.622,23.852,0.0283,11.7717,148
