Element,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
11 1 6,2412
55 3,2377
4 6,2366
4 6 3,1783
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1197
294 3,1195
2 3,1152
7,1131
218,1083
11 4 6,954
64,931
6 294,917
6 2,913
11 1,910
73,875
91,838
11 4 6 3,809
490 3,799
218 3,774
6 294 3,769
11 6 55,761
4 1,754
3 7,734
27 3,730
218 6,714
6 2 3,703
490 6,670
138,666
3 73,665
77,648
11 6 55 3,644
316,628
27 6,615
1 55,613
11 1 3,588
3 64,556
6 3 7,538
490 6 3,526
6 64,507
6 73,504
27 6 3,494
3 316,489
446,488
218 6 3,487
4 1 3,486
11 6 2,458
3 77,441
6 91,438
993,433
148,427
145,425
4 1 6,419
6 3 64,418
246,416
138 3,414
11 4,413
5,412
1 55 3,412
152,412
648,409
91 3,402
269,399
590,397
6 3 73,396
6 77,393
278,390
11 6 77,385
1751,380
11 6 2 3,374
6 138,370
18,364
1 6 55,362
11 6 7,359
11 6 294 3,358
11 55,343
11 6 138,335
11 218 6,327
11 4 3,318
6 316,318
3 446,316
6 3 77,311
11 490 6,307
11 6 3 77,298
11 6 3 7,297
1 2,293
11 27 6,289
269 3,288
6 3 316,285
11 55 3,283
4 1 6 3,280
69,272
11 218 6 3,265
4 55,264
145 3,260
6 446,258
993 3,256
303,251
1 294,249
6 278,247
11 6 64,247
69 11 6,242
273,242
648 3,241
83,241
246 6,237
11 27 6 3,237
3 148,235
6 148,235
215 3,234
1 7,234
11 6 3 64,234
246 3,233
1 294 3,231
4 55 3,230
152 3,230
145 6,227
6 91 3,227
1 6 55 3,226
504,224
18 3,224
6 993,223
1751 3,223
5 3,223
11 6 73,223
303 3,219
11 218 6 148,218
5 6,215
490 1,214
6 18,213
11 6 138 3,213
11 4 1 6,209
648 6,204
269 6,203
11 6 3 73,203
136,202
69 6,202
6 3 446,197
27 1,196
590 3,195
69 11 6 3,194
6 3 148,191
6 590,186
11 2,184
1 218,182
269 6 3,181
3 737,180
11 6 316,179
987,178
69 3,178
737,176
504 3,175
4 294,173
1 64,172
1 6 294,172
11 1 6 55,170
246 6 3,170
1 218 3,169
11 6 83,168
17,168
509,166
1 6 2,165
6 504,165
11 6 446,161
6 737,161
11 6 3 316,161
273 3,160
69 6 3,160
635,156
490 1 3,156
54,154
11 490,153
83 3,152
1779,152
3317,149
6 83 3,149
3 136,149
11 6 215,149
314,148
1017,147
6 83,146
11 6 91,145
5 6 3,144
6 18 3,144
3589,144
1 218 6,143
295,141
2186,141
6 273,140
11 2 3,139
638,137
11 294,137
11 6 3 737,136
605,135
269 11 6 3,135
617,135
6 3 737,134
72,134
616,134
40 3,133
11 294 3,133
275,133
2081,133
11 6 3 446,132
82,132
3003,132
11 7,132
4 490,132
3347,131
1599,131
643,131
3315,131
4426,131
2309,131
6 1751 3,130
145 6 3,130
288,130
3764,130
27 1 6,130
11 6 215 3,129
2985,129
640,129
484,129
622,128
218 6 148,128
749,127
4 7,127
1850,127
6 152 3,127
314 3,127
1177,127
922,126
1 3 73,126
1 6 64,125
607,124
2324,123
4 294 3,123
11 40 6,123
1777,122
4035,122
1 6 3 7,122
1637,121
849,121
269 11 6,120
4426 3,120
6 303 3,120
2 55,119
11 64,119
6 378,119
490 1 6,119
532,119
11 6 136,118
246 11 6,118
11 6 273,118
2247,117
17 3,117
1 138 3,116
70,116
483,116
6 993 3,116
1 6 73,115
635 3,115
11 5 6,114
40 6,114
293,113
251,112
1078 3,112
3181,112
1056,112
621 3,112
52,111
11 490 3,111
1164 3,111
4 218,111
2895 3,111
217 3,110
1039,110
1 3 316,110
6 273 3,110
880 3,109
11 6 1751,108
3317 3,108
52 3,108
145 1,108
314 6,108
1 278,108
11 6 378,107
4035 3,107
14,107
1039 3,107
799 3,107
90,106
3181 3,106
483 3,106
6 590 3,106
11 73,106
288 3,105
1 218 6 3,105
987 3,105
638 3,105
987 6,105
3620 3,105
145 11 6,104
323 3,104
11 6 278,104
11 6 3 278,104
6 3 136,104
11 6 378 3,104
11 6 590,104
3347 3,103
1777 3,103
11 218 3,103
275 3,103
801,103
11 6 83 3,102
11 6 3 667,101
2344 6,101
1855 3,101
2 55 3,100
11 91,100
11 6 916,100
295 3,100
1180,99
205,99
1850 3,98
667,98
5 1,98
1637 3,97
11 40 6 3,97
17 6,97
4 3 7,97
1 1751,97
1 648,97
4 6 2,96
2324 3,96
293 3,96
11 3 73,95
849 6,95
291 3,95
11 6 3 438,95
4 490 3,95
880,95
54 3,95
4 3 73,95
1177 6,95
6 667,94
1 148,94
11 77,94
3003 3,94
584,93
4 73,93
749 6,93
3826 3,93
291,93
2009 3,93
11 314 6,92
146 3,92
987 6 3,92
6 438,92
648 6 3,91
3356 3,91
246 1,91
27 55,90
11 6 152,90
643 3,89
509 6,89
1490 3,89
3589 3,89
801 6,89
323,89
275 6,89
11 6 18,88
532 6,88
1779 6,88
2247 6,87
246 11 6 3,87
640 6,87
1 3 446,87
217 6,87
11 6 993 3,86
849 3,86
605 3,86
1 6 3 73,86
55 7,86
1164 6,86
677,86
55 73,85
3003 6,85
11 1 6 3 7,85
1596 6 3,85
3620 6,84
801 3,84
644,84
54 6 3,84
11 6 3 135,84
2081 6 3,83
11 1 6 64,83
2081 6,83
11 3 316,83
612,83
11 1 6 77,82
643 6,82
799 6,82
11 6 438,82
1065,82
1777 6,82
4 27 3,81
11 1 6 2 3,81
3181 6,81
55 64,81
880 6,81
502 6,81
6 662 136,80
617 6,80
6 55 294 3,80
640 6 3,80
621 6,80
86,79
11 6 590 3,79
1855 6,79
17 6 3,79
218 55 3,79
1 6 3 64,79
2324 6,78
4 91,78
82 6,77
1039 6,77
6 677,77
3347 6 3,77
1 83,76
1779 6 3,75
1850 6,75
656 6,75
11 1 6 3 77,74
146 6,74
2186 3,74
4426 6,73
323 6,73
670,72
218 6 55,72
916,72
3 677,72
4 6 2 3,72
3 87,72
2186 6 3,71
11 648 6 3,71
6 55 294,70
622 6 3,70
484 6 3,69
4 64,68
11 138 3,68
11 27 1 6 3,68
1637 6 3,68
11 6 273 3,68
880 6 3,67
295 6 3,67
218 148,67
39,65
496,65
643 6 3,64
4 316,64
4 27 6,64
492,63
4 6 294,63
423,63
218 6 55 3,63
2009 6 3,63
55 316,62
1056 6 3,61
11 1 6 91,61
2895 6,61
1 6 3 148,59
4588,59
3604 3,59
70 3,59
49,58
4 6 77,58
3090 6,56
2324 1,56
11 648,56
6 78,55
6 3 916,54
246 4,54
6 321,52
11 3 64,51
535 1,49
448,49
269 55 3,48
11 3003 6 3,48
6 866,48
11 6 3 573,47
55 3 278,47
11 4035 6,47
6 294 7,46
11 590 3,45
3 1101,44
232 3,43
142,43
11 6 901,43
11 251 3,43
4 291,42
3 4415,42
69 11 6 3 77,41
1044,41
11 218 6 13513 2448 64,40
6 12,40
11 6 294 64,40
334 3,40
11 6 350,40
3003 1 3,40
1 218 148,39
6 18600,38
369,38
11 6 7465 5419 438,38
3 568,38
6 5234 64,38
28040 3018,38
69 3764 294 3,38
269 11 6 77,38
11 6 83 5386 64 934 28 7 32 5899 5900 8158 3292 85 897 86 77,38
490 737,38
1451 3,38
3 1774,37
291 8620 40 659,37
582,37
11 218 6 2,37
11 6 3 24,37
4 502 6,37
1 254,37
1057 1 3 740,36
1 205,36
11 6 83 3 7 87,36
11 4 2309 7384,36
3225 25302,36
483 1 6 3,36
2 2812 6848,36
6 3 278 611,36
11 218 6 1803 4026 1144 762 5653 364 1810 3 93 4591 4628 4966 14 3489 97 98 397 102 103 1716 104 105 629 559 106 710 3613 108 1744 110 111 112 113 114 4321 115 1745 1854 116 3845 118 852 119 5388 1718 3460 127 1719 2057 130 3788 131 132 954 6247 3812 5752 584 7880 644 64 1481 1037 3700 725 732 738 2065 633 148 438 3959 137 1014,36
72 1569 6 9415,36
1 1007,36
1 55 3 278,36
7788 3,36
2966,36
1011,36
72 2022,36
1569 1,36
3 1956,36
11 987 218 6 1754 3197 2257 3 148,36
11 6 3454 3,36
11 6 1912,36
27 6 55 138 13771 28 7 6428 5803 6777 8306 10532 2391 2393 2226 15419 32 87,35
4035 1 367 3,35
6 3784,35
495,35
11 27 6 7 1956 8938 10141 5912 19899 49 205 2817 6293 10530 3172 1140,35
1 6 6006 14199,35
