Sketch,Memory,Precision,Execution,TopARE,TopAAE,Topk,lambda
8*512,138,0.545,227.04,0.4255,2525.3481,1033,16
8*2400,197,0.545,211.968,0.0556,316.9503,1033,16
8*5500,293,0.566,238.584,0.0156,89.7214,1033,16
8*8900,400,0.551,263.945,0.0088,45.993,1033,16
8*12300,505,0.542,218.916,0.0049,26.9929,1033,16
8*15200,597,0.564,219.061,0.0032,17.6226,1033,16
8*18400,697,0.57,230.998,0.0027,15.6978,1033,16
8*21600,797,0.553,228.591,0.0025,13.6795,1033,16
8*24800,897,0.566,237.51,0.0015,8.6701,1033,16
8*28000,997,0.544,257.146,0.0015,8.3167,1033,16
