Element,Count
b'\xd2\x1d9\xfa',168915
b'\xc6X\xda\x88',122440
b'\xb7\xf6h\xd0',113818
b'E.\x1c)',103233
"b'c\x9e,\xb5'",102346
b'V+x\xe8',93412
b'\x01l$\xce',87433
b'\xd8\x1eL\xf0',84654
b'\x01l|\xff',82713
b'\x01l$\x98',76089
b'\x01l|\xec',69683
"b'\xc6X\xdd,'",66989
b'E\x0c\xd5\xf5',58580
"b'c\x9e,z'",57659
b'\x90\xbcT\x17',55356
"b'c\x9e,{'",55335
b'\xc9W\xf7#',52659
b'e\x86\xc2d',47866
b'c\x9e.\xa7',46828
b'c\x9e.\xb4',46564
b'c\x9e.\xb5',44938
b'c\x9e.\xa6',44098
b'E\x0c\xd5\xf7',43154
b'\x9b\xbc<\xeb',40429
b'\xc7\xe8~#',39722
b'E\x0c\xd5\xed',39454
b'\x05?\xc10',39386
b'\x86\x82d8',38338
b'\xdc\x1bP\xe1',37077
b'\r\x01W\xaa',36131
b'\x8e\xa1\x17M',36089
b'uT\x80\xd8',35999
b'c\x0f\xb2\xd4',35755
b'\x8e\xa1\x17L',35470
b'\xdd\x01b\xdd',35419
b'z\xdd\xc7\x86',35289
b'\xb8e\xb7\x0c',34895
b'I\x95\xba\xfb',34607
b'\x91\xdc\xd6\x91',34260
b'<\xf2\xdc\xd0',34190
b'\xce\x93D[',34177
b'\xc6X\xdd-',34101
b'\xdc\x1bP\xc6',33959
b'\xc7\xe8~\x1c',33945
b'\xd0\xfd=\x0e',33001
b'p\xe01\xdd',32893
b'E\x0c\xd5\xf4',32597
b'\x82\x19\x1e\xc0',32524
b'\x80\xaf\x0b\xbd',32466
b'\xb7\xe8L\xb1',32065
b'\xdc\x90\xcd\x9d',31776
b'OZ\x0e\xae',31707
b'A\xad4S',31406
b'\xb7\x96U\xe9',31223
b'\xdc\x1bP\xe6',30672
b'c9\xbb\\',30101
b'c9\xbb]',30005
b'\xcf\x95\xbfM',29866
b'p\x97\xa1\xa3',29064
b'\xd2\x1e\xbeh',28936
b'\xdd\x01b\xdf',28763
b'\xce\x92\xa0\x80',28715
b'r\x01\xb8p',28461
b'{\xecL\x9b',28425
b'\xab\xa5\xc3\xd5',28388
b'\xb7\xa6\x11{',28295
b'c9\xbbE',28109
b'p\x97\xa1\xa9',27999
b'c9\xbbp',27774
b'p\x97\xa1\xb6',27756
b'l*\xf2{',27707
b'c9\xbb^',27698
b'\x0c$\x02\x95',27680
b'A\xad4`',27657
