Element,Count
122,72508
8,69349
49,59525
124,46414
516,46356
51,39881
171,39569
150,39447
121,38702
158,35133
146,34204
149,34169
878,33906
60,33370
308,33091
22,30589
379,30370
514,29506
1,29156
84,29126
524,28690
81,27626
511,24536
6,23389
140,23154
590,22851
469,22572
406,22334
9,22298
88,21858
76,21765
519,21603
444,21301
422,21110
506,20796
72,20694
20,20512
472,20361
561,19819
123,19815
53,19610
863,19254
220,19011
448,19010
147,18970
142,18941
116,18809
48,18803
376,18717
275,18670
185,18584
338,18554
459,18369
509,18338
380,18095
294,18057
520,18047
873,17778
646,17664
845,17611
401,17525
14,17500
361,17484
857,17377
157,17249
998,17193
402,17175
355,17006
468,16892
475,16744
485,16743
313,16702
330,16677
842,16655
591,16626
138,16593
536,16587
112,16489
54,16077
1793,15750
238,15745
31,15731
461,15727
21,15577
1236,15567
370,15480
340,15334
684,15065
208,14867
228,14792
521,14623
419,14478
90,14370
40,14339
369,14235
510,14201
679,14162
455,14078
503,14017
1345,13963
319,13960
595,13951
563,13916
1181,13895
1029,13857
386,13851
764,13735
287,13721
1158,13656
1024,13540
198,13521
312,13378
596,13366
414,13350
66,13230
493,13150
439,13102
1206,13081
588,13066
225,13036
331,13022
884,12982
389,12944
202,12885
398,12767
165,12614
168,12599
431,12559
586,12533
1112,12472
934,12406
659,12365
906,12198
2188,12043
1977,12041
381,12041
1242,11979
306,11907
1440,11855
560,11722
30,11719
154,11706
377,11642
490,11640
325,11598
280,11575
55,11569
332,11567
18,11443
42,11387
992,11371
86,11244
187,11240
335,11194
673,11178
1523,11117
1114,11116
85,11082
430,10991
879,10859
1432,10849
523,10829
543,10666
1172,10657
191,10618
980,10607
790,10568
1801,10568
838,10496
1312,10436
453,10428
359,10382
513,10348
13,10332
528,10237
1003,10237
400,10215
870,10184
803,10159
412,10128
354,10087
746,10049
495,10005
216,9937
794,9934
858,9907
1095,9889
393,9815
174,9770
1324,9765
346,9761
92,9759
486,9757
241,9752
38,9751
1368,9746
1835,9718
1648,9696
259,9655
177,9644
1244,9635
530,9617
1136,9483
362,9481
426,9437
2154,9420
1149,9386
692,9255
881,9250
345,9235
1659,9233
598,9229
1156,9229
44,9228
2179,9223
258,9185
206,9161
221,9122
1005,9092
217,9041
435,9031
447,9003
109,8984
718,8961
1034,8925
1823,8921
581,8901
917,8886
10,8879
816,8875
1699,8762
791,8700
2257,8661
274,8573
392,8504
2380,8497
425,8480
629,8469
152,8425
236,8362
24,8313
1045,8285
250,8282
1111,8235
316,8221
1629,8213
126,8206
1032,8161
302,8111
2226,8088
413,8009
387,7986
264,7981
979,7971
473,7968
73,7894
1020,7875
207,7873
452,7862
1992,7851
357,7814
467,7771
2355,7746
890,7741
107,7739
181,7714
902,7711
478,7700
2076,7693
2163,7684
465,7673
738,7658
102,7611
726,7607
1055,7603
1476,7587
1640,7571
930,7560
709,7508
2150,7432
460,7404
814,7394
732,7393
698,7380
2975,7375
188,7346
244,7315
1299,7294
1270,7279
1951,7266
701,7261
164,7252
303,7221
640,7220
576,7174
329,7171
2389,7121
231,7101
529,7032
1828,6977
518,6975
1200,6966
1423,6963
993,6962
1012,6941
394,6897
1304,6869
1625,6835
434,6790
571,6774
195,6749
307,6702
2318,6701
1349,6640
290,6633
970,6607
175,6564
484,6497
499,6463
740,6436
