Element,Count
b'\xd2\x1d9\xfa',16889
b'E.\x1c)',11647
b'V+x\xe8',10113
b'\xc6X\xda\x88',9739
b'\xb7\xf6h\xd0',8981
b'\x01l|\xec',8554
b'\x01l|\xff',8418
"b'c\x9e,\xb5'",8263
"b'\xc6X\xdd,'",7049
b'\xdd\x01b\xdd',6673
b'c\x0f\xb2\xd4',6244
b'\xd8\x1eL\xf0',6154
"b'c\x9e,b'",5570
b'E\x0c\xd5\xf4',5506
"b'c\x9e,{'",5276
b'E\x0c\xd5\xf7',5193
b'E\x0c\xd5\xf5',5003
"b'c\x9e,z'",4723
b'\x01l$\xce',4622
b'\x80-\xe5d',4482
b'\xdd\x01b\xdf',4246
b'\r\xe1\x94\xb7',4081
b'~.~\x13',4074
b'\xcf\x88\xee\xa0',4054
b'\x800\xeeP',3967
b'\x05\x06\x1b\xd0',3767
b'\x82+!!',3629
b'ur=\xf2',3579
b'c\x9e.\xa7',3553
b'p\x97\xa1\xa9',3526
b'A\xad4b',3485
b'OZ\x0e\xae',3425
b'e\x86\xc2d',3417
b'\r\x01W\xaa',3407
b'c\x9e.\xb5',3393
b'c\x9e.\xb4',3365
b'I\x95\xba\xfb',3292
b'\xdc\x1bP\xe4',3251
b'\xdc\x90\xcd\x9d',3245
b'c\x9e.\xa6',3215
b'\xdc\x1bP\xe7',3169
b'h8\xc7i',3123
b'p\xe01\xdd',3033
b'\x8e\xa1\x17L',3013
b'\xd0\xfd=\x0e',3000
b'w\xfa\x1d\xcf',2988
b'\x05\x11}\x9e',2985
b'd\xa2\x1d<',2975
b'\x01l|\xab',2918
b'\x05?\xc10',2892
b'\x80\x11\xf0!',2891
b'\x89\xa0\x02\xb7',2864
b'\x91\xdc\xd6\x91',2859
b'A\xad4a',2811
b'l*\xf2{',2740
b'\xb7\x96U\xe9',2724
b'\xa9\xaf\xea_',2717
"b""\xcf\x88\xf6'""",2689
b'\x80\xaf\x0b\xbd',2688
b'\xca\xc4\x0c\x9b',2674
b'\xc7\xe8~#',2655
b'<\xf2\xdc\xd0',2644
b'\xdc\x1bP\xef',2595
"b'\x06\x88,\x96'",2542
b'\xc9&\xf8\x83',2540
b'@h\x07v',2531
b'\x90\xbcT\x17',2508
b'\x0c$\x02\x95',2501
b'\x82\x19\x1e\xc0',2498
b'p\x97\xa1\xa3',2474
"b'\x82,X\xab'",2424
b'\x9b\xbc<\xeb',2406
b'uT\x80\xd8',2380
b'\xd8\x1en\xff',2376
b'Ae\x8a}',2359
b'z\x0c\x8c)',2357
b'\xcd\xa9\x980',2351
b'\x99\xc1\x89\x07',2341
b'+?\x82\xd6',2340
b'A\xad4S',2334
"b""'&\xec\xc2""",2307
b'\xc5\x16\x7f.',2292
b'+\x1aq\xaf',2247
b'\xdc\x1bP\xc6',2219
b'w\xed\x0f\x9c',2204
b'\x99\xc1\x96\xf6',2203
b'p\x97\xa1\xa2',2178
"b""\x82'0.""",2172
b'\x99\xc1\x8f\x14',2165
b'r\x01\xb8p',2157
b'\xc6X\xdc\xed',2141
b'\xb7\x9ac\x0c',2086
b'\x82\x05\x1a\xea',2076
b'E\x0c\xd5\xed',2047
b'\xcf\x88\xd9s',2040
b'p\x7f\xc4\xc1',2034
b'\xca\xe0p\x04',2029
b'\x99\xc1\x8f\x05',2023
b'\xce\x96]\xca',1990
b'f\x06\x9c\xc0',1979
b'\xd2\x1d<\xb0',1970
b'\xcc\xc0(X',1956
b'{\xecL\x9b',1946
b'\x7f\xd31+',1941
b'\x80&F\xb4',1940
b'c9\xbb[',1933
b'c9\xbbt',1913
b'e\x10:\xe3',1907
b'c9\xbbP',1877
b'E\x0c\xd1K',1874
b'c9\xbb]',1873
b'p\x97\xa1\xb6',1870
"b'\xcc\xc0`""'",1869
b'\x99\xc1\x96\xf4',1869
b'c9\xbbZ',1865
b'\xb7\xd8\x8f\x91',1854
b'c9\xbbF',1848
b'{\xed\xab\xc4',1840
b'\x9d>\x05\x91',1836
b'7}0\xfe',1833
b'\x80\r\xff\x9c',1812
b'B\xfebQ',1806
b'\xcf\x9e/\xbe',1803
b'\xce\x92\xa0\x80',1791
b'\xb7\xa6\x11{',1785
b'z\x08\xb1B',1777
b'p\x97\xa1\x9c',1736
b'c9\xbb\\',1725
b'\x87n\xcd\x9d',1723
b'#\xf0\xc2\xfb',1716
b'\xb7\xbcBz',1716
b'\xcf\x81\xc8\xfa',1716
b'~c\x9a\x99',1704
