0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
6922,4022,1322,1124,3562,1623,2638,1392,1480,2752,943,1210,4493,1398,9316,2428
1659,4705,992,2122,1537,2326,2693,2316,1655,3419,1877,1374,1927,2527,3145,1051
912,779,1076,5189,1460,2112,1663,827,2388,939,3906,14197,1932,1210,1243,1969
2138,2755,1888,6834,1085,1885,790,1874,1690,1287,1867,1733,2045,5558,717,933
3110,1959,2086,2473,767,1014,2638,1499,3966,2051,5409,1489,925,1217,3624,2137
3024,990,1594,1498,2273,1549,4226,4183,2630,2687,889,2992,3815,2189,2669,1354
807,1335,6452,3489,4522,690,1063,3481,1487,5193,788,1827,1737,944,3847,1266
1624,3029,4008,941,3859,1158,1850,6892,1838,3224,1244,893,825,4718,4975,987
748,2592,1291,771,1232,946,1319,1767,3445,1140,2290,1401,3395,1315,671,2235
914,924,4428,1137,2195,871,2165,1228,4718,4643,1699,2896,2054,1011,1778,769
797,1073,2391,1520,1749,1648,1095,4102,1211,2153,823,1611,1045,508,956,1688
1707,2480,3043,972,1476,2220,1549,4096,1196,2013,2141,1011,605,1925,1879,1355
1259,1268,1353,847,1049,1152,2727,3714,1750,1296,1191,1366,1154,1049,1750,1208
1102,1382,2610,731,1237,1041,1409,1876,1034,1286,1779,718,837,3250,1268,481
1882,638,685,2388,2778,1270,4750,876,763,965,577,894,1347,1317,2153,2442
813,1688,774,1145,2363,1290,695,2817,4474,1025,2214,1266,1224,1357,2037,1740
1948,5005,2276,754,2043,3150,2328,1411,1555,864,753,973,1806,887,2441,2941
1067,809,1952,6182,1367,815,599,1268,2759,973,3125,1992,1551,1232,741,1704
998,1326,873,2905,1661,1210,762,978,1774,1391,2660,1463,1101,714,1818,807
903,1150,1103,1226,1045,1139,1574,384,526,649,2655,650,482,952,1214,622
2366,2343,4617,4193,1384,1195,855,2485,1275,966,1616,2355,1994,3250,2890,1495
3660,1112,977,1409,1276,1153,2042,3023,3561,809,2147,1991,1331,1533,948,1200
6367,2438,4829,699,3045,942,2244,15604,2354,1477,793,856,1508,758,808,1801
1419,3334,2606,1842,3014,2648,1310,2536,1237,1888,1032,1494,5115,1374,1251,1593
3323,680,1503,1150,1937,1538,1594,2621,2951,1996,946,18967,1953,1684,776,1560
2733,2455,2253,2555,3044,1883,1439,1627,1789,662,1101,3103,1802,2569,4376,1625
2966,3078,565,921,1600,3817,1885,3704,1856,3718,2441,787,1394,2151,657,1392
1586,972,765,1384,3002,883,1709,2043,861,1348,1137,1198,1665,1362,1453,814
1812,1464,781,401,2225,1648,3249,1473,1371,520,1939,2272,2515,723,563,1475
2175,1277,1317,1394,3017,580,3808,2131,4371,2730,1610,1765,5041,2127,4007,1180
1682,2053,2261,7793,1792,4951,749,1837,1021,909,1914,4283,1759,3617,3948,2900
1301,917,1988,1218,1735,765,1226,1041,952,1567,1238,4171,3374,812,2455,1046
3352,2417,1560,3968,2837,1028,1137,1226,2113,1355,1767,2899,1058,1426,1048,5826
1359,1544,2387,1550,1297,1575,3490,2570,3263,2206,3522,699,826,1268,1840,1934
1084,1874,1832,840,1982,1520,1150,2312,1068,2355,1553,1353,4841,1326,779,942
581,2458,1151,1508,1333,1346,1581,626,1192,9945,642,2778,666,1095,715,1276
837,1326,3460,891,2598,1063,1194,1997,2251,1259,1996,2557,2609,2739,1998,3800
833,3121,1114,946,3475,3871,1783,3047,2094,1385,3291,2312,2606,3320,2727,4347
935,1545,1076,1665,1209,5313,1071,1039,1753,1626,3184,4083,2573,764,1215,3068
1320,964,3886,1980,715,1668,2774,3184,8426,1499,2816,1006,1193,5315,883,2419
2612,2366,1267,653,1070,513,964,4378,3937,2659,1274,800,2565,1199,1315,2789
2927,2048,793,3499,857,7225,969,1335,1231,2278,2738,2080,925,550,2612,1097
1342,4116,3032,2579,1107,1676,787,666,2242,909,2628,638,1721,4865,3053,997
2113,1155,5514,2212,1625,1719,1374,898,3174,960,3238,843,3194,1876,1413,1950
1115,825,1183,903,970,2614,1296,2462,648,1398,2317,1104,1492,2631,1120,950
1076,661,1052,2130,4467,2839,1950,1521,1561,2015,5872,3054,1805,4887,1820,4267
980,968,2396,1183,1002,973,1363,745,802,1641,932,1274,1751,968,1480,1239
1375,930,1846,2717,1124,1882,1271,850,3937,2751,3014,1802,636,2901,2091,1732
3369,4572,2780,1679,1480,956,2183,798,1254,1586,1453,847,1180,8461,1545,1145
738,863,1111,2378,2893,709,31925,1384,2059,1855,2090,3691,4598,1000,1409,916
553,743,1875,1095,845,627,1392,4520,2259,901,1298,2554,1419,797,1686,1121
1629,995,3033,10428,5422,4063,748,1645,918,886,2329,971,998,1179,1068,2114
1021,1866,3446,945,1392,2117,1211,1620,3832,1246,2183,1850,906,1789,2024,1623
