Element,Count
b'\xd2\x1d9\xfa',168915
b'\xc6X\xda\x88',122440
b'\xb7\xf6h\xd0',106016
b'E.\x1c)',103233
"b'c\x9e,\xb5'",93998
b'V+x\xe8',85947
b'\x01l|\xff',82713
b'\x01l$\xce',79924
b'\xd8\x1eL\xf0',78834
b'\x01l$\x98',69059
"b'\xc6X\xdd,'",66989
b'\x01l|\xec',61469
"b'c\x9e,b'",60445
b'\x90\xbcT\x17',55356
"b'c\x9e,{'",55335
b'E\x0c\xd5\xf5',51724
"b'c\x9e,z'",49337
b'\x05\x06\x1b\xd0',46031
b'e\x86\xc2d',42023
b'c\x9e.\xa7',39440
b'\x1d\xb9\x7f\xd3',39028
b'+?\x82\xd6',38398
b'E\x0c\xd5\xf7',38012
b'c\x9e.\xb5',37752
b'c\x9e.\xb4',37522
b'\x8e\xa1\x17L',35470
b'c\x9e.\xa6',35330
b'I\x95\xba\xfb',34607
b'\x91\xdc\xd6\x91',34260
b'\xd0\xfd=\x0e',33001
b'p\xe01\xdd',32893
b'\x05?\xc10',32472
b'OZ\x0e\xae',31707
b'E\x0c\xd5\xed',31540
b'\xc7\xe8~#',30956
b'\x9b\xbc<\xeb',30950
b'\x86\x82d8',30316
b'\x8e\xa1\x17M',29996
b'\xdc\x1bP\xe1',29783
b'\r\x01W\xaa',29315
b'<\xf2\xdc\xd0',29158
b'B\xf2A\x84',28904
b'\xdd\x01b\xdf',28763
b'\xb8e\xb7\x0c',28663
b'uT\x80\xd8',28501
b'\xc9&\xf8\x83',28279
b'\xdd\x01b\xdd',28195
b'p\x97\xa1\xa9',27999
b'\xce\x93D[',27984
b'\x05\x11}\x9e',27759
b'c\x0f\xb2\xd4',27700
b'\x0c$\x02\x95',27680
