Element,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2339
4 6 3,1754
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1165
294 3,1159
2 3,1152
7,1100
218,1053
11 4 6,954
64,907
6 294,883
11 1,878
6 2,867
73,845
91,838
11 4 6 3,809
490 3,793
4 1,754
11 6 55,752
6 294 3,743
3 7,734
218 3,730
27 3,730
6 2 3,673
6 7,660
218 6,650
77,648
3 73,639
138,638
490 6,632
316,628
27 6,606
11 6 55 3,596
11 1 3,576
1 55,574
3 64,556
6 3 7,532
218 6 3,487
4 1 3,474
6 73,467
446,461
6 64,458
3 316,457
27 6 3,433
148,427
11 6 2,422
145,417
246,416
490 6 3,411
6 91,405
269,399
3 77,394
6 77,393
278,387
4 1 6,387
648,383
993,382
1 55 3,379
138 3,377
91 3,376
11 4,376
5,375
11 6 294,375
1751,372
6 138,370
6 3 73,370
6 3 64,367
152,359
11 6 7,359
11 6 77,355
590,351
11 6 2 3,344
1 6 55,332
18,329
11 6 294 3,317
6 3 77,311
6 138 3,298
11 55,298
11 218 6,298
11 6 3 7,297
11 4 3,284
4 1 6 3,280
11 6 138,278
6 316,276
215,259
3 278,258
1 2,258
6 3 316,255
3 446,252
269 3,250
11 490 6 3,249
1 294,249
11 6 64,247
303,244
69 11 6,242
6 446,237
3 148,235
11 6 3 77,234
11 490 6,229
145 3,227
1 6 55 3,226
11 27 6,222
6 278,217
490 1,214
11 6 3 64,209
11 27 6 3,206
1 7,205
4 55,201
1 294 3,199
18 3,197
11 55 3,194
215 3,194
11 218 6 148,191
590 3,190
246 6,190
6 91 3,189
69,188
648 6,185
6 148,185
1751 3,184
993 3,182
273,181
6 3 446,181
1 2 3,180
4 55 3,180
6 18,180
246 3,179
737,176
136,175
145 6,174
27 1,172
5 6,172
303 3,169
11 6 138 3,168
11 6 316,168
504,167
11 6 3 73,167
152 3,167
6 152,167
11 6 73,163
11 4 1 6,163
6 993,155
11 218 6 3,153
69 11 6 3,152
5 3,150
11 6 215,149
1 3 7,149
11 6 91,145
69 3,144
1 64,142
4 6 55,142
3 737,141
83,131
11 6 83,129
269 6,127
11 2,125
490 1 3,124
3317,124
6 590,123
11 490,121
1 91,119
483,116
54,115
1 218 6,115
1 6 294 3,114
11 4 1 6 3,113
17,113
648 3,112
1017,112
11 27,111
1779,110
1 218 3,110
40,110
504 3,108
27 1 3,108
11 6 667,107
14,107
4 2,105
5 6 3,104
11 6 278,104
801,103
617,103
4 6 55 3,102
6 303,102
6 3 148,102
4426,102
6 1751,100
622,99
1180,99
643,98
72,97
11 6 737,97
11 294,97
607,97
485,95
6 3 737,95
1177,95
55 294,94
314,94
11 6 3 737,93
1 6 7,93
1059,93
291,93
4 7,92
293,92
6 215 3,92
648 6 3,91
1057,90
640,90
323,89
11 40 6,89
1164,88
4 294,88
3001,88
1490,87
922,86
6 737,86
3 136,85
801 3,84
314 3,84
612,83
11 6 303,82
6 378,82
1105,82
1065,82
1850,81
1 138 3,81
509,81
6 1751 3,80
69 6 3,80
880 3,79
2344,78
3347,77
52 3,77
1596,77
6 273 3,77
11 1 6 2,76
2 55 3,76
378,75
3317 3,75
6 136,75
4426 3,73
656,73
1 648,72
656 3,72
11 490 3,72
6 215,70
1637,70
11 6 378,69
3003,68
987,68
6 273,68
3826 3,67
928,67
11 218 6 3 148,66
11 2 3,66
6 3 278,66
5 1,65
4 6 2,65
275 3,65
11 6 135,65
4 294 3,64
438,64
27 1 6 3,63
532 3,63
1 6 2,63
6 667,63
509 3,63
4 6 294,63
11 73,62
52,62
1 138,62
1017 3,62
1596 3,62
488 3,61
3620,61
4 490 3,60
532,60
670,60
145 11 6,60
70 3,59
849 3,59
11 6 378 3,59
6 993 3,59
928 3,58
1 3 316,58
246 11 6,58
146 3,57
1 91 3,57
1105 3,57
1 6 138,57
3090 6,56
6 3 136,56
2895,56
1 6 294,56
314 6 3,55
11 1 6 77,55
1 446,55
11 6 148,53
6 590 3,53
3589 3,53
251,53
880,52
621,52
2186 3,51
1039,51
11 3 64,51
4035 6,51
1490 6,50
6 152 3,50
617 6,50
638,50
640 6 3,50
1599,50
273 3,50
55 64,49
218 55,49
11 6 136,48
11 91,48
509 6,48
1 218 6 3,48
1056,48
3315 6,48
799 6,47
11 1 6 55,47
535 6,46
1059 3,46
40 6,46
1637 6,45
11 6 3 316,45
1 3 73,45
749 3,45
145 11 6 3,44
612 6,44
69 11 1 6,44
502,43
667,43
11 6 152,43
288,43
82 6,42
2324 6,42
1 3 148,42
11 1 6 55 3,42
1177 3,40
11 6 993,40
11 6 3 667,40
4315 3,39
1599 3,39
4 218 6,39
251 3,38
487 6 3,38
3356 6 3,38
6 1144,37
70 6 3,36
1 6 3 7,36
11 40 6 3,36
46,36
1059 6 3,36
616 6 3,36
484 6 3,36
2247 6,36
1 6 590,36
1 3 446,35
801 6 3,35
295 3,34
11 648,34
490 2 3,34
488 6 3,34
4 6 2 3,33
1057 6 3,33
3589 6,32
205,32
2081,32
218 6 3 148,32
3 496,32
323 6,32
11 6 423,32
3090 3,31
1039 3,31
3003 3,31
11 5 6 3,31
1489,31
11 27 1 6,31
6 83,29
6 662 136,29
643 3,29
6 3 135,29
70 6,29
11 1751,29
1118,29
6 56,28
1850 3,28
2247,28
5 1 3,28
269 4,27
1 1751,27
55 7,27
11 535 6,27
4 3 316,27
2009 3,26
11 1 6 138,26
11 5,25
1524,25
467,25
288 3,25
11 1 6 138 3,24
11 502 6,24
11 3001 6 3,24
6 78,24
662 136,23
55 138 3,23
246 4,23
928 6,23
4 3 64,23
11 1 55 3,23
69 11 6 55,23
11 3181 6 3,22
25,22
502 3,21
3 662,21
11 3764 6,21
6 504 3,21
11 1 6 64,21
799 3,21
1 6 3 77,21
3764 3,21
3764 6,20
11 70 6,20
536,20
11 6 1748,20
1180 6,20
6 3 1023,20
1 6 83,19
656 6 3,19
1078 3,19
607 6 3,19
11 1777 6,19
3317 6,19
72 1 3,18
1164 6,18
3 205,18
1 6 18 3,18
145 4 3,18
3 5655,18
6 893,17
6 2 55,17
4 138 3,17
3620 6 3,17
11 737,17
840 3,17
11 4 55,17
294 3 64,17
11 6 45,16
3604 3,16
361 3,16
11 2324 6 3,16
11 621 6,15
6 55 294 3,15
3 321,15
6 364,15
11 6 3 494,15
749 6 3,15
11 4 1,14
11 6 2 7,14
11 4 218 6 3 148,14
28,14
6 265,13
4 490,13
11 218 3,13
616,13
2 294 3,13
11 6 2143,13
6 2 294,13
536 11 6,12
11 1 55,12
11 6 220 3,12
635,12
532 6 3,12
6 55 3 446,12
145 11,11
1581 3,11
1 3 64,11
11 616 6 3,11
11 801,11
1 993,11
3589 6 3,11
6 321,11
6 55 993,11
3157,11
27 6 73,11
749,11
3003 6 3,10
2148,10
1 6 3 73,10
11 1 6 361,10
152 55,10
880 1 3,9
2081 3,9
11 83,9
138 77,9
6 496,9
11 4 6 3 438,9
2298,8
2 7,8
6 3 276,8
11 82 6,8
6 3 71,8
6 154 3,8
3 897,8
11 6 1769 3,8
6 512,8
1 6 3 278,7
1 667,7
4 6 83 3,7
794,7
6 55 3 737,7
1 25 3,7
1490 1 6 3,7
11 6 3 531,7
3181,7
54 55 3,7
6 55 423,7
11 490 6 303,6
3 118,6
11 502 6 3,6
678,6
6 55 91 3,6
3 97,6
1056 6,6
11 6 1168,5
4 138 294 3,5
11 6 215 1801,5
218 2 3,5
1 6 138 3,5
145 27 3,5
11 3 7,5
6 3 574,5
353,4
1490 294 3,4
490 6 294 3,4
885,4
74,4
11 6 783,4
3 633,4
3 423,4
4122,4
4 3347 6,4
55 1751 3,4
269 77,4
1 6 55 91,4
11 4 6 3 7,4
1 6 677,3
601,3
2380,3
614,3
3 1060,3
322 3,3
3 611,3
11 1 6 260 281 3,3
621 6 55,3
147 3,3
293 3,3
6 2122 3,3
11 6 3 2354,3
2252,3
6 1635,3
294 534,3
293 6 294 3,3
6 3 552,3
2985 6 3,3
6 1077,3
632 3,3
273 3 77,3
3 642,3
11 6 911 3,2
117,2
4426 27,2
1857 3,2
9689,2
1 6 1179,2
1490 6 2,2
91 316,2
11 6 1025 273 3,2
3 112,2
294 14612,2
3 1776,2
489,2
1 218 6 294,2
1047 6 3,2
17 18,2
55 589,2
398 7 399 400,2
