Element,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
294 3,1159
27,1156
2 3,1152
7,1100
218,1053
11 4 6,954
64,906
6 2,882
11 1,880
6 294,879
73,848
91,838
11 4 6 3,809
490 3,793
11 6 55,761
4 1,754
6 294 3,738
3 7,734
27 3,730
218 3,720
218 6,676
6 2 3,673
6 7,666
138,666
77,648
3 73,642
490 6,632
316,628
27 6,615
11 6 55 3,588
1 55,577
11 1 3,576
3 64,556
6 3 7,527
218 6 3,487
4 1 3,486
490 6 3,475
6 73,471
6 64,470
446,461
3 316,457
27 6 3,453
148,427
11 6 2,422
246,416
6 91,405
993,402
269,399
4 1 6,394
6 77,393
3 77,389
278,387
1751,380
1 55 3,379
91 3,376
11 4,375
5,375
138 3,375
648,373
152,372
6 138,370
11 6 294,368
6 3 64,367
11 6 7,359
590,345
11 6 77,345
11 6 2 3,344
6 3 73,344
1 6 55,332
18,329
145,314
11 6 294 3,312
6 3 77,311
11 55,298
11 218 6,298
11 6 3 7,297
6 316,292
6 138 3,286
11 4 3,283
4 1 6 3,280
6 3 316,263
11 6 138,261
215,259
1 2,258
11 6 3 77,253
1 294,249
11 490 6 3,249
269 3,248
11 6 64,247
3 278,245
303,244
69 11 6,242
6 446,237
3 446,237
3 148,235
145 3,227
11 490 6,226
1 6 55 3,226
11 55 3,223
11 27 6,219
11 218 6 3,218
993 3,214
490 1,214
273,211
11 6 3 64,209
6 148,207
11 27 6 3,206
1 7,205
246 3,204
6 278,203
4 55,201
215 3,201
1 294 3,199
