Element,Count
122,72508
8,69349
49,59525
124,46414
516,46325
51,39881
171,39569
150,39447
121,38702
158,35133
146,34204
149,34169
878,33879
60,33370
308,33035
22,30589
379,30370
514,29506
1,29156
84,29086
524,28627
81,27626
511,24519
476,24255
1051,23619
905,23529
6,23389
140,23154
590,22851
469,22572
406,22334
9,22298
88,21858
76,21765
519,21559
444,21267
422,21110
506,20787
603,20765
72,20694
20,20512
472,20361
123,19815
561,19770
53,19610
863,19248
448,19010
220,18975
147,18970
142,18941
116,18809
48,18803
376,18717
275,18670
471,18664
185,18584
338,18554
459,18369
509,18331
380,18095
294,18057
520,18047
646,17664
845,17602
401,17525
14,17500
361,17484
857,17325
157,17208
998,17186
402,17175
873,17018
468,16892
485,16743
313,16696
475,16690
330,16677
842,16655
407,16649
138,16593
536,16587
591,16559
179,16507
112,16489
54,16077
238,15745
31,15731
461,15727
21,15577
1236,15566
