0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
583,3699,1195,2821,1407,3131,645,1337,344,1313,3074,6376,4195,1767,2385,1835,2219,1377,12881,1172,756,4284,2071,1109,947,627,2949,998,1154,1529,3339,775,1625,818,1481,1106,618,5586,1261,9307,2021,881,5843,7454,5525,1812,3349,9181,693,11806,752,4257,460,1044,769,6156,2107,711,1172,1922,5107,2570,3375,1550,751,1011,4074,2259,474,5673,1910,1624,1935,1416,1504,7813,6672,1152,1041,8597,1112,3879,2618,2693,2121,2190,1607,2392,258,2391,1133,943,2270,1624,3599,1114,8399,1211,922,969,3057,484,1477,1983,16230,818,1632,8430,785,2345,699,1922,3595,2418,3765,881,7388,865,7822,3088,515,837,977,1519,1043,1301,751,1186
3923,1611,1054,3643,1346,1007,741,5842,861,1626,637,3557,4595,4076,1057,4366,1335,453,1306,1187,3461,1747,1452,569,1030,1507,1222,6919,861,1854,1110,1560,6586,1235,789,986,6999,734,2286,1031,751,1893,4039,1426,1754,1320,1208,1166,1409,1728,904,1177,1671,1161,2846,916,1931,3048,1402,648,1370,1938,3278,874,957,3872,1234,8325,6275,5455,683,888,3985,548,786,1310,1140,1040,2014,4381,754,869,1844,2462,1385,701,1076,2278,2477,2590,390,2403,277,617,1288,1270,1920,1043,823,1575,732,2917,13993,990,5167,945,2880,455,3344,1293,4577,5340,3109,2828,11568,1600,638,1752,977,667,1595,2850,568,967,632,1276,2416,1997
10217,892,12561,1546,1947,2615,3165,768,858,906,11061,709,1641,1127,2222,6085,1877,614,989,564,4803,2219,819,1038,687,8289,1481,864,1021,985,2234,4290,4068,1769,1246,755,3089,1002,825,662,4119,550,2495,3249,1214,1577,1782,1275,1135,14875,630,2596,1325,3271,14156,1301,1248,1069,762,1644,3301,4328,1454,704,555,1151,4034,996,904,3059,3290,4157,2552,1933,568,1781,834,1008,484,1681,1042,963,856,762,1383,1157,2566,762,2537,11759,5465,1334,1222,932,7626,6895,1691,1573,1553,2971,473,758,2463,4437,4295,601,2998,991,1083,536,4462,363,3666,1764,1199,435,7862,769,1913,659,1443,1045,1453,957,703,396,1631,656
3403,2210,2402,585,925,686,1321,2257,2126,2778,2706,2124,1310,507,3302,665,2568,15654,880,996,1142,777,1604,1803,383,727,889,1868,4209,1183,4084,1013,1600,9943,2120,2052,1392,736,1757,4380,3499,811,846,4522,3271,2307,826,4345,1491,606,1069,1839,879,2210,1709,1855,5913,2878,844,829,1083,2174,923,1700,1134,750,1186,8460,1129,1540,921,684,701,3282,1653,2971,689,3443,552,1528,2547,1824,2012,5430,1966,3758,803,2533,1211,669,1816,713,1070,2086,519,4684,545,785,607,538,3361,981,4597,292,2072,2640,1096,862,1058,826,810,650,2658,1578,7454,4338,966,1259,3789,3520,570,1463,2420,1465,3561,3833,1343,2237
1652,3907,2423,848,2662,1330,3371,2178,509,782,1130,2618,1067,3550,2143,878,3521,3541,1367,620,1306,1075,1901,1514,1576,2577,818,1715,552,1119,2364,5772,3638,941,2799,1949,816,1172,6733,1932,1107,970,1112,1240,4711,1453,1535,1015,1264,1775,475,2165,621,3390,2929,1453,670,1754,2737,1096,1222,5344,749,802,904,916,4246,3069,4142,1528,893,808,744,617,3869,2546,2461,3830,1225,957,3575,832,1717,1047,397,964,1278,736,670,1120,4133,4572,957,1887,1305,5758,3164,911,1070,1421,1334,504,695,527,1507,1560,889,2066,1488,3182,2336,1155,6533,3075,3354,1742,806,2137,2726,1208,3432,983,2999,4474,1036,1670,4795,1916
1524,607,373,925,1114,3175,1221,2176,2348,1422,1764,2343,3631,11819,1905,3173,3725,1160,5238,397,895,13539,1100,8728,1651,8142,2556,1017,843,3372,1584,2417,3518,1738,1489,10185,673,6230,3119,13788,2843,2289,935,962,1335,4910,694,4014,1906,8860,9149,1534,2758,1028,672,9073,2846,961,1170,10260,419,325,840,561,1501,2495,650,3155,1055,7671,6819,1384,636,1072,1527,675,2027,994,3394,2910,1788,4104,14210,2551,768,1349,2608,3002,1545,1162,572,8792,4068,2048,1639,5236,1332,737,851,13394,571,369,781,4645,1876,1856,2125,3951,1043,1944,3338,802,5534,3170,2124,819,1146,1192,5792,4617,1293,1428,2646,441,1303,3439,1110,6904
1068,854,2577,2362,568,4667,2320,1375,1495,1655,1851,2434,588,1809,7380,596,553,1294,2511,8886,863,729,818,1617,9785,1855,766,563,1052,1168,12362,2466,19334,1088,828,2849,1379,1097,3801,993,1137,2076,1451,1016,1165,2667,1577,961,5208,799,1043,3702,5628,1033,1368,1145,6480,1323,7907,2440,1232,3814,2133,5367,2099,5002,4025,12558,1244,1065,2118,1029,1181,953,364,2257,7366,560,4356,11159,1051,1167,4337,668,2041,1376,4349,4045,3251,1739,2165,3063,1340,2272,2071,1623,1625,896,1522,1672,701,2126,785,3430,893,6062,1338,7531,2663,1208,761,597,762,15044,14427,5910,3054,1248,757,667,1004,810,2923,1877,780,1187,18158,1443
11470,1063,930,3830,2591,1246,784,408,2300,1831,1189,3400,2112,18020,1507,7729,5838,933,636,1919,6138,2360,1115,6702,821,1361,525,1340,8605,1328,1259,1368,3266,971,1564,1265,1366,475,2687,965,3082,1092,2566,635,1036,9199,2962,14465,1500,1548,8660,1430,5810,3597,2035,2958,8903,8308,1977,717,1682,1320,1257,5368,2788,1108,497,1188,8564,6964,3847,3268,3185,14229,2417,1962,669,1382,6215,848,2736,1111,2802,682,4800,2306,1837,919,3058,5732,1325,816,751,4036,1060,5562,1001,725,2254,1014,1470,5638,3306,2615,1253,441,5636,679,1915,5609,481,1034,1249,4719,930,3567,1985,985,2618,656,2100,11944,919,480,1072,1017,5371,2505
3771,4254,2376,2258,1510,548,3138,979,2458,2021,1002,3652,2991,2789,6094,773,1876,2773,1359,667,454,4744,449,1091,1598,15166,11261,1039,776,743,1263,5844,5734,1144,1351,702,2796,2549,1093,7551,2102,1808,2330,883,2421,1113,2211,1369,6218,1931,722,486,2706,3404,1103,5796,2114,7787,611,780,1569,2837,823,1069,2604,1746,1292,1880,1962,2165,2070,1126,455,1260,534,635,679,946,755,1293,626,1734,967,1315,2014,1118,1131,5549,1766,4620,578,888,631,3620,1649,1399,1400,705,3358,8210,1894,3324,1699,2087,1560,7595,1973,502,3048,864,1590,2884,400,1264,707,1150,2511,2818,6369,901,1361,8068,1550,6415,11221,12636,1243,1151
1259,2860,1557,485,8522,2586,1383,6467,1067,788,2019,821,5404,2739,662,7426,2141,670,5789,832,1166,1753,881,902,4006,1391,5602,1643,754,6399,467,1248,2689,505,3958,3672,2154,1069,1021,2994,5040,903,9238,1724,534,2053,1213,1858,3437,594,2141,2761,5365,4325,538,2551,2997,1766,1083,1011,1650,1342,1259,642,1308,570,1163,4010,6168,3396,5026,439,1261,1709,1269,1300,990,2888,1015,9702,1138,2518,3237,826,3274,1215,1546,649,1306,753,359,2046,949,679,840,917,1255,1714,1033,3242,1087,3610,1664,2047,2231,2120,848,1567,3114,549,3300,2196,949,2021,9526,1982,2124,4031,1177,1746,8858,9181,2231,432,1976,2637,1122,1438
1326,831,1233,2524,12246,761,2151,2181,644,7186,8006,1349,976,585,693,1189,3270,1418,712,568,653,5271,5190,893,1003,1576,1381,1487,1735,656,1408,2012,1668,1365,604,1156,786,2018,9123,8471,2940,509,1198,2905,621,1878,1000,452,1265,1059,2219,3038,427,1565,6381,3106,1156,3165,1580,1395,950,613,1059,1127,1731,1162,1100,759,827,769,573,828,587,13449,2529,1309,1848,3567,1593,662,853,517,1101,1857,597,2039,988,2815,1374,879,2356,468,1589,2365,545,2218,1029,1566,1552,1321,2129,1091,4305,680,989,3132,1104,2077,2554,782,1177,855,952,926,4419,805,1623,3585,1936,5395,2299,2282,2321,475,1758,647,4240,1474
3299,1326,3134,1780,939,1972,3363,701,2194,922,1359,2374,11605,1029,1396,615,1396,1143,1593,1916,474,1642,1177,1563,1689,963,1854,2982,861,478,13291,1264,411,6948,5336,2642,1750,835,788,13406,2442,3207,757,824,2156,954,1559,2363,15351,317,1687,2355,1253,1077,551,924,621,2875,1151,4062,695,1097,5794,2096,671,979,10653,1163,1061,6223,1842,533,1965,1666,3230,1259,872,1055,597,997,4257,2016,1930,2043,2542,964,1151,407,418,647,5727,1028,2810,1903,6109,1922,7053,930,2053,6188,2250,1518,1708,823,2552,2234,2957,2583,913,1691,2410,1817,761,5996,1332,1051,9590,2988,1613,2736,1154,924,1632,1024,2281,2092,1842,1230
2988,764,607,8481,2297,1349,1028,1694,3789,1864,7911,2608,950,1559,2877,1989,1446,1865,1238,3476,1143,1955,685,773,724,1572,2924,3827,1113,835,548,1173,857,1818,1068,2048,1714,2253,7296,1121,2899,2868,1686,12770,1297,594,4413,1780,623,1267,969,1198,6195,6993,840,1034,2057,10129,3016,761,687,2332,569,748,886,2519,2101,2152,793,4128,4245,1466,5381,2354,3727,1149,726,1942,5916,1065,1210,2163,912,1024,1731,518,1024,1269,1017,6116,10392,1856,710,1689,376,2545,3059,804,1857,804,2875,1129,4261,6298,2507,794,846,435,643,1277,2422,577,650,1006,2021,489,3617,3788,5800,748,8500,1780,1283,2576,631,2931,2202,440
1460,1227,3751,5292,2118,2133,1068,2207,444,1959,2436,2003,5281,2035,2961,789,1094,2202,858,679,3019,2590,1708,901,1332,4788,3799,2189,2051,1217,3327,2416,980,3274,2143,11474,1457,695,2427,3144,824,3188,1639,1267,1969,411,2681,2300,1397,1765,910,903,2352,3095,2631,5494,2258,1017,797,994,474,2610,552,1629,963,1176,622,4442,1325,818,1458,776,1311,12098,668,1899,788,1312,2878,1039,635,784,2776,4926,478,742,4787,1355,1188,9226,581,684,2340,1340,1514,1440,6129,1922,3041,978,3041,1341,1066,5808,519,1364,632,2531,1434,3144,1410,1928,2864,576,517,838,810,1137,2671,971,1023,1158,550,8766,572,709,586,7488
633,2078,6833,392,2550,1076,595,2940,3213,601,6083,7610,1122,12657,1539,4713,669,1203,1036,458,962,1121,1748,2287,4082,1934,689,408,7068,2068,1860,1451,1914,554,1085,2883,1402,818,2202,3663,986,1379,2962,3588,2107,827,2113,4272,2105,839,1147,1610,1384,1741,9038,12436,2465,1726,1746,1862,1377,3478,2200,1077,902,2270,1014,1942,1957,3049,625,733,2743,3428,846,11696,1650,1935,3236,968,425,3240,1057,710,1197,2096,793,5880,3891,1703,1044,6240,624,1188,6201,1287,3875,3088,4603,945,793,990,2259,2155,1818,904,15603,5178,636,1589,476,2073,6285,1826,5572,1634,1224,1401,1204,2640,2750,2194,1380,3911,972,1755,4123,968
4075,1607,2516,1739,1365,2349,1399,2122,586,6990,2344,1079,6405,1270,1142,8971,4116,1401,5353,1895,270,881,990,994,426,824,1539,4119,4972,1360,3623,9443,2978,5755,1410,665,719,886,1496,811,1788,1449,3662,916,658,4806,5345,1037,4243,3269,1404,613,301,370,1981,2364,1413,2608,1452,498,1292,864,1256,1173,3122,11126,5530,5308,833,3762,2230,4316,1115,4527,652,483,2326,2246,776,1241,2038,719,1507,2604,447,910,2226,4866,5322,7788,873,936,893,401,2700,1690,1736,2921,2472,870,1595,2217,4725,735,897,1170,8311,3794,1639,488,486,1550,5191,5191,5241,2142,933,1687,1731,14121,890,1166,668,974,1893,835,1468,6060
1884,1407,1025,521,2062,276,550,4167,1174,685,434,3219,2421,1451,1491,1455,8915,678,907,3153,1118,9090,1043,7315,1306,1707,1591,1998,6603,1125,1883,2191,7751,1626,626,1299,589,928,678,607,808,1567,6630,985,4896,3325,638,8416,1555,2774,1312,1007,1411,886,1462,6208,307,981,692,2197,1726,1115,734,5207,1469,756,1666,1097,2464,1728,5710,559,571,2009,1970,1518,1785,4371,1321,6049,1445,807,578,542,910,958,3286,1107,2873,1570,1637,5057,1464,5706,1225,1964,1985,1880,6784,6227,992,2709,805,5800,4235,731,1524,609,724,881,4292,9598,1087,1569,2955,2589,1466,3805,5401,902,2918,2532,3002,729,2239,3991,7465,1131
2486,1965,2948,1603,871,636,2939,1449,654,923,1109,2225,593,3424,3562,569,1192,664,1067,5006,1657,1422,15395,12551,408,1005,11251,415,752,2946,2823,1239,962,3479,607,1472,675,356,936,309,647,2132,11617,606,534,1438,1346,2235,2201,3471,658,2923,7089,673,1464,1013,1364,1293,2938,773,3818,1024,1020,694,3622,5069,2178,757,1113,670,6680,2001,2542,7627,3484,4260,720,534,874,4378,1209,7734,518,1560,784,2866,859,1154,1498,831,1052,2231,3956,627,1975,598,749,488,659,9506,2565,1478,2559,724,2117,1194,1446,646,4057,1224,4875,734,1080,2664,1023,2143,1263,3177,2217,3911,4034,1184,1361,1274,1161,2740,563,1848
1520,3333,2192,1319,4714,3147,1266,490,1245,3213,1477,1479,11038,4101,849,1136,791,788,736,2931,7603,1755,645,543,1083,624,2838,2353,1585,1211,1270,1367,947,5995,2207,735,993,2747,2395,2944,847,1109,1822,672,3118,500,2168,3815,2215,1566,604,1150,781,866,3537,7911,1261,901,725,1994,3802,1095,2440,2279,1348,1049,412,792,1102,816,582,666,822,892,1384,1968,4158,1693,478,1035,3086,541,2780,993,482,4137,1212,3582,830,2332,3715,788,909,1273,5496,645,1231,2269,976,963,5116,3468,5521,1572,5261,2051,1753,875,6318,2095,551,1874,2994,815,5715,5572,3432,1222,1751,994,2632,530,491,5521,790,679,615,1664
765,2097,4608,1175,2797,510,1330,3184,1097,686,11072,1758,2039,1227,857,2378,719,462,2574,3464,692,10888,3409,1369,2257,3871,4870,3001,945,2333,3566,1157,1172,767,5117,853,998,3706,2126,3350,1040,1194,3152,768,2239,1810,1366,7695,880,829,1133,2759,738,1141,1449,5910,1345,1641,3878,4603,1091,3409,1779,2116,796,3438,1252,1424,867,2256,594,1329,792,2809,648,1206,1004,2865,5258,1084,2774,1078,778,1945,1671,683,1205,757,860,2020,610,8559,2140,1305,1672,2671,1173,6083,1292,491,800,696,492,574,12521,1128,774,2680,608,4147,759,520,13039,3272,2345,1706,4404,955,9839,1339,1401,709,1920,1710,639,1086,905,1807
1639,1927,836,1044,4190,976,1354,979,1502,4707,5602,1175,5102,1390,632,2545,863,7057,4073,632,2669,1065,2022,567,1371,2996,1829,4555,1116,1110,1249,1222,9185,3150,2968,380,1723,4992,1592,2170,3291,727,3801,1430,1686,2282,2184,1330,2682,1598,2332,2318,5197,2263,1418,754,4411,1418,1911,6977,569,523,1800,1622,1524,1593,1302,589,3433,1991,8482,1072,3408,4599,1221,951,598,950,276,1321,565,3713,1420,1015,1554,582,1252,510,1416,7010,677,2838,558,1130,1010,930,1434,527,494,1663,11112,1039,2390,1495,727,1643,2057,954,620,548,7090,574,5327,1554,254,2375,745,6164,483,1958,2056,3527,487,3147,928,1289,3774,1941
1581,653,309,1745,1014,1108,1745,894,3535,1031,2708,1146,1872,1475,664,4369,1579,996,1799,2311,1183,3027,985,5408,11378,1841,1741,3415,1729,2546,11021,12556,1884,2761,894,4132,2902,638,1642,4086,2255,799,827,1229,1533,1022,316,485,7684,794,610,5437,4843,2030,1548,1007,299,2375,662,1187,3553,1129,1228,304,2054,2751,12000,1058,1252,574,1580,1326,2161,3185,1719,8619,6241,1174,1902,1191,4786,836,1562,1567,699,813,1042,535,830,4905,1606,869,3963,1073,2189,826,522,2323,1731,403,1150,1570,2681,1565,4450,1158,1654,963,617,1065,2526,3037,1517,1483,932,1296,1436,2286,4638,1130,1415,774,3129,1177,2699,1388,8499,2402
672,1343,1139,2738,2901,1376,3067,1052,516,711,1815,689,419,3562,1646,1366,757,671,1321,1536,5820,742,751,3285,396,2551,1576,853,1412,1712,367,1303,477,590,770,1182,1598,443,3806,557,2643,1230,1627,2140,714,680,9950,1844,2261,1000,1076,486,4231,507,3236,803,5151,1992,1225,875,3052,963,1102,704,466,3447,1937,622,1081,1198,1368,533,833,1361,2323,5312,2148,594,478,2090,4275,2787,1316,1103,1073,2414,5589,1082,968,992,4313,1530,1012,703,1174,2361,2588,921,1074,2115,2354,901,1763,6211,4220,2331,4076,3372,1017,1837,1125,881,1069,519,1296,1541,2846,1689,1206,23795,1043,4177,2092,2379,1024,508,473,5537
1772,485,6897,1692,2382,2881,2422,1076,1662,1671,3230,1283,1997,586,2494,1909,1138,2262,1293,677,1322,1249,5263,595,694,1250,940,531,8743,2785,899,3910,1071,14475,394,3025,826,1752,13069,3243,977,8115,5065,2578,3081,883,730,1391,521,2333,666,2121,2354,4881,792,670,1001,5542,1859,1978,1838,2534,631,1162,431,3175,1033,1071,1326,1387,1784,7099,1203,4499,613,585,1621,8137,1792,1753,660,5289,1178,7540,1515,1543,966,1199,3072,2958,1460,2159,1364,591,3998,1356,2370,1942,1522,2856,1879,13360,708,1884,451,982,845,710,538,2173,10855,2619,752,8924,1783,1028,1300,6781,683,1017,2369,7470,1497,742,624,1427,2059,1940
403,7817,545,3851,947,4222,5247,308,4672,499,1670,1746,1508,3404,615,1093,832,3708,1633,854,2028,2579,4977,1074,1872,714,618,3115,2956,1274,1052,1779,773,2492,12016,4692,1336,2312,599,932,771,6511,1753,1150,710,7095,1197,620,582,2317,464,864,6594,11263,1735,916,361,1548,566,382,9524,1307,2551,2067,5100,2249,8391,2512,1897,649,1716,813,8535,1285,1027,1746,7665,1345,819,697,532,2093,898,2333,1504,1042,565,1015,1107,967,1144,2758,3485,3176,869,1460,1533,820,2969,1324,2289,2494,658,7802,1140,3011,612,3063,644,1746,754,1728,1234,1794,831,2178,2134,810,850,879,1831,1411,739,1242,8466,1967,1776,910
501,1457,518,2881,354,4079,506,3920,580,3018,543,783,1083,1072,854,516,1513,5321,464,1773,563,2325,729,789,1500,1889,1186,519,6294,837,1388,1626,5268,879,2611,1361,5339,7387,5068,624,1356,1680,680,2539,1389,1578,373,7918,2578,3723,1701,965,3393,1018,884,2155,975,704,507,579,1086,2234,1472,1092,1804,943,3873,768,1131,1223,438,5474,657,754,3188,1235,1690,675,2323,1414,545,752,996,710,923,2159,1276,715,650,515,1086,2096,4285,632,1778,891,504,2312,1993,2300,3781,1223,893,887,550,1729,1629,4481,1864,1837,1486,1475,1948,647,614,2663,1239,726,5683,2998,746,355,1614,2108,399,3867,480,2538
652,648,1894,1006,3157,2718,2194,4858,1358,2161,718,1050,1990,2441,1710,1273,4741,6391,6023,4249,803,1673,4894,6026,1061,2811,539,744,699,1764,1681,5760,1241,679,489,6875,2707,799,1016,1541,3894,3011,1020,1102,622,1676,1432,1072,5069,6903,1502,983,1093,465,1287,417,1637,1455,1202,1317,932,4170,1670,443,11580,1152,1550,2342,6719,4096,1635,2043,5297,275,1298,1051,1348,876,859,1677,1456,2839,924,1681,1584,620,585,2062,1355,1766,2561,868,6010,1275,6500,1530,2216,953,820,1788,5731,542,1182,1832,964,864,2137,3323,755,1482,762,1092,926,3643,2692,1996,3953,605,1442,4612,1896,10332,517,994,5631,1023,2649,3965
509,1951,1012,6960,2640,550,3417,2066,5889,473,766,2870,2033,596,2678,1429,1093,2340,836,3818,2680,1206,933,1601,1000,1631,7973,6827,724,10587,1619,823,440,595,3054,1038,1305,2779,5641,1142,1320,1323,3464,1065,546,3511,767,866,905,678,601,1890,2484,1188,1109,1297,1681,6146,2348,3454,562,3453,983,1986,1883,550,1114,668,6339,1200,408,1087,950,664,682,2117,1510,2945,3673,559,3086,2764,2709,646,3118,3111,2038,463,733,1320,15689,1344,3507,2105,2291,2605,848,1865,1487,1675,1046,2061,1396,3478,892,1480,2613,2097,1597,3969,762,686,1027,536,5259,587,1977,2000,659,2562,14149,455,3887,409,491,748,6898,1731
