Element,Count
b'\xd2\x1d9\xfa',"[168915, 0]"
b'\xc6X\xda\x88',"[122440, 0]"
b'\xb7\xf6h\xd0',"[106031, 16]"
b'E.\x1c)',"[103233, 0]"
"b'c\x9e,\xb5'","[93998, 0]"
b'V+x\xe8',"[85947, 0]"
b'\x01l|\xff',"[82713, 0]"
b'\x01l$\xce',"[79924, 0]"
b'\xd8\x1eL\xf0',"[78847, 13]"
b'\x01l$\x98',"[69899, 1059]"
"b'\xc6X\xdd,'","[66989, 0]"
b'\x01l|\xec',"[61469, 0]"
"b'c\x9e,b'","[60445, 0]"
b'\x90\xbcT\x17',"[55356, 0]"
"b'c\x9e,{'","[55335, 0]"
b'E\x0c\xd5\xf5',"[51730, 7]"
"b'c\x9e,z'","[49337, 0]"
b'\x05\x06\x1b\xd0',"[46031, 0]"
b'\xc9W\xf7#',"[45383, 1264]"
b'e\x86\xc2d',"[42023, 0]"
b'c\x9e.\xa7',"[39440, 0]"
b'\x1d\xb9\x7f\xd3',"[39195, 165]"
b'+?\x82\xd6',"[38546, 141]"
b'E\x0c\xd5\xf7',"[38012, 0]"
b'c\x9e.\xb5',"[37752, 0]"
b'c\x9e.\xb4',"[37522, 0]"
b'\x8e\xa1\x17L',"[35470, 0]"
b'c\x9e.\xa6',"[35330, 0]"
b'I\x95\xba\xfb',"[34607, 0]"
b'\x91\xdc\xd6\x91',"[34260, 0]"
b'z\xdd\xc7\x86',"[33783, 4306]"
b'\xd0\xfd=\x0e',"[33001, 0]"
b'p\xe01\xdd',"[32893, 0]"
b'\x05?\xc10',"[32472, 0]"
b'OZ\x0e\xae',"[31707, 0]"
b'E\x0c\xd5\xed',"[31704, 164]"
b'\xc7\xe8~#',"[31078, 131]"
b'\x9b\xbc<\xeb',"[30958, 8]"
b'\x86\x82d8',"[30317, 1]"
b'\x8e\xa1\x17M',"[29996, 0]"
b'B\xf2A\x84',"[29965, 1052]"
b'\xdc\x1bP\xe1',"[29788, 7]"
b'\xce\x93D[',"[29331, 1347]"
b'\r\x01W\xaa',"[29315, 0]"
b'<\xf2\xdc\xd0',"[29158, 0]"
b'\xdd\x01b\xdf',"[28763, 0]"
b'\xb8e\xb7\x0c',"[28663, 0]"
b'uT\x80\xd8',"[28503, 2]"
b'\xc9&\xf8\x83',"[28279, 0]"
b'\xdd\x01b\xdd',"[28195, 0]"
b'p\x97\xa1\xa9',"[27999, 0]"
b'\x05\x11}\x9e',"[27759, 0]"
b'c\x0f\xb2\xd4',"[27731, 28]"
b'\x0c$\x02\x95',"[27680, 0]"
b'\xc6X\xdc\xed',"[27347, 0]"
b'\x82\x19\x1e\xc0',"[27314, 0]"
b'\xdc\x1bP\xc6',"[27112, 17]"
b'\xc6X\xdc\xfc',"[26870, 0]"
b'\xdc\x90\xcd\x9d',"[26179, 93]"
b'\xc6X\xdd-',"[25919, 0]"
b'z\x0c\x8c)',"[25626, 5]"
b'\xab\xa5\xc3\xd5',"[25624, 2697]"
b'\xb7\x96U\xe9',"[25388, 0]"
b'\x80\xaf\x0b\xbd',"[25312, 6]"
b'E\x0c\xd5\xf4',"[25137, 70]"
b'\xb7\xe8L\xb1',"[24998, 6]"
b'\xc7\xe8~\x1c',"[24894, 430]"
b'Ae\x8a}',"[24739, 3]"
b'P\xc81\xaa',"[24433, 986]"
b'A\xad4S',"[24269, 257]"
b'c9\xbbZ',"[24218, 0]"
b'c9\xbbF',"[23572, 0]"
b'c9\xbb]',"[23544, 0]"
b'\xd7\xba\xc9\xac',"[23455, 0]"
b'c9\xbb\\',"[23250, 0]"
b'\xb7\x9ac\x0c',"[23150, 0]"
b'c9\xbbP',"[23011, 0]"
b'r\x01\xb8p',"[22761, 0]"
b'h8\xc7i',"[22756, 0]"
b'\xcd\xac3.',"[22730, 2018]"
b'p\x97\xa1\xa3',"[22693, 0]"
b'c9\xbbX',"[22320, 0]"
"b""'&\xec\xc2""","[22300, 0]"
b'A\xad4`',"[22299, 39]"
b'c9\xbbt',"[22296, 0]"
b'\xdc\x1bP\xe6',"[22194, 10]"
b'c9\xbb[',"[22168, 0]"
b'\xce\x92\xa0\x80',"[22143, 2]"
b'c9\xbby',"[21767, 0]"
b'\xcf\x95\xbfM',"[21704, 638]"
b'o&\x05\x7f',"[21470, 2614]"
b'\xd8\x1en\xff',"[21369, 61]"
b'sY\xa4\xdf',"[21339, 1755]"
b'c9\xbbS',"[21237, 0]"
b'l*\xf2{',"[21236, 0]"
b'f\x06\x9c\xc0',"[21217, 0]"
b'c9\xbbB',"[21199, 0]"
b'\x7f\xd31+',"[21169, 0]"
b'\xca\xe0p\x04',"[21165, 23]"
b'c9\xbbY',"[21119, 0]"
b'\xc7\xe8~!',"[21107, 749]"
b'\xd1?.\x9a',"[20926, 147]"
b'{\xecL\x9b',"[20866, 0]"
b'\xb7\xbcBz',"[20687, 0]"
b'c9\xbbr',"[20627, 0]"
b'c9\xbbp',"[20582, 0]"
b'c9\xbbH',"[20483, 0]"
b'c9\xbbU',"[20300, 0]"
b'c9\xbbv',"[20047, 0]"
b'c9\xbbV',"[19969, 0]"
b'c9\xbbE',"[19968, 0]"
b'\xc9@{N',"[19959, 0]"
b'\xb7\xa6\x11{',"[19927, 0]"
b'\x0c+\x188',"[19866, 3116]"
b'c9\xbbu',"[19862, 0]"
b'c9\xbbW',"[19858, 0]"
b'A\xad4b',"[19855, 0]"
b'\xdc\x1bP\xef',"[19852, 84]"
b'\xca\xc4\x0c\x9b',"[19844, 33]"
b'\x7f\x8b\xef\xbd',"[19823, 0]"
b'c9\xbb^',"[19749, 1]"
b'c9\xbbw',"[19713, 0]"
b'\x82\x0cF\xff',"[19712, 5]"
b'c9\xbbD',"[19708, 0]"
b'c9\xbbs',"[19646, 0]"
b'c9\xbbR',"[19564, 0]"
b'uu3\xef',"[19546, 989]"
b'c9\xbb@',"[19508, 0]"
b'c9\xbbQ',"[19467, 0]"
b'l\x10\xae\xe1',"[19158, 2576]"
b'K@>o',"[19004, 4802]"
b'\xdc\x1bP\xe4',"[18955, 20]"
b'uY\x0f9',"[18948, 0]"
b'p\x97\xa1\xb6',"[18924, 0]"
b'w\xea\xef\x0b',"[18845, 1401]"
b'\xd4\xe6\xef\x83',"[18778, 10]"
"b'\x82,X\xab'","[18747, 4]"
b'\xd2\x1e\xbeh',"[18693, 1583]"
b'\xd2\x1e\xbeu',"[18583, 554]"
b'\xd2\x1d?\xb5',"[18568, 0]"
b'c9\xbbb',"[18564, 0]"
b'c9\xbb_',"[18376, 0]"
b'c9\xbbq',"[18349, 0]"
b'\xd2\x1e\xbek',"[18069, 1668]"
b'c9\xbbC',"[18055, 0]"
b'\xb7\xc8\r\xce',"[18009, 0]"
b'l\x0e\x92\xf8',"[18002, 4661]"
b'uFe ',"[17983, 1111]"
b'\xb7\xd4|4',"[17923, 6699]"
b'\x01`[1',"[17879, 0]"
b'c9\xbbo',"[17856, 0]"
b'\x89\xe3\xc5+',"[17704, 32]"
b'9\x08\xd0\xf1',"[17704, 2]"
b'p\x7f\xe1\x05',"[17682, 834]"
b'c9\xbbG',"[17671, 0]"
"b'\'\xb7""\x83'","[17615, 941]"
b'\x84h\xb1\x11',"[17573, 0]"
b'\xd2\x94\xc5\xfa',"[17528, 762]"
b'\x92\xc1\x17\xca',"[17406, 0]"
b'c9\xbbd',"[17343, 0]"
b'\x827\xb8u',"[17338, 11]"
b'c9\xbbi',"[17312, 0]"
b'\x89\xa0\x02\xb7',"[17283, 3183]"
b'\x99\xc1\x8f\x14',"[17275, 117]"
b'c9\xbba',"[17259, 0]"
b'c9\xbbj',"[17166, 0]"
b'c9\xbbz',"[17141, 0]"
b'\x1c^\xc2\xd5',"[17140, 0]"
b'c9\xbbT',"[17128, 0]"
b'p\x97\xa1\xa2',"[17119, 0]"
b'sY\xa4\x84',"[17107, 1040]"
b'\x99\xc1\x86\x02',"[17101, 108]"
b'c9\xbbI',"[17056, 0]"
b'\x82.\xc0\xc3',"[17037, 1]"
b'\x80-!\x1e',"[17036, 2978]"
b'uV\x85L',"[16894, 3878]"
b'c9\xbb~',"[16757, 0]"
b'\xb7\x9d*\xf5',"[16732, 19]"
b'c9\xbbf',"[16712, 0]"
b'c9\xbbc',"[16471, 0]"
b'\x92\x0f8t',"[16460, 541]"
b'\xb7\xa7\x05\x8b',"[16433, 254]"
b'~b0\x96',"[16295, 339]"
b'\nbP\x88',"[16253, 548]"
b'\x82\x08\x1f\xfe',"[16207, 19]"
b'c9\xbbJ',"[16177, 0]"
b'\xdc\x1bP\xe7',"[16147, 3]"
b'w\xa9f\xaa',"[16140, 47]"
"b""'\xd8\xbaK""","[16124, 192]"
b'p\x7f\xe9\x17',"[16075, 1455]"
b'\x99\xc1\r\xe0',"[16057, 1623]"
b'c9\xbb}',"[15945, 0]"
b'p\x97\xa1\x9c',"[15852, 0]"
b'c9\xbb{',"[15850, 0]"
b'c9\xbbA',"[15834, 0]"
b'\xcf\x88\xee\xa0',"[15815, 0]"
"b'\x93b""\x08'","[15762, 4447]"
b'c9\xbb|',"[15726, 0]"
b'jT&\xd3',"[15586, 0]"
