Element,Count
3,"[36133, 0]"
6,"[30225, 0]"
6 3,"[21139, 0]"
11 6,"[12769, 0]"
1,"[9766, 0]"
11 6 3,"[9083, 0]"
1 3,"[6002, 0]"
11,"[5374, 0]"
1 6,"[5046, 0]"
4,"[4290, 0]"
11 3,"[3756, 0]"
55,"[3561, 0]"
1 6 3,"[3510, 0]"
4 3,"[3000, 0]"
55 3,"[2377, 0]"
11 1 6,"[2375, 0]"
4 6,"[2340, 0]"
4 6 3,"[1758, 0]"
11 1 6 3,"[1753, 0]"
6 55,"[1749, 0]"
294,"[1653, 0]"
2,"[1601, 0]"
6 55 3,"[1374, 0]"
490,"[1225, 0]"
27,"[1167, 0]"
294 3,"[1161, 0]"
2 3,"[1152, 0]"
7,"[1100, 0]"
218,"[1055, 0]"
11 4 6,"[954, 0]"
64,"[907, 0]"
6 294,"[890, 0]"
6 2,"[882, 0]"
11 1,"[880, 0]"
73,"[850, 2]"
91,"[838, 1]"
11 4 6 3,"[809, 0]"
490 3,"[799, 2]"
11 6 55,"[761, 7]"
4 1,"[754, 0]"
218 3,"[744, 1]"
6 294 3,"[743, 0]"
3 7,"[734, 0]"
27 3,"[731, 2]"
218 6,"[681, 5]"
6 2 3,"[673, 0]"
6 7,"[667, 0]"
138,"[666, 2]"
77,"[648, 0]"
490 6,"[643, 9]"
3 73,"[643, 1]"
316,"[628, 0]"
11 6 55 3,"[621, 9]"
27 6,"[615, 0]"
11 1 3,"[588, 0]"
1 55,"[586, 7]"
3 64,"[559, 22]"
6 3 7,"[538, 2]"
490 6 3,"[492, 7]"
218 6 3,"[490, 19]"
6 73,"[488, 53]"
4 1 3,"[486, 0]"
6 64,"[483, 17]"
27 6 3,"[482, 162]"
3 316,"[464, 1]"
446,"[461, 0]"
148,"[438, 101]"
145,"[431, 214]"
648,"[430, 214]"
6 91,"[423, 246]"
1 55 3,"[423, 236]"
11 6 2,"[422, 0]"
246,"[421, 288]"
993,"[420, 199]"
4 1 6,"[419, 371]"
269,"[419, 336]"
138 3,"[416, 367]"
6 3 73,"[416, 309]"
18,"[415, 379]"
3 77,"[415, 9]"
11 6 294,"[412, 395]"
278,"[412, 387]"
5,"[411, 322]"
11 6 77,"[410, 398]"
11 6 294 3,"[410, 396]"
4 55 3,"[410, 396]"
6 138 3,"[410, 396]"
1 2,"[410, 391]"
6 77,"[410, 364]"
69 11 6,"[409, 406]"
11 218 6 3,"[409, 406]"
361 3,"[409, 405]"
1 218,"[409, 405]"
6 3 64,"[409, 403]"
6 3 77,"[409, 397]"
152,"[409, 382]"
1751,"[409, 375]"
11 4 1 6,"[408, 407]"
294 6183,"[408, 407]"
