Element,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1167
294 3,1161
2 3,1152
7,1100
218,1055
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
73,849
91,838
11 4 6 3,809
490 3,799
11 6 55,761
4 1,754
6 294 3,743
218 3,743
3 7,734
27 3,730
218 6,680
6 2 3,673
6 7,667
138,666
77,648
3 73,642
490 6,642
316,628
11 6 55 3,620
27 6,615
11 1 3,588
1 55,582
3 64,556
6 3 7,538
490 6 3,489
218 6 3,487
4 1 3,486
6 64,480
6 73,479
27 6 3,473
3 316,463
446,461
148,427
145,425
11 6 2,422
246,416
3 77,412
6 91,410
648,409
993,408
269,399
4 1 6,395
6 77,393
278,390
138 3,390
11 6 294,390
11 4,388
6 3 64,388
5,386
152,383
1 55 3,381
1751,380
91 3,377
6 3 73,373
6 138,370
590,370
11 6 77,360
11 6 7,359
18,345
11 6 2 3,344
1 6 55,332
11 6 294 3,326
6 316,318
11 55,313
6 3 77,311
6 138 3,306
11 218 6,301
11 6 3 7,297
11 6 138,297
11 4 3,291
3 446,290
4 1 6 3,280
11 490 6,276
1 2,269
11 6 3 77,268
269 3,266
6 3 316,263
215,259
3 278,259
11 490 6 3,259
11 27 6,256
303,251
1 294,249
11 6 64,247
11 55 3,246
69 11 6,242
4 55,238
6 446,237
3 148,235
69,235
11 218 6 3,234
145 3,228
6 91 3,227
1 6 55 3,226
993 3,223
246 6,218
6 278,217
11 27 6 3,215
490 1,214
273,214
11 6 3 64,211
648 3,210
246 3,210
6 148,209
504,208
1 7,208
1 294 3,206
83,206
215 3,205
145 6,200
152 3,199
1751 3,199
6 1751,199
18 3,198
11 6 73,198
4 55 3,198
6 3 446,197
5 3,197
590 3,195
11 6 138 3,193
6 993,192
11 218 6 148,191
5 6,191
303 3,190
6 18,188
648 6,185
11 4 1 6,185
1 218,184
1 2 3,180
6 215,180
11 6 316,179
27 1,178
136,178
737,178
269 6,177
11 6 3 73,174
6 152,172
69 6,170
69 11 6 3,166
6 3 148,161
6 590,161
11 2,160
11 6 737,155
1 138,155
69 3,153
269 6 3,153
1 6 294,153
4 294,151
3 737,151
1 3 7,150
1 73,150
6 3 278,149
1 6 2,149
11 6 215,149
1 64,148
11 1 6 55,146
246 6 3,146
1 91,146
4 6 55,146
11 6 91,145
6 303,145
17,144
1 218 3,144
504 3,143
987,143
27 1 3,143
11 490,142
11 6 3 316,142
6 215 3,141
490 1 3,141
11 4 1 6 3,141
11 6 83,139
40,139
11 294,138
54,138
1 6 294 3,137
635,137
69 6 3,136
6 737,136
6 504,136
314,136
3589,135
2186,135
1779,135
483,135
1 77,135
3 136,134
11 1 6 55 3,134
5 6 3,134
218 6 148,134
83 3,134
273 3,133
3317,133
1 218 6,133
4 490,133
146,132
6 18 3,132
509,132
1 6 2 3,132
6 504 3,132
11 6 446,131
4 6 55 3,131
11 218 6 3 148,131
4426,131
11 27 3,131
749,131
6 83,131
40 6,131
1599,131
1 6 73,131
4035,131
11 27,131
11 7,130
616,130
295,130
1105,130
11 6 136,130
622,130
487,130
1 6 7,130
2081 3,130
6 273,130
11 6 667,130
643,130
275,130
52 6,130
3181 6,130
361 3,130
11 490 3,129
11 6 148,129
1039 3,129
605,129
4 490 3,129
2895,129
1777,129
880 3,129
3764,129
17 3,129
288,129
488 3,129
27 1 6 3,129
55 294 3,129
2985,129
11 6 14,129
6 303 3,129
4 64,129
1 3 64,129
635 3,129
509 3,129
11 3 316,129
2344 6,129
11 6 56,129
1777 3,129
6 229 3,129
667,129
246 11 218 6,129
1 6 138,129
1779 6,129
4 6 294,129
1490 3,129
640,128
849,128
52,128
3764 3,128
269 1,128
4 294 3,128
217,128
799,128
1 278,128
6 438,128
1855 3,128
928 3,128
1164,128
3 14,128
2895 3,128
490 1 6,128
3347 3,128
82,128
11 6 278,128
3317 3,128
11 6 3 446,128
40 3,128
11 4 6 3 7,128
928 6,128
1 590 3,128
323 6 3,128
6 2 7,128
638 3,128
11 6 273,128
607,128
1 3 73,128
2247 3,128
1 6 77,128
11 77,128
69 11 1 6 3,128
246 1 6,128
1 3 667,128
6 364,128
4 27 3,128
251,128
1 18,128
849 6,128
1 218 6 3,128
1524,128
922,128
4 2 3,128
3826,128
11 1 6 215,128
11 4 218 6,128
11 1850 6 3,128
2895 6 3,128
643 3,128
490 6 55 3,128
69 11 218 6 3,128
2145,128
11 52 6,128
11 314 6 3,128
749 3,128
2186 3,128
11 3 73,128
1059 3,128
11 72 6,128
6 993 3,128
246 55 3,128
135,128
6 1751 3,128
3315,128
4 6 73,128
1 6 993,128
338 3,128
11 1057 6,128
3 64 73,128
4588,128
490 6 64,128
11 3764 6 3,128
1593 3,128
11 1 40 6,128
4 6 316,128
928 1 6 3,128
11 218,128
485,128
11 6 215 3,128
1 590,128
1044,128
4315 3,128
246 1,128
3826 6,128
635 6,128
11 275 6,128
3764 6,128
11 6 3 438,128
799 6 3,128
635 6 3,128
1 1751,128
584,128
142 3,128
1056,128
11 2 3,127
1855,127
4 2,127
5 1,127
11 5 6,127
55 294,127
1164 3,127
490 1 6 3,127
801,127
11 6 378,127
2 55,127
1 3 316,127
295 3,127
622 3,127
3589 3,127
11 6 3 737,127
1177,127
27 294 3,127
11 6 590,127
291,127
3001,127
1637 6,127
485 3,127
2895 6,127
5565,127
3826 6 3,127
423,127
448,127
2309 3,127
217 6,127
293 3,127
4 218,127
2081,127
6 273 3,127
1 152,127
11 5 6 3,127
612 3,127
218 6 2 3,127
52 3,127
6 5655,127
6 321,127
1685,127
2009 6,127
1581,127
490 6 294 3,127
3 662,127
6 678,127
3826 3,127
11 4 6 3 446,127
6 2133,127
650 3,127
11 659 6,127
617 3,127
11 152,127
3 6127,127
86,127
3090 6 3,127
15597 3,127
11 845,127
1888,127
11 4035 6,127
1 446,127
11 18 3,127
6 55 294 3,127
11 1 6 3 136,127
11 218 3,127
1017 3,127
6 747,127
4 514 3,127
6 6953,127
1 6 3 316,127
11 6 354 3,127
269 1 6,127
934,127
1463,127
1101,127
6 10264,127
11 6 379,127
11 314 6,127
11 6 294 77,127
11 40 6,127
622 1 3,127
490 14,127
217 3,127
6 1065,127
6 83 3,127
1770,127
11 6 1921,127
6 21136,127
1644,127
11 40 6 3,127
3 4003,127
4 1057 3,127
1 6 3 9156,127
6 2103,127
11 6 993 3,127
1056 3,127
11 6 138 631 632,127
4113 3,127
146 3,127
512,127
11 4 1 218 6,127
484 6 3,127
6 3 422,127
11 2024 314 6 3,127
3604,127
638,127
11 3181 6,127
87,127
11 86,127
1855 6 3,127
11 648,127
987 218 6 38 1144 148,127
11 3589 6 138 3,127
3692 4272 1693,127
6 15501,127
145 11,127
11 3 8820,127
11 1039 6 55 512 235 236 3436 83 3 7457,127
11 218 6 989 229 155 512 1019 142 1710 3322 719 835 729 49 3416 1009 677 1816 14396 266 927 316,127
281 22126 3,127
11 218 6 6174 1104 265 7 136,127
4 6 3287,127
1642 4767 294 3 1955,127
27 1 6 205,127
11 291 1 6 215 138 378 3 9759 2389 136 667,127
590 3 278 10795,127
347,127
11 509,127
11 928 6 3 11405 14227,127
11 1 6 1748 378,127
11 21013,127
6 18 3 86,127
487 55 5810,127
490 622,127
11 1637 659,127
4 1850 4035 3 897,127
1 7257,127
254 3 4990 7,127
4 6 83,127
1 670,127
1 931 3,127
4 3 423,127
69 11 27 1 6 1895 1902 1769 818 819 1770 152 518 83 3 7 85 86 3552 77 7833 290 4218 1023,127
3589 1 6 3453 6301 709 3235 9070 2369 8900 5756 731 670,127
11 3356 6 3,127
11 1779 27 6 2 215 294 3 205 9902 6251 1503 1504 7724 7725 7730 1507,127
11 27 5 6 3 644 934 28 7 32 49 205 2808 206 5782 209 13160 10307 210 8163 6056 4528 4534 1090 1091 211 2313 87 2242 867 458,127
4 3 278,127
361,127
11 6 3437,127
11 1 6 148,127
6310 6,127
54 8655 3,127
1 5270 2182 7083 23651 6179 4826 2879 64,127
1 6 1135 294,127
378 3 409,127
616 3,127
11 1 6 20735 14 3613,127
6 4058 55 1751 3,127
3003 55 247 3,127
1 648 4244 215 12594 15509 15510 15511 737,127
1 6 64 19686,127
6 6356 6410,127
6 1554 3,127
