Element,Count
122,72508
8,69349
49,59525
124,46414
516,46325
51,39881
171,39569
150,39447
121,38702
158,35133
146,34204
149,34173
878,33880
60,33370
308,33035
22,30589
379,30370
514,29506
1,29156
84,29086
524,28627
81,27626
511,24536
476,24255
1051,23635
905,23536
6,23389
140,23154
590,22892
469,22572
406,22337
9,22336
422,22241
88,21913
76,21766
519,21559
444,21501
506,21277
220,21265
72,20875
20,20830
147,20825
603,20785
472,20620
123,20573
407,20539
208,20413
294,20330
53,20239
419,20188
142,20186
48,20162
863,19991
401,19985
471,19960
116,19955
561,19933
5576,19912
873,19897
591,19863
842,19837
459,19826
509,19771
376,19744
1172,19714
275,19697
338,19695
461,19657
1158,19657
1345,19654
448,19652
646,19650
845,19647
1206,19641
816,19613
157,19607
339,19592
468,19586
879,19585
21,19582
14,19577
398,19571
1029,19570
485,19570
313,19567
930,19566
330,19564
361,19562
764,19562
1625,19556
998,19555
168,19550
238,19550
621,19549
1711,19544
3187,19543
510,19542
805,19536
586,19535
503,19534
28222,19533
51018,19533
81688,19533
42,19532
187,19531
596,19529
393,19529
2150,19528
2845,19527
3233,19527
9321,19526
11517,19525
595,19525
112,19525
439,19524
530,19524
228,19523
109,19523
1003,19523
1539,19522
319,19522
6077,19521
394,19521
980,19520
138,19520
3006,19520
318,19520
2008,19519
58,19519
470,19519
54,19519
838,19518
774,19518
631,19518
1335,19518
718,19518
402,19517
1242,19517
1598,19517
386,19517
979,19517
355,19516
455,19516
1241,19516
152,19516
521,19516
453,19516
934,19516
520,19516
953,19515
65609,19515
411,19515
6694,19515
659,19515
340,19515
1458,19514
325,19514
374,19514
1517,19514
236491,19514
369,19514
1676,19514
14172,19514
31,19514
473,19513
380,19513
221,19513
432,19513
560,19513
2024,19513
90,19513
154,19512
1977,19512
568,19512
381,19512
101,19512
317,19512
2832,19512
4766,19512
526877,19512
940,19512
1045,19512
331,19512
475,19512
2380,19512
1121,19512
3438,19512
507,19511
1427,19511
1236,19511
400,19511
13,19511
1053,19511
1920,19511
329,19511
512,19511
884,19511
692,19511
1576,19511
241,19511
389,19511
40,19511
2040,19511
791,19511
165,19511
395,19511
1682,19510
523,19510
857,19510
581,19510
932,19510
1203,19510
1791,19510
39470,19510
30,19510
536,19510
1174,19510
1710,19510
1075,19510
1114,19510
1440,19510
2148,19510
1195,19510
215,19510
199,19510
370,19510
1088,19510
1368,19510
4871,19510
9186,19510
2663,19510
2944,19510
202,19510
250,19510
287,19510
335,19510
2294,19510
8707,19510
542571,19510
1381,19510
51528,19510
726,19510
803,19510
1161,19510
312,19510
1136,19510
307,19510
624,19510
1042,19510
1342,19510
31808,19510
79288,19510
818,19510
1205,19510
1798,19510
1772,19510
66,19510
1270,19510
906,19509
22737,19509
2170,19509
4694,19509
5798,19509
6268,19509
870,19509
10,19509
198,19509
579,19509
679,19509
1835,19509
126,19509
3003,19509
4378,19509
2224,19509
4353,19509
2675,19509
2919,19509
2937,19509
9691,19509
114,19509
301,19509
447,19509
819,19509
1523,19509
5300,19509
10969,19509
288,19509
362,19509
565,19509
962,19509
2769,19509
191,19509
266,19509
304,19509
306,19509
413,19509
440,19509
580,19509
1120,19509
1308,19509
1446,19509
2050,19509
3502,19509
4371,19509
5480,19509
6422,19509
11422,19509
12955,19509
66488,19509
12,19509
24,19509
