ID,Count
b'\xd2\x1d9\xfa\x00P\x0f\x13I\x9a\xf89\x06',187449
b'\xb7\xf6h\xd0\xc1\x8b+\xfc\xe1\x08\x00P\x06',120065
b'E.\x1c)\xa4\xb2\x89\xb6\x06\xba\xd2\xad\x06',114836
b'V+x\xe8\x00Po\xcd\xe4\xde\xccw\x06',101235
b'\x01l|\xff\x8f\r\x01l\xc5\xc8\x01\xbb\x06',94031
b'\x01l$\xce\x0e\xad\x01l\xc5\xc6\x01\xbb\x06',94001
b'\x01l$\x98\xb0~\x01l\xc5\xc6\x01\xbb\x06',86766
b'\x01l|\xec\xcc\x1b\x01l\xc5\xc8\x01\xbb\x06',72547
b'\x90\xbcT\x17\xc3\xba\x01 \x8a\x0c\x01\xbb\x06',71853
b'\x05\x06\x1b\xd0\xcb\xa4h\xef\x88\xf3\x1f\x90\x11',62402
b'\xc9W\xf7#\x00P\x01-3\xc6\xbe\xeb\x06',58128
b'e\x86\xc2d\xfd\x84h\xef\x88\x96\x1f\x90\x11',56741
b'\x1d\xb9\x7f\xd3_\x85\xdd\xc3\xe7&\x00\x14\x06',55764
b'+?\x82\xd6\xafok\x1f\x9a\xaf\x01\xbb\x06',52472
b'I\x95\xba\xfb\xcc\xcco\xcd\xe4r\x1f\x90\x11',51225
b'E\x0c\xd5\xf7\xd7(\xdd.\xdc\xec\x00P\x06',50954
b'\x91\xdc\xd6\x91\x00Pf\x03\xc7\xad\xd2&\x06',50571
b'\xd0\xfd=\x0e\xad\x92\xdd\xc3\xe7#\x00\x14\x06',49368
b'p\xe01\xdd\xd2P\x01`\xe64\x00P\x06',49104
b'\x05?\xc10\xf6mo\xcd\xe4\xd7\x1f\x90\x11',48080
b'\xb8e\xb7\x0cz6o\xcd\xe4\xedgg\x11',47539
b'\x0c$\x02\x95\xc3M+\xfc\xe2*\x00P\x06',47075
b'<\xf2\xdc\xd0K`Cc\x0f\xe3\xea\xfb\x06',47027
b'\x82\x19\x1e\xc0\x11\x9c+\xfc\xe1P\x00P\x06',46994
b'\xce\x93D[\xee\x9c+\xfc\xe0\x9b\x00P\x06',46471
b'\xdd\x01b\xdf\xd5\xce\xdd.\xdc\xf1\x00P\x06',46372
b'OZ\x0e\xae\xdc\xf1o\xcd\x19\xf0\x1f\x90\x11',46265
b'\r\x01W\xaa\xcdL\x03\xff\x02\x82\x01\xbb\x06',45898
b'B\xf2A\x84\xcf\x92\xdd\xc3\xe7$\xa2D\x06',45677
b'\xc9&\xf8\x83\xc6\x07o\xcd\xe4i\x1f\x90\x11',45170
b'\x86\x82d8k\xe1f\x00\xedP$\xcf\x11',44704
b'z\xdd\xc7\x86U_\x01|y\xdb\x01\xbb\x06',43786
b'\x05\x11}\x9e\xc9\x94o\xcd\xe4\xa4\x1f\x90\x11',43724
b'E\x0c\xd5\xf5\xa4\x14\xdd.\xdc\xec\x00P\x06',43239
b'\xb7\xe8L\xb1\xffg+\xfc\xe1\x1b\x00P\x06',43200
b'c\x0f\xb2\xd4\x80\xd2\x01`\x8d\x12\x01\xbb\x06',42931
b'Ae\x8a}\xd8\xeaB\x82kS\xed(\x06',42080
b'\xb7\x96U\xe9\xe2v\x01\x90G\xbf\x01\xbb\x06',40374
b'P\xc81\xaa\xcf\x12\x12\xc0\xc3\xbe\x01\xbb\x06',40053
b'h8\xc7i\xe9Wh\xef\x88\xe3\x1f\x90\x11',39987
b'z\x0c\x8c)\xd4N+\xfc\xe0\x86\x00P\x06',39897
"b""'&\xec\xc2\xd0\xeao\xcd\xe4\x84\x1f\x90\x11""",39669
b'uT\x80\xd8M\xc6+\xfc\xe2\x11\x00P\x06',39520
b'\x80\xaf\x0b\xbd\xd8\x84\x01\x92V\x1f\x01\xbb\x06',39195
b'\xb7\xbcBz\xfc\x02+\xfc\xe1P\x00P\x06',38813
b'\xd7\xba\xc9\xac~\x1bo\xcd\xe4nE\xd1\x11',38632
b'r\x01\xb8p\xd7\xfd+\xfc\xe0\x86\x00P\x06',38593
b'\xcf\x95\xbfM\xf57\x01`\xa6\xd5\x01\xbb\x06',38010
b'\x82\x0cF\xff\xda\xbb+\xfc\xe0\x86\x00P\x06',37475
b'\xce\x92\xa0\x80\xd4\xe2+\xfc\xe1\x1b\x00P\x06',37416
b'\xca\xe0p\x04\xc9\x14+\xfc\xe2\x07\x01\xbb\x06',37058
b'\xb7\x9ac\x0c\xc2\x7f+\xfc\xe1\x1b\x00P\x06',36639
b'sY\xa4\xdfU\t\x01`\xb8g\x01\xbb\x06',36151
b'\x7f\x8b\xef\xbd\xe5\xbe\x01`\xdf;\x01\xbb\x06',36106
b'uu3\xef\xc3H+\xfc\xe2\x1a\x00P\x06',36095
"b""'\xd8\xbaK\xbd\xbbo\xcd\xe4Z\x9c\xcb\x11""",36046
b'\x80-!\x1e\xbd`\x01`\xa7g\x01\xbb\x06',35970
b'\x0c+\x188\xc2\xc2+\xfc\xe1P\x00P\x06',35867
b'{\xecL\x9b\xd1\xc1+\xfc\xe0\x9b\x00P\x06',35641
b'\x92\xc1\x17\xca\x90\xb6o\xcd\x19\xda\xa1\x06\x11',35508
b'\xd4\xe6\xef\x83\xf4W\x01`\xe6\xf6\x00P\x06',35420
b'\xd1?.\x9a\xceJ+\xfc\xe0\x19\x00P\x06',35241
