ID,Count
3,38737
6,32883
6 3,23788
11 6,15385
1,12321
11 6 3,11735
1 3,8614
11,8082
1 6,7752
4,6950
11 3,6440
55,6238
1 6 3,6193
4 3,5595
55 3,5043
11 1 6,5043
4 6,4889
6 55,4432
4 6 3,4429
11 1 6 3,4384
2,4326
294,4297
6 55 3,4107
490,3921
27,3914
294 3,3846
2 3,3813
218,3738
7,3733
11 4 6,3608
11 1,3591
64,3586
11 4 6 3,3571
6 294,3537
91,3520
73,3516
6 2,3484
218 3,3415
6 294 3,3409
11 6 55,3403
3 7,3382
218 6,3381
27 3,3376
490 3,3369
138,3345
6 7,3342
4 1,3337
490 6,3325
3 73,3313
6 2 3,3310
316,3298
77,3287
27 6,3268
1 55,3257
11 1 3,3242
6 3 7,3211
11 6 55 3,3210
3 64,3205
27 6 3,3198
218 6 3,3191
3 316,3160
246,3154
6 64,3145
3 77,3144
490 6 3,3139
6 91,3139
11 6 2,3133
5,3128
446,3114
4 1 3,3111
18,3103
1751,3099
6 77,3096
269,3096
4 1 6,3077
278,3074
6 73,3072
993,3069
148,3069
145,3068
91 3,3061
152,3055
6 3 73,3049
6 3 64,3040
138 3,3038
648,3037
590,3029
11 4,3021
6 138,3016
11 6 3 7,3005
11 6 294 3,3002
11 6 77,2997
1 55 3,2996
6 138 3,2991
11 6 294,2987
11 6 2 3,2984
4 1 6 3,2980
11 6 7,2979
215,2958
11 6 138,2952
11 55,2951
11 218 6,2950
3 446,2946
1 294,2945
504,2943
11 55 3,2943
6 993,2940
69 11 6,2939
6 3 77,2939
6 316,2936
11 6 316,2935
6 3 316,2934
4 55,2932
3 278,2931
69,2929
11 6 3 77,2928
303,2928
11 4 3,2924
1 6 55,2920
6 446,2920
269 3,2918
6 91 3,2916
11 218 6 3,2913
1751 3,2910
1 6 55 3,2906
11 490 6,2906
4 55 3,2905
3 148,2903
11 6 3 64,2902
246 6,2901
11 6 73,2900
1 2,2897
246 3,2885
4 6 55,2883
273,2883
314,2879
6 278,2877
1 73,2875
6 18,2872
269 6,2871
145 3,2871
1 7,2869
648 6,2868
11 490 6 3,2864
648 3,2863
6 3 446,2862
11 6 64,2860
993 3,2858
6 737,2856
1 218,2855
1 218 3,2854
69 6,2853
4 490,2852
11 4 1 6,2852
11 6 91,2849
11 218 6 3 148,2848
6 215,2845
6 3 148,2844
11 27 6,2843
11 218 6 148,2842
215 3,2839
3181 6,2838
737,2837
490 1,2835
269 6 3,2834
18 3,2834
145 6,2833
3090,2832
5 3,2824
3620,2824
83,2823
11 6 446,2822
11 6 3 73,2821
11 40 6 3,2819
1 294 3,2819
5 6,2818
11 6 138 3,2818
504 3,2817
590 3,2817
1 6 294,2816
152 3,2815
11 6 737,2815
11 6 83,2814
11 5 6 3,2813
2081,2812
483,2810
490 6 55,2809
269 11 6,2809
6 303,2808
1 218 6,2808
6 152,2806
11 2,2805
6 14,2805
217 3,2805
1 6 2,2804
484,2804
27 1,2803
2186,2803
11 6 438,2803
275,2802
11 294,2802
4426,2801
607 3,2800
1 3 7,2799
635 3,2799
509 3,2799
303 3,2797
11 6 215,2797
1056,2797
6 148,2796
146,2796
1777 3,2796
605,2795
295,2795
1164,2795
7723,2795
11 77,2795
4 2 3,2794
3589,2794
3 737,2793
1057,2793
6 215 3,2793
2024 1065 3,2793
27 1 3,2793
4 294,2792
1 64,2792
136,2791
1850 6,2791
880 6 3,2791
1 2 3,2790
3 136,2790
69 11 6 3,2789
1 91,2788
11 3 73,2788
4 148,2788
69 6 3,2787
656 3,2787
32344 3 1174,2787
