ID,Count
122,1505418
8,1386773
49,1337083
124,1033427
516,955015
171,902287
51,883264
121,821568
878,804762
158,794106
146,786746
150,760548
60,727201
1,724251
149,723139
308,719570
84,716424
22,670749
524,656714
140,645893
81,637084
379,624410
514,620072
476,604725
448,599326
422,571033
76,568951
220,562177
6,559408
208,544096
905,542502
511,529262
20,528584
1051,517869
376,517685
123,510408
509,505427
9,502369
72,493926
857,493310
369,482133
469,480863
603,480785
88,478561
338,477276
1181,472749
14,472045
142,469627
116,469229
386,468749
275,468308
519,465316
471,465145
361,461673
53,458050
185,457722
147,455575
1285,453890
590,453396
406,452333
294,451508
1029,446926
506,445310
863,445091
355,443218
485,439108
879,437141
228,435427
845,435224
472,431143
1095,431062
468,430433
873,430309
31,423788
444,422983
461,421795
330,420918
419,417715
313,416427
306,415522
503,414868
561,414323
998,411643
48,407838
1206,406801
112,406604
1088,406479
520,406428
340,404224
402,403716
206,403203
295,402772
764,400179
588,399849
213,397876
1793,397067
510,396979
1801,396923
684,396303
21,396191
459,395980
380,395829
16801,395239
536,395218
683820,395202
521,394381
319,393910
646,393866
589,393241
931861,393116
401,392452
805,392238
1034,391004
591,390436
54,389583
407,389415
1236,388256
238,384375
359,383794
4622672,382620
842,382167
1077,381942
1114,381055
455,380599
563,380024
389,379605
57019,379115
560,378745
938,378455
159475,377748
370,376737
718,374875
40,374429
5158819,374152
884,373389
157,373331
475,372687
138,372567
10,372143
523,370958
58,367023
4642704,363389
5255038,361423
946,359075
13,358845
108279,358411
1827,357461
1629,356900
98792,356681
1345,356642
54596,356460
5246139,355534
1045,355388
66,355332
1227086,355220
934,354678
4891650,354197
1281,353943
439,353696
3138536,353437
55,353112
1242,352913
824,352433
18,352149
621,351602
54083,349475
83705,348961
1290172,348396
100349,347428
1312,347315
4739102,346744
1024,346573
431,346217
168,345191
187,345157
858,345035
90,344743
5263277,344394
5021778,344259
5244585,344039
165,343933
1032,343645
4642276,343485
508532,343248
1917210,343134
440,343022
679,342484
4886281,342012
5193402,341002
5013767,340794
4913,340363
179,340095
2133210,340032
2305,339874
86,339253
129663,339169
287,338862
1682,338572
5107113,338334
470,338253
5078981,338124
1158,338118
875888,337813
486,337365
5045978,337193
670872,336811
692418,336636
816,336076
202,335149
381,335032
172588,334878
980,333335
1232588,332512
339,332356
5004405,332239
1983448,332170
1003,332091
5219805,331436
417,331233
2192,331001
152,330995
3484807,330928
5263780,330646
247,330539
5156118,330532
804407,330241
111301,329238
259,328813
2355,328691
197313,328414
4790189,327963
1704397,327648
21279,327540
1198708,327478
144002,326778
2443620,326710
3194421,326656
5175693,326517
5265980,326410
85,326277
586,326161
30,326102
335,326087
347482,325979
5117239,325918
312,325440
595,325413
1440,325412
1056,324990
2602,324791
9428,324349
726,324338
3174,324089
514408,323920
5224534,323711
1842776,323642
