Element,Count
122,71898
8,65962
49,61894
124,46330
51,42169
171,41710
516,40117
158,38079
878,37383
121,35963
146,35251
150,34177
149,34062
60,32834
1,32203
84,29722
379,28961
308,27756
22,27702
514,25974
81,25391
220,25128
140,24633
524,24440
147,24026
905,23280
20,23091
476,22580
9,22006
422,21073
376,20819
1801,20793
294,20747
72,20677
511,20617
857,20533
469,20367
1034,20328
6,20068
123,19757
88,19724
879,19714
208,19352
603,19016
448,18954
1051,18935
471,18791
401,18614
116,18542
76,18474
485,18163
590,18080
14,17928
873,17897
142,17884
1206,17839
509,17822
275,17621
355,17617
863,17496
519,17465
338,17409
330,17251
1029,17116
472,17066
998,17021
306,16777
561,16436
646,16390
54,16131
506,16060
1793,16059
468,16056
845,15939
206,15903
1236,15808
157,15788
842,15671
406,15669
380,15557
313,15473
1095,15425
521,15277
1158,15170
803,15006
459,14983
444,14952
319,14823
1285,14760
138,14699
361,14667
112,14628
679,14567
369,14524
486,14350
1242,14035
419,13990
53,13977
520,13967
805,13887
331,13597
312,13585
259,13575
621,13574
475,13543
1174,13519
983,13512
295,13470
591,13441
238,13426
503,13425
536,13366
504,13310
21,13283
884,13281
386,13272
370,13234
31,13208
325,13164
461,13146
439,13142
764,13120
340,13058
470,13016
1241,12966
228,12935
48,12803
396,12698
225,12675
1244,12641
402,12602
430,12590
1699,12539
860,12532
66,12516
1700,12472
168,12439
417,12363
523,12336
1281,12245
42,12239
881,12177
389,12125
185,12063
202,12056
339,12005
250,11884
510,11838
455,11802
55,11773
938,11735
563,11672
1977,11620
85,11531
40,11511
1682,11507
684,11462
498,11394
2558,11359
659,11334
30,11329
58,11313
1345,11305
287,11256
954,11175
934,11166
586,11126
213,11090
86,11038
2355,11027
560,11010
2380,10938
236,10793
1112,10711
493,10660
387,10646
179,10638
13,10604
512,10599
453,10573
407,10531
187,10483
993,10455
1098,10425
126,10366
906,10321
109,10308
377,10270
221,10258
718,10241
588,10233
381,10228
1228,10195
1054,10029
102,10019
90,10007
1024,9998
870,9997
1312,9987
280,9946
303,9913
1576,9896
1077,9896
2318,9769
335,9748
354,9715
1056,9672
1827,9670
195,9665
18,9614
431,9612
1523,9606
818,9581
980,9567
702,9542
426,9531
596,9436
600,9421
595,9418
1181,9415
2077,9411
425,9327
1324,9253
378,9233
1088,9202
1114,9191
838,9190
191,9187
92,9185
440,9160
165,9119
393,9086
174,9008
418,8982
824,8978
673,8955
1835,8954
1172,8952
1075,8937
726,8923
359,8873
332,8868
746,8846
1195,8833
473,8808
38,8784
1203,8756
1368,8747
154,8738
4766,8714
117,8598
216,8592
198,8558
274,8546
1139,8520
2829,8500
1629,8472
152,8470
858,8438
258,8388
10,8386
398,8333
979,8290
1170,8283
217,8283
414,8274
692,8273
1823,8262
794,8234
1659,8228
1349,8223
316,8218
1149,8204
2402,8193
2226,8185
1003,8178
413,8080
1226,8078
1648,8060
1786,8043
2179,8037
255,8029
243,8014
513,7986
1432,7942
992,7933
1440,7932
543,7915
1339,7890
2150,7870
1136,7825
478,7817
241,7796
2154,7793
490,7792
435,7715
1161,7705
937,7703
400,7687
73,7683
2231,7660
412,7643
1208,7629
362,7621
2188,7607
307,7585
1032,7577
2663,7555
3025,7546
709,7517
2294,7501
1144,7479
495,7409
790,7381
97,7345
3127,7311
447,7297
738,7271
346,7255
392,7243
1992,7241
1156,7236
559,7228
272,7174
345,7149
917,7136
701,7135
177,7107
518,7095
1121,7076
890,7055
24,7047
940,7033
302,7009
1045,6993
1046,6990
3006,6981
749,6976
2975,6971
1423,6968
173,6945
987,6944
629,6900
1539,6892
329,6886
1721,6873
631,6872
4913,6870
853,6859
2389,6843
247,6843
517,6834
651,6800
2140,6775
395,6746
2375,6723
320,6720
347,6712
3764,6663
912,6662
530,6649
2905,6647
1200,6641
2136,6640
2024,6609
357,6607
446,6599
391,6596
2851,6588
207,6576
902,6566
44,6558
1153,6545
167,6515
411,6489
2506,6447
465,6444
1654,6436
452,6408
107,6396
2220,6394
705,6393
576,6365
697,6364
188,6360
625,6360
442,6358
1616,6358
1019,6357
290,6354
528,6351
264,6318
1292,6313
2257,6311
1210,6311
2633,6289
244,6252
816,6250
460,6247
2037,6231
484,6212
747,6212
2052,6190
698,6184
260,6182
1205,6179
930,6168
456,6167
1059,6166
598,6147
1157,6131
253,6129
2076,6115
83,6110
282,6102
1722,6101
2901,6091
914,6080
181,6042
2846,6028
711,6027
1458,6025
1566,6019
1821,5982
2675,5981
740,5957
385,5956
1055,5949
1270,5945
1344,5935
1169,5920
1005,5920
1286,5919
1668,5913
1304,5911
2693,5910
932,5876
788,5873
4869,5871
1308,5860
759,5854
580,5841
133,5838
583,5837
1191,5820
867,5808
2533,5773
375,5762
792,5762
1619,5758
647,5744
928,5738
5576,5736
148,5725
753,5723
1676,5690
669,5689
896,5684
3412,5678
903,5657
2807,5656
2,5651
1762,5633
575,5612
1215,5580
2439,5579
1248,5578
266,5574
1131,5570
499,5561
814,5560
1111,5548
624,5537
3045,5534
6525,5503
252,5498
2543,5486
839,5473
2307,5461
119,5454
1622,5445
1127,5439
648,5418
1313,5408
494,5407
515,5352
529,5347
219,5339
449,5321
829,5309
215,5304
1020,5295
737,5289
640,5280
582,5272
2050,5262
1012,5255
190,5254
281,5249
291,5242
1247,5237
581,5237
990,5224
731,5222
299,5220
2163,5212
2264,5205
1979,5200
279,5172
3156,5163
1385,5152
2234,5148
730,5146
861,5144
706,5134
74,5124
2201,5118
394,5108
4,5098
432,5077
1289,5077
2875,5071
283,5061
2271,5044
2556,5043
172,5042
3338,5040
1347,5040
1625,5036
2330,5033
134,5020
696,5013
1640,5011
1970,5007
3160,5001
182,4999
732,4992
1311,4982
1278,4981
304,4978
328,4978
571,4969
2773,4956
47,4916
589,4913
666,4902
2932,4901
19,4894
716,4887
1772,4885
193,4863
479,4851
2120,4835
1182,4833
1951,4830
1335,4828
43,4826
364,4817
915,4810
1927,4807
2305,4794
1797,4792
103,4786
1605,4779
886,4777
17682,4776
1298,4774
2427,4763
1476,4761
1004,4759
16821,4754
1049,4742
546,4737
6045,4732
1103,4724
1837,4720
1269,4696
1299,4683
1193,4682
2089,4678
1069,4676
579,4675
2086,4673
1360,4673
286,4667
249,4666
2944,4662
467,4661
1749,4656
368,4651
3071,4649
1229,4646
931,4645
50,4634
662,4628
855,4624
3187,4608
2255,4602
722,4602
127,4591
254,4581
1919,4576
2821,4575
1759,4572
565,4562
1204,4551
315,4547
791,4535
101,4529
972,4523
1243,4515
2575,4506
2608,4501
525,4498
1118,4493
1996,4491
474,4489
246,4486
2937,4481
970,4475
2302,4472
2523,4460
755,4452
1572,4451
211,4443
1061,4440
189,4438
848,4429
2232,4428
2219,4426
1310,4420
548,4411
2074,4403
827,4401
5006,4393
366,4392
973,4388
2452,4387
5976,4385
1053,4382
175,4381
2470,4379
1598,4373
4923,4373
2251,4370
566,4368
1693,4363
2002,4357
374,4336
164,4336
1175,4333
1738,4328
1135,4328
2832,4324
1670,4318
2554,4304
3020,4300
535,4300
828,4289
1288,4282
806,4273
4350,4271
1130,4268
741,4258
775,4242
796,4231
2122,4222
3879,4219
1790,4217
437,4212
410,4209
856,4206
2433,4205
2561,4204
184,4198
1666,4178
2927,4168
209,4166
1183,4166
826,4165
496,4152
5300,4151
2863,4148
508,4144
1627,4135
2609,4135
1929,4133
433,4104
4648,4095
59,4095
549,4094
3747,4093
1932,4090
1417,4075
227,4072
2492,4071
2473,4069
7422,4061
2127,4056
9739,4049
1173,4047
2058,4046
1710,4038
4631,4028
1283,4020
1257,4019
2634,4013
923,4013
41,4007
2428,4004
2350,4004
1060,3995
4248,3993
1093,3990
1603,3987
231,3987
237,3986
2025,3971
3672,3969
943,3967
5769,3964
1166,3959
574,3956
1042,3951
1087,3938
1240,3934
3856,3921
317,3918
2519,3916
1807,3912
918,3912
862,3908
415,3908
3643,3902
2235,3899
1828,3887
904,3883
342,3882
2671,3879
1064,3878
114,3871
7334,3863
2661,3857
1789,3853
2434,3850
2361,3840
1765,3840
131,3836
382,3827
4065,3826
2850,3825
538,3819
10601,3811
199,3809
1933,3804
144,3801
2669,3798
2008,3781
4850,3776
953,3774
1211,3761
1923,3747
33,3745
35,3738
65,3734
4353,3733
98,3726
1829,3721
4806,3708
424,3703
1661,3702
1920,3701
1007,3698
2712,3682
1342,3680
5486,3677
649,3673
1179,3664
774,3664
2144,3659
1100,3657
2780,3652
233,3645
4080,3642
310,3641
130,3636
372,3635
4638,3632
1151,3629
2584,3624
3866,3622
443,3617
592,3614
434,3608
944,3607
3194,3606
278,3603
4273,3596
2104,3590
13692,3590
1196,3586
780,3579
2935,3575
261,3574
2986,3567
2626,3560
2080,3559
1233,3553
5731,3552
2026,3552
7948,3551
3570,3549
2065,3546
1802,3542
139,3541
2640,3537
2214,3536
639,3536
3182,3519
2224,3514
288,3511
5543,3505
428,3505
5888,3499
1031,3497
3858,3494
1105,3488
2159,3485
7660,3483
1150,3474
2836,3465
4546,3460
1079,3455
3475,3455
2145,3453
3407,3453
2178,3452
2078,3451
2964,3449
3484,3448
297,3445
975,3440
2240,3439
654,3437
1596,3437
1452,3432
12,3428
1766,3425
108,3417
752,3417
45516,3416
2486,3412
11028,3406
5822,3402
200,3399
715,3396
2429,3394
318,3394
2189,3386
8502,3385
2852,3384
4813,3380
2976,3378
2221,3377
178,3376
3682,3374
333,3368
12231,3365
1082,3364
136,3361
2362,3355
1199,3352
5712,3346
2687,3345
273,3339
1044,3339
5298,3339
2148,3337
3522,3337
4591,3325
1698,3325
850,3310
1361,3306
800,3297
1732,3295
8642,3289
667,3287
910,3284
887,3281
3307,3280
4818,3273
2897,3272
3192,3271
1694,3269
1764,3269
1187,3268
1739,3266
3770,3263
1022,3257
9946,3257
812,3254
3387,3251
1849,3242
1074,3242
3137,3233
2816,3229
1781,3223
232,3223
1089,3215
1950,3212
2061,3209
2243,3209
1101,3207
445,3201
5484,3201
10115,3192
1446,3191
1232,3188
28848,3184
1554,3182
5955,3182
1590,3181
78,3180
129,3169
2071,3169
1023,3169
8532,3167
2242,3165
817,3160
2499,3158
1514,3153
919,3152
1806,3152
1427,3148
2787,3148
2806,3147
3674,3145
2411,3139
75,3137
27,3135
727,3129
1463,3126
587,3121
242,3120
12579,3120
285,3115
2079,3114
3003,3108
3489,3103
3748,3100
1402,3096
210,3090
14901,3087
18877,3083
2827,3082
301,3078
768,3076
2745,3076
2181,3073
751,3070
7809,3069
1119,3069
2227,3067
2225,3066
936,3063
68,3063
2635,3054
552,3053
1138,3053
1939,3050
2853,3049
1736,3047
854,3047
4871,3046
1303,3041
289,3040
6167,3030
11009,3026
3718,3020
1219,3019
222,3019
4663,3017
1097,3012
835,3012
4623,3010
2837,3003
268,3002
3026,2998
501,2997
1773,2994
4550,2993
12201,2985
85836,2982
1558,2981
573,2981
2256,2974
2436,2973
5222,2966
1137,2965
3806,2964
31887,2960
3174,2959
1291,2959
1798,2959
1117,2950
2063,2950
349,2946
3505,2942
1300,2942
920,2940
3287,2936
4195,2934
480,2930
13317,2929
1120,2922
373,2917
2021,2909
4351,2903
18496,2896
2490,2894
2121489,2888
2996,2887
2131,2886
880,2874
1775,2872
500,2869
1068,2868
203,2868
9394,2864
115,2863
2658,2862
526,2858
6363,2855
388,2851
1812,2848
4140,2844
898,2844
2174,2841
5500,2841
143,2840
1796,2839
3473,2836
1681,2836
271,2833
2272,2825
3223,2822
1025,2820
25888,2820
483,2816
15153,2814
1027,2813
1256,2812
4859,2809
830,2809
30497,2809
3512,2808
2857,2807
1958,2806
1686,2803
1826,2799
5684,2797
1132,2795
1965,2789
572,2786
4838,2785
895,2784
129748,2776
1791,2772
1001,2772
8789,2770
804,2770
23,2769
61174,2766
1165,2764
88167,2758
280965,2758
335302,2754
722304,2754
2122935,2753
87,2744
1771,2742
1234,2741
811,2739
2946,2738
3745,2733
3602,2733
3693,2732
7915,2732
2786,2730
2102,2730
3200,2728
240706,2726
686878,2726
6422,2723
464318,2723
767,2721
1190,2721
183,2720
6115,2720
2121488,2720
348,2716
1995,2716
2438,2715
849,2715
1231,2711
2581,2705
2107,2702
2142,2699
2435,2697
1643,2695
6077,2691
80,2686
599,2683
1102,2678
2842,2677
1096,2669
569,2666
4808,2659
977,2653
239,2651
99,2650
808,2640
3114,2636
1460,2632
1261,2630
4658,2626
1047,2623
785,2620
2341,2619
2956,2616
680,2607
1621,2606
462,2604
1043,2603
1341,2602
1795,2602
2747,2590
9821,2584
2040,2582
477,2581
2374,2579
5517,2572
1040,2571
212,2570
2642,2556
1268,2553
2737,2550
3779,2547
1954,2546
363,2542
597,2540
633,2539
423,2537
778,2534
2718,2534
632,2527
6404,2516
3056,2515
2118,2511
1664,2508
1306,2507
1194,2506
3305,2506
1777,2501
522,2500
3181,2495
2835,2492
7757,2477
189637,2474
2638,2473
3219,2472
1035,2472
2168,2468
5559,2468
807,2464
9607,2463
314,2459
5491,2458
3000,2457
1651,2456
3199,2456
4795,2444
4957,2439
1109,2436
5983,2435
7922,2425
6639,2424
4078,2422
3395,2422
1057,2420
1964,2419
1581,2418
3717,2417
2369,2416
19254,2406
2003,2405
913,2404
492,2401
4262,2393
399,2391
1320,2390
4141,2388
3323,2388
2455,2383
2711,2379
3564,2375
4883,2374
3115,2373
9727,2372
837,2369
1091,2368
537,2366
205,2365
876,2359
851,2359
3653,2356
1578,2355
2297,2350
1067,2350
3320,2349
3894,2341
2288,2338
4044,2333
2644,2333
311,2333
1692,2331
1632,2330
851787,2330
1006,2325
256,2321
3136,2318
9839,2316
6481,2313
1953,2312
6130,2312
1685,2311
4104,2308
6694,2306
1957,2306
1818,2305
568,2303
1711,2299
5966,2298
9266,2294
277,2292
675,2288
1028,2287
3427,2286
1280,2284
3280,2281
1490,2281
1192,2280
141,2278
3329,2277
1672,2277
4724,2276
1757,2273
4178,2272
1727,2267
296,2267
2326,2266
137,2261
3958,2261
1599,2259
663,2257
5530,2254
2203,2253
882,2252
3246,2251
2247,2250
3772,2249
889,2247
4480,2243
3823,2240
1712,2239
1662,2238
2697,2238
4308,2231
1052,2226
2088,2224
2298,2223
1816,2219
5988,2219
507,2216
786,2215
3618,2214
1527,2214
3750,2212
6601,2211
2397,2209
6332,2209
234,2206
2276,2201
720,2198
6294,2195
5835,2193
4103,2189
1744,2188
2936,2182
1325,2182
2682,2181
3535,2178
2805,2177
544,2172
3434,2167
1633,2165
7158,2160
1767,2159
6351,2158
6031,2156
12009,2156
6112,2154
769,2154
3138,2148
2228,2145
39,2145
946,2142
5808,2140
1477,2140
3393,2138
2281,2133
1624,2132
5487,2132
2815,2131
4909,2130
8311,2128
3302,2124
558,2121
2938,2120
833,2118
2826,2117
2418,2117
847,2111
6415,2108
3502,2107
1723,2106
371,2105
1279,2105
832,2104
840,2101
1062,2093
3206,2093
270,2087
5439,2083
6541,2081
12209,2079
5820,2076
11482,2076
46,2074
1266,2074
1227,2070
1230,2069
3044,2068
13666,2067
13508,2066
3214,2062
831,2060
8205,2056
1002,2055
3438,2053
3205,2050
2974,2049
2512,2048
2423,2047
3567,2045
13779,2040
601,2039
7471,2036
3854,2035
1094,2034
2904,2030
5252,2028
819,2028
4105,2028
643,2025
3465,2024
1575,2023
7951,2023
6734,2021
3534,2020
626,2020
3818,2019
8923,2016
3247,2012
4870,2007
4187,2006
218,2006
893,2006
3553,2004
10086,2003
5796,2000
2769,1998
5584,1996
4442,1992
2097,1992
82,1989
1148,1986
4751,1985
664,1984
2212,1984
13402,1983
2719,1979
1506,1973
3612,1972
2716,1972
843,1971
5515,1966
2636,1963
5297,1961
3213,1959
2430,1953
245,1953
4170,1953
169,1952
1185,1951
5998,1950
3233,1949
21661,1944
1328,1943
4630,1943
463,1942
3538,1942
2450,1941
8574,1940
5373,1937
309,1936
19824,1934
4891,1931
5509,1929
3702,1925
635,1925
2182,1920
5985,1919
8186,1916
8480,1915
3261,1912
2300,1910
4278,1909
4827,1909
4378,1908
3423,1908
2623,1903
676,1901
3032,1899
1413,1894
1466,1893
10711,1892
3646,1891
1141,1891
1934,1889
1691,1889
1350,1885
1774,1884
1048,1884
2756,1884
3810,1882
1221,1880
2010,1875
5806,1874
7577,1869
7511,1868
7455,1868
1212,1863
214,1858
4370,1856
7466,1856
1783,1855
724,1855
6215,1854
5759,1853
798,1852
710,1850
1967,1848
2919,1845
2672,1843
2951,1841
3383,1841
2303,1839
4161,1838
712,1837
2105,1836
531,1836
3406,1832
3526,1831
2966,1829
265,1827
1780,1825
2722,1822
8152,1822
2147,1819
6446,1818
3255,1815
4016,1813
10406,1813
2770,1813
4881,1812
3382,1810
2858,1810
4132,1810
4075,1808
4872,1808
327,1806
864,1803
2180,1799
8188,1799
11637,1796
1277,1795
4364,1794
2239,1794
1014,1793
4862,1793
3367,1792
3724,1791
3386,1790
29,1789
4399,1788
11972,1787
3414,1785
405,1785
1297,1784
3228,1780
1502,1778
23243,1778
10291,1777
924,1777
1963,1776
5397,1776
153,1775
729,1775
4899,1772
3801,1771
5882,1770
3235,1770
2453,1769
3240,1768
11498,1766
14536,1757
3231,1756
5057,1756
1386,1755
1113,1752
70,1749
1222,1745
7416,1744
756,1743
6499,1743
6714,1743
1163,1742
4449,1740
2110,1739
4411,1738
2820,1737
6378,1736
5243,1735
2258,1732
6951,1732
6656,1730
5227,1729
358,1724
1319,1723
3374,1722
1494498,1722
1649,1719
5598,1718
421,1717
3113,1717
7811,1714
1940,1712
3597,1711
7453,1708
2713,1708
1072,1705
1126,1701
2800,1701
166,1701
8823,1701
1726,1700
3540,1700
556,1697
9587,1697
3649,1697
1411,1697
3711,1695
5581,1695
1050,1691
9412,1691
1713,1691
16653,1691
156,1690
5682,1688
3610,1685
5881,1685
5798,1682
1745,1682
1975,1680
2913,1679
2087,1678
957,1677
5565,1674
63338,1674
2130847,1674
2161,1672
1916,1671
1447,1670
2137,1670
4417,1669
4662,1669
1237,1669
642,1666
1752,1666
5631,1666
1478,1665
655,1658
163,1658
1129,1657
3831,1656
815,1656
2610,1655
1419,1654
2865,1654
7160,1653
4110,1652
1442,1650
18817,1649
2924,1647
5483,1644
1851,1642
6495,1642
894,1639
593,1635
8495,1634
542,1634
2099,1633
4467,1633
3411,1631
2632,1628
4064,1628
2223,1628
1623,1627
1760,1626
1921,1626
1009,1625
7627,1623
4087,1622
4302,1621
2834,1619
1678,1619
3991,1618
3391,1616
989,1614
4754,1614
8118,1614
5823,1612
7604,1612
4365,1611
3562,1611
8689,1606
7209,1601
9639,1600
1657,1600
1974,1597
644,1597
1255,1596
3151,1593
4629,1592
3605,1589
3120,1584
4914,1583
7424,1583
2028,1583
1507,1582
1724,1581
8584,1579
1167,1579
20624,1579
3583,1578
2208,1578
20608,1578
7974,1576
3385,1575
7429,1575
6029,1573
3186,1572
450,1572
18146,1571
4930,1569
719,1568
436,1568
2357,1567
2295,1566
4961,1565
397,1563
2929,1562
4445,1561
1998,1559
2419,1559
13522,1558
1505,1557
6188,1555
13456,1555
4450,1551
2963,1549
3215,1549
2898,1549
4469,1546
1155,1546
5872,1545
458,1545
2100,1545
1467,1543
7993,1542
2322,1542
10474,1542
5179,1540
3595,1539
1978,1539
3763,1538
3731,1537
3527,1534
888,1533
6330,1531
2210,1530
2280,1529
2785,1528
7199,1528
1033,1525
6436,1525
13398,1524
5248,1523
6010,1523
2728,1520
1925,1517
1355,1516
3490,1516
3852,1513
754,1511
6286,1510
1959,1507
3394,1505
3705,1504
2757,1500
5,1499
5733,1499
8345,1497
2710,1496
5278,1495
4824,1493
17449,1493
491,1492
2152,1491
2616,1491
3663,1491
3370,1490
2652,1488
968,1486
1962,1486
