ID,Count
b'\xd2\x1d9\xfa\x00P\x0f\x13I\x9a\xf89\x06',16889
b'E.\x1c)\xa4\xb2\x89\xb6\x06\xba\xd2\xad\x06',11647
b'V+x\xe8\x00Po\xcd\xe4\xde\xccw\x06',10114
b'\xb7\xf6h\xd0\xc1\x8b+\xfc\xe1\x08\x00P\x06',9156
b'\x01l|\xff\x8f\r\x01l\xc5\xc8\x01\xbb\x06',8847
b'\x99\xc1\xe9Z\x00P+\xfc\xe0=\xe7%\x06',8623
b'\xd2\x1e\xbeu\x01\xbb+\xfc\xe0.\x92\xd5\x06',7466
b'c\x0f\xb2\xd4\x80\xd2\x01`\x8d\x12\x01\xbb\x06',6565
b'\x99\xc1\x8f\x05\x00P+\xfc\xe2#\xa0W\x06',6095
b'E\x0c\xd5\xf7\xd7(\xdd.\xdc\xec\x00P\x06',6067
b'OZ\x0e\xae\xdc\xf1o\xcd\x19\xf0\x1f\x90\x11',5814
b'\x99\xc1\x96\xcf\x00P\x99\xc1.\xe0\xdf\xc6\x06',5773
b'E\x0c\xd1K\x85\xf6\xdd.\xdc\xf2\x00P\x06',5750
b'E\x16\xd7\xb1\x01\xbbg\xaa\xc7\xee\xee\xa5\x06',5543
b'E\x0c\xd5\xf5\xa4\x14\xdd.\xdc\xec\x00P\x06',5510
b'\x01l|\xecJ\x97\x01l\xc3i\x01\xbb\x06',5441
b'\x01l|\xec\xcc\x1b\x01l\xc5\xc8\x01\xbb\x06',5423
b'\xd3C\xb9G\xde\x95+\x93\xc9H\x01\xbb\x06',5394
b'E\x0c\xd5\xf4\xfb\x16\xdd.\xdc\xec\x00P\x06',5354
b'~b0\x96\xf2F+\xfc\xe2\x07\x00P\x06',5319
"b'\xd2\x1d""\xa8\x00P_\xa2\x85\x14\xb0\xf7\x06'",5301
b'\xc7\xe8~\x1c\xe9\xde\xdd.\xdc\xf3\x00P\x06',5207
b'\xc9F\xcf\x8e\xb5\xc0\x01.\xa4b\x00\x16\x06',5083
b'\x99\xc1\x96\xf4\x00P\x99\xc1.\xe3\x97\xfb\x06',5063
b'\xdd\x01b\xde\x90\x1d\xdd.\xdc\xec\x00P\x06',5056
b'A\xad4b\xb9\xf5\xdd.\xdc\xf2\x00P\x06',5054
b'A\xad4b\xf8\xdf\xdd.\xdc\xec\x00P\x06',5035
b'\x99\xc1\x8f\x14\x00P+\xfc\xe0\x1f\xd7\xb9\x06',5028
b'\x01l$\xce\x0e\xad\x01l\xc5\xc6\x01\xbb\x06',4980
"b'+\xf05,\x00P\x99\xc1\x08a\xc2A\x06'",4976
b'A\xad4i\xc6\xac\xdd.\xdc\xf2\x00P\x06',4969
b'f\x06dR\xacw\xdd.\xdc\xec\x00P\x06',4958
b'w\xed\x0f\x9cA^\x01`\xa7\xd6\x01\xbb\x06',4923
b'\xc5\x16\x7f.\xcf`+\xfc\xe2\x1a\x00P\x06',4895
b'~.~\x13\xa5\xb3+\xfc\xe2\x05\x01\xbb\x06',4890
b'\xdc\x1bP\xef\x00P++(\x1f\r\xf3\x06',4887
b'\nJf\xcf#y+\xfc\xe2\x06\x00P\x06',4855
b'\x92\xf1N#\xcd>\xc7O\x83\xbe\x00\x16\x06',4846
b'\x80-\xe5dw\xd1\x01`\xa6\xec\x01\xbb\x06',4843
b'e\x10:\xe3\xadW+\x08\xb5t\x01\xbb\x06',4830
b'\xd0\xb0\xbd(\xd4 f+\xaa\xb3\x01\xbb\x06',4810
b'B\xf3\xc2\x7f\xc5M\xc6U\x10\xee\x00P\x06',4808
b'p\xe5\x17 \xe96+\xfc\xe2%\x00P\x06',4805
b'\x90\xbcT\x17\xc3\xba\x01 \x8a\x0c\x01\xbb\x06',4789
b'\xdc\x1bP\xe2\x00P++(.\x89\xa3\x06',4785
"b""l\xd7'\xb9\xc3g\x01`\xa76\x01\xbb\x06""",4776
b'\x01^-\xce\x00PI\x06\x88C\xd5\x08\x06',4774
b'\xcf\x88\xee\xa0\x17\x01\x01`\xa6\xcc\x01\xbb\x06',4766
b'p\xe01\xdd\xd2P\x01`\xe64\x00P\x06',4765
b'+\x13\x0f\xd9\x8bB\xdd.\xdc\xf2\x00P\x06',4764
b'\xcf\xa9\x16 8\x80\x01`\xa7\xd6\x01\xbb\x06',4763
b'<\xf2\xdc\xd0K`Cc\x0f\xe3\xea\xfb\x06',4756
b'\xd5\xe4q\x11\xedO\x99\xc1uu\x00P\x06',4756
b'\xdd\x01b\xdf\xd5\xce\xdd.\xdc\xf1\x00P\x06',4755
b'\xce\x96]\xca\xcf\t+\xfc\xe1\x1b\x00P\x06',4753
b'w\xe6\xc8`u\x08\x01`\xa7\xda\x01\xbb\x06',4753
b'\x01l}\x84\nn\x01l\xc3\x0c\x01\xbb\x06',4750
b'uT\x80\xd8M\xc8+\xfc\xe2\x11\x00P\x06',4749
b'rBw\x1e\xd4\xe5+\xfc\xe0*\x01\xbb\x06',4748
b'\xcf\x88\x0b\xfd\xd3\x7f\x01`\xa6\xcc\x01\xbb\x06',4745
b'{\xecL\x9b\xd1\xc1+\xfc\xe0\x9b\x00P\x06',4741
b'\x82\x08\x1f\xfe\xdd\xbd+\xfc\xe0\x9b\x00P\x06',4740
b'w\xfa\x18\x83\xbe\xa0\x01`\xa6\xad\x01\xbb\x06',4740
b'\xd8\x11\xc5*\x00P\xd8\x11\xd9\xe8\xb1\xe2\x06',4740
b'Ae\x8a}\xd8\xeaB\x82kS\xed(\x06',4739
b'\xd6`\x7f*\xad\xfc\x99\xc1.\xd8\x00P\x06',4739
b'\\\xb0\xf5\x11\x00Po%\xc80\xe0w\x06',4737
b'\xcf\x88\xc9G\x11\xc7\x01`\xa7\x11\x01\xbb\x06',4737
b'\x800\xeeP <\x01`\xa6\xc7\x01\xbb\x06',4736
b'z\x0e\x04\xf0\xdc\x99+\xfc\xe2\x18\x00P\x06',4736
b'\x80\xaf\x0b\xbd\xd8\x84\x01\x92V\x1f\x01\xbb\x06',4734
b'\x80&N\xb5\x9b\xee\x01`\xa7\x1a\x01\xbb\x06',4733
b'\xb2\xa2\x11z\x00P\x99\xc1un\x85\xc2\x06',4732
b'#\n\xd7\x0f\xca\xf3h\xef\x88\xb6\xf4\x9f\x11',4732
b'\xcc\xc0(X\x05\xa7+\xfc\xe2%\x00P\x06',4732
"b""\x82\x07mX\xc7\xc8+\xfc\xe2'\x00P\x06""",4731
b'\x92\x0f8t\xb1`\x01`\x8e[\x00P\x06',4731
b'lw\x0e\xd2\x00P2\xf0\\$\xde\x8a\x06',4730
b'\x9eH\ng\xcd&\x05\xfcZ\xd2\x00P\x06',4729
b'\x01lA\x1e\x87\x0f\x01`\xc2e\x01\xbb\x06',4729
b'\xb7\xa8\xc4c\xc9\xab+\xfc\xe2\x04\x00P\x06',4728
b'\xdc\x1bP\xc6\x00P++(\x1c\x1e@\x06',4727
b'\xb7\xa1D\xbf\xc7\xdc+\xfc\xe2\x07\x00P\x06',4727
b'pp\xdc\xa7B\x1c\x01`\xa7\t\x01\xbb\x06',4727
b'\x80\n6\xe25\x07\x01`\xa6\xc7\x01\xbb\x06',4727
b'\r\x01W\xaa\xcdL\x03\xff\x02\x82\x01\xbb\x06',4726
b'I\x00\xe9\xec\x00P\x12\xc0\xc5\x07\xbf\xb5\x06',4726
b'\xcf\x83\xbf\xeb]!\x01`\xa6\xfa\x01\xbb\x06',4726
b'\xd8\x1eyk\xc1\x91I\xf0\xa7\xfc\x01\xbb\x06',4726
b'\x80\r\xff\x9cmJ\x01`\xa6\xc7\x01\xbb\x06',4726
b'\x9a\xad\xba\xf2\xae\xbb++(\x81\x01\xbb\x06',4725
b'\x0f\x0e~\xb1\x00PA\x8d\x84\xb2\xb3\xb7\x06',4724
b'\x0c/\x0c\xe0\xb5n+\xfc\xe0e\x00P\x06',4724
b'z\x05\x00{z\xb5+\xfc\xe2\x12\x00P\x06',4724
b'ut\xc2\x9c\xaa*+\xfc\xe2\x18\x00P\x06',4724
b'f\x06\x98\xbf\xf3\x01\xdd.\xdc\xf3\x00P\x06',4723
b'\xcf\x82\x17v\xb0\x84\x01`\xa6\xc7\x01\xbb\x06',4723
b'z\x0c\x8c)\xd4N+\xfc\xe0\x86\x00P\x06',4723
b'l*\xf2{qe\x01`\xa7\x11\x01\xbb\x06',4723
b'lw\x03\xba\x12a\x01`\xe6\r\x01\xbb\x06',4723
b'lw\x03\xac\x80\x0b\x01`\xe4H\x01\xbb\x06',4722
b'F\xff\xfa\xaf)F\xc6U\x10\xee\x00P\x06',4722
b'\x80-\xe5dw\xd2\x01`\xa6\xec\x01\xbb\x06',4722
b'\xc6\xd8\x0e9\x00Po%\xc8\x97\xfa1\x06',4721
b'\x01l%0\x00Po\xcd\xe4\xe5\xc9\x93\x06',4721
b'B\x06\xd4\xee\x00Pf\x0e\xbd\x04\xe4\xdb\x06',4721
