ID,Count
b'\xd2\x1d9\xfa\x00P\x0f\x13I\x9a\xf89\x06',16889
b'E.\x1c)\xa4\xb2\x89\xb6\x06\xba\xd2\xad\x06',11647
b'V+x\xe8\x00Po\xcd\xe4\xde\xccw\x06',10113
b'\x01l|\xff\x8f\r\x01l\xc5\xc8\x01\xbb\x06',8418
b'\x01l|\xec\xcc\x1b\x01l\xc5\xc8\x01\xbb\x06',5420
b'E\x0c\xd5\xf5\xa4\x14\xdd.\xdc\xec\x00P\x06',5045
b'\x01l$\xce\x0e\xad\x01l\xc5\xc6\x01\xbb\x06',4447
b'\xdd\x01b\xdf\xd5\xce\xdd.\xdc\xf1\x00P\x06',4246
b'\r\xe1\x94\xb7\xc2>\x01`\xdf\x92\x01\xbb\x06',4081
b'\xcf\x88\xee\xa0\x17\x01\x01`\xa6\xcc\x01\xbb\x06',4054
b'\x05\x06\x1b\xd0\xcb\xa4h\xef\x88\xf3\x1f\x90\x11',3767
b'\x82+!!\xa5s\x01`\x92\xe5\x01\xbb\x06',3639
b'OZ\x0e\xae\xdc\xf1o\xcd\x19\xf0\x1f\x90\x11',3425
b'e\x86\xc2d\xfd\x84h\xef\x88\x96\x1f\x90\x11',3420
b'\r\x01W\xaa\xcdL\x03\xff\x02\x82\x01\xbb\x06',3407
b'\x80-\xe5dw\xd1\x01`\xa6\xec\x01\xbb\x06',3347
b'I\x95\xba\xfb\xcc\xcco\xcd\xe4r\x1f\x90\x11',3292
b'h8\xc7i\xe9Wh\xef\x88\xe3\x1f\x90\x11',3123
b'p\xe01\xdd\xd2P\x01`\xe64\x00P\x06',3033
b'\xd0\xfd=\x0e\xad\x92\xdd\xc3\xe7#\x00\x14\x06',3000
b'\xdd\x01b\xdd\xdd\xcb\xdd.\xdc\xef\x00P\x06',2991
b'w\xfa\x1d\xcf\x86_\x01`\xa6\xd5\x01\xbb\x06',2989
b'\x05\x11}\x9e\xc9\x94o\xcd\xe4\xa4\x1f\x90\x11',2985
b'd\xa2\x1d<\xdc\x14\x9d\x0e\x1d\xb2\x1fI\x06',2983
b'\x05?\xc10\xf6mo\xcd\xe4\xd7\x1f\x90\x11',2892
b'\x80\x11\xf0!|;\x01`\xa6\xcc\x01\xbb\x06',2891
b'\x91\xdc\xd6\x91\x00Pf\x03\xc7\xad\xd2&\x06',2859
b'<\xf2\xdc\xd0K`Cc\x0f\xe3\xea\xfb\x06',2644
b'\xb8e\xb7\x0cz6o\xcd\xe4\xedgg\x11',2617
b'\xc9&\xf8\x83\xc6\x07o\xcd\xe4i\x1f\x90\x11',2540
b'@h\x07v\xc8\xa2A\xb7{\x0c\x01\xbb\x06',2531
b'\x90\xbcT\x17\xc3\xba\x01 \x8a\x0c\x01\xbb\x06',2508
b'\x0c$\x02\x95\xc3M+\xfc\xe2*\x00P\x06',2501
b'\x82\x19\x1e\xc0\x11\x9c+\xfc\xe1P\x00P\x06',2499
b'\xdd\x01b\xdd\xac\x03\xdd.\xdc\xef\x00P\x06',2418
b'z\x0c\x8c)\xd4N+\xfc\xe0\x86\x00P\x06',2372
b'\xdc\x1bP\xe7\x00P++(\x1d|i\x06',2335
"b""'&\xec\xc2\xd0\xeao\xcd\xe4\x84\x1f\x90\x11""",2307
b'\xd7\xba\xc9\xac~\x1bo\xcd\xe4nE\xd1\x11',2113
b'\xb7\x9ac\x0c\xc2\x7f+\xfc\xe1\x1b\x00P\x06',2086
b'\x82\x05\x1a\xea\xcbA+\xfc\xe2\x18\x00P\x06',2076
b'\xca\xe0p\x04\xc9\x14+\xfc\xe2\x07\x01\xbb\x06',2058
b'p\x7f\xc4\xc1z\x19\x01`\xa6\xc7\x01\xbb\x06',2034
b'B\xfebQ\xc5\xbf\xc6O\xe9\x89\x00P\x06',1985
b'\xcc\xc0(X\x05\xa7+\xfc\xe2%\x00P\x06',1956
b'{\xecL\x9b\xd1\xc1+\xfc\xe0\x9b\x00P\x06',1946
b'\x7f\xd31+\xc6\x90+\xfc\xe0\x9b\x00P\x06',1941
b'\x9d>\x05\x91\x01\xbbo\xcd\xe4\xe7\xc00\x06',1836
b'H\x15\xa4\xe0\xd2&o\xcd\x19\xe5\x1f\x90\x11',1814
b'\x87n\xcd\x9dh\x86o\xcd\xe4\xae6\x90\x11',1734
b'\xb7\xbcBz\xfc\x02+\xfc\xe1P\x00P\x06',1716
b'~c\x9a\x99\xc4\xc4+\xfc\xe2&\x00P\x06',1704
b'\x84h\xb1\x11s\x08f\x00\xf0\xa99A\x11',1687
b'\xb7\xd5\xa6\x07\xa8\x14+\xfc\xe2\x04\x00P\x06',1628
b'\xb7\xc8\r\xce\xf3e+\xfc\xe1\x1b\x00P\x06',1613
b'uY\x0f9\xe3B+\xfc\xe2\x10\x00P\x06',1610
b'\x84\xc7\xd3&.\xedo\xcd\xe4\xf7\xe5H\x11',1604
b'u}QR\xdc\xbc+\xfc\xe0\x9b\x00P\x06',1511
b'l\x15\x14|i\xde\x01`\xa7\xc7\x01\xbb\x06',1504
b'w\xa9\x9a\x0b\xf9e+\xfc\xe2+\x00P\x06',1451
b'\xb7\xdaIP\xca\x11+\xfc\xe2\x07\x00P\x06',1440
b'A\xad4b\xb9\xf5\xdd.\xdc\xf2\x00P\x06',1414
b'\xcb\x9c9I\xcc\xb4+\xfc\xe2\x05\x00P\x06',1391
b'w\xe2h9\n\x81\x01`\xa6\xc7\x01\xbb\x06',1356
b'\x92\x9ec\t\xeeB\x05\xfcZ\xd5\x00P\x06',1332
b'\xd8\x1eL\xf0\x00PI\xf0\xa7k\xd7\xc7\x06',1326
b'z\x0e%\xd8\xe8\xbc+\xfc\xe1P\x00P\x06',1324
"b""\x82'\xf4j\xd8\x88+\xfc\xe0\x9b\x00P\x06""",1322
b'\x01`[1\x00PI2\x83j\xdek\x06',1317
b'E\x03)_\x07\x14+\x97\x18\xfa\x01\xbb\x06',1305
b'\x8e\x88\x8bu\xc6^\x03\x89\x9bZ\x01\xbb\x06',1300
b'\x92\xc1\x17\xca\x90\xb6o\xcd\x19\xda\xa1\x06\x11',1262
b'\xb7\xd7\xaa\xb9\xfd?+\xfc\xe2\x06\x00P\x06',1260
b'\nJf\xcf#y+\xfc\xe2\x06\x00P\x06',1252
b'\x9d\r\xa9/\x01\xbbf\x03\xf6\xbe\xc0y\x06',1241
b'z\x00\x10\x86\xd6\xc4+\xfc\xe1P\x00P\x06',1231
b'\xb7\xec\x87\x80\xd7\xc8\x03\x85&$\xb9\xa3\x11',1227
b'w\xa9f\xaa\xd1\x8d+\xfc\xe2\x07\x00P\x06',1227
b'\x9eH\ng\xcd&\x05\xfcZ\xd2\x00P\x06',1220
b'h\xb5HJ@\x12f\x03\xdd\xd2@\x12\x11',1210
b'C\x8e\xfd\xc2+w++(M\x00P\x06',1202
b'\x80-\xe5dw\xd2\x01`\xa6\xec\x01\xbb\x06',1198
"b""\x82'\x9f\xfd\xc5\xc9+\xfc\xe2\x1a\x00P\x06""",1165
b'pw\xd8\xa7+\x0c\x01`\xa6\xad\x01\xbb\x06',1148
b'\x801\xa5\xc8^P\x01`\xa6\xdf\x01\xbb\x06',1123
b'\x80.\x81.\x9eN\x01`\xa7z\x01\xbb\x06',1118
"b'2\xff\x97J\xc1""+\xfc\xe2\x07\x00P\x06'",1104
b'\x0c<\x96\xf5\xc09h\xef\x88\xf7\x10e\x06',1104
b'H\xc5\x90\xd6\x94m\xd0#$\xc5\x00{\x11',1094
b'po\x94\xd2D\x95\x01`\xa7\\\x01\xbb\x06',1090
b'\xb2\xa2\x11z\x00P\x99\xc1un\x85\xc2\x06',1063
b'\x9f\xe7\xd3\xcb\xe4~\x01`\xa7g\x01\xbb\x06',1061
"b""\x80'\xcd\xfa([\x01`\xa7\t\x01\xbb\x06""",1059
b'E\x0c\xd5\xef\xa5L\xdd.\xdc\xf2\x00P\x06',1036
b'l!v\xd3\xbe\x01\x01`\xa7U\x01\xbb\x06',1031
b'\xc5Z\xee\xf1/P+\xfc\xe2\x07\x00P\x06',1030
"b""\xb8b\xb6\xa7\xfc\x8ch\xef\x88\x80#'\x11""",1005
b'<\x8f+\xc4\xbe\xdfo\xcd\xe4\xf7\xda\r\x06',1000
b'\r\xd2X\xb9\xf6\xdd+\xfc\xe0\x86\x00P\x06',994
b'\xdc\x1bP\xe4\x00P++(.T\x1c\x06',978
b'B\x0b[u\xd8\xc4\xd2l\x14\x19\x00P\x06',974
b'\xd2\x1d\x03\xdb%\n+\x93\xfc\xd6\xc7\x08\x06',969
b'l*\xf2|\xdf\xa1\x01`\xa6\xfa\x01\xbb\x06',968
b'\xde\x1c\xc1z\xc8\xd5\x89 \x19%QJ\x11',960
b'jh\x1a\xab\xc8\xfc+\xfc\xe2\x1b\x00P\x06',956
b'\x829\xcd\xdf\xc2\xc2+\xfc\xe2\x13\x00P\x06',936
b'p\x97\xa6\xdd\xd6b+\xfc\xe2$\x01\xbb\x06',928
