ID,Count
b'\xd2\x1d9\xfa\x00P\x0f\x13I\x9a\xf89\x06',16889
b'E.\x1c)\xa4\xb2\x89\xb6\x06\xba\xd2\xad\x06',11647
b'V+x\xe8\x00Po\xcd\xe4\xde\xccw\x06',10113
b'\xb7\xf6h\xd0\xc1\x8b+\xfc\xe1\x08\x00P\x06',9066
b'\x01l|\xff\x8f\r\x01l\xc5\xc8\x01\xbb\x06',8424
b'\x99\xc1\xe9Z\x00P+\xfc\xe0=\xe7%\x06',7563
b'c\x0f\xb2\xd4\x80\xd2\x01`\x8d\x12\x01\xbb\x06',6365
b'\x01l|\xec\xcc\x1b\x01l\xc5\xc8\x01\xbb\x06',5421
b'\xd2\x1e\xbeu\x01\xbb+\xfc\xe0.\x92\xd5\x06',5213
b'E\x0c\xd5\xf7\xd7(\xdd.\xdc\xec\x00P\x06',5198
b'E\x0c\xd5\xf5\xa4\x14\xdd.\xdc\xec\x00P\x06',5077
b'\x01l$\xce\x0e\xad\x01l\xc5\xc6\x01\xbb\x06',4446
b'\xdd\x01b\xdf\xd5\xce\xdd.\xdc\xf1\x00P\x06',4247
b'OZ\x0e\xae\xdc\xf1o\xcd\x19\xf0\x1f\x90\x11',4225
b'~.~\x13\xa5\xb3+\xfc\xe2\x05\x01\xbb\x06',4134
b'\r\xe1\x94\xb7\xc2>\x01`\xdf\x92\x01\xbb\x06',4081
b'\xcf\x88\xee\xa0\x17\x01\x01`\xa6\xcc\x01\xbb\x06',4069
b'E\x0c\xd1K\x85\xf6\xdd.\xdc\xf2\x00P\x06',4066
b'\x01l|\xecJ\x97\x01l\xc3i\x01\xbb\x06',4049
b'\x800\xeeP <\x01`\xa6\xc7\x01\xbb\x06',4031
"b'+\xf05,\x00P\x99\xc1\x08a\xc2A\x06'",3909
b'E\x0c\xd5\xf4\xb9\xf6\xdd.\xdc\xf0\x00P\x06',3872
b'\x99\xc1\x8f\x05\x00P+\xfc\xe2#\xa0W\x06',3835
b'\x05\x06\x1b\xd0\xcb\xa4h\xef\x88\xf3\x1f\x90\x11',3791
b'\xdd\x01b\xde\x90\x1d\xdd.\xdc\xec\x00P\x06',3693
b'\x82+!!\xa5s\x01`\x92\xe5\x01\xbb\x06',3688
b'\x99\xc1\x96\xcf\x00P\x99\xc1.\xe0\xdf\xc6\x06',3656
b'ur=\xf2\xc1@+\xfc\xe2\x06\x00P\x06',3642
b'\xdc\x90\xcd\x9d\xceM\x01:!6\x00P\x06',3603
b'E\x16\xd7\xb1\x01\xbbg\xaa\xc7\xee\xee\xa5\x06',3491
"b'A\xad4S\xcb""\xdd.\xdc\xf3\x00P\x06'",3427
b'\xc7\xe8~\x1c\xe9\xde\xdd.\xdc\xf3\x00P\x06',3426
b'e\x86\xc2d\xfd\x84h\xef\x88\x96\x1f\x90\x11',3420
b'\r\x01W\xaa\xcdL\x03\xff\x02\x82\x01\xbb\x06',3407
b'\x99\xc1\x96\xf4\x00P\x99\xc1.\xe3\x97\xfb\x06',3405
b'~b0\x96\xf2F+\xfc\xe2\x07\x00P\x06',3385
b'e\x10:\xe3\xadW+\x08\xb5t\x01\xbb\x06',3367
b'E\x0c\xd5\xf4\xfb\x16\xdd.\xdc\xec\x00P\x06',3316
b'\xdc\x1bP\xef\x00P++(\x1f\r\xf3\x06',3304
b'I\x95\xba\xfb\xcc\xcco\xcd\xe4r\x1f\x90\x11',3292
b'\x80-\xe5dw\xd1\x01`\xa6\xec\x01\xbb\x06',3291
b'\xa9\xaf\xea_\x91!o\xcd\x19\xfa\x04\xaa\x11',3291
b'\xd3C\xb9G\xde\x95+\x93\xc9H\x01\xbb\x06',3263
b'f\x06dR\xacw\xdd.\xdc\xec\x00P\x06',3254
b'\x1d\xb9\x7f\xd3_\x85\xdd\xc3\xe7&\x00\x14\x06',3215
b'\x90\xbcT\x17\xc3\xba\x01 \x8a\x0c\x01\xbb\x06',3198
b'h8\xc7i\xe9Wh\xef\x88\xe3\x1f\x90\x11',3123
b'+?\x82\xd6\xafok\x1f\x9a\xaf\x01\xbb\x06',3114
"b'\x89\xa0\x02\xb7\x00P\x99\xc1u""\xa1>\x06'",3098
b'\x92\xf1N#\xcd>\xc7O\x83\xbe\x00\x16\x06',3093
b'\xc7\xe8~#\xd1\x1b\xdd.\xdc\xf3\x00P\x06',3073
b'w\xfa\x1d\xcf\x86_\x01`\xa6\xd5\x01\xbb\x06',3073
b'p\xe01\xdd\xd2P\x01`\xe64\x00P\x06',3039
b'\x05\x11}\x9e\xc9\x94o\xcd\xe4\xa4\x1f\x90\x11',3016
b'\xd0\xfd=\x0e\xad\x92\xdd\xc3\xe7#\x00\x14\x06',3006
b'd\xa2\x1d<\xdc\x14\x9d\x0e\x1d\xb2\x1fI\x06',2992
b'\xdd\x01b\xdd\xdd\xcb\xdd.\xdc\xef\x00P\x06',2990
b'A\xad4b\xf8\xdf\xdd.\xdc\xec\x00P\x06',2938
"b'\xd2\x1d""\xa8\x00P_\xa2\x85\x14\xb0\xf7\x06'",2935
b'\xca\xc4\x0c\x9b\xc3P\x01`\x95-\x01\xbb\x06',2897
b'\x05?\xc10\xf6mo\xcd\xe4\xd7\x1f\x90\x11',2892
b'\x80\x11\xf0!|;\x01`\xa6\xcc\x01\xbb\x06',2891
b'\xc9F\xcf\x8e\xb5\xc0\x01.\xa4b\x00\x16\x06',2883
"b""\xcf\x88\xf6'\xe8\xb4\x01`\xa7j\x01\xbb\x06""",2874
b'\x91\xdc\xd6\x91\x00Pf\x03\xc7\xad\xd2&\x06',2859
b'w\xed\x0f\x9cA^\x01`\xa7\xd6\x01\xbb\x06',2838
b'\x99\xc1\x8f\x14\x00P+\xfc\xe0\x1f\xd7\xb9\x06',2834
b'l*\xf2{qe\x01`\xa7\x11\x01\xbb\x06',2803
b'A\xad4b\xb9\xf5\xdd.\xdc\xf2\x00P\x06',2764
b'A\xad4i\xc6\xac\xdd.\xdc\xf2\x00P\x06',2739
b'\xb7\x96U\xe9\xe2v\x01\x90G\xbf\x01\xbb\x06',2733
b'E\x0c\xd5\xed\xcf\xe3\xdd.\xdc\xf3\x00P\x06',2728
b'\x80\xaf\x0b\xbd\xd8\x84\x01\x92V\x1f\x01\xbb\x06',2723
"b""l\xd7'\xb9\xc3g\x01`\xa76\x01\xbb\x06""",2676
b'<\xf2\xdc\xd0K`Cc\x0f\xe3\xea\xfb\x06',2647
b'\xb8e\xb7\x0cz6o\xcd\xe4\xedgg\x11',2617
b'\xcf\x98\xe1s\xdb5\x01`\xa6\xa4\x01\xbb\x06',2610
b'\xc5\x16\x7f.\xcf`+\xfc\xe2\x1a\x00P\x06',2574
"b'\x06\x88,\x96\xa3k+\xfc\xe2\x04\x01\xbb\x06'",2566
b'kNi\x0c\x90/\xc6U\x10\xed\x00P\x06',2561
b'E\x0c\xd5\xf4\xb9\xd6\xdd.\xdc\xf0\x00P\x06',2553
b'@h\x07v\xc8\xa2A\xb7{\x0c\x01\xbb\x06',2553
b'+\x11\xda \x00P\x99\xc1\x08>\x9c\xe8\x06',2552
b'\xc9&\xf8\x83\xc6\x07o\xcd\xe4i\x1f\x90\x11',2540
b'\xd8\x1eL\xf0\x00P\x11\xea\xcf\xfc\xc2Q\x06',2533
b'\xdd2D9\x00Ph\xef\x88\xfe\x87X\x06',2533
b'p\xe5\x17 \xe96+\xfc\xe2%\x00P\x06',2528
b'\x99\xc1\x96\xf6\x00P\x99\xc1.\xf3\x8d\xb0\x06',2514
b'\nJf\xcf#y+\xfc\xe2\x06\x00P\x06',2508
b'\x0c$\x02\x95\xc3M+\xfc\xe2*\x00P\x06',2501
b'\x82\x19\x1e\xc0\x11\x9c+\xfc\xe1P\x00P\x06',2499
b'\xcf\x9e/\xbe\xb4V\x01`\xa7\xda\x01\xbb\x06',2486
b'\x86\x82d8k\xe1f\x00\xedP$\xcf\x11',2480
b'k\xd5\x9f\xf8\xd0D\xc6U\x10\xed\x00P\x06',2466
b'B\xf3\xc2\x7f\xc5M\xc6U\x10\xee\x00P\x06',2466
"b'\x82,X\xab\xd2\x96+\xfc\xe0\x06\x00P\x06'",2463
b'\xd0\xb0\xbd(\xd4 f+\xaa\xb3\x01\xbb\x06',2439
b'\x01^-\xce\x00PI\x06\x88C\xd5\x08\x06',2438
b'\xd8\x1eL\xf0\x00PD\xe9\xe4z\x96\x95\x06',2431
b'\xd8\x1en\xff\x01\xbb\x11\xea\xcf\xf0\xbb\xbf\x06',2430
b'\x89\xe3.\xd4\x00P\x99\xc1u/\x9a\xef\x06',2428
b'\nb\xf9\xfd\xfc\xe3+\xfc\xe2*\x00P\x06',2427
b'\xdd\x01b\xdd\xac\x03\xdd.\xdc\xef\x00P\x06',2419
b'uT\x80\xd8M\xc6+\xfc\xe2\x11\x00P\x06',2414
b'\xd8\x1eL\xf0\x00PD\xe9\xe4.\xa3\xc1\x06',2411
