,method,TOP-k,Sketch_depth,Sketch_width,Memory_Top,Memory_Sketch,Executio_ time,Find,Precision_Top,ARE(Top),AAE(Top),ARE(All),AAE(All)
0,my,512,64,128,4272,36352,2526.641,476,0.9297,0.007799,56.042969,0.998298,16.329951
1,my,512,128,128,4272,72704,2565.31,480,0.9375,0.008,58.736328,0.997914,16.291819
2,ss,512,,,4272,,3229.676,223,0.4355,0.233021,6988.691406,,
3,ss,1024,,,9024,,5715.104,558,0.5449,0.212992,3063.655273,,
4,my,1024,64,256,9024,69120,3628.754,973,0.9375,0.007428,53.041016,0.942952,16.233282
5,my,512,64,256,4272,69120,1378.518,480,0.9375,0.006947,49.123047,0.998075,16.302923
6,my,512,128,256,4272,138240,1348.195,480,0.9375,0.008139,57.773438,0.98429,16.271579
7,my,512,256,256,4272,265728,1346.885,480,0.9375,0.007428,53.041016,0.942952,16.233282
8,my,1024,64,128,9024,36352,4538.414,979,0.9561,0.00698,28.702148,0.995927,12.662208
9,my,1024,128,256,9024,134656,2289.037,980,0.957,0.006781,27.036133,0.982993,12.623822
10,my,1024,256,256,9024,265728,2756.481,977,0.9541,0.00587,23.957031,0.941947,12.581352
