ID,Count
3,37493
6,31787
6 3,22614
11 6,14131
1,11397
11 6 3,10485
1 3,7718
11,6823
1 6,6479
4,5816
11 3,5253
55,4967
1 6 3,4946
4 3,4506
11 1 6,3887
55 3,3794
4 6,3690
4 6 3,3265
6 55,3144
11 1 6 3,3140
294,3076
2,2988
6 55 3,2688
506 5804 11 622 218 6 345 3797 3387 5102 2993 1044 3391 240 2400 3762 5340 2133 6811 9384 2134 242 2135 2136 376 2181 306 783 261 3520 262 263 3 17894 148 3383,2651
490,2641
2 3,2603
27,2558
294 3,2453
7,2451
218,2437
6 294,2382
11 4 6,2315
11 1,2314
11 4 6 3,2282
64,2280
91,2279
490 3,2261
6 19998 64,2248
73,2204
27 6,2186
11 6 3603 8152 2146,2184
6 2,2169
4 10065,2139
11 6 55 3,2127
218 3,2119
4 1,2119
1 23428 3 446,2113
218 6,2095
3 7,2080
1 6 13885,2075
11 6 55,2070
331 11 6 426 978 3048 2143 446 448 450 585 1023,2057
27 3,2046
6 7,2046
316,2046
17196,2042
3 73,2039
6 2 3,2037
3232,2030
77,2027
138,2026
490 6,2025
490 6 3,2013
2099 3 2220,1994
1 55,1992
6 294 3,1978
11 1 3,1962
1751,1961
145,1953
69 72 1 6 3 64 5064 2185 1818,1951
4148 218 3185 3,1946
27 6 3,1913
2 3 15389 8144,1911
993,1902
11 6 2 302 3 10642 10839 7539 8895 644 2310 568 3956 438,1895
83 3,1892
6175 694,1891
11 1596 27 6 215 14 118 28 7 8698 29 32 2848 1934 37 7523 8700 6050 3898 3272 1956 6809 205 211 212 87 467,1889
6 39502,1889
11 6 1035 10125,1888
6 1966,1885
506 11 1 6 215 521 45 524 4360 1145 588 1141 438,1884
3 64,1874
269 11 6,1872
3 316,1871
6 3 7,1863
218 6 3,1860
11 635 6 3,1857
1 218 55 1065 2866 136,1856
91 3,1854
11 6 989 1564 446,1853
6 138,1850
11 27 6 512 1706 1631 1632 83 7 1956 2803 205 4006 8076 1052 2814 85 86 1822,1849
1525 3 15262,1848
11 55,1845
446,1845
2021 11 1 6 135 452 1733 3381 467,1843
638 2309 3,1839
2019 4037 1569 1 55 83 737,1834
18251,1831
506 11 27 6 343 55 281 598 45 1024 1145 588 3437 12 974 4616 1531 864 4565 241 3 7 890 2866 2231 423 435 446 452 4638 9279 1560,1831
11 6 1648 2048 3 3934 961 6182,1825
4 1 6,1825
6 514 3,1822
11 1 6 604 49,1821
6 73,1821
11 6 3 245,1820
6 55 794 3,1820
3317 27 21436 3 11955,1817
72 6,1813
148,1811
6 21801,1806
11 605 6 294 3 12738 1049 265 7 20739 3297,1803
6892 11 1 6 1895 55 1644 5653 379 2405 629 2015 715 8580 3653 135 3820 1843,1802
11 1 6 1921,1798
490 1,1792
1 6 767,1792
1 6 138 993 5925,1791
11 6 5681,1791
4 23007,1789
11 4 3320 13794 40357 8624 270 27 987 6 303 138 1839 20 11341 40358 83 4238 420 148,1787
6 89 5657 686 379 2213 3218 9947 3 3297 3974 447 3981,1784
11 6 2,1783
11 27 6 1707 3 7080 278 5925 5926 934 398 7 399 400 206 4792 4793 276 6702 897 1775 87 5578 5579 88 2864 1140 2866,1779
4 1 3,1779
145 11 4 1 6,1775
6 64,1775
11 6 866 446 2067,1774
5092 5093 4831 5094 5098 5099 5100 4833 4841 5101 986 11 4647 218 6 1912 56 1738 2120 1535 540 541 1983 1941 4717 4719 255 581 256 363 3516 229 364 3517 824 155 825 797 231 1600 1807 366 770 1113 4728 158 1605 2268 3500 1863 2269 3512 1463 1864 1865 234 235 1464 3187 826 514 2271 1131 2272 2274 4735 882 4739 773 2072 2280 2124 2281 2128 1035 1467 2975 4653 1468 491 1810 827 1132 1019 3436 140 90 1756 3390 5532 1811 3607 972 829 525 1518 526 527 2283 528 1519 529 530 2284 3 1848 832 2412 3820 531 148 587 443 453 744 869 464 245 3961 4930,1773
11 1 218 6 4000 6114 344 1741 805 351 5914 303 90 141 3 148 446 467 564,1773
1726 73,1772
11 490 291 3 17304,1767
18,1767
11 6 17864 3 12993,1765
11 987 161 40 665 6 2 3 148 499,1764
6 154,1764
688 11083,1763
138 3,1763
11 6 2163 1858 4563 260 294 3 3955,1762
64 4794,1762
3181,1761
146 27 1 496,1761
506 11 6 45 523 3,1760
151 5287 269 11 22805 40 6 4158 4623 4195 7854 345 9541 3360 545 514 882 2072 1019 689 5340 830 706 1565 113 4322 119 2139 954 2364 9244 8087 939 3698 8895 2421 64 2982 2226 6506 24 3721 312 4101 438 471,1758
4 1180 1 218 55,1758
246,1757
2 4103 1071,1755
6 91,1755
39 11 2248 6 12,1754
11 6 294,1754
325 326 327 328 337 2102 507 3611 8316 11 1057 1 218 6 1537 946 5950 5951 5293 5952 4863 1539 1460 3717 153 4577 357 1462 154 1765 3574 3337 1119 845 762 3118 1120 5108 901 21 1534 1681 3871 1646 228 902 4335 1981 4705 539 4708 2029 4712 4714 254 9143 361 1682 9144 1685 1122 2178 3991 4720 1686 1648 1687 221 1514 5369 1126 13919 9799 3992 1689 255 2179 2263 1985 4723 2035 2036 4726 362 2264 4727 5953 1806 1986 1987 1692 25 5670 2217 6163 159 694 3220 4625 7616 1174 3612 7095 7100 1611 8665 101 2904 120 7877 7485 3113 2015 5485 8377 711 712 713 1757 60 2059 4066 644 2361 7167 718 5606 2062 23 719 5754 7170 3766 4069 670 5267 2457 135 866 1077 662 136 967 1101 148 292 450 916 2335,1753
69 506 11 146 2150 6 1905 347 755 2025 756 3258 1065 355 153 154 579 1682 1685 25 230 1030 1132 90 2959 1025 3607 829 2993 1044 240 2199 1470 382 1471 3230 830 11296 699 2094 2168 1070 1473 2876 704 112 1071 717 64 7167 2062 729 730 731 2357 531 290 136 1141 5190 9625 4045 427 428 3724 434 435 438 443 446 1002 458 5191 3982 870 871 3822 739 3129 3153 837 838 245 2018 1566 470 2251 4508 839 12758 875 2336 316 1818,1753
11 502 1 40 6 215 3 5236 7 20663,1753
11 6 3 7,1753
11 6 2 3,1752
648,1751
1 294,1750
145 749 16375,1749
490 5655,1749
