ID,Count
3,383
6,292
6 3,214
11 6,158
1,122
11 6 3,95
1 3,64
11 3,58
1 6,56
4,49
11,47
55,42
1 6 3,39
4 3,33
55 3,31
4 6 3,25
11 1 6,24
2,21
4 6,21
294,21
11 4 6,20
294 3,20
6 55 3,20
7,19
6 55,17
11 6 2,17
218,17
6 2,16
11 1 6 3,16
11 6 2 3,16
2 3,16
648,16
6 294 3,16
490,15
27,15
11 1,15
73,15
11 4 6 3,14
6 2 3,14
11 6 55 3,14
490 3,14
64,13
77,13
11 1 3,13
1 55 9085 444,13
3 316,13
6 7,12
218 6 1657 1658 3665 303 650 827 3436 91 9907 3 7 77 531 737 467,12
490 6,12
316,12
6 3 77,12
4 1,11
138,11
3693,11
11 27 1 6 1898 860 1900 1769 3492 1914 3794 2342 215 1800 1801 2952 826 1131 5013 3 1714 1956 1496 5344 1499 205 5990 2805 1957 9761 9762 9763 3643 5929 9764 9765 9766 1958 1959 8865 9767 9768 9769 9770 2809 1960 9771 7498 5911 9772 6556 5080 6285 2810 9773 9774 1961 9775 1962 3923 1963 7897 9776 6287 1052 7380 576 2817 6294 4599 3834 290 148 787 3493 2826,11
11 648 6,11
4 1 6,11
4 1 3,11
218 6,11
11 6 229 6163 91 135 662 136 967 448,11
6 3 7,11
314 6 10015,11
269,11
11 6 8757 3 64 7523 677,10
4 1997 6 3,10
506 11 251 27 218 6 296 1018 215 845 2155 747 255 25 3517 2952 514 5684 1607 1131 3880 2274 5686 882 2971 1808 516 2072 90 45 523 1145 12 525 1518 526 1134 527 2283 528 1519 529 1135 530 2284 4766 379 3405 278 6707 1060 7 8337 5479 400 5577 3881 7573 1955 2851 3922 205 5990 2808 7498 5080 6160 3288 576 3925 206 674 3208 8954 7381 3210 134 4238 1529 3820 885 148 787,10
1 294,10
11 1 6 2 351 1457 555 3695 215 2163 687 142 143 373 240 807 273 294 4990 1472 3486 6833 9129 1174 3374 2356 5243 64 3815 205 4595 77 4098 3198 136 438 144 1817 1818,10
11 6 7,10
27 6,10
91,10
2 3 86,10
11 1 55 1511 422 677,10
6 3 64,10
6 776 3,10
6 3 316,10
4 6 55 491,10
6 590,10
4426 3,10
11 6 262 438,10
2 2433 3040,10
83,10
1751,10
1351 11 40 6 9857 845 3 9735,10
1 55 3,10
11 6 3 7,10
11 6 3 64,10
11 1 6 4244 215 1800 9983 9984 9985 4285 2181 7585 534,10
11 4 490 6 281,10
1 6 2210 3,10
11 294,10
987,10
6 504 10080 3,10
1 6 55,9
3 148,9
152,9
1 6 294,9
6 64,9
1176,9
446,9
11 657 2086 658 40 659 660 665 6 3,9
