ID,Count
3,36108
6,30203
6 3,21130
11 6,12751
1,9754
11 6 3,9075
1 3,5997
11,5368
1 6,5040
4,4289
11 3,3752
55,3556
1 6 3,3507
4 3,2997
55 3,2376
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1751
6 55,1749
294,1650
2,1600
6 55 3,1373
490,1225
27,1168
294 3,1161
2 3,1152
7,1100
218,1054
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
73,849
91,838
11 4 6 3,808
490 3,799
11 6 55,761
4 1,754
6 294 3,744
218 3,742
3 7,734
27 3,730
218 6,681
6 2 3,672
6 7,668
138,667
77,647
3 73,643
490 6,643
316,628
11 6 55 3,621
27 6,615
11 1 3,588
1 55,579
3 64,558
6 3 7,538
490 6 3,490
218 6 3,488
4 1 3,486
6 73,481
6 64,480
27 6 3,474
3 316,463
446,461
148,427
145,425
11 6 2,422
246,413
6 91,411
993,410
648,405
3 77,405
269,399
6 77,396
4 1 6,396
278,391
11 6 294,391
138 3,389
6 3 64,388
5,386
11 4,386
1 55 3,382
1751,380
152,379
91 3,375
6 3 73,372
6 138,371
590,371
11 6 77,360
11 6 7,359
18,346
11 6 2 3,345
1 6 55,332
11 6 294 3,327
6 316,320
11 55,315
6 3 77,311
6 138 3,309
11 218 6,302
11 6 138,298
11 6 3 7,298
11 4 3,293
4 1 6 3,279
11 490 6,278
3 446,276
1 2,270
11 6 3 77,269
269 3,268
11 490 6 3,261
6 3 316,260
11 27 6,258
3 278,255
215,252
303,248
11 55 3,248
1 294,248
11 6 64,248
4 55,240
6 446,240
69,237
69 11 6,236
11 218 6 3,234
145 3,231
3 148,229
6 91 3,228
1 6 55 3,228
246 6,220
273,215
490 1,215
246 3,213
11 6 3 64,212
1 7,211
11 27 6 3,211
6 278,210
504,209
83,206
1 294 3,206
6 148,203
145 6,203
648 3,202
18 3,200
152 3,200
4 55 3,200
6 1751,200
1751 3,199
11 6 73,198
6 3 446,197
11 6 138 3,194
590 3,192
5 6,192
11 218 6 148,192
303 3,190
6 18,190
215 3,189
6 993,188
993 3,186
1 218,185
737,179
648 6,177
11 6 3 73,176
27 1,175
69 6,173
5 3,172
6 152,171
6 3 148,162
11 2,162
11 6 316,161
69 11 6 3,160
6 590,153
4 294,153
1 3 7,153
1 138,152
11 4 1 6,152
69 3,151
11 6 215,150
1 73,150
1 2 3,148
136,148
269 6 3,148
6 3 278,147
11 1 6 55,147
3 737,146
987,145
11 6 91,143
6 303,143
1 218 3,142
246 6 3,141
17,141
1 91,141
6 215,140
1 6 2,140
1 64,140
4 6 55,139
6 215 3,137
504 3,137
11 6 83,137
6 737,136
11 294,136
11 490,135
509,134
490 1 3,133
40,133
11 4 1 6 3,132
273 3,131
269 6,131
635,131
1164,129
11 6 446,127
11 6 3 316,126
11 6 737,125
314,125
3317,125
83 3,124
1017,122
6 83,121
145 6 3,119
1779,118
5 6 3,117
1 6 294,117
4426,117
6 504,116
1 218 6,116
2186,116
40 6,115
4 6 55 3,115
6 3 737,115
3 136,115
640,115
1 77,114
1105,114
6 83 3,114
616,114
4 2,114
643,113
621,113
6 273,113
11 27,113
11 2 3,113
1850,112
69 6 3,112
27 1 6,111
11 6 3 737,111
2309,111
1 6 138,110
11 294 3,110
622,110
11 6 667,110
2081,109
6 1751 3,109
82,109
638,109
1 6 7,108
11 6 278,108
749,108
617,108
11 6 215 3,108
14,107
4315,107
72,107
6 18 3,106
1599,105
922,104
1490,104
218 6 148,104
11 6 3 446,104
275,104
607,104
1078,104
2895,104
656,103
3347,103
3090,103
55 294,102
1 6 294 3,102
11 7,102
801,102
880,101
1 3 73,101
1180,100
1 6 64,100
4 2 3,100
799,100
4 7,100
485,100
2247,99
11 40 6,99
490 1 6,99
11 6 136,99
849,99
2985,98
532,98
6 303 3,97
1 316,97
648 6 3,97
6 152 3,96
488,96
605,96
4 490,96
2 55,95
27 1 3,95
11 27 3,95
3826,95
3315,95
269 11 6,95
1777,95
3764,94
2324,94
483,94
1056,94
11 3 7,92
1637,92
54,91
2247 3,91
11 490 3,91
6 993 3,90
635 3,90
502,90
749 3,90
4035,89
3001,89
2009,89
612 3,89
1057,89
217,89
1039 3,88
52,88
323,88
532 3,88
11 5 6,88
246 11 6,87
3003,87
1 3 64,87
640 3,87
485 3,87
90,87
801 3,86
145 1,86
6 590 3,86
1 138 3,86
1059,86
11 6 1751,86
293,86
3317 3,85
4 294 3,85
4 6 294 3,85
1 6 2 3,85
4426 3,85
11 218 3,85
70,84
3181 3,84
2895 3,84
145 11 6,84
291,83
295,83
3589 3,83
52 3,83
880 3,83
11 6 378 3,83
3315 3,83
11 218 6 3 148,82
146,82
11 6 590,82
11 1 6 2,82
6 136,82
1177,82
1 6 73,81
4 27,81
17 3,81
638 3,81
3090 3,81
4 218,81
2 55 3,80
3 14,80
3620 3,80
11 6 83 3,80
928,80
612,79
40 3,79
11 6 3 278,79
217 3,79
269 11 6 3,79
1 993,78
484 3,78
2309 3,78
535,78
11 6 148,78
1017 3,78
3589,78
987 3,78
4 218 3,77
11 6 378,77
11 6 3 135,77
1 6 77,77
218 55,77
1177 6,77
11 6 303,77
1855 3,77
314 3,76
502 3,76
987 6,76
269 1,76
288 3,76
11 6 993,76
1 648,75
487 3,75
11 73,75
275 3,75
1637 3,74
1850 3,74
3356,73
1 6 3 7,73
11 6 3 438,73
1 91 3,73
1599 3,72
490 55,72
605 3,72
11 4 1,72
11 1 6 138,72
1 3 446,72
11 6 18 3,72
378,72
1039,71
622 6,71
54 3,71
483 3,71
6 3 136,71
205,70
82 3,70
1056 3,70
6 14,70
1 148,69
11 6 3 148,69
135,69
4 3 7,69
4 3 64,69
1 3 316,69
1581,69
3 205,69
6 667,69
293 3,68
246 1,68
670,68
11 314 6,68
1105 6,68
11 316,68
1078 3,68
146 3,68
11 1 6 2 3,68
2895 6,67
11 64,67
11 6 91 3,67
2985 3,67
11 6 662 136,67
2324 3,67
643 3,67
1180 3,67
2081 6,67
1581 3,67
11 6 916,67
4 6 2,66
246 11 6 3,66
11 1 6 3 7,66
11 6 273,66
11 40 6 3,66
749 6,66
11 6 152,66
11 1 6 7,66
640 6,66
11 6 993 3,66
1777 3,65
11 1 6 77,65
1177 3,65
11 6 152 3,65
3826 6,65
4 6 294,65
1144,65
11 1 6 294 3,65
490 1 6 3,64
1164 3,64
323 3,64
509 6,64
217 6,64
11 1 218 6,64
3620 6,64
1 218 6 3,64
438,64
11 218,64
4426 6,64
55 64,63
1078 6 3,63
251 3,63
3 667,63
6 378,63
52 6,63
622 3,63
1 6 138 3,63
11 6 135,63
2344 3,63
897,63
6 438,63
218 55 3,62
1855 6,62
1770,62
1596 6,62
1777 6,62
291 3,62
1 6 3 64,62
1057 6,62
2009 6,62
6 55 294 3,62
11 91,62
607 3,62
314 6 3,62
3181 6 3,61
11 6 504,61
1 590,61
2009 3,61
4315 3,61
11 6 303 3,61
916,61
535 6,61
11 6 504 3,61
1 3 77,61
3826 6 3,61
4 6 7,61
633,60
1039 6 3,60
4 1 55,60
288,60
1164 6,60
11 4 1 3,60
3620,60
3001 6,60
3347 6 3,60
55 73,60
6 55 7,59
643 6,59
2186 3,59
146 6,59
11 1 6 138 3,59
11 6 90,59
11 6 590 3,59
11 4 6 55 3,59
485 6,59
1850 6,59
605 6,59
2324 6 3,59
251,58
640 6 3,58
17 6 3,58
6 378 3,58
488 6 3,58
2 7,58
27 55,58
1 6 3 316,58
3 677,58
11 1 6 3 77,58
4 64,57
11 6 438,57
1779 6,57
293 6,57
11 1 6 3 73,57
3317 6,57
11 5 6 3,57
922 6,57
11 648 6 3,57
323 6,57
146 6 3,56
1850 6 3,56
11 6 18,56
490 55 3,56
1 6 3 73,56
532 6,56
1637 6,56
11 6 55 77,56
603 6,55
293 1 3,55
3 499,55
1997 3,55
17 6,55
70 6,55
6 3 662 136,55
11 3 148,55
1007,55
6 3 14,55
5 1 6,55
487 6,55
11 6 3 662 136,55
677,54
2247 6 3,54
514 3,54
1 446,54
11 3 77,54
54 6 3,54
6 3 290,54
6 2 55,54
11 1 55 3,54
3764 6,54
490 7,54
1888,54
69 11 1 6,54
338 3,54
27 1 6 3,54
6 321,54
11 27 1 6,54
1597,54
499,54
648 6 55,54
246 218 6 3,54
11 7747 27 1 6 4212 15343 3 7 49 2232 1958 2396 2233 2234 206 890 2239,53
11 6 3 18215,53
11 1637 6 303 11571 504 3,53
69 1 138 631 632 136 492,53
1001,53
1 6342 16541 872,53
69 27 987 218 6 1892 1895 1900 4175 2 90 142 3 7 1140 148 573,53
11 27 1 218 6 1888 819 41 138 3497 6181 4441 11657 13140 16106 4500 504 6448 6446 46 278 7 205 6251 10719 1503 1504 1505 1507 5786 1774 3209 3638 71 423 77 4092 148 446 3654 2948 5717 4341 499,53
6 1608 17740 3,53
11 6 1738 1019 3762 17733 438 492 677 1816 1486 474 4078,53
11 7786 7788 7792 1996 1997 6 19929 294 1559 278 13736,53
55 91 3 41255,53
11 1 40 665 6 11981,53
4 160 3,53
11 490 6 2 3 13018 14666,53
11 6 3378,53
11 4 749 27 1 6 1741 2012 299 521 777 6728 779 3390 996 2404 537 997 782 969 260 4001 281 1025 9536 3607 794 829 1044 3391 240 2398 5340 3348 7397 2135 2136 305 2006 20026 3 8057 1021 9210 706 707 812 5393 9233 3807 1477 1478 1479 6986 6338 11930 2415 2416 2417 815 728 729 3815 4313 5756 731 3818 3702 1482 49 4093 531 4584 5856 563 7869 2065 1001 445 744 1484 2303 837 468 1485 471 474 1011 793 927,53
11 1850 6 138 760 761 762 91 584 7510,53
12503 9884 4222,53
11 6 21663,53
6 55 6549 3,53
423,53
4241 11 1 218 6 303 254 90 1710 644 64 904 670 135 662 136 148 452,53
616 6,53
230 294,53
11 640 218 6 40549 2069 578 1534 1535 1536 11452 6721 4466 17329 148,53
11 6 4979 773 3,53
4 8609 3,53
11 6 3 7712 446,53
11 6 2103 303 1144 5881 504 3 148,53
6 28394 3,53
6 3 9114,53
11 27 6 1769 2 1906 1770 3 7 205 2233 3351 3635 6130 402 897 77,53
288 6,53
3 5978,53
7777 1 18 3,53
