ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1375
490,1225
27,1167
294 3,1161
2 3,1152
7,1100
218,1054
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
73,850
91,837
11 4 6 3,809
490 3,795
11 6 55,761
4 1,754
218 3,744
6 294 3,743
3 7,734
27 3,727
218 6,681
6 2 3,673
6 7,667
138,666
77,648
3 73,643
490 6,642
316,628
11 6 55 3,620
27 6,615
11 1 3,589
1 55,585
6 3 7,539
3 64,535
490 6 3,490
218 6 3,488
4 1 3,486
6 73,482
6 64,480
27 6 3,473
3 316,464
446,461
148,429
145,426
11 6 2,422
3 77,413
246,411
648,410
993,409
6 91,405
269,399
4 1 6,396
6 77,393
11 6 294,392
138 3,391
278,388
11 4,387
6 3 64,387
91 3,379
1 55 3,378
152,376
6 3 73,373
590,372
1751,371
11 6 77,362
6 138,360
5,359
11 6 2 3,346
18,346
11 6 7,345
1 6 55,332
11 6 294 3,327
6 316,318
11 55,314
6 3 77,311
6 138 3,309
11 218 6,304
11 6 3 7,296
11 4 3,293
11 6 138,290
3 446,286
11 490 6,279
4 1 6 3,279
1 2,270
11 6 3 77,268
269 3,268
3 278,260
215,258
11 27 6,257
11 490 6 3,257
6 3 316,256
303,251
1 294,249
11 6 64,248
69 11 6,244
11 55 3,243
6 446,240
4 55,238
3 148,236
69,236
11 218 6 3,234
6 91 3,228
145 3,228
1 6 55 3,227
993 3,223
6 278,218
246 6,216
273,216
490 1,215
246 3,212
11 27 6 3,210
648 3,208
1 294 3,207
215 3,206
83,205
11 6 3 64,205
145 6,203
6 1751,203
152 3,201
18 3,198
6 3 446,197
1751 3,196
504,196
590 3,196
11 6 138 3,193
11 218 6 148,192
11 6 73,190
6 18,189
648 6,187
5 3,187
1 218,183
11 4 1 6,183
1 7,182
5 6,181
27 1,181
11 6 316,180
1 2 3,179
303 3,179
737,179
269 6,178
136,177
6 152,176
6 148,176
11 6 3 73,175
4 55 3,174
69 6,171
69 11 6 3,167
6 3 148,163
11 2,162
6 215,161
6 993,158
3 737,154
11 6 737,154
6 3 278,151
1 3 7,150
6 590,150
269 6 3,150
1 64,150
1 138,148
11 6 215,148
1 6 294,147
4 294,146
987,146
11 6 91,145
6 303,144
4 6 55,144
1 73,144
1 6 2,143
1 91,142
11 6 83,142
11 1 6 55,141
246 6 3,140
6 504,139
40,138
11 6 3 316,136
6 215 3,136
17,136
509,135
11 490,135
27 1 3,134
11 294,133
504 3,131
635,131
6 737,130
4 6 55 3,129
273 3,128
1 6 294 3,128
1164,128
6 83 3,127
490 1 3,126
3317,125
1779,125
83 3,123
6 273,123
54,122
6 83,121
11 218 6 3 148,121
4 2,120
69 6 3,119
483,119
1 218 3,118
2186,118
6 18 3,117
6 3 737,115
1 6 2 3,115
314,115
1 6 7,114
5 6 3,114
640,114
3 136,113
2081,112
2309,112
11 27,112
3620,112
3001,111
11 6 3 737,111
69 3,111
1850,110
3347,110
146,110
1 218 6,110
269 11 6 3,109
656,109
4426,109
617,108
14,108
605,108
1 3 73,108
1 6 138,108
11 6 148,107
2009,107
11 6 278,107
295,107
11 6 446,107
11 7,107
11 1 6 55 3,107
4315,106
621,106
1599,106
638,106
1059,105
217,105
3764,105
484,105
801,104
11 294 3,104
607,104
1177,103
11 2 3,103
1490,103
1855,102
2895,102
11 6 3 446,102
1 6 64,100
799,100
72,100
55 294,100
1017,100
2985,100
485,100
269 11 6,100
3589,100
1057,99
82,99
11 40 6,99
1 6 3 7,99
880,98
1180,98
2247,98
1581,98
293,98
218 6 148,98
643,97
11 4 1 6 3,97
532,96
246 11 6,96
11 490 3,96
314 3,96
4 294 3,95
4 7,95
1777,95
11 64,94
6 152 3,94
3003,94
11 6 215 3,94
1056,94
3181,93
1637,92
749,92
6 303 3,92
2247 3,91
3826,91
987 6,90
1 316,90
288,90
40 3,90
749 3,90
4 490,90
3315,90
11 27 3,89
2344,88
11 5 6,88
1039,88
251,87
11 6 438,87
3315 3,86
1 138 3,86
40 6 3,86
1 6 91,86
1065,86
6 136,86
621 3,86
205,86
532 3,85
323,85
3620 3,85
11 6 303,85
1164 3,85
11 6 590,85
3764 3,85
1180 3,85
11 218,85
3181 3,84
4 6 294 3,84
3347 3,84
4 2 3,84
1105,84
1 278,84
11 3 7,83
605 3,83
2895 3,83
6 504 3,83
928,82
4 218,82
1 6 73,82
218 6 3 148,82
11 40 6 3,82
11 3 73,82
288 3,81
1078 3,81
6 590 3,81
535 3,81
6 993 3,81
1777 3,81
987 3,80
490 1 6 3,80
295 3,80
1 91 3,80
622,80
217 3,80
378,80
72 3,79
1 3 316,79
52 3,79
275 3,79
1 993,78
6 3 136,78
3589 3,78
11 6 993,78
616,78
11 6 3 135,78
3826 3,78
1 218 6 3,78
656 3,78
648 6 3,78
1855 3,77
849 6,77
145 6 3,77
27 1 6,77
11 77,77
17 6,76
11 6 916,76
1057 3,75
490 55 3,75
11 6 136,75
640 3,75
612 3,75
4 64,75
11 4 1,74
2324 3,74
4 6 2,74
6 14,74
488 3,74
27 55,74
3356,74
612,73
1850 3,73
3003 3,73
1 648,73
11 6 3 278,73
638 6,73
4426 3,73
2344 3,73
293 3,73
1059 3,73
4 3 7,73
4 6 7,72
4 73,72
11 316,72
487,72
1177 6,72
2309 3,72
11 1 6 2,72
3356 3,72
11 6 667,72
1 3 77,72
1105 3,72
3001 3,71
2324,71
269 1,71
1 446,71
55 73,71
146 3,71
1 6 138 3,71
3090,71
291 3,70
622 3,70
55 294 3,70
11 6 378,70
2186 3,70
3090 3,70
3 14,70
27 1 6 3,70
3 205,69
314 6,69
11 6 18,69
3003 6,69
11 1 6 294 3,69
928 3,69
246 11 6 3,69
6 438,69
670,69
1 152,69
4 3 73,69
11 314 6,69
6 667,69
1 3 64,69
1779 6,69
667,69
849 3,68
11 1 218 6,68
3 667,68
1 148,68
643 3,68
145 1,67
11 6 152 3,67
484 3,67
584,67
1164 6,66
499,66
640 6,66
2985 3,66
11 1 6 138,66
987 6 3,65
621 6,65
11 3 77,65
27 55 3,65
1 1751,65
11 1 6 77,64
1039 3,64
617 3,64
607 3,64
2081 6,64
801 6,64
6 677,63
1177 3,63
2247 6,63
11 1 6 2 3,63
11 73,63
3090 6,63
922 6,63
4 218 3,63
11 6 3 438,63
11 6 303 3,62
1596,62
54 6 3,62
1 3 446,62
6 378 3,62
275 6,62
1 6 77,62
11 6 3 136,62
4315 3,62
72 6,62
1144,61
11 6 3 667,61
4 6 3 7,61
217 6,61
749 6,61
290,61
643 6,61
11 648 6,61
4 490 3,61
3347 6 3,60
640 6 3,60
3356 6 3,60
3315 6 3,60
11 1 55,60
799 6,60
11 6 91 3,60
70 3,60
11 6 56,60
485 6,59
2081 6 3,59
269 1 3,59
4 138,59
1078 6 3,59
90,59
11 1 6 3 77,59
488,59
635 6,59
6 3 667,59
55 77,58
55 3 7,58
11 27 1 6 3,58
1 6 316,58
1180 6,58
11 6 18 3,58
69 1,58
70,58
438,58
2309 6 3,58
1855 6,58
1800,58
509 6,57
1 3 278,57
55 316,57
82 6,57
5655,57
1059 6,57
487 6,57
6 55 7,57
4 6 73,57
514,57
55 64,57
246 1 6,57
218 6 55,56
11 3 148,56
4 6 77,56
39,56
1057 6 3,56
880 3,56
145 11 6 3,56
643 6 3,56
1 590 3,56
5 1,56
269 11,56
616 3,56
11 2344 6,56
6 378,56
2186 6 3,56
1 590,56
1059 6 3,55
6 205,55
622 6 3,55
677,55
849,55
2324 6,55
3 87,55
11 218 6 2,55
218 6 55 3,55
11 1 6 737,55
155,55
502,55
217 6 3,55
6 512,55
11 4 6 55 3,55
484 6 3,55
488 6 3,55
269 1 6,55
1490 3,55
1490 6 3,55
880 6 3,55
532 6 3,54
1 6 278,54
633,54
400,54
6 90,54
3218 3,54
1596 3,54
1 993 3,54
4315 6,54
487 3,54
11 1 6 316,54
483 6 3,54
6 423,54
1 218 6 3 148,54
11 72 6 3,54
3001 6,54
1771,54
211,54
532 6,54
3604 3,54
294 3 64,54
1 6 91 3,54
535 6 3,53
11 1 6 73,53
11 1777 6 3,53
11 1 6 136,53
54 6,53
4426 1 3,53
1569 6,53
490 2 3,53
27 5 6,53
55 3 64,53
1997,53
3 135,53
