ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1167
294 3,1161
2 3,1152
7,1100
218,1055
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
91,838
11 4 6 3,809
490 3,799
11 6 55,761
4 1,754
218 3,743
6 294 3,743
3 7,734
27 3,730
218 6,680
6 2 3,673
6 7,667
138,666
77,648
490 6,642
3 73,642
316,628
11 6 55 3,620
27 6,614
11 1 3,588
3 64,556
6 3 7,538
490 6 3,489
218 6 3,487
4 1 3,486
6 64,481
6 73,479
27 6 3,473
3 316,463
446,461
148,427
145,425
11 6 2,422
246,416
3 77,412
648,409
6 91,409
993,408
269,399
4 1 6,395
6 77,393
138 3,390
278,390
11 6 294,390
11 4,388
6 3 64,388
5,386
152,383
1 55 3,381
1751,380
91 3,377
6 138,370
590,370
11 6 77,360
11 6 7,359
18,346
11 6 2 3,344
1 6 55,332
11 6 294 3,326
6 316,318
11 55,311
6 3 77,311
6 138 3,306
11 218 6,299
11 6 3 7,297
11 6 138,297
3 446,290
11 4 3,290
4 1 6 3,280
11 490 6,274
1 2,269
11 6 3 77,268
269 3,266
6 3 316,263
215,259
3 278,259
11 490 6 3,258
11 27 6,256
303,251
1 294,249
11 6 64,247
11 55 3,246
69 11 6,242
4 55,238
6 446,237
3 148,235
69,235
11 218 6 3,234
6 91 3,227
145 3,227
1 6 55 3,226
993 3,223
246 6,218
6 278,217
11 27 6 3,214
490 1,214
273,214
11 6 3 64,211
246 3,211
6 148,208
648 3,207
1 7,207
83,206
1 294 3,206
215 3,205
504,203
145 6,201
1751 3,199
6 1751,199
152 3,198
4 55 3,198
5 3,197
18 3,197
11 6 73,197
6 3 446,197
590 3,195
11 6 138 3,193
6 993,192
11 218 6 148,191
5 6,190
303 3,190
648 6,185
6 18,183
1 218,183
1 2 3,180
6 215,180
27 1,178
11 6 316,178
269 6,177
136,177
737,176
6 152,173
11 6 3 73,173
69 6,170
69 11 6 3,166
6 3 148,161
11 2,159
6 590,156
1 138,154
11 6 737,153
3 737,152
69 3,152
4 294,151
1 3 7,150
1 73,150
6 3 278,149
11 6 215,149
1 64,148
1 6 294,146
11 6 91,145
17,144
987,144
4 6 55,144
6 303,142
504 3,142
1 91,142
1 6 2,142
11 1 6 55,140
1 218 3,140
246 6 3,140
11 6 83,139
11 294,137
40,136
6 504,135
11 4 1 6 3,135
6 215 3,134
11 6 3 316,133
69 6 3,132
509,130
490 1 3,130
11 490,129
27 1 3,129
635,129
273 3,127
11 6 446,127
4 6 55 3,126
6 737,126
1 6 294 3,124
1779,124
3317,123
1164,123
3 136,123
6 83 3,122
314,121
4 2,120
11 218 6 3 148,120
6 18 3,120
1017,118
6 83,118
6 273,118
54,117
483,116
1 218 6,116
3589,116
5 6 3,115
40 6,114
145 6 3,113
11 27,111
1105,111
6 3 737,110
1 6 7,110
616,109
11 2 3,109
146,109
1 6 2 3,108
4426,108
11 7,108
11 1 6 55 3,108
2186,108
14,107
11 6 3 737,107
4315,107
295,107
2309,107
11 6 667,107
643,107
3347,107
4 490,107
27 1 6,107
656,106
1850,106
622,106
82,106
638,106
484,106
605,105
621,105
640,105
6 1751 3,105
617,104
801,104
217,104
2009,104
72,104
288,104
40 3,104
1 6 138,104
269 11 6 3,103
11 6 148,103
11 6 278,103
1 77,103
1 3 73,103
607,103
749,103
1490,103
1599,103
275,103
1059,102
2081,102
3620,102
1078,101
11 294 3,101
2895,101
11 6 3 446,101
3764,101
1180,100
6 136,100
218 6 148,100
11 6 215 3,100
11 6 136,99
4 2 3,98
4035,98
485,98
3315,98
11 27 3,98
314 3,98
1 6 64,97
3003,97
799,97
55 294,97
922,97
1 6 3 7,97
490 1 6,96
2985,96
3826,96
4 7,96
3090,96
880,95
1177,95
17 3,95
6 378,95
1777,95
269 11 6,95
849,94
1855,94
1 316,94
3001,94
2247,94
1057,94
11 40 6,94
11 3 7,93
291,93
6 303 3,93
1637,92
293,92
532,91
11 64,91
2 55,91
2324,91
648 6 3,91
6 152 3,90
502,90
323,89
3589 3,89
1 138 3,88
640 3,88
246 11 6,88
11 490 3,88
11 6 273,87
6 993 3,87
1056,87
11 6 91 3,86
612 3,86
1039,86
1 3 64,86
3181,85
801 3,85
490 1 6 3,85
11 5 6,85
605 3,85
11 218,85
11 648 6,85
612,84
928,84
1596,84
4426 3,84
217 3,84
635 3,84
6 504 3,84
928 3,83
987 6,83
90,83
1039 3,83
1 218 6 3,83
6 590 3,82
11 6 303,82
11 6 378,82
52 3,82
749 3,82
11 6 438,82
3620 3,81
70,81
622 3,81
1164 3,81
6 273 3,81
3347 3,81
2344 3,81
2247 3,81
251,81
11 6 378 3,80
11 6 1751,80
621 3,80
1 6 77,80
1 278,80
532 3,79
3315 3,79
487,79
1 6 73,79
145 11 6,79
799 3,79
535,78
1078 3,78
1 6 91,78
2309 3,78
483 3,78
11 6 590,78
11 218 3,78
1180 3,78
2895 3,78
288 3,77
2 55 3,77
2344,77
6 3 136,77
3317 3,77
638 3,77
3356,77
145 1,76
3181 3,76
4 27,76
4035 3,76
218 6 3 148,76
485 3,76
535 3,76
3764 3,76
378,76
1777 3,76
2081 3,76
72 3,75
1 3 316,75
880 3,75
1 91 3,75
11 1 6 2,75
11 40 6 3,75
667,75
314 6,74
11 6 993,74
11 73,74
11 6 3 278,74
1 18,74
11 1 6 7,74
2186 3,74
1855 3,73
849 6,73
1017 3,73
275 3,73
987 3,72
656 3,72
3090 3,72
11 6 83 3,71
295 3,71
3826 3,71
55 294 3,71
11 6 662 136,71
1059 3,71
135,71
1850 3,70
2324 3,70
502 3,70
484 3,70
323 3,70
11 6 916,70
4 6 2,70
670,70
1 446,70
11 314 6,70
11 77,70
922 3,69
4 73,69
3001 3,69
17 6,69
11 1 6 138,69
251 3,69
1599 3,69
607 3,69
509 3,69
1065,68
11 91,68
1 148,68
1 3 77,68
27 55,68
4 490 3,68
3003 3,67
54 3,67
1596 3,67
488 3,67
1637 3,67
2344 6,67
11 6 3 438,67
2985 3,66
11 6 135,66
293 3,66
1581 3,66
4 3 7,66
1056 3,66
1 6 138 3,66
11 6 303 3,65
11 6 18,65
1057 3,65
4 6 294 3,65
11 316,65
638 6,65
6 14,65
3356 3,65
5 1,65
616 3,65
6 667,65
3 14,65
1105 3,65
490 55,65
849 3,64
1177 6,64
487 3,64
4 64,64
1 1751,64
1 590,64
11 1 6 77,63
11 1 6 294 3,63
291 3,63
4 3 73,63
146 3,63
4 27 3,63
584,63
27 1 6 3,63
1105 6,62
3 205,62
11 4 1,62
11 6 18 3,62
490 55 3,62
749 6,62
1 152,62
801 6,62
1490 3,62
82 3,61
2009 3,61
2895 6,61
3 667,61
643 3,61
1779 6,61
622 6,61
677,60
11 6 3 667,60
55 7,60
11 6 152,60
11 6 3 662 136,60
11 6 3 135,60
11 6 3 148,60
2081 6,60
987 6 3,59
1 993,59
1177 3,59
11 1 6 2 3,59
6 438,59
70 3,59
275 6,59
922 6,59
4 6 294,59
617 6,58
11 1 6 3 7,58
1 3 446,58
617 3,58
4 3 64,58
11 3 73,58
4035 6,58
1164 6,57
499,57
11 6 504,57
217 6,57
378 3,57
11 6 993 3,57
643 6,57
4 218 3,57
11 4 1 3,56
1 6 3 64,56
3 86,56
11 1 218 6,56
11 6 152 3,56
799 6,56
3090 6,56
269 1,56
6 3 14,56
11 1 6 64,56
1596 6,55
1596 6 3,55
3003 6,55
11 3 77,55
1779 3,55
488 6,55
11 5 6 3,55
1581 6,55
55 73,55
3826 6,55
532 6,55
633,54
11 6 273 3,54
612 6,54
640 6,54
11 1 6 294,54
635 6,54
3181 6,54
52 6,54
55 3 7,53
1490 6,53
621 6,53
1777 6,53
1078 6 3,53
54 6 3,53
218 55 3,53
1059 6,53
205,53
87,53
11 3 316,53
1 6 3 73,53
3589 6,52
640 6 3,52
535 6,52
2081 6 3,52
2324 6 3,52
2 294,52
644,52
6 3 667,52
1144,51
11 3 64,51
2247 6,51
11 490 1 6,51
6 378 3,51
4 77,51
11 6 590 3,51
146 6,51
4426 6,51
4315 3,51
82 6,50
1 6 316,50
1 648,50
3 677,50
2009 6,50
72 6,50
605 6,49
621 6 3,49
3181 6 3,49
11 1 6 138 3,49
