ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2336
4 6 3,1759
11 1 6 3,1753
6 55,1747
294,1653
2,1601
6 55 3,1375
490,1227
27,1166
294 3,1162
2 3,1145
7,1100
218,1053
11 4 6,954
64,907
6 294,888
6 2,883
11 1,880
73,852
91,837
11 4 6 3,809
490 3,783
11 6 55,760
4 1,755
218 3,744
6 294 3,742
3 7,734
27 3,724
218 6,676
6 2 3,673
6 7,669
138,666
77,648
490 6,645
3 73,642
316,628
11 6 55 3,618
27 6,616
11 1 3,586
1 55,581
3 64,556
6 3 7,537
218 6 3,490
4 1 3,487
490 6 3,483
6 64,482
6 73,477
27 6 3,467
3 316,466
446,462
148,430
145,427
11 6 2,421
246,419
3 77,412
993,411
648,407
6 91,402
269,400
5,392
11 4,391
4 1 6,391
11 6 294,391
138 3,388
152,385
6 3 64,384
6 77,382
278,382
1 55 3,380
91 3,379
6 3 73,375
1751,373
6 138,372
590,372
11 6 7,359
11 6 77,341
1 6 55,334
11 6 2 3,332
11 6 294 3,322
11 55,317
18,316
6 316,313
6 3 77,313
6 138 3,311
11 218 6,298
3 446,295
11 6 3 7,287
4 1 6 3,281
11 6 138,281
11 4 3,280
1 2,271
269 3,270
11 6 3 77,267
6 3 316,263
11 490 6,262
3 278,262
11 490 6 3,261
11 27 6,260
303,254
215,248
11 55 3,248
11 6 64,248
1 294,247
4 55,239
11 218 6 3,237
69 11 6,234
6 446,233
1 6 55 3,227
145 3,225
6 91 3,221
993 3,221
11 27 6 3,220
11 6 3 64,216
273,215
490 1,212
6 278,212
83,208
1 294 3,208
69,207
6 1751,206
648 3,205
145 6,204
1 7,204
18 3,202
246 3,202
1751 3,200
11 6 73,199
11 6 138 3,198
6 3 446,198
215 3,197
6 993,197
590 3,197
6 148,196
5 3,196
152 3,194
303 3,191
6 18,190
246 6,188
11 218 6 148,188
5 6,185
1 2 3,185
6 215,184
648 6,183
27 1,183
1 218,183
3 148,182
737,180
6 152,179
11 6 316,177
11 6 3 73,174
504,171
136,167
69 11 6 3,167
6 3 148,163
69 6,163
11 4 1 6,161
1 138,160
69 3,159
1 73,157
6 3 278,155
1 91,151
11 1 6 55,150
4 6 55,150
1 218 3,149
1 64,149
11 6 737,149
1 3 7,147
11 6 215,147
6 303,146
269 6,146
6 590,143
269 6 3,143
6 215 3,143
6 737,141
11 4 1 6 3,141
246 6 3,138
11 6 446,138
11 6 83,138
11 6 3 316,137
3317,136
4 294,136
6 18 3,136
11 6 91,133
1779,133
40,131
3 136,131
11 218 6 3 148,129
314,129
11 490,128
4 2,127
504 3,126
6 83 3,126
145 6 3,126
1 6 2,125
6 83,124
6 504,123
1164,123
635,123
1 6 294 3,122
6 3 737,121
1 6 2 3,121
83 3,121
640,121
27 1 3,121
11 6 667,120
621,120
11 2,117
643,117
4426,117
11 294,117
72,116
4315,116
2309,116
3347,116
1850,115
483,115
11 6 3 446,114
11 6 215 3,114
11 1 6 55 3,114
11 6 148,113
656,113
40 6,113
1017,113
922,113
295,112
3181,111
1078,111
801,111
1599,111
4035,111
1177,110
1490,110
4 55 3,110
1 6 294,110
1 3 73,109
1180,108
14,108
987,107
275,107
490 1 6,105
6 273,105
1777,105
532,104
1855,104
2985,104
17,103
3589 3,102
2247,102
2247 3,102
218 6 148,101
638,101
3315,101
6 152 3,100
490 1 6 3,100
622,100
146,100
4 294 3,99
616,99
635 3,99
6 303 3,99
2324,98
749,98
928 3,97
487,97
11 2 3,97
6 273 3,97
145 11 6,97
3315 3,96
3 737,96
6 993 3,96
1 6 64,95
1 138 3,95
1 3 316,95
11 6 303,95
3347 3,95
323 3,94
1039 3,94
1017 3,94
1596,93
509,93
251 3,93
2186 3,93
3356,93
11 77,93
502 3,92
1 18,92
323,91
11 6 83 3,91
6 590 3,91
4035 3,91
11 7,91
11 6 18,90
928,90
4 27,90
217 3,90
484,90
485 3,89
1 218 6 3,89
4 490,89
667,89
314 6,88
6 3 136,88
72 3,88
1 77,88
1 91 3,88
656 3,88
621 3,88
1 3 77,88
4 3 7,88
3764 6,88
11 6 993,87
1065,87
11 6 3 148,87
4426 3,87
11 3 7,86
2 55 3,86
502,86
4 6 294,86
535,85
52,85
2009,85
2324 6 3,85
11 314 6,85
146 6,85
11 1850 6 3,85
1850 3,84
1057 3,84
11 1 6 138,84
607 3,84
1 3 64,84
1960,84
21 3,84
1059 3,84
27 55,84
3589,84
11 6 3 278,83
11 1 6 446,83
1 18663,83
11 490 6 3 119,83
11 1 6 3 6592,83
11 6 3 64 148,83
11 27 6 2343 228 3 278 2849 1956 205 3288 3250 3208 2243 438,83
643 6 3,83
490 1 294,83
11 6 294 115,83
11 862 3,83
4 16703,83
27 6 2 55 14698 3 2331 28 2222 7 8048 6428 2226 1834 400 2223 32 87 6835 8009 8118 8119 3503 1980 6848 1529 321,83
506 11 4 6 3264 1829 9404 3373 3374 3375 3235 14 4321 964,83
6 512,83
11 6 3 2357 245,83
6 20142 3,83
11 2086 40 659 6 1458 1144 3187 3,83
11 218 6 3 7 1936 5798 148,83
27 6 590 205 1503 1507 1513 2234 3925,83
11 6212 7250 7775 1569 1 314 6 296 1810 520 90 2403 77 7004 465,83
506 11 987 218 6 296 1458 828 829 241 690 242 504 148 438,83
11 27 1 6 215 138 2460 164 165 166 167 7327 3207 2464 2467 168 8871 184 187 284 188 2351 204 7 667,83
11 1 6 2,83
324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 3661 1823 4416 11 1 218 6 346 755 2025 2328 303 1944 1754 354 1644 2260 2261 2262 355 220 153 1462 1765 1120 901 21 1681 3871 2071 627 2177 13427 1981 4706 579 1121 800 359 254 221 747 255 1806 229 1692 25 582 2951 1515 2377 155 258 741 2040 2041 512 259 3120 3458 1709 234 237 882 773 2279 2280 2124 774 371 1132 2131 1827 90 777 778 142 1830 2993 1044 864 1469 2292 241 2135 5915 261 3520 262 379 2199 830 4449 3 5599 1848 832 1832 14171 2456 1833 7186 7 5176 5460 5082 321 3638 71 4595 135 999 1000 77 4597 6831 3198 1077 136 1101 148 434 435 438 3981 465 3383 1170 1752 474,83
69 506 2206 151 1115 1451 4506 2152 8598 508 2939 4515 2154 269 145 489 11 4 640 987 1 218 2024 314 2955 6 2 5878 7937 3470 510 3483 7808 4960 4962 303 215 3139 228 540 542 254 361 2178 1686 155 512 1807 2042 233 369 882 515 3577 3979 90 522 777 45 5048 5329 3437 974 3144 373 1044 241 504 378 1710 83 3 64 7217 2457 5819 77 290 737 7510 738 563 136 148 4498 433 435 1835 437 444 446 452 453 786 455 465 73 3654 11050 3824 839 11481 18669 2948 4077 2826 3104 4667 473 316 2307 678 497 3587 498,83
6 5329 694 3 10667 100 7,83
11 1 6 527,83
490 303 3,83
5109 598 3 49,83
3317 6 8249 3 148,83
11 1078 6 3 5894,83
69 11 40 6 55 993 25474,83
11 6 1748 3 64,83
532 6 3 6865 10281,83
6 12733,83
6887 3,83
11 27 218 6 944 303 55 1837 1805 1754 354 1644 3197 2258 2259 3870 2261 3605 356 5230 1600 232 1132 1019 140 1827 90 1756 777 142 43 4755 970 281 1025 9536 3607 794 504 46 3 111 112 7 5979 321 148,83
293 483 2009 3 8345 15635,83
6445 3 7,83
11 1177 27 6 2844 138 631 632 3 185 2656 2663 204 934 28 7 2372 6428 5803 2226 32 1956 49 1058 205 11747,83
11 52 1 6,83
8563 15393,83
82 1 6 41 10889 10890 5241 2342 215 1800 9684 1838 356 46,83
616 3 3417,83
11 1 6 9157 138 294 6708 7530,83
4 3 278,83
336 4,83
4 648,83
6 4412,83
1151 316,83
1777 64,83
11 27 6 215 3268 11246 7573 11094 3271 3272 3273 5282 3274 8152 11250 10363 3275 1956 8676 49 9608 1167 10955 6957 50 2851 1773 205 2808 1959 3671 3327 3328 3329 1960 925 4006 8076 8941 8942 8943 8944 1052 8338 8155 3925 3289 7562 5899 5900 8158 6462 6076 6077 2817 11102 674 3208 3293 3295 10530 73,83
11 2085 40 2024 314 6 1913 56 6187 8708 836 1818,83
11 1 218 6 215 1801 4808 273 148,83
17181 55,83
9599,83
490 7,83
11 314 6 7409 4058 303 7746 5658 686 363 765 2039 155 825 1844 1748 378 3 677,83
11 295 6 15673 7645,83
6 2 15714 11333,83
635 1718,83
1581 1 6,83
4 1177 3 64 15956,83
