ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1168
294 3,1162
2 3,1152
7,1100
218,1055
11 4 6,954
64,907
6 294,893
1 55 3,887
6 2,883
11 1,879
91,839
11 4 6 3,809
490 3,800
11 6 55,761
4 1,755
218 3,744
3 7,734
11 218 6 363 364 520 64 3820 148 1655 4509,724
152 3,717
294 3 8580 4358,716
11 640 270 6 807 2164 77 7832,701
218 6,682
6 7,677
6 2 3,673
138,668
1581,662
69 11 4145 6 1883 1919 9611 5510 683 1644 356 259 520 521 522 46 379 3 834 4779 425 6763 2990 446 4579 35872,653
1162 1823 5 6 14857 3 3754 135 662 136 1101,648
77,648
3 73,643
316,628
27 6,627
11 6 55 3,621
39 145 1 6 4692 1121 747 229 25 582 3 5252,612
3764 6 7,610
27 6 43,605
38 5993,604
11 6 3 667,603
1 55,602
293 1 6,600
4 2847,600
1 22084 290,595
11 7,591
11 1 3,588
13119 319,581
3 64,572
6 3185 3 77,570
11 1 6 2127,569
11 6 929 138 1146 3 278 22539 7 77 3237 136,566
11 1 218 6 55 148,561
269 11 6 56 3645 1751 2059 2061 472,560
6 73,559
6 21230 3 4548,557
1524 11 1 314 6 3 644 64 2388 1037 670 77 290 5720 633 2145,542
4 3090 659 6,542
6 3 7,538
11 6 55 2125 64 3379 738,537
5 6 18115,537
11 6 1141,534
28369 5383,533
6710 11 1 40 6 2155 9799 3,531
72 55 3,530
638 1 218 3 4593,529
10214,527
11 7458 6 17809,527
3 2856 4355,526
11 6 4194 138 504 3 815 77 5060 5114 290 26768 458 2333,523
11 987 1 218 6 2 138,523
2047,521
333 6 818 89 683 3361 2025 759 1680 379 691 77 3669 790,520
11 6 1144 5140 1667 6630,519
11 6 1769 2 1770 2331 7,519
3 496,517
11 27 40 665 6 56 303 3517 934 7 3552 1529 321,515
27 1 11340 316,515
1490 6,515
9908 11 1 6 1884 2 1916 41 271 851 2162 686 4500 363 3516 582 155 1808 598 45 974 1609 5055 2046 46 10734 3218 2105 380 2047 1147 697 672 2164 83 704 2356 8288 2059 4952 1481 11273 7 10508 897 87 77 4093 531 24 6344 438 448 450 744 2333 6868 6167 316 678 8036 9836 3772,513
622 3 10739,511
485 13450,510
4 6 3 8167,509
3764 6 55 2168 2239,507
11 6 158 882 7,506
490 6 3,504
3966 1 218 6 2155 3262 7114 9235 9237 3375 3235 64 2333 1560,502
11 14776 278,499
506 268 3243 269 11 6 1872 56 352 3798 808 5572 6253 135 423 1076 3198 136 1101 4970,499
11 1855 6 4563 3 64,495
342 24089,491
11 3003 6 55 64,491
11 6 2 3 737,488
11 1078 662,487
1056 294,482
6 78 3385 1134,481
1 215,480
6 64,480
4 1 6,479
801 1 3,478
11 1039 27 1 6 512 1628 1707 3 6098 7,477
27 6 3,476
11 1 6 2 2048 446,470
11 55,468
11 218 6 858 2176 753 254 521 522 537 3121 3955 3352 135 77 148 438,467
1 3483,464
3 316,464
446,463
5,463
2985 6 3 2300,460
4575 294 3 205,457
55 1007,450
11 6 55 3 278 7 32 1154 1784 1785 37 5999 467,449
2308 1144 504,449
4345 759 3 64,447
138 294 3,447
928 724,445
148,443
6 2403 8644,438
11 6 7,436
506 11 323 1 218 40 6 19827 1018 138 650 45 588 3 1171 278 28 7 32 1154 37 85 86 209 1868 1938 1869 6750 148,433
11 4 323 1 6 229 364 25 2377 231 688 232 158 281 3 2448 105 115 720 135 2303 4981 4827,433
3250,433
275 6 83 3,432
1 1174,427
145,427
83,424
14712,423
11 1 218 6 4736 4737 737 148,423
993,423
246 218 6 228 2124,422
324 330 331 332 333 334 335 336 338 339 11 218 6 845 8326 1841 960 148,421
6 91,418
27 1 6 2132 520 777 940,416
246,416
138 3,416
11 648 6 3,415
269 3,414
3 77,413
11 6 1593 1697 1698 1112 1628 1703 1704 1629 1706 1630 1631 1707 1708 1632 5531 598 4759 12 974 294 3,412
1 218,412
648,411
11 218 6 3157 3 423 148,409
6 77,409
1164 27 1 6 294 83 3 7 11767 3897 3272 1956 2801 2850 4331 3593 205 4353 2805 6254 12412 9762 11776 9764 17606 18995 5301 1959 3671 3327 1960 6009 16780 17033 9475 11258 5080 12416 14827 4400 9775 1962 7575 12417 11967 505 12965 7897 1052 2815 576 2196 870 837 838 2018 1485 2251 7448 2318 564 678,407
11 3 13564,406
6 83,405
11 40 6 215 353 7,403
1 6 91,403
11 6 138,403
4 2081 6,401
6114 13793,400
269,399
11 6 1991 2843 1838 3334,398
11 6 747 2942,397
6 3 64,397
799,396
11 6 2 303 55 504 20572 7 446 7468 313 585,395
11 218 6,394
11 27 2085 40 2024 314 1182 6 1839 3 7957 438 73,393
506 11 27 40 665 6 342 7495 990 3510 3797 303 238 240 3259 689 3348 3394 3 28 7 32 1934 37 591 2859 3988 839 473 2185 2096,393
1017 6 3 290 737,393
11 2,393
278,391
2067,390
11 4,390
146 1769 55 5636,389
11 6 3847 5799,386
6 3 737,385
11 10398 1 6 3,384
11 1 6 271 5622 1644 1680 863 357 21 3213 46 379 3218 2285 694 6578 628 118 1071 4046 2067 316 1817,383
11 6 3 706 815 5849 1566 564 678,382
69 11 1 6 138 1144 25 3 71 135 77,382
1751,381
6 273 3,380
1 91,380
91 3,380
13638,377
11 4 617 987 218 6 77 1014,376
1 3 667 73,376
3 10304,374
590,373
314 3,373
6 138,372
490 6 3 1859,371
4 1141,369
11 270 6 3182 316,368
11 490 6 667 6976 6977 5565 12947,367
327,366
1453 11 6 55,364
490 6 155 3 292,364
11 1 6 3091 30775 302 138 22407,362
612 6 3,360
11 6 77,360
11 6 352 55 3,358
11 6 5510 271 303 353 8583 504 14924 573 3972,355
11 9853,352
11 40 660 3456 6 215 11307,350
269 11 607 6 3,343
303 16077,342
11 656 6,342
11 6 5178,339
880 1 3 13318,339
11 490 6,338
11 1 6 685 90 281 672 2297 6706 584 2357 5331 473,337
18440,336
218 6 694 3,334
6 316,334
1 6 55,332
16563,329
30783,328
504 3,328
303 378 3,327
11 6 294 3,327
536 1,325
490 6 521 3,324
1524 1451 1 314,321
11 1 6 3790 138 83 7 12005 1733 494,316
11 4 6 598 5698 10498 3,312
6 3 77,312
11 6 631,311
11 6 3 64 6465 11207,310
9469 35437 14107,305
5092 2985,303
11 1 6 344 3 662 136,299
11 2316 27 987 1 218 6 2069 20 540 2029 230 512 231 156 1600 688 232 158 237 4673 5683 1652 2272 1132 140 90 142 376 17649 4990 7121 852 3460 15679 7943 1138 7 5824 2393 1931 2226 18044 32 2443 13332 13333 4791 7865 4867 4868 3563 8507 5204 5205 402 1774 15941 10106 10 6915 4415 212 10704 11001 11014 5608 1868 421 8173 77 148 15281 867 435 442 455 3411 9658 137 496,298
3 446,296
11 146 218 6 357 761 1806 25 2952 1864 2953 5014 2385 714 2061 7164 64 7173 77 148,295
799 55 1834,294
39 5945 11 6 686 4500 46 77 737,293
4 13194,292
10345 11669 9114 73,291
324 325 329 330 331 332 333 334 335 336 337 338 339 268 2019 151 6117 554 4660 11 4 27 1 6 1455 56 1658 271 2025 946 861 3792 862 2027 1780 350 1738 555 556 1564 9 1679 1539 138 1552 632 1838 1644 220 762 21 1681 2071 800 254 2178 1692 766 512 1694 1696 1600 1628 688 259 2952 235 1652 773 650 2127 2128 2129 1467 1468 2874 1132 1019 140 90 557 522 141 142 2404 4677 260 1025 58 9536 794 829 12 238 864 1469 2399 2400 689 2133 1795 261 263 2050 695 1610 3226 3322 3230 2006 2192 3370 1751 3 2168 1473 2169 9210 706 5058 1565 3232 3376 8917 4966 397 101 559 106 114 3460 5485 960 2409 4065 62 5023 11234 1477 1478 3400 717 3491 63 3985 815 4776 8580 5707 1481 2220 5606 3758 2389 729 4313 731 6847 1956 49 5408 866 531 3198 1077 1001 3821 3237 435 453 3411 461 573 916 494 739 3824 3957 144 5759 5064 6073 3416 4970 5984 839 3383 2287 4087 2067 227 875 5943 1926 3145 1170 740 2826 6408 3104 10564 473 3418 793 4669,291
665 5530,291
1886 55 18,290
215,290
2186 5 6 3,289
11 1 218 6 5698 148,289
2247,289
11 607,288
6 3119,287
4 3 13681,285
607 3,283
269 6 303 2050 3804 273 4427 742,282
1 6 91 3,282
11 6 3 77,281
3317 6,281
1 6 28260 4086 11779,280
987 6 7,280
