ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1759
11 1 6 3,1753
6 55,1748
294,1653
2,1601
6 55 3,1373
490,1226
27,1167
294 3,1162
2 3,1152
7,1100
218,1056
11 4 6,954
64,905
6 294,891
6 2,883
11 1,878
73,843
91,839
11 4 6 3,809
490 3,801
11 6 55,762
4 1,755
6 294 3,742
218 3,736
3 7,734
27 3,729
218 6,682
6 2 3,673
6 7,668
138,667
77,648
3 73,644
490 6,636
316,627
11 6 55 3,621
27 6,612
11 1 3,589
1 55,586
3 64,555
6 3 7,528
490 6 3,490
218 6 3,489
4 1 3,486
6 73,483
6 64,475
27 6 3,468
3 316,464
446,461
148,430
145,425
11 6 2,423
246,418
993,410
3 77,410
6 91,410
648,409
269,400
6 77,396
4 1 6,395
11 6 294,392
138 3,391
11 4,388
6 3 64,388
152,386
5,381
1 55 3,380
6 3 73,376
91 3,376
278,375
590,373
6 138,372
11 6 77,362
11 6 7,360
18,347
1751,342
11 6 2 3,341
1 6 55,334
11 6 294 3,329
11 55,318
6 316,314
6 3 77,311
11 218 6,305
6 138 3,302
11 6 3 7,301
11 6 138,301
11 4 3,295
3 446,294
4 1 6 3,284
1 2,272
269 3,270
11 6 3 77,266
6 3 316,265
3 278,262
215,260
11 27 6,260
11 490 6 3,259
303,253
11 55 3,249
1 294,246
11 490 6,245
6 446,242
3 148,237
69 11 6,237
69,237
993 3,228
6 91 3,227
1 6 55 3,227
246 6,220
11 6 64,219
6 278,214
145 3,214
11 27 6 3,213
648 3,212
273,212
215 3,203
152 3,202
246 3,202
83,201
11 218 6 3,200
490 1,199
18 3,198
11 6 3 64,198
6 3 446,198
5 3,197
590 3,197
4 55,197
145 6,195
11 6 138 3,195
303 3,195
1 7,195
5 6,194
6 993,190
648 6,188
11 6 73,187
11 4 1 6,186
1 294 3,184
1 2 3,183
27 1,178
11 6 3 73,177
11 6 316,176
6 18,175
69 6,173
6 152,172
69 11 6 3,169
1 218,168
11 2,167
6 3 148,164
11 218 6 148,161
69 3,160
269 6 3,153
4 294,153
11 6 737,153
6 590,151
11 6 215,150
1 138,149
6 215,149
1 3 7,148
4 6 55,148
504,147
1 91,147
1 6 2,147
987,147
1 73,145
1 218 3,143
6 148,142
1 64,142
6 3 278,140
11 490,140
11 294,140
69 6 3,139
6 1751,139
11 4 1 6 3,138
490 1 3,137
509,136
11 6 3 316,136
246 6 3,136
1 6 294,132
6 83 3,131
11 6 446,131
1751 3,129
269 6,128
4 2,125
83 3,125
145 6 3,125
17,125
1 218 6,125
3589,125
136,124
737,124
6 18 3,124
1105,121
11 6 83,121
6 3 737,120
1 6 7,120
54,120
1 77,120
3620,120
638,120
3 136,119
483,119
2081,118
11 27,118
6 737,117
11 1 6 55,116
14,116
622,116
643,116
484,116
4315,115
11 6 215 3,115
11 218 6 3 148,115
11 6 91,114
4 6 55 3,114
1 6 294 3,114
621,114
288,113
1059,112
295,112
217,111
11 6 278,111
488,111
6 215 3,111
749,111
11 6 667,111
3826,111
1177,110
1 6 2 3,110
4426,110
2895,109
40 3,109
2309,109
1490,109
3315,109
635,109
2186,109
2 55,107
502,107
82,107
3090,107
1 6 3 7,107
4035,106
4 294 3,105
11 6 3 446,105
72,105
490 1 6,105
4 55 3,105
1855,104
293,104
11 40 6,104
616,103
1 316,103
11 64,102
799,102
246 11 6,102
6 993 3,102
1777,102
3181,101
40 6,101
1057,101
2985,101
11 218,101
1056,101
849,100
1078,100
490 1 6 3,100
640 3,100
3001,100
1 3 73,100
4 2 3,100
635 3,100
6 1751 3,100
6 504 3,100
1777 3,99
5 6 3,98
217 3,98
1 138 3,97
612 3,97
1850,97
1855 3,96
3317,96
656,96
218 6 148,96
504 3,95
4426 3,95
11 6 662 136,95
205,95
4 7,95
928,94
1596,94
11 1 6 138,94
11 218 3,94
1065,93
90,93
849 6,93
1164,93
4 6 294 3,92
40,92
218 6 3 148,92
11 1 6 2,92
1 6 77,92
535,91
1637,91
291,91
145 1,90
4 27,90
485,90
3356,90
1057 3,89
801 3,89
622 3,89
11 6 1751,89
1599 3,89
3764,89
314 6,88
1 648,88
502 3,88
801,88
3764 6,88
1065 3,87
485 3,87
1850 6 3,87
922,87
269 11 6,87
11 6 3 148,86
11 1 6 7,86
849 3,85
11 1 6 294 3,85
11 1 55,85
27 294 3,85
323 3,85
3826 6 3,85
483 3,85
670,85
11 6 590 3,85
87,85
4 490,85
11 1 6 55 3,85
323,84
3 87,84
3181 6 3,84
6 152 3,84
1177 6,84
11 2081 6 3,84
1 3 667,84
55 91,84
617 6 138 238,84
11 6 2012 3571 3572 20233 1674 6905 7534 1675 1676 16852 9999 9785 943 9786 1677 1678 5302 247 773 2072 650 2122 2124 2130 423 3237 499,84
6 294 3 6120,84
11 6 1838 153 845 762 901 21 1646 147 1647 747 368 4731 9687 4628 708 3919 1071 960 5753 2062 866 19032 4611,84
4 2324 1771 3,84
268 2081 6 2,84
3090 3,84
11 6 2376 537 3,84
7760 7942 10293,84
4 27 3,84
11 4 2009 6 138 3 64,84
324 331 332 338 339 11 6,84
27 6 2 1597 378 7222 7523 1956 2801 205 446,84
39 11 4 1 6 3714 3374 2356 4594 77 4597 290 1077 136 444 455 464 467 473,84
1 6 3 8820 7917,84
11 6 1770 759 356 1680 863 3 185 2769 204 207 209 464,84
27 1 218 4651 539 2029 25 3 278 7 1050 5176 321 148 1141 1835 464 465 877 468,84
11 6 90,84
364 2083,84
11 6 2 4183 820 138 1065 7743 889 632 1556 3504 3,84
6392,84
39 1214 1225 1236 1247 1257 1260 1271 1282 1293 1301 1302 1303 1304 1306 1307 1308 1309 1310 1311 1312 1313 1314 1316 1325 1326 1327 1328 1329 1330 1331 1332 1333 1334 1335 1336 1337 1338 1339 1340 1341 1342 1343 1055 1344 1345 1346 1347 1348 1349 1350 1351 1352 1353 1354 1355 1356 1357 1358 1359 1360 1361 1362 1363 1364 1365 1366 1367 1368 1369 1370 1371 1372 1373 1374 1375 1376 1377 1378 1379 1380 1381 1382 1383 1384 1388 1389 1390 1391 1392 1393 1394 1395 1396 1406 1417 1428 269 11 987 1 218 6 7925 4862 2838 215 1800 138 1065 4516 12 1830 504 9238 2364 4617 9249 64 290 662 136 148 438 73 492,84
1777 1,84
11 1 218 6 6636 7945 303 1030 773 32901 148 4908 2826,84
11 6 55 3 7,83
11 3 64,83
1 6 316,83
4 73,83
11 1 6 32985,83
4577 30965 3 11720,83
11 1078 6 1076 531,83
11 27 6 215 361 773 4360 378 13504 83 7 49 205 9957 16330 5890 7348 6443 10714 3909 1507 7349 15199 15200 15201 15207 15208 15209 7350 10722 3911 10924 5184 8338 12882 4401 3926 11133 2817 486 3208 10530 77 290 737 1002 573 793 316,83
70,83
4 1 6 91 6239,83
11 4 6 2342 83 7307,83
6 980,83
11 6 993 1118 83 7 32 1933 33 3859 1154 1784 37 6969 6514 4983 15275 205 85 86 77 676,83
4 6 10734 3,83
1997 3,83
11 4 3724,83
11 1 6 303 273 294 26920 3,83
1 46 3,83
6 662 136,83
6 8468,83
11 4426 6,83
90 3,83
11 6 55 7 30319,83
554 11 987 1 6 2012 1648 364 273 3 3353 148 10414 3020 3960 874 12756 1818,83
11 6 1626 56 294,83
56,83
11 6 590 118,83
217 27 6 9925 1800 18777 278 7 2849 7573 1956 51 2851 3922 205 11981 4006 8076 8941 8942 8943 8944 1051 1052 6087 3351 2300 897 1938,83
69 11 6 138 590 7 77,83
303 1024 1830 2159 3603 21005 3,83
69 11 27 6 631 632 827 3436 273 83 112 13595 18195 2603 185 204 7901 7 2443 8700 5281 2395 11646 11095 4428 9909 11906 4497 6189 1956 8938 10141 5912 3900 3901 13472 205 85 2885 276 10556 7904 3351 897 86 207 209 3209 3210 134 422 71 135 999 1000 77 5715 5983 144 1752,83
11 1 40 6 4980 3 737 3669,83
3 77 27644,83
27 1466 3 64,83
4 6 3 73,83
6880 3949 1162 269 11 27 1 40 4015 6 56 1168 6062 303 2178 747 2179 2035 1987 1692 582 230 512 231 2267 1704 1707 1708 367 2434 504 273 1067 2448 105 644 64 670 1772 278 28 7 32 37 2395 1495 1496 205 135 8635 534 1723 1725 461 3129 5718 2984,83
11 6 14745,83
922 540,83
1 3514 27963,83
11 2985 6 3 5058,83
11 6 16089 294,83
