ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1166
294 3,1162
2 3,1152
7,1100
218,1056
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
73,846
91,827
11 4 6 3,809
490 3,800
11 6 55,761
4 1,754
218 3,745
6 294 3,743
3 7,734
27 3,730
218 6,681
6 2 3,673
6 7,668
138,664
77,648
3 73,643
490 6,640
316,628
11 6 55 3,622
27 6,615
11 1 3,586
1 55,583
3 64,555
6 3 7,535
4 1 3,486
218 6 3,485
6 73,480
6 64,480
27 6 3,469
3 316,465
446,461
490 6 3,448
148,426
11 6 2,422
145,418
246,416
6 91,412
3 77,408
993,407
648,406
269,399
4 1 6,396
6 77,394
278,390
6 3 64,389
138 3,389
5,386
11 4,385
152,385
1751,381
91 3,378
1 55 3,376
6 3 73,373
590,372
6 138,370
11 6 294,368
11 6 7,360
11 6 77,358
18,345
11 6 2 3,341
1 6 55,332
11 6 294 3,327
6 316,319
6 3 77,313
11 55,306
11 218 6,302
11 6 138,300
6 138 3,299
11 6 3 7,295
11 4 3,293
3 446,291
4 1 6 3,283
11 490 6,279
1 2,271
269 3,269
11 6 3 77,268
6 3 316,263
215,262
11 27 6,259
11 490 6 3,258
303,252
3 278,250
1 294,249
11 6 64,248
11 55 3,245
69 11 6,237
3 148,236
11 218 6 3,235
69,235
4 55,232
145 3,230
6 91 3,229
1 6 55 3,228
993 3,226
6 446,222
246 6,221
6 278,219
490 1,215
11 6 3 64,213
246 3,213
11 27 6 3,211
6 148,211
504,208
83,207
215 3,205
1 294 3,205
648 3,204
152 3,202
1 7,202
145 6,201
6 1751,201
11 6 73,201
4 55 3,201
5 3,200
1751 3,199
18 3,199
273,198
6 3 446,197
6 993,194
5 6,193
590 3,193
6 18,191
11 218 6 148,190
648 6,187
303 3,185
1 218,185
1 2 3,182
6 215,182
11 4 1 6,182
136,180
11 6 316,179
269 6,178
27 1,178
6 152,176
737,176
11 6 3 73,175
69 6,173
69 11 6 3,167
6 3 148,163
6 590,159
69 3,157
11 6 737,156
11 6 138 3,155
1 138,154
1 3 7,153
269 6 3,153
4 294,153
1 73,153
11 6 215,152
6 3 278,151
3 737,150
1 64,150
1 6 294,147
504 3,146
17,145
6 303,144
1 218 3,142
40,141
246 6 3,141
6 504,139
11 2,137
11 6 3 316,136
6 737,135
11 6 446,134
11 294,134
509,133
11 6 91,133
273 3,131
1 91,131
635,131
3317,130
11 4 1 6 3,130
987,129
1 6 294 3,128
490 1 3,127
6 83 3,126
6 215 3,126
83 3,125
1164,125
314,125
4 6 55 3,124
3 136,124
3589,124
69 6 3,123
146,122
4 2,120
1017,120
6 18 3,119
6 273,118
2186,118
640,116
4 6 55,116
40 6,115
1 218 6,115
11 1 6 55 3,115
638,114
1 6 2 3,113
483,113
2081,112
11 27,112
27 1 6,112
11 490,111
82,111
11 7,111
295,110
269 11 6 3,109
14,109
622,109
6 83,109
3347,109
11 294 3,108
656,108
11 6 278,107
4426,107
1059,106
617,106
11 2 3,106
11 6 215 3,106
11 218 6 3 148,106
607,105
288,105
2309,105
3764,105
275,105
1 6 7,104
1599,104
922,104
1 6 138,104
3090,104
11 6 136,103
2009,103
4035,103
801,102
488,102
490 1 6,102
17 3,102
2985,102
1078,101
4315,101
218 6 148,101
621,101
484,101
293,100
880,99
1180,99
3003,99
799,99
11 40 6,99
1637,98
1581,98
5 6 3,97
246 11 6,97
6 378,97
6 303 3,97
6 1751 3,97
532,96
145 6 3,96
6 136,95
1850,95
1057,95
269 11 6,95
2324,94
3620,94
11 3 7,93
11 64,93
1 138 3,93
291,93
635 3,93
6 993 3,93
4 294 3,92
648 6 3,92
1105,92
11 6 148,91
52,91
1 3 64,91
1 6 3 7,91
849,90
605 3,90
928,89
1164 3,89
2247,89
485,89
3356,89
1056,89
11 6 378 3,88
622 3,88
928 3,88
1065,88
145 11 6,88
1 6 2,88
6 3 737,87
6 590 3,87
11 6 91 3,87
11 218 3,87
1 6 77,87
11 6 438,87
3589 3,86
2 55,86
4 6 294 3,86
987 6,86
1 316,86
3001,86
1 218 6 3,86
55 294,86
612,85
288 3,85
616,85
11 6 303,85
1596,85
11 1 6 2,85
749,85
1 278,85
667,85
314 3,85
2 55 3,84
2344,84
1 6 64,84
3181 3,84
2309 3,84
612 3,84
1 6 73,84
40 3,84
52 3,84
11 3 73,84
532 3,83
1 6 91,83
880 3,83
483 3,83
3317 3,83
621 3,83
40 6 3,82
4 218,82
2344 3,82
1490,82
638 3,82
4 27,81
605,81
4 2 3,81
11 6 667,81
3826,81
3090 3,81
535,80
3620 3,80
72 3,80
490 1 6 3,80
3764 3,80
4 7,80
987 3,79
11 6 993,79
11 6 3 278,79
11 1 6 7,79
643,79
11 218,79
2895 3,79
11 6 3 438,79
4426 3,78
205,78
11 40 6 3,78
509 3,78
314 6,77
1 648,77
11 73,77
485 3,77
11 6 378,77
323,76
6 3 136,76
1855 3,76
484 3,76
11 6 3 737,76
275 3,76
251,76
135,76
11 1 6 294 3,75
11 1 55,75
1 77,75
11 6 3 148,74
656 3,74
5 1,74
269 1,74
616 3,74
1078 3,73
1177,73
502,73
640 3,73
1056 3,73
6 438,72
72,72
3 14,72
145 1,71
82 3,71
1596 3,71
11 1 6 55,71
90,71
2186 3,71
4 218 3,71
1105 3,71
11 6 3 667,70
2009 3,70
3 667,70
1177 6,70
11 6 590,70
293 3,70
6 667,70
987 6 3,69
3 205,69
3003 6,69
11 1 6 2 3,69
6 14,69
217,68
2895 6,68
4035 3,68
251 3,68
11 6 993 3,68
11 314 6,68
1017 3,68
314 6 3,67
640 6,67
502 3,67
378 3,67
11 490 1 6,67
87,67
532 6,67
3003 3,66
490 55 3,66
4 6 2,66
70 3,66
617 3,66
801 6,66
55 73,66
1180 3,66
3826 6,66
11 27 3,66
2081 3,66
4 6 7,65
1177 3,65
11 3 77,65
1 18,65
1581 6,65
11 6 3 136,65
146 3,65
6 504 3,65
1596 6,64
11 1 6 3 7,64
6 152 3,64
11 6 18 3,64
11 6 152 3,64
11 6 916,64
849 6,64
1059 3,64
11 1 6 64,64
27 1 6 3,64
17 6 3,63
55 7,63
801 3,63
11 316,63
295 3,63
6 55 294 3,63
86,63
6 378 3,63
2247 3,63
378,63
1490 3,63
52 6,63
70,62
3001 3,62
3315 6,62
749 6,62
11 1 6 138,62
11 1 6 294,62
3356 3,62
246 1,62
4 6 294,62
1 6 3 64,61
1164 6,61
1855,61
635 6,61
11 6 56,61
11 1 218 6 3,61
677,60
1105 6,60
1180 6,60
4315 6,60
749 3,60
502 6,60
622 6,60
2 7,59
1850 3,59
3 86,59
499,59
3 87,59
17 6,59
1039 3,59
2 294,59
11 3 316,59
6 55 7,59
1 6 993,59
2985 6,59
72 6,59
2344 6,59
849 3,58
11 6 83 3,58
633,58
1637 6,58
1489,58
3347 3,58
6 364,58
584,58
54 6,57
1039 6 3,57
506 11 6,57
1 3 148,57
291 3,57
488 6,57
291 6,57
1057 6,57
897,57
6 135,57
1599 3,57
11 2344 6,57
1855 6 3,57
2009 6 3,57
487 6,57
2309 6 3,57
1581 3,57
617 6,56
3315 3,56
55 3 7,56
485 6,56
3356 6 3,56
11 6 152,56
11 6 3 916,56
487,56
269 11,56
11 6 590 3,56
605 6 3,56
11 138,56
1 6 446,56
3181 6,56
1 6 1751,55
922 6 3,55
39,55
4 6 138,55
6 1144,55
55 294 3,55
55 138,55
11 6 662 136,55
146 6,55
1779 6,55
11 993,55
11 6 55 77,55
11 91 3,55
6 3 662 136,55
616 6,55
1490 6 3,55
4035 6,55
6 87,54
379,54
11 4 490 6,54
254,54
4 3 77,54
621 6,54
1 6 148,54
1524 11 314 6,54
72 6 3,54
218 55,54
49,54
490 2,54
799 6,54
3001 6 3,54
6 380 3,54
2009 6,54
11 6 142 3,54
6 32,54
11 1 6 3 77,54
6 3 205,54
4 316,54
622 1 3,54
4426 6 3,54
6 777 3,54
607 6,54
635 6 3,54
2186 6 3,54
69 1 6 3,53
11 3 148,53
6 3 135,53
6 55 316,53
6 231,53
11 4 6 83,53
233,53
11 490 6 3 737,53
1 3 278,53
293 6 3,53
6 4990,53
11 2985 6,53
11 6 55 3 64,53
11 1 6 3 64,53
